ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
89,2010,2010-10-31,8,29.243,STL,,CAR,W 20-10,*,,,,,,,
90,2010,2010-11-14,9,29.257,STL,@,SFO,L 20-23,*,,,,,,,
91,2010,2010-11-21,10,29.264,STL,,ATL,L 17-34,*,,,,,,,
92,2010,2010-11-28,11,29.271,STL,@,DEN,W 36-33,*,,,,,,,
93,2010,2010-12-05,12,29.278,STL,@,ARI,W 19-6,*,,,,,,,
94,2010,2010-12-12,13,29.285,STL,@,NOR,L 13-31,*,,,,,,,
95,2010,2010-12-19,14,29.292,STL,,KAN,L 13-27,*,0,0,,0,0.0,0,0
96,2010,2010-12-26,15,29.299,STL,,SFO,W 25-17,*,,,,,,,
97,2010,2011-01-02,16,29.306,STL,@,SEA,L 6-16,*,,,,,,,
98,2011,2011-09-11,1,30.193,STL,,PHI,L 13-31,*,,,,,,,
99,2011,2011-09-19,2,30.201,STL,@,NYG,L 16-28,*,,,,,,,
100,2011,2011-09-25,3,30.207,STL,,BAL,L 7-37,*,,,,,,,
101,2011,2011-10-02,4,30.214,STL,,WAS,L 10-17,*,,,,,,,
102,2011,2011-10-16,5,30.228,STL,@,GNB,L 3-24,*,,,,,,,
103,2011,2011-10-23,6,30.235,STL,@,DAL,L 7-34,*,,,,,,,
104,2011,2011-10-30,7,30.242,STL,,NOR,W 31-21,*,,,,,,,
105,2011,2011-11-06,8,30.249,STL,@,ARI,L 13-19,*,,,,,,,
106,2011,2011-11-13,9,30.256,STL,@,CLE,W 13-12,*,,,,,,,
107,2011,2011-11-20,10,30.263,STL,,SEA,L 7-24,*,0,0,,0,0.0,1,0
108,2011,2011-11-27,11,30.270,STL,,ARI,L 20-23,*,,,,,,,
109,2011,2011-12-04,12,30.277,STL,@,SFO,L 0-26,*,,,,,,,
