ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
26,1952,1952-10-26,5,29.131,RAM,,CHI,W 31-7,1,42,42.00,0,0,0,,0,0,0,,0,0,,,,,,
27,1952,1952-11-16,8,29.152,RAM,@,CHI,W 40-24,7,191,27.29,2,0,0,,0,0,0,,0,0,,,,,,
28,1952,1952-11-23,9,29.159,RAM,,SFO,W 35-9,4,86,21.50,1,0,0,,0,0,0,,0,0,,,,,,
29,1952,1952-11-30,10,29.166,RAM,@,SFO,W 34-21,4,47,11.75,0,0,0,,0,0,0,,0,0,,,,,,
30,1952,1952-12-07,11,29.173,RAM,,GNB,W 45-27,4,96,24.00,0,0,0,,0,0,0,,0,0,,,,,,
31,1952,1952-12-14,12,29.180,RAM,,PIT,W 28-14,4,108,27.00,1,0,0,,0,0,0,,0,0,,,,,,
32,1953,1953-09-27,1,30.102,RAM,,NYG,W 21-7,2,29,14.50,1,0,0,,0,0,0,,0,0,,,,,,
33,1953,1953-10-04,2,30.109,RAM,@,SFO,L 30-31,9,107,11.89,1,0,0,,0,0,0,,0,0,,,,,,
34,1953,1953-10-11,3,30.116,RAM,@,GNB,W 38-20,8,168,21.00,0,0,0,,0,0,0,,0,0,,,,,,
35,1953,1953-10-18,4,30.123,RAM,@,DET,W 31-19,6,103,17.17,1,0,0,,0,0,0,,0,0,,,,,,
36,1953,1953-10-25,5,30.130,RAM,,CHI,W 38-24,4,73,18.25,0,0,0,,0,0,0,,0,0,,,,,,
37,1953,1953-11-01,6,30.137,RAM,,DET,W 37-24,4,51,12.75,0,0,0,,0,0,0,,0,0,,,,,,
38,1953,1953-11-08,7,30.144,RAM,,SFO,L 27-31,4,25,6.25,1,0,0,,0,0,0,,0,0,,,,,,
39,1953,1953-11-15,8,30.151,RAM,@,CRD,T 24-24,3,42,14.00,0,0,0,,0,0,0,,0,0,,,,,,
40,1953,1953-11-22,9,30.158,RAM,@,BAL,W 21-13,6,76,12.67,0,0,0,,0,0,0,,0,0,,,,,,
41,1953,1953-11-29,10,30.165,RAM,@,CHI,L 21-24,3,42,14.00,0,0,0,,0,0,0,,0,0,,,,,,
42,1953,1953-12-05,11,30.171,RAM,,BAL,W 45-2,3,29,9.67,0,0,0,,0,0,0,,0,0,,,,,,
43,1953,1953-12-12,12,30.178,RAM,,GNB,W 33-17,9,196,21.78,0,1,-6,-6.00,0,0,0,,0,0,,,,,,
44,1954,1954-09-26,1,31.101,RAM,@,BAL,W 48-0,4,74,18.50,1,0,0,,0,0,0,,0,0,,,,,,
45,1954,1954-10-03,2,31.108,RAM,,SFO,T 24-24,3,47,15.67,0,0,0,,0,0,0,,0,0,,,,,,
46,1954,1954-10-10,3,31.115,RAM,@,DET,L 3-21,6,105,17.50,0,0,0,,0,0,0,,0,0,,,,,,
47,1954,1954-10-17,4,31.122,RAM,@,GNB,L 17-35,3,79,26.33,0,0,0,,0,0,0,,0,0,,,,,,
48,1954,1954-10-24,5,31.129,RAM,,CHI,W 42-38,4,37,9.25,0,0,0,,0,0,0,,0,0,,,,,,
49,1954,1954-10-31,6,31.136,RAM,,DET,L 24-27,2,56,28.00,0,0,0,,0,0,0,,0,0,,,,,,
50,1954,1954-11-07,7,31.143,RAM,@,SFO,W 42-34,5,145,29.00,2,0,0,,0,0,0,,0,0,,,,,,
51,1954,1954-11-14,8,31.150,RAM,,CRD,W 28-17,2,21,10.50,0,0,0,,0,0,0,,0,0,,,,,,
52,1954,1954-11-21,9,31.157,RAM,@,NYG,W 17-16,1,37,37.00,0,0,0,,0,0,0,,0,0,,,,,,
53,1954,1954-12-12,12,31.178,RAM,,GNB,W 35-27,5,119,23.80,0,1,6,6.00,0,0,0,,0,0,,,,,,
54,1955,1955-10-02,2,32.107,RAM,,PIT,W 27-26,1,6,6.00,0,0,0,,0,0,0,,0,0,,,,,,
55,1955,1955-10-09,3,32.114,RAM,@,DET,W 17-10,3,79,26.33,0,0,0,,0,0,0,,0,0,,,,,,
56,1955,1955-10-16,4,32.121,RAM,@,GNB,L 28-30,3,36,12.00,0,0,0,,0,0,0,,0,0,,,,,,
57,1955,1955-10-23,5,32.128,RAM,,DET,W 24-13,2,64,32.00,1,0,0,,0,0,0,,0,0,,,,,,
58,1955,1955-10-30,6,32.135,RAM,,CHI,L 20-31,2,9,4.50,0,0,0,,0,0,0,,0,0,,,,,,
59,1955,1955-11-06,7,32.142,RAM,,SFO,W 27-14,2,38,19.00,0,0,0,,0,0,0,,0,0,,,,,,
60,1955,1955-11-13,8,32.149,RAM,@,CHI,L 3-24,6,59,9.83,0,0,0,,0,0,0,,0,0,,,,,,
61,1955,1955-11-20,9,32.156,RAM,@,BAL,T 17-17,3,78,26.00,0,0,0,,0,0,0,,0,0,,,,,,
62,1955,1955-11-27,10,32.163,RAM,@,PHI,W 23-21,3,91,30.33,1,0,0,,0,0,0,,0,0,,,,,,
63,1956,1956-09-30,1,33.105,RAM,,PHI,W 27-7,1,10,10.00,0,0,0,,0,0,0,,0,0,,,,,,
64,1956,1956-10-07,2,33.112,RAM,@,SFO,L 30-33,8,150,18.75,2,0,0,,0,0,0,,0,0,,,,,,
65,1956,1956-10-14,3,33.119,RAM,@,DET,L 21-24,3,107,35.67,2,0,0,,0,0,0,,0,0,,,,,,
66,1956,1956-10-21,4,33.126,RAM,@,GNB,L 17-42,3,40,13.33,0,0,0,,0,0,0,,0,0,,,,,,
67,1956,1956-10-28,5,33.133,RAM,,DET,L 7-16,4,84,21.00,1,0,0,,0,0,0,,0,0,,,,,,
68,1956,1956-11-04,6,33.140,RAM,,CHI,L 24-35,2,13,6.50,0,0,0,,0,0,0,,0,0,,,,,,
69,1956,1956-11-11,7,33.147,RAM,,SFO,W 30-6,1,38,38.00,1,0,0,,0,0,0,,0,0,,,,,,
70,1956,1956-11-25,9,33.161,RAM,@,BAL,L 21-56,5,63,12.60,0,0,0,,0,0,0,,0,0,,,,,,
71,1956,1956-12-02,10,33.168,RAM,@,PIT,L 13-30,2,34,17.00,0,0,0,,0,0,0,,0,0,,,,,,
72,1956,1956-12-09,11,33.175,RAM,,BAL,W 31-7,2,20,10.00,0,0,0,,0,0,0,,0,0,,,,,,
73,1956,1956-12-16,12,33.182,RAM,,GNB,W 49-21,4,44,11.00,0,0,0,,0,0,0,,0,0,,,,,,
74,1957,1957-09-29,1,34.104,RAM,,PHI,W 17-13,3,36,12.00,0,0,0,,0,0,0,,0,0,,,,,,
75,1957,1957-10-06,2,34.111,RAM,@,SFO,L 20-23,1,21,21.00,0,0,0,,0,0,0,,0,0,,,,,,
76,1957,1957-10-13,3,34.118,RAM,@,DET,L 7-10,0,0,,0,1,8,8.00,0,0,0,,0,0,,,,,,
77,1957,1957-10-27,5,34.132,RAM,,DET,W 35-17,1,9,9.00,0,0,0,,0,0,0,,0,0,,,,,,
78,1957,1957-11-03,6,34.139,RAM,,CHI,L 10-16,2,20,10.00,0,0,0,,0,0,0,,0,0,,,,,,
79,1957,1957-11-10,7,34.146,RAM,,SFO,W 37-24,4,50,12.50,0,0,0,,0,0,0,,0,0,,,,,,
80,1957,1957-11-17,8,34.153,RAM,@,GNB,W 31-27,6,106,17.67,0,0,0,,0,0,0,,0,0,,,,,,
81,1957,1957-11-24,9,34.160,RAM,@,CLE,L 31-45,2,34,17.00,2,0,0,,0,0,0,,0,0,,,,,,
82,1957,1957-12-01,10,34.167,RAM,@,BAL,L 14-31,3,50,16.67,0,0,0,,0,0,0,,0,0,,,,,,
83,1957,1957-12-08,11,34.174,RAM,,GNB,W 42-17,5,76,15.20,2,0,0,,0,0,0,,0,0,,,,,,
84,1957,1957-12-15,12,34.181,RAM,,BAL,W 37-21,5,75,15.00,2,0,0,,0,0,0,,0,0,,,,,,
