ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
19,1994,1994-09-25,4,24.153,NWE,@,DET,W 23-17,,,,,,,0.0%,,,,,
20,1994,1994-10-02,5,24.160,NWE,,GNB,W 17-16,,,,,,,0.0%,,,,,
21,1994,1994-10-09,6,24.167,NWE,,RAI,L 17-21,,,,,,,0.0%,,,,,
22,1994,1994-10-16,7,24.174,NWE,@,NYJ,L 17-24,,,,,,,0.0%,,,,,
23,1994,1994-10-30,8,24.188,NWE,,MIA,L 3-23,,,,,,,0.0%,,,,,
24,1994,1994-11-06,9,24.195,NWE,@,CLE,L 6-13,,,,,,,0.0%,,,,,
25,1994,1994-11-13,10,24.202,NWE,,MIN,W 26-20,,,,,,,0.0%,,,,,
26,1994,1994-11-20,11,24.209,NWE,,SDG,W 23-17,,,,,,,0.0%,,,,,
27,1994,1994-11-27,12,24.216,NWE,@,IND,W 12-10,,,,,,,0.0%,,,,,
28,1994,1994-12-04,13,24.223,NWE,,NYJ,W 24-13,,,,,,,0.0%,,,,,
29,1994,1994-12-11,14,24.230,NWE,,IND,W 28-13,,,,,,,0.0%,,,,,
30,1994,1994-12-18,15,24.237,NWE,@,BUF,W 41-17,,,,,,,0.0%,,,,,
31,1994,1994-12-24,16,24.243,NWE,@,CHI,W 13-3,,,,,,,0.0%,,,,,
32,1995,1995-09-03,1,25.131,NWE,,CLE,W 17-14,,,,,,,0.0%,,,,,
33,1995,1995-09-10,2,25.138,NWE,,MIA,L 3-20,,,,,,,0.0%,,,,,
34,1995,1995-09-17,3,25.145,NWE,@,SFO,L 3-28,,,,,,,0.0%,,,,,
35,1995,1995-10-01,4,25.159,NWE,@,ATL,L 17-30,,,,,,,0.0%,,,,,
36,1995,1995-10-08,5,25.166,NWE,,DEN,L 3-37,,,,,,,0.0%,,,,,
37,1995,1995-10-15,6,25.173,NWE,@,KAN,L 26-31,,,,,,,0.0%,,,,,
38,1995,1995-10-23,7,25.181,NWE,,BUF,W 27-14,,,,,,,0.0%,,,,,
39,1995,1995-10-29,8,25.187,NWE,,CAR,L 17-20,,,,,,,0.0%,,,,,
40,1995,1995-11-05,9,25.194,NWE,@,NYJ,W 20-7,,,,,,,0.0%,,,,,
41,1995,1995-11-12,10,25.201,NWE,@,MIA,W 34-17,,,,,,,0.0%,,,,,
42,1995,1995-11-19,11,25.208,NWE,,IND,L 10-24,,,,,,,0.0%,,,,,
43,1995,1995-11-26,12,25.215,NWE,@,BUF,W 35-25,,,,,,,0.0%,,,,,
44,1995,1995-12-03,13,25.222,NWE,,NOR,L 17-31,,,,,,,0.0%,,,,,
45,1995,1995-12-10,14,25.229,NWE,,NYJ,W 31-28,,,,,,,0.0%,,,,,
46,1995,1995-12-16,15,25.235,NWE,@,PIT,L 27-41,,,,,,,0.0%,,,,,
47,1995,1995-12-23,16,25.242,NWE,@,IND,L 7-10,,,,,,,0.0%,,,,,
48,1996,1996-09-01,1,26.129,NWE,@,MIA,L 10-24,,,,,,,0.0%,,,,,
49,1996,1996-09-08,2,26.136,NWE,@,BUF,L 10-17,,,,,,,0.0%,,,,,
50,1996,1996-09-15,3,26.143,NWE,,ARI,W 31-0,,,,,,,0.0%,,,,,
51,1996,1996-09-22,4,26.150,NWE,,JAX,W 28-25,,,,,,,0.0%,,,,,
52,1996,1996-10-06,5,26.164,BUF,,IND,W 16-13,,,,,,,0.0%,,,,,
53,1996,1996-10-13,6,26.171,NWE,,WAS,L 22-27,,,,,,,0.0%,,,,,
54,1996,1996-11-03,9,26.192,NWE,,MIA,W 42-23,,,,,,,0.0%,,,,,
55,1996,1996-11-10,10,26.199,NWE,@,NYJ,W 31-27,,,,,,,0.0%,,,,,
56,1996,1996-11-17,11,26.206,NWE,,DEN,L 8-34,,,,,,,0.0%,,,,,
57,1996,1996-11-24,12,26.213,NWE,,IND,W 27-13,,,,,,,0.0%,,,,,
58,1996,1996-12-01,13,26.220,NWE,@,SDG,W 45-7,,,,,,,0.0%,,,,,
59,1996,1996-12-08,14,26.227,NWE,,NYJ,W 34-10,,,,,,,0.0%,,,,,
60,1996,1996-12-15,15,26.234,NWE,@,DAL,L 6-12,,,,,,,0.0%,,,,,
61,1996,1996-12-21,16,26.240,NWE,@,NYG,W 23-22,,,,,,,0.0%,,,,,
62,1997,1997-08-31,1,27.128,NYJ,@,SEA,W 41-3,,0,0,0,,0,0.0%,,,,,
63,1997,1997-09-07,2,27.135,NYJ,,BUF,L 22-28,,0,0,0,,0,0.0%,,,,,
64,1997,1997-09-14,3,27.142,NYJ,@,NWE,L 24-27,,,0,0,,0,0.0%,,,,,
65,1997,1997-09-21,4,27.149,NYJ,,OAK,W 23-22,,1,1,26,26.00,0,100.0%,26.00,0.0,0,0,0
66,1997,1997-09-28,5,27.156,NYJ,@,CIN,W 31-14,,,0,0,,0,0.0%,,,,,
67,1997,1997-10-05,6,27.163,NYJ,@,IND,W 16-12,,0,0,0,,0,0.0%,,,,,
68,1997,1997-10-12,7,27.170,NYJ,,MIA,L 20-31,,0,0,0,,0,0.0%,,,,,
69,1997,1997-10-19,8,27.177,NYJ,,NWE,W 24-19,,0,0,0,,0,0.0%,,,,,
70,1997,1997-11-02,9,27.191,NYJ,,BAL,W 19-16,,0,0,0,,0,0.0%,,,,,
71,1997,1997-11-09,10,27.198,NYJ,@,MIA,L 17-24,,,0,0,,0,0.0%,,,,,
72,1997,1997-11-16,11,27.205,NYJ,@,CHI,W 23-15,,0,0,0,,0,0.0%,,,,,
73,1997,1997-11-23,12,27.212,NYJ,,MIN,W 23-21,,0,0,0,,0,0.0%,,,,,
74,1997,1997-11-30,13,27.219,NYJ,@,BUF,L 10-20,,0,0,0,,0,0.0%,,,,,
75,1997,1997-12-07,14,27.226,NYJ,,IND,L 14-22,,0,0,0,,0,0.0%,,,,,
76,1997,1997-12-14,15,27.233,NYJ,,TAM,W 31-0,,,0,0,,0,0.0%,,,,,
77,1997,1997-12-21,16,27.240,NYJ,@,DET,L 10-13,,,0,0,,0,0.0%,,,,,
78,1998,1998-09-06,1,28.134,NYJ,@,SFO,L 30-36,,,,,,,0.0%,,,,,
79,1998,1998-09-20,3,28.148,NYJ,,IND,W 44-6,,,,,,,0.0%,,,,,
80,1998,1998-10-04,4,28.162,NYJ,,MIA,W 20-9,,,,,,,0.0%,,,,,
81,1998,1998-10-11,5,28.169,NYJ,@,STL,L 10-30,,,,,,,0.0%,,,,,
82,1998,1998-10-19,6,28.177,NYJ,@,NWE,W 24-14,,,,,,,0.0%,,,,,
83,1998,1998-10-25,7,28.183,NYJ,,ATL,W 28-3,,,,,,,0.0%,,,,,
84,1998,1998-11-01,8,28.190,NYJ,@,KAN,W 20-17,,,0,0,,0,0.0%,,0.0,1,0,0
85,1998,1998-11-08,9,28.197,NYJ,,BUF,W 34-12,,,,,,,0.0%,,,,,
86,1998,1998-11-15,10,28.204,NYJ,@,IND,L 23-24,,,,,,,0.0%,,,,,
87,1998,1998-11-22,11,28.211,NYJ,@,TEN,W 24-3,,,,,,,0.0%,,,,,
88,1998,1998-11-29,12,28.218,NYJ,,CAR,W 48-21,,,,,,,0.0%,,,,,
89,1998,1998-12-06,13,28.225,NYJ,,SEA,W 32-31,,,,,,,0.0%,,,,,
90,1998,1998-12-13,14,28.232,NYJ,@,MIA,W 21-16,,,,,,,0.0%,,,,,
91,1998,1998-12-19,15,28.238,NYJ,@,BUF,W 17-10,,,,,,,0.0%,,,,,
92,1998,1998-12-27,16,28.246,NYJ,,NWE,W 31-10,,,,,,,0.0%,,,,,
93,1999,1999-10-10,4,29.168,DET,,SDG,L 10-20,,,,,,,0.0%,,,,,
94,1999,1999-10-17,5,29.175,DET,,MIN,W 25-23,,0,,,,,0.0%,,,,,
95,1999,1999-10-24,6,29.182,DET,@,CAR,W 24-9,,,,,,,0.0%,,,,,
96,1999,1999-10-31,7,29.189,DET,,TAM,W 20-3,,0,,,,,0.0%,,,,,
97,1999,1999-11-07,8,29.196,DET,,STL,W 31-27,,0,,,,,0.0%,,,,,
98,1999,1999-11-14,9,29.203,DET,@,ARI,L 19-23,,0,,,,,0.0%,,,,,
99,1999,1999-11-21,10,29.210,DET,@,GNB,L 17-26,,0,,,,,0.0%,,,,,
100,1999,1999-11-25,11,29.214,DET,,CHI,W 21-17,*,0,,,,,0.0%,,,,,
101,1999,1999-12-05,12,29.224,DET,,WAS,W 33-17,,0,,,,,0.0%,,,,,
102,1999,1999-12-12,13,29.231,DET,@,TAM,L 16-23,,0,,,,,0.0%,,,,,
103,1999,1999-12-19,14,29.238,DET,@,CHI,L 10-28,,,,,,,0.0%,,,,,
104,1999,1999-12-25,15,29.244,DET,,DEN,L 7-17,,0,,,,,0.0%,,,,,
105,1999,2000-01-02,16,29.252,DET,@,MIN,L 17-24,,,,,,,0.0%,,,,,
106,2000,2000-09-03,1,30.131,DET,@,NOR,W 14-10,,,,,,,0.0%,,,,,
107,2000,2000-09-10,2,30.138,DET,,WAS,W 15-10,,,,,,,0.0%,,,,,
108,2000,2000-09-17,3,30.145,DET,,TAM,L 10-31,,,,,,,0.0%,,,,,
109,2000,2000-09-24,4,30.152,DET,@,CHI,W 21-14,,,,,,,0.0%,,,,,
110,2000,2000-10-01,5,30.159,DET,,MIN,L 24-31,,0,,,,,0.0%,,,,,
111,2000,2000-10-08,6,30.166,DET,,GNB,W 31-24,,0,,,,,0.0%,,,,,
112,2000,2000-10-19,7,30.177,DET,@,TAM,W 28-14,,0,,,,,0.0%,,,,,
113,2000,2000-10-29,8,30.187,DET,@,IND,L 18-30,,,,,,,0.0%,,,,,
114,2000,2000-11-05,9,30.194,DET,,MIA,L 8-23,,,,,,,0.0%,,,,,
115,2000,2000-11-12,10,30.201,DET,,ATL,W 13-10,,0,0,0,,0,0.0%,,0.0,1,12,0
116,2000,2000-11-19,11,30.208,DET,@,NYG,W 31-21,,0,,,,,0.0%,,,,,
117,2000,2000-11-23,12,30.212,DET,,NWE,W 34-9,*,0,0,0,,0,0.0%,,0.5,0,0,0
118,2000,2000-11-30,13,30.219,DET,@,MIN,L 17-24,*,0,0,0,,0,0.0%,,0.0,1,0,0
119,2000,2000-12-10,14,30.229,DET,@,GNB,L 13-26,*,0,,,,,0.0%,,,,,
