ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
30,2003,2003-12-28,16,25.068,DET,,STL,W 30-20,*,26,36,72.22,238,3,1,106.0,,8,6.61,7.03,2,0,0.00,0,0,0,0,,0,0.0%,
31,2004,2004-09-12,1,25.327,DET,@,CHI,W 20-16,*,14,26,53.85,187,1,1,73.7,2,2,7.19,6.23,3,6,2.00,0,0,0,0,,0,0.0%,
32,2004,2004-09-19,2,25.334,DET,,HOU,W 28-16,*,18,25,72.00,176,3,1,114.3,2,4,7.04,7.64,4,17,4.25,0,0,0,0,,0,0.0%,
33,2004,2004-09-26,3,25.341,DET,,PHI,L 13-30,*,21,38,55.26,199,2,0,87.5,5,20,5.24,6.29,3,10,3.33,0,0,0,0,,0,0.0%,
34,2004,2004-10-10,4,25.355,DET,@,ATL,W 17-10,*,16,24,66.67,146,1,0,96.9,3,20,6.08,6.92,5,2,0.40,0,0,0,0,,0,0.0%,
35,2004,2004-10-17,5,25.362,DET,,GNB,L 10-38,*,12,23,52.17,101,1,1,60.2,1,9,4.39,3.30,4,12,3.00,0,0,0,0,,0,0.0%,
36,2004,2004-10-24,6,26.003,DET,@,NYG,W 28-13,*,18,22,81.82,230,2,0,140.5,3,20,10.45,12.27,2,-2,-1.00,0,0,0,0,,0,0.0%,
37,2004,2004-10-31,7,26.010,DET,@,DAL,L 21-31,*,19,32,59.38,255,2,1,92.6,1,10,7.97,7.81,1,-1,-1.00,0,0,0,0,,0,0.0%,
38,2004,2004-11-07,8,26.017,DET,,WAS,L 10-17,*,26,52,50.00,269,1,1,63.7,2,11,5.17,4.69,2,14,7.00,0,0,0,0,,0,0.0%,
39,2004,2004-11-14,9,26.024,DET,@,JAX,L 17-23,*,11,33,33.33,121,0,1,32.5,2,12,3.67,2.30,0,0,,0,0,0,0,,0,0.0%,
40,2004,2004-11-21,10,26.031,DET,@,MIN,L 19-22,*,12,19,63.16,91,1,1,70.3,3,24,4.79,3.47,4,17,4.25,0,0,0,0,,0,0.0%,
41,2004,2004-11-25,11,26.035,DET,,IND,L 9-41,*,14,23,60.87,156,0,0,81.1,2,3,6.78,6.78,0,0,,0,0,0,0,,0,0.0%,
42,2004,2004-12-05,12,26.045,DET,,ARI,W 26-12,*,15,27,55.56,196,1,1,75.5,2,13,7.26,6.33,6,19,3.17,0,0,0,0,,0,0.0%,
43,2004,2004-12-12,13,26.052,DET,@,GNB,L 13-16,*,5,22,22.73,47,0,0,39.6,2,12,2.14,2.14,4,29,7.25,0,0,0,0,,0,0.0%,
44,2004,2004-12-19,14,26.059,DET,,MIN,L 27-28,*,25,44,56.82,361,2,2,79.8,2,11,8.20,7.07,3,13,4.33,0,0,0,0,,0,0.0%,
45,2004,2004-12-26,15,26.066,DET,,CHI,W 19-13,*,15,30,50.00,166,0,1,52.9,2,10,5.53,4.03,5,26,5.20,0,0,0,0,,0,0.0%,
46,2004,2005-01-02,16,26.073,DET,@,TEN,L 19-24,*,33,49,67.35,346,2,1,92.7,2,15,7.06,6.96,2,13,6.50,0,0,0,0,,0,0.0%,
47,2005,2005-09-11,1,26.325,DET,,GNB,W 17-3,*,15,28,53.57,167,2,0,95.4,2,15,5.96,7.39,3,14,4.67,0,0,0,0,,0,0.0%,
48,2005,2005-09-18,2,26.332,DET,@,CHI,L 6-38,*,19,37,51.35,196,1,5,36.4,3,11,5.30,-0.24,2,-6,-3.00,0,0,0,0,,0,0.0%,
49,2005,2005-10-02,3,26.346,DET,@,TAM,L 13-17,*,15,27,55.56,137,0,0,69.5,2,2,5.07,5.07,4,12,3.00,0,0,0,0,,0,0.0%,
50,2005,2005-10-09,4,26.353,DET,,BAL,W 35-17,*,10,23,43.48,97,1,2,34.1,1,0,4.22,1.17,1,2,2.00,0,0,0,0,,0,0.0%,
51,2005,2005-10-16,5,26.360,DET,,CAR,L 20-21,*,17,28,60.71,201,0,1,67.7,6,44,7.18,5.57,3,12,4.00,0,0,0,0,,0,0.0%,
52,2005,2005-10-23,6,27.002,DET,@,CLE,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,0.0%,
53,2005,2005-11-06,8,27.016,DET,@,MIN,L 14-27,*,28,48,58.33,263,1,2,63.1,4,32,5.48,4.02,4,17,4.25,0,0,0,0,,0,0.0%,
54,2005,2005-11-13,9,27.023,DET,,ARI,W 29-21,*,21,31,67.74,231,3,0,121.8,1,5,7.45,9.39,4,13,3.25,0,0,0,0,,0,0.0%,
55,2005,2005-11-20,10,27.030,DET,@,DAL,L 7-20,*,17,25,68.00,169,0,0,86.9,1,0,6.76,6.76,1,5,5.00,0,0,0,0,,0,0.0%,
56,2005,2005-11-24,11,27.034,DET,,ATL,L 7-27,*,6,13,46.15,61,0,1,28.0,2,16,4.69,1.23,0,0,,0,0,0,0,,0,0.0%,
57,2005,2005-12-18,14,27.058,DET,,CIN,L 17-41,,6,7,85.71,77,1,0,152.1,0,0,11.00,13.86,0,0,,0,0,0,0,,0,0.0%,
58,2005,2005-12-24,15,27.064,DET,@,NOR,W 13-12,*,17,30,56.67,210,0,1,64.6,1,2,7.00,5.50,0,0,,0,1,1,-4,-4.00,0,100.0%,-4.00
59,2005,2006-01-01,16,27.072,DET,@,PIT,L 21-35,*,17,33,51.52,212,3,0,102.1,1,9,6.42,8.24,2,11,5.50,0,0,0,0,,0,0.0%,
60,2006,2006-10-08,5,27.352,MIA,@,NWE,L 10-20,*,26,41,63.41,232,0,2,58.2,1,11,5.66,3.46,0,0,,0,0,0,0,,0,0.0%,
61,2006,2006-10-15,6,27.359,MIA,@,NYJ,L 17-20,*,27,43,62.79,266,1,2,68.6,0,0,6.19,4.56,1,-1,-1.00,0,0,0,0,,0,0.0%,
62,2006,2006-10-22,7,28.001,MIA,,GNB,L 24-34,*,33,62,53.23,414,2,3,64.9,4,33,6.68,5.15,1,3,3.00,0,0,0,0,,0,0.0%,
63,2006,2006-11-05,8,28.015,MIA,@,CHI,W 31-13,*,16,32,50.00,137,3,2,66.8,0,0,4.28,3.34,4,2,0.50,0,0,0,0,,0,0.0%,
64,2006,2006-11-12,9,28.022,MIA,,KAN,W 13-10,*,19,35,54.29,201,0,0,71.2,1,12,5.74,5.74,4,6,1.50,0,0,0,0,,0,0.0%,
65,2006,2006-11-19,10,28.029,MIA,,MIN,W 24-20,*,26,42,61.90,254,1,1,76.9,1,7,6.05,5.45,2,2,1.00,0,0,0,0,,0,0.0%,
66,2006,2006-11-23,11,28.033,MIA,@,DET,W 27-10,*,19,29,65.52,213,3,1,107.4,1,4,7.34,7.86,1,2,2.00,0,0,0,0,,0,0.0%,
67,2006,2006-12-03,12,28.043,MIA,,JAX,L 10-24,*,27,42,64.29,267,1,2,70.2,4,26,6.36,4.69,1,-1,-1.00,0,0,0,0,,0,0.0%,
68,2006,2006-12-10,13,28.050,MIA,,NWE,W 21-0,*,18,30,60.00,190,1,0,89.6,1,6,6.33,7.00,4,4,1.00,0,0,0,0,,0,0.0%,
69,2006,2006-12-17,14,28.057,MIA,@,BUF,L 0-21,*,5,17,29.41,20,0,2,0.0,1,9,1.18,-4.12,1,7,7.00,0,0,0,0,,0,0.0%,
70,2006,2006-12-25,15,28.065,MIA,,NYJ,L 10-13,*,7,15,46.67,42,0,0,53.5,1,8,2.80,2.80,0,0,,0,0,0,0,,0,0.0%,
71,2007,2007-09-09,1,28.323,ATL,@,MIN,L 3-24,*,23,32,71.88,199,0,2,61.8,6,30,6.22,3.41,1,8,8.00,0,0,0,0,,0,0.0%,
72,2007,2007-09-16,2,28.330,ATL,@,JAX,L 7-13,*,12,20,60.00,200,0,0,93.7,7,34,10.00,10.00,2,2,1.00,0,0,0,0,,0,0.0%,
73,2007,2007-09-23,3,28.337,ATL,,CAR,L 20-27,*,31,44,70.45,361,2,0,110.1,1,10,8.20,9.11,1,4,4.00,0,0,0,0,,0,0.0%,
74,2007,2007-09-30,4,28.344,ATL,,HOU,W 26-16,*,23,29,79.31,223,2,0,121.7,2,9,7.69,9.07,1,-1,-1.00,0,0,0,0,,0,0.0%,
75,2007,2007-10-07,5,28.351,ATL,@,TEN,L 13-20,*,16,31,51.61,87,0,1,44.2,1,8,2.81,1.35,0,0,,0,0,0,0,,0,0.0%,
76,2007,2007-10-15,6,28.359,ATL,,NYG,L 10-31,*,18,39,46.15,209,0,1,52.2,4,28,5.36,4.21,1,1,1.00,0,0,0,0,,0,0.0%,
77,2007,2007-10-21,7,29.000,ATL,@,NOR,L 16-22,,12,18,66.67,128,0,0,87.3,2,7,7.11,7.11,1,0,0.00,0,0,0,0,,0,0.0%,
78,2007,2007-11-04,8,29.014,ATL,,SFO,W 20-16,*,14,25,56.00,138,0,1,55.1,1,7,5.52,3.72,4,14,3.50,0,0,0,0,,0,0.0%,
79,2007,2007-11-11,9,29.021,ATL,@,CAR,W 20-13,*,19,26,73.08,192,1,0,106.6,2,12,7.38,8.15,1,2,2.00,0,1,1,4,4.00,0,100.0%,4.00
80,2007,2007-11-18,10,29.028,ATL,,TAM,L 7-31,,16,20,80.00,139,1,0,112.3,1,7,6.95,7.95,0,0,,0,0,0,0,,0,0.0%,
81,2007,2007-11-22,11,29.032,ATL,,IND,L 13-31,*,14,30,46.67,155,1,2,45.8,2,17,5.17,2.83,2,3,1.50,0,0,0,0,,0,0.0%,
82,2007,2007-12-02,12,29.042,ATL,@,STL,L 16-28,*,17,34,50.00,184,0,1,54.0,3,23,5.41,4.09,0,0,,0,0,0,0,,0,0.0%,
