ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
33,2002,2002-09-08,1,25.075,KAN,@,CLE,W 40-39,*,,,,,
34,2002,2002-09-15,2,25.082,KAN,,JAX,L 16-23,*,,,,,
35,2002,2002-09-22,3,25.089,KAN,@,NWE,L 38-41,*,,,,,
36,2002,2002-09-29,4,25.096,KAN,,MIA,W 48-30,*,,,,,
37,2002,2002-10-06,5,25.103,KAN,@,NYJ,W 29-25,*,,,,,
38,2002,2002-10-13,6,25.110,KAN,@,SDG,L 34-35,*,,,,,
39,2002,2002-10-20,7,25.117,KAN,,DEN,L 34-37,*,,,,,
40,2002,2002-10-27,8,25.124,KAN,,OAK,W 20-10,*,,,,,
41,2002,2002-11-10,9,25.138,KAN,@,SFO,L 13-17,*,,,,,
42,2002,2002-11-17,10,25.145,KAN,,BUF,W 17-16,*,,,,,
43,2002,2002-12-08,13,25.166,KAN,,STL,W 49-10,,,,,,
44,2002,2002-12-15,14,25.173,KAN,@,DEN,L 24-31,*,,,,,
45,2002,2002-12-22,15,25.180,KAN,,SDG,W 24-22,*,,,,,
46,2002,2002-12-28,16,25.186,KAN,@,OAK,L 0-24,*,,,,,
47,2003,2003-10-12,6,26.109,KAN,@,GNB,W 40-34,,,,,,
48,2003,2003-10-20,7,26.117,KAN,@,OAK,W 17-10,,,,,,
49,2003,2003-10-26,8,26.123,KAN,,BUF,W 38-5,,,,,,
50,2003,2003-11-09,9,26.137,KAN,,CLE,W 41-20,,1,0,0.00,0,0.0
51,2003,2003-11-16,10,26.144,KAN,@,CIN,L 19-24,,,,,,
52,2003,2003-11-23,11,26.151,KAN,,OAK,W 27-24,,,,,,
53,2003,2003-11-30,12,26.158,KAN,@,SDG,W 28-24,,,,,,
54,2003,2003-12-07,13,26.165,KAN,@,DEN,L 27-45,,,,,,
55,2003,2003-12-14,14,26.172,KAN,,DET,W 45-17,,,,,,
56,2003,2003-12-20,15,26.178,KAN,@,MIN,L 20-45,,,,,,
57,2003,2003-12-28,16,26.186,KAN,,CHI,W 31-3,*,,,,,
58,2004,2004-09-12,1,27.079,KAN,@,DEN,L 24-34,,,,,,
59,2004,2004-09-19,2,27.086,KAN,,CAR,L 17-28,,,,,,
60,2004,2004-10-17,5,27.114,KAN,@,JAX,L 16-22,*,,,,,
61,2004,2004-10-24,6,27.121,KAN,,ATL,W 56-10,*,0,0,,0,1.0
62,2004,2004-10-31,7,27.128,KAN,,IND,W 45-35,*,,,,,
63,2004,2004-11-07,8,27.135,KAN,@,TAM,L 31-34,*,,,,,
64,2004,2004-11-14,9,27.142,KAN,@,NOR,L 20-27,*,,,,,
65,2004,2004-11-22,10,27.150,KAN,,NWE,L 19-27,*,,,,,
66,2004,2004-11-28,11,27.156,KAN,,SDG,L 31-34,*,0,0,,0,0.5
67,2004,2004-12-05,12,27.163,KAN,@,OAK,W 34-27,*,,,,,
68,2004,2004-12-13,13,27.171,KAN,@,TEN,W 49-38,*,,,,,
69,2004,2004-12-19,14,27.177,KAN,,DEN,W 45-17,,,,,,
70,2004,2004-12-25,15,27.183,KAN,,OAK,W 31-30,,,,,,
71,2004,2005-01-02,16,27.191,KAN,@,SDG,L 17-24,,,,,,
72,2005,2005-09-11,1,28.078,KAN,,NYJ,W 27-7,,,,,,
73,2005,2005-09-18,2,28.085,KAN,@,OAK,W 23-17,,,,,,
74,2005,2005-09-26,3,28.093,KAN,@,DEN,L 10-30,,,,,,
75,2005,2005-10-02,4,28.099,KAN,,PHI,L 31-37,,,,,,
76,2005,2005-10-16,5,28.113,KAN,,WAS,W 28-21,,,,,,
77,2005,2005-10-21,6,28.118,KAN,@,MIA,W 30-20,,,,,,
78,2005,2005-10-30,7,28.127,KAN,@,SDG,L 20-28,,,,,,
79,2005,2005-11-06,8,28.134,KAN,,OAK,W 27-23,,,,,,
80,2005,2005-11-13,9,28.141,KAN,@,BUF,L 3-14,,,,,,
81,2005,2005-11-20,10,28.148,KAN,@,HOU,W 45-17,,,,,,
82,2005,2005-11-27,11,28.155,KAN,,NWE,W 26-16,,,,,,
83,2005,2005-12-04,12,28.162,KAN,,DEN,W 31-27,,,,,,
84,2005,2005-12-11,13,28.169,KAN,@,DAL,L 28-31,,,,,,
85,2005,2005-12-17,14,28.175,KAN,@,NYG,L 17-27,,,,,,
86,2005,2005-12-24,15,28.182,KAN,,SDG,W 20-7,,,,,,
87,2005,2006-01-01,16,28.190,KAN,,CIN,W 37-3,,,,,,
