ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
38,1984,1984-11-25,13,25.098,WAS,,BUF,W 41-14,0,0,,0,0,0,1,49,49.00,0
39,1984,1984-11-29,14,25.102,WAS,@,MIN,W 31-17,1,24,24.00,0,0,0,2,79,39.50,0
40,1984,1984-12-09,15,25.112,WAS,@,DAL,W 30-28,0,0,,0,0,0,7,299,42.71,0
41,1984,1984-12-16,16,25.119,WAS,,STL,W 29-27,0,0,,0,0,0,4,152,38.00,0
42,1985,1985-09-09,1,26.021,WAS,@,DAL,L 14-44,0,0,,0,0,0,5,213,42.60,0
43,1985,1985-09-15,2,26.027,WAS,,HOU,W 16-13,0,0,,0,0,0,5,204,40.80,0
44,1985,1985-09-22,3,26.034,WAS,,PHI,L 6-19,0,0,,0,0,0,6,248,41.33,0
45,1985,1985-09-29,4,26.041,WAS,@,CHI,L 10-45,,,,,,,0,0,,
46,1986,1986-09-07,1,27.019,CIN,@,KAN,L 14-24,0,0,,0,0,0,7,223,31.86,1
47,1986,1986-09-14,2,27.026,CIN,,BUF,W 36-33,0,0,,0,0,0,5,169,33.80,0
48,1986,1986-09-18,3,27.030,CIN,@,CLE,W 30-13,0,0,,0,0,0,1,27,27.00,1
49,1986,1986-09-28,4,27.040,CIN,,CHI,L 7-44,0,0,,0,0,0,7,265,37.86,0
50,1986,1986-10-05,5,27.047,CIN,@,GNB,W 34-28,0,0,,0,0,0,4,157,39.25,0
51,1986,1986-10-13,6,27.055,CIN,,PIT,W 24-22,2,61,30.50,1,1,6,4,124,31.00,0
52,1986,1986-10-19,7,27.061,CIN,,HOU,W 31-28,0,0,,0,0,0,2,70,35.00,0
53,1986,1986-10-26,8,27.068,CIN,@,PIT,L 9-30,1,31,31.00,0,0,0,1,35,35.00,0
54,1986,1986-11-02,9,27.075,CIN,@,DET,W 24-17,0,0,,0,0,0,2,84,42.00,0
55,1986,1986-11-09,10,27.082,CIN,@,HOU,L 28-32,0,0,,0,0,0,3,124,41.33,0
56,1986,1986-11-16,11,27.089,CIN,,SEA,W 34-7,0,0,,0,0,0,3,114,38.00,0
57,1986,1986-11-23,12,27.096,CIN,,MIN,W 24-20,0,0,,0,0,0,2,87,43.50,0
58,1986,1986-11-30,13,27.103,CIN,@,DEN,L 28-34,0,0,,0,0,0,3,116,38.67,0
59,1986,1986-12-07,14,27.110,CIN,@,NWE,W 31-7,0,0,,0,0,0,4,148,37.00,0
60,1986,1986-12-14,15,27.117,CIN,,CLE,L 3-34,0,0,,0,0,0,7,191,27.29,0
61,1986,1986-12-21,16,27.124,CIN,,NYJ,W 52-21,0,0,,0,0,0,1,31,31.00,0
62,1987,1987-09-20,2,28.032,MIA,@,IND,W 23-10,0,0,,0,0,0,4,171,42.75,1
63,1987,1987-10-25,6,28.067,MIA,,BUF,L 31-34,0,0,,0,0,0,3,103,34.33,0
