ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
58,2001,2001-11-04,8,26.082,NWE,@,ATL,W 24-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.5,,,0,0,0
59,2001,2001-11-11,9,26.089,NWE,,BUF,W 21-11,*,0,,,,,0.0%,,,,,,,,,,,,,
60,2001,2001-11-18,10,26.096,NWE,,STL,L 17-24,,0,,,,,0.0%,,,,,,,,,,,,,
61,2001,2001-11-25,11,26.103,NWE,,NOR,W 34-17,,0,,,,,0.0%,,,,,,,,,,,,,
62,2001,2001-12-02,12,26.110,NWE,@,NYJ,W 17-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,1,12,0
63,2001,2001-12-09,13,26.117,NWE,,CLE,W 27-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,,,0,0,0
64,2001,2001-12-16,14,26.124,NWE,@,BUF,W 12-9,*,0,,,,,0.0%,,,,,,,,,,,,,
65,2001,2001-12-22,15,26.130,NWE,,MIA,W 20-13,*,0,,,,,0.0%,,,,,,,,,,,,,
66,2001,2002-01-06,16,26.145,NWE,@,CAR,W 38-6,*,0,,,,,0.0%,,,,,,,,,,,,,
67,2002,2002-09-09,1,27.026,NWE,,PIT,W 30-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,1,0,0
68,2002,2002-09-15,2,27.032,NWE,@,NYJ,W 44-7,*,0,,,,,0.0%,,,,,,,,,,,,,
69,2002,2002-09-22,3,27.039,NWE,,KAN,W 41-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
70,2002,2002-09-29,4,27.046,NWE,@,SDG,L 14-21,*,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6,0.0,,,0,0,0
71,2002,2002-10-06,5,27.053,NWE,@,MIA,L 13-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
72,2002,2002-10-13,6,27.060,NWE,,GNB,L 10-28,*,0,,,,,0.0%,,,,,,,,,,,,,
73,2002,2002-10-27,7,27.074,NWE,,DEN,L 16-24,,0,,,,,0.0%,,,,,,,,,,,,,
74,2002,2002-11-03,8,27.081,NWE,@,BUF,W 38-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
75,2002,2002-11-10,9,27.088,NWE,@,CHI,W 33-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
76,2002,2002-11-17,10,27.095,NWE,@,OAK,L 20-27,*,0,,,,,0.0%,,,,,,,,,,,,,
77,2002,2002-11-24,11,27.102,NWE,,MIN,W 24-17,*,0,,,,,0.0%,,,,,,,,,,,,,
78,2002,2002-11-28,12,27.106,NWE,@,DET,W 20-12,*,0,,,,,0.0%,,,,,,,,,,,,,
79,2002,2002-12-08,13,27.116,NWE,,BUF,W 27-17,*,0,,,,,0.0%,,,,,,,,,,,,,
80,2002,2002-12-16,14,27.124,NWE,@,TEN,L 7-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,,,0,0,0
81,2002,2002-12-22,15,27.130,NWE,,NYJ,L 17-30,*,0,,,,,0.0%,,,,,,,,,,,,,
82,2002,2002-12-29,16,27.137,NWE,,MIA,W 27-24,*,0,,,,,0.0%,,,,,,,,,,,,,
83,2003,2003-09-07,1,28.024,NWE,@,BUF,L 0-31,*,0,,,,,0.0%,,,,,,,,,,,,,
84,2003,2003-09-14,2,28.031,NWE,@,PHI,W 31-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
85,2003,2003-09-21,3,28.038,NWE,,NYJ,W 23-16,*,0,,,,,0.0%,,,,,,,,,,,,,
86,2003,2003-10-19,7,28.066,NWE,@,MIA,W 19-13,,,,,,,0.0%,,,,,,,,,,,,,
87,2003,2003-10-26,8,28.073,NWE,,CLE,W 9-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,3.0,,,0,0,0
88,2003,2003-11-03,9,28.081,NWE,@,DEN,W 30-26,*,0,,,,,0.0%,,,,,,,,,,,,,
89,2003,2003-11-16,10,28.094,NWE,,DAL,W 12-0,*,0,0,0,,0,0.0%,,1,14,14.00,0,0,0,0.0,,,0,0,0
90,2003,2003-11-23,11,28.101,NWE,@,HOU,W 23-20,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,1,4,0
91,2003,2003-11-30,12,28.108,NWE,@,IND,W 38-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.5,,,0,0,0
92,2003,2003-12-07,13,28.115,NWE,,MIA,W 12-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,2.0,,,0,0,0
93,2003,2003-12-14,14,28.122,NWE,,JAX,W 27-13,*,0,,,,,0.0%,,,,,,,,,,,,,
94,2003,2003-12-20,15,28.128,NWE,@,NYJ,W 21-16,,0,0,0,,0,0.0%,,1,8,8.00,0,0,0,2.0,,,0,0,0
95,2003,2003-12-27,16,28.135,NWE,,BUF,W 31-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,1,14,0
96,2004,2004-09-09,1,29.026,NWE,,IND,W 27-24,*,0,,,,,0.0%,,,,,,,,,,,,,
97,2004,2004-09-19,2,29.036,NWE,@,ARI,W 23-12,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
98,2004,2004-10-03,3,29.050,NWE,@,BUF,W 31-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
99,2004,2004-10-10,4,29.057,NWE,,MIA,W 24-10,*,0,,,,,0.0%,,,,,,,,,,,,,
100,2004,2004-10-17,5,29.064,NWE,,SEA,W 30-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
101,2004,2004-10-24,6,29.071,NWE,,NYJ,W 13-7,*,0,,,,,0.0%,,,,,,,,,,,,,
102,2004,2004-10-31,7,29.078,NWE,@,PIT,L 20-34,*,0,,,,,0.0%,,,,,,,,,,,,,
103,2004,2004-11-07,8,29.085,NWE,@,STL,W 40-22,*,1,1,2,2.00,1,100.0%,2.00,0,0,,0,1,6,0.0,,,0,0,0
104,2004,2004-11-14,9,29.092,NWE,,BUF,W 29-6,*,0,,,,,0.0%,,,,,,,,,,,,,
105,2004,2004-11-22,10,29.100,NWE,@,KAN,W 27-19,*,0,,,,,0.0%,,,,,,,,,,,,,
106,2004,2004-11-28,11,29.106,NWE,,BAL,W 24-3,*,0,,,,,0.0%,,,,,,,,,,,,,
107,2004,2004-12-05,12,29.113,NWE,@,CLE,W 42-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
108,2004,2004-12-12,13,29.120,NWE,,CIN,W 35-28,*,0,,,,,0.0%,,,,,,,,,,,,,
109,2004,2004-12-20,14,29.128,NWE,@,MIA,L 28-29,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.5,,,0,0,0
110,2004,2004-12-26,15,29.134,NWE,@,NYJ,W 23-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
111,2004,2005-01-02,16,29.141,NWE,,SFO,W 21-7,*,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6,0.0,,,0,0,0
112,2005,2005-09-08,1,30.025,NWE,,OAK,W 30-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
113,2005,2005-09-18,2,30.035,NWE,@,CAR,L 17-27,*,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,,,1,24,1
114,2005,2005-09-25,3,30.042,NWE,@,PIT,W 23-20,*,0,,,,,0.0%,,,,,,,,,,,,,
115,2005,2005-10-02,4,30.049,NWE,,SDG,L 17-41,*,0,,,,,0.0%,,,,,,,,,,,,,
116,2005,2005-10-09,5,30.056,NWE,@,ATL,W 31-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,,,0,0,0
117,2005,2005-10-16,6,30.063,NWE,@,DEN,L 20-28,*,0,,,,,0.0%,,,,,,,,,,,,,
118,2005,2005-10-30,7,30.077,NWE,,BUF,W 21-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
119,2005,2005-11-07,8,30.085,NWE,,IND,L 21-40,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,1,-1,0
120,2005,2005-11-13,9,30.091,NWE,@,MIA,W 23-16,*,0,,,,,0.0%,,,,,,,,,,,,,
121,2005,2005-11-20,10,30.098,NWE,,NOR,W 24-17,*,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6,0.0,,,0,0,0
122,2005,2005-11-27,11,30.105,NWE,@,KAN,L 16-26,*,0,,,,,0.0%,,,,,,,,,,,,,
123,2005,2005-12-04,12,30.112,NWE,,NYJ,W 16-3,*,0,,,,,0.0%,,,,,,,,,,,,,
124,2005,2005-12-11,13,30.119,NWE,@,BUF,W 35-7,*,0,,,,,0.0%,,,,,,,,,,,,,
125,2005,2005-12-17,14,30.125,NWE,,TAM,W 28-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
126,2005,2005-12-26,15,30.134,NWE,@,NYJ,W 31-21,*,2,2,3,1.50,2,100.0%,1.50,0,0,,0,2,12,1.0,,,0,0,0
127,2005,2006-01-01,16,30.140,NWE,,MIA,L 26-28,*,0,,,,,0.0%,,,,,,,,,,,,,
128,2006,2006-09-10,1,31.027,NWE,,BUF,W 19-17,*,0,,,,,0.0%,,,,,,,,,,,,,
129,2006,2006-09-17,2,31.034,NWE,@,NYJ,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,,,0,0,0
130,2006,2006-09-24,3,31.041,NWE,,DEN,L 7-17,*,0,,,,,0.0%,,,,,,,,,,,,,
131,2006,2006-10-01,4,31.048,NWE,@,CIN,W 38-13,*,0,,,,,0.0%,,,,,,,,,,,,,
132,2006,2006-10-08,5,31.055,NWE,,MIA,W 20-10,*,0,,,,,0.0%,,,,,,,,,,,,,
133,2006,2006-10-22,6,31.069,NWE,@,BUF,W 28-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
134,2006,2006-10-30,7,31.077,NWE,@,MIN,W 31-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,1,2,0
135,2006,2006-11-05,8,31.083,NWE,,IND,L 20-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,,,0,0,0
136,2006,2006-11-12,9,31.090,NWE,,NYJ,L 14-17,*,0,,,,,0.0%,,,,,,,,,,,,,
137,2006,2006-11-19,10,31.097,NWE,@,GNB,W 35-0,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,1.5,,,0,0,0
138,2006,2006-11-26,11,31.104,NWE,,CHI,W 17-13,*,0,,,,,0.0%,,,,,,,,,,,,,
139,2006,2006-12-03,12,31.111,NWE,,DET,W 28-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,2,-2,0
140,2006,2006-12-10,13,31.118,NWE,@,MIA,L 0-21,*,0,,,,,0.0%,,,,,,,,,,,,,
141,2006,2006-12-17,14,31.125,NWE,,HOU,W 40-7,*,0,,,,,0.0%,,,,,,,,,,,,,
142,2006,2006-12-24,15,31.132,NWE,@,JAX,W 24-21,*,0,,,,,0.0%,,,,,,,,,,,,,
143,2006,2006-12-31,16,31.139,NWE,@,TEN,W 40-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
144,2007,2007-09-09,1,32.026,NWE,@,NYJ,W 38-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,2.5,,,0,0,0
145,2007,2007-09-16,2,32.033,NWE,,SDG,W 38-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
146,2007,2007-09-23,3,32.040,NWE,,BUF,W 38-7,*,0,,,,,0.0%,,,,,,,,,,,,,
147,2007,2007-10-01,4,32.048,NWE,@,CIN,W 34-13,*,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6,0.0,,,0,0,0
148,2007,2007-10-07,5,32.054,NWE,,CLE,W 34-17,*,0,,,,,0.0%,,,,,,,,,,,,,
149,2007,2007-10-14,6,32.061,NWE,@,DAL,W 48-27,*,0,,,,,0.0%,,,,,,,,,,,,,
150,2007,2007-10-21,7,32.068,NWE,@,MIA,W 49-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
151,2007,2007-10-28,8,32.075,NWE,,WAS,W 52-7,*,1,1,2,2.00,1,100.0%,2.00,1,3,3.00,0,1,6,3.0,,,0,0,0
152,2007,2007-11-04,9,32.082,NWE,@,IND,W 24-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
153,2007,2007-11-18,10,32.096,NWE,@,BUF,W 56-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
154,2007,2007-11-25,11,32.103,NWE,,PHI,W 31-28,*,0,,,,,0.0%,,,,,,,,,,,,,
155,2007,2007-12-03,12,32.111,NWE,@,BAL,W 27-24,*,1,,,,,0.0%,,,,,,,,,,,,,
156,2007,2007-12-09,13,32.117,NWE,,PIT,W 34-13,*,0,,,,,0.0%,,,,,,,,,,,,,
157,2007,2007-12-16,14,32.124,NWE,,NYJ,W 20-10,*,0,,,,,0.0%,,,,,,,,,,,,,
158,2007,2007-12-23,15,32.131,NWE,,MIA,W 28-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,3.0,,,0,0,0
159,2007,2007-12-29,16,32.137,NWE,@,NYG,W 38-35,*,0,,,,,0.0%,,,,,,,,,,,,,
160,2008,2008-09-07,1,33.024,NWE,,KAN,W 17-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,2.0,4,2,0,0,0
161,2008,2008-09-14,2,33.031,NWE,@,NYJ,W 19-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
162,2008,2008-09-21,3,33.038,NWE,,MIA,L 13-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,3,0,0,0
163,2008,2008-10-05,4,33.052,NWE,@,SFO,W 30-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
164,2008,2008-10-12,5,33.059,NWE,@,SDG,L 10-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
165,2008,2008-10-20,6,33.067,NWE,,DEN,W 41-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
166,2008,2008-10-26,7,33.073,NWE,,STL,W 23-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,3,0,0,0
167,2008,2008-11-02,8,33.080,NWE,@,IND,L 15-18,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,2,0,0,0
168,2008,2008-11-09,9,33.087,NWE,,BUF,W 20-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,3,0,0,0
169,2008,2008-11-13,10,33.091,NWE,,NYJ,L 31-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,2,0,0,0
170,2008,2008-11-23,11,33.101,NWE,@,MIA,W 48-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,3,1,0,0,0
171,2008,2008-11-30,12,33.108,NWE,,PIT,L 10-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,1,5,0
172,2008,2008-12-07,13,33.115,NWE,@,SEA,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,6,1,0,0,0
173,2008,2008-12-14,14,33.122,NWE,@,OAK,W 49-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,4,1,0,0,0
174,2008,2008-12-21,15,33.129,NWE,,ARI,W 47-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,1,0,0,0
175,2008,2008-12-28,16,33.136,NWE,@,BUF,W 13-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,1,0,0,0
176,2009,2009-09-13,1,34.030,KAN,@,BAL,L 24-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,7,0,0,0,0
177,2009,2009-09-20,2,34.037,KAN,,OAK,L 10-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,0,0,0,0
178,2009,2009-09-27,3,34.044,KAN,@,PHI,L 14-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,0,0,0,0
179,2009,2009-10-04,4,34.051,KAN,,NYG,L 16-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,1,0,0,0
180,2009,2009-10-11,5,34.058,KAN,,DAL,L 20-26,*,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6,0.0,1,1,0,0,0
181,2009,2009-10-18,6,34.065,KAN,@,WAS,W 14-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,4,1,0,0,0
182,2009,2009-10-25,7,34.072,KAN,,SDG,L 7-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
183,2009,2009-11-08,8,34.086,KAN,@,JAX,L 21-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,0,0,0,0
184,2009,2009-11-15,9,34.093,KAN,@,OAK,W 16-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
185,2009,2009-12-06,12,34.114,KAN,,DEN,L 13-44,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,2,0,0,0
186,2009,2009-12-13,13,34.121,KAN,,BUF,L 10-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,3,1,0,0,0
187,2009,2009-12-20,14,34.128,KAN,,CLE,L 34-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,0,0,0,0
188,2009,2009-12-27,15,34.135,KAN,@,CIN,L 10-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,2,0,0,0
189,2009,2010-01-03,16,34.142,KAN,@,DEN,W 44-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,1,0,0,0
190,2010,2010-09-13,1,35.030,KAN,,SDG,W 21-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,1,0,0,0
191,2010,2010-09-19,2,35.036,KAN,@,CLE,W 16-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0,0,0
192,2010,2010-09-26,3,35.043,KAN,,SFO,W 31-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
193,2010,2010-10-10,4,35.057,KAN,@,IND,L 9-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,2,0,0,0
194,2010,2010-10-17,5,35.064,KAN,@,HOU,L 31-35,*,1,1,2,2.00,1,100.0%,2.00,0,0,,0,1,6,0.0,1,0,0,0,0
195,2010,2010-10-24,6,35.071,KAN,,JAX,W 42-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,1,0,0,0
196,2010,2010-10-31,7,35.078,KAN,,BUF,W 13-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,8,0,0,0
197,2010,2010-11-07,8,35.085,KAN,@,OAK,L 20-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0,0,0
198,2010,2010-11-14,9,35.092,KAN,@,DEN,L 29-49,*,,,,,,0.0%,,,,,,,,,,,,,
199,2010,2010-11-21,10,35.099,KAN,,ARI,W 31-13,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,2,0,0,0,0
200,2010,2010-11-28,11,35.106,KAN,@,SEA,W 42-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0,0,0
201,2010,2010-12-05,12,35.113,KAN,,DEN,W 10-6,*,,,,,,0.0%,,,,,,,,,,,,,
202,2010,2010-12-12,13,35.120,KAN,@,SDG,L 0-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,1,0,0,0
203,2010,2010-12-19,14,35.127,KAN,@,STL,W 27-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,0,0,0,0
