ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists
166,2010,2010-09-12,1,35.086,IND,@,HOU,L 24-34,*,,,,,,,,,,,,,,
167,2010,2010-09-19,2,35.093,IND,,NYG,W 38-14,*,,,,,,,,,,,,,,
168,2010,2010-09-26,3,35.100,IND,@,DEN,W 27-13,*,,,,,,,,,,,,,,
169,2010,2010-10-03,4,35.107,IND,@,JAX,L 28-31,*,,,,,,,,,,,,,,
170,2010,2010-10-10,5,35.114,IND,,KAN,W 19-9,*,0,0,,0,0,0,,0,0,,,0.0,0,0
171,2010,2010-10-17,6,35.121,IND,@,WAS,W 27-24,*,,,,,,,,,,,,,,
172,2010,2010-11-01,7,35.136,IND,,HOU,W 30-17,*,,,,,,,,,,,,,,
173,2010,2010-11-07,8,35.142,IND,@,PHI,L 24-26,*,,,,,,,,,,,,,,
174,2010,2010-11-14,9,35.149,IND,,CIN,W 23-17,*,,,,,,,,,,,,,,
175,2010,2010-11-21,10,35.156,IND,@,NWE,L 28-31,*,,,,,,,,,,,,,,
176,2010,2010-11-28,11,35.163,IND,,SDG,L 14-36,*,,,,,,,,,,,,,,
177,2010,2010-12-05,12,35.170,IND,,DAL,L 35-38,*,,,,,,,,,,,,,,
178,2010,2010-12-09,13,35.174,IND,@,TEN,W 30-28,*,,,,,,,,,,,,,,
179,2010,2010-12-19,14,35.184,IND,,JAX,W 34-24,*,,,,,,,,,,,,,,
180,2010,2010-12-26,15,35.191,IND,@,OAK,W 31-26,*,,,,,,,,,,,,,,
181,2010,2011-01-02,16,35.198,IND,,TEN,W 23-20,*,,,,,,,,,,,,,,
182,2011,2011-09-11,1,36.085,IND,@,HOU,L 7-34,*,0,0,,0,0,0,,0,0,,,0.0,0,0
183,2011,2011-09-18,2,36.092,IND,,CLE,L 19-27,*,,,,,,,,,,,,,,
184,2011,2011-09-25,3,36.099,IND,,PIT,L 20-23,*,,,,,,,,,,,,,,
185,2011,2011-10-03,4,36.107,IND,@,TAM,L 17-24,*,,,,,,,,,,,,,,
186,2011,2011-10-09,5,36.113,IND,,KAN,L 24-28,*,,,,,,,,,,,,,,
187,2011,2011-10-16,6,36.120,IND,@,CIN,L 17-27,*,,,,,,,,,,,,,,
188,2011,2011-10-23,7,36.127,IND,@,NOR,L 7-62,*,,,,,,,,,,,,,,
189,2011,2011-10-30,8,36.134,IND,@,TEN,L 10-27,*,,,,,,,,,,,,,,
190,2011,2011-11-06,9,36.141,IND,,ATL,L 7-31,*,,,,,,,,,,,,,,
191,2011,2011-11-13,10,36.148,IND,,JAX,L 3-17,*,0,0,,0,0,0,,0,0,,,0.0,1,0
192,2011,2011-11-27,11,36.162,IND,,CAR,L 19-27,*,,,,,,,,,,,,,,
193,2011,2011-12-04,12,36.169,IND,@,NWE,L 24-31,*,,,,,,,,,,,,,,
194,2011,2011-12-11,13,36.176,IND,@,BAL,L 10-24,*,,,,,,,,,,,,,,
195,2011,2011-12-18,14,36.183,IND,,TEN,W 27-13,*,,,,,,,,,,,,,,
196,2011,2011-12-22,15,36.187,IND,,HOU,W 19-16,*,,,,,,,,,,,,,,
197,2011,2012-01-01,16,36.197,IND,@,JAX,L 13-19,*,,,,,,,,,,,,,,
198,2012,2012-09-09,1,37.083,GNB,,SFO,L 22-30,*,,,,,,,,,,,,,,
199,2012,2012-09-13,2,37.087,GNB,,CHI,W 23-10,*,,,,,,,,,,,,,,
200,2012,2012-09-24,3,37.098,GNB,@,SEA,L 12-14,*,0,0,,0,0,0,,0,0,,,0.0,0,0
201,2012,2012-09-30,4,37.104,GNB,,NOR,W 28-27,*,,,,,,,,,,,,,,
202,2012,2012-10-07,5,37.111,GNB,@,IND,L 27-30,*,,,,,,,,,,,,,,
203,2012,2012-10-14,6,37.118,GNB,@,HOU,W 42-24,*,,,,,,,,,,,,,,
204,2012,2012-10-21,7,37.125,GNB,@,STL,W 30-20,*,,,,,,,,,,,,,,
205,2012,2012-10-28,8,37.132,GNB,,JAX,W 24-15,*,,,,,,,,,,,,,,
206,2012,2012-11-04,9,37.139,GNB,,ARI,W 31-17,*,,,,,,,,,,,,,,
207,2012,2012-11-18,10,37.153,GNB,@,DET,W 24-20,*,0,0,,0,0,0,,0,0,,,0.0,0,0
208,2012,2012-11-25,11,37.160,GNB,@,NYG,L 10-38,*,,,,,,,,,,,,,,
209,2012,2012-12-02,12,37.167,GNB,,MIN,W 23-14,*,,,,,,,,,,,,,,
210,2012,2012-12-09,13,37.174,GNB,,DET,W 27-20,*,,,,,,,,,,,,,,
211,2012,2012-12-16,14,37.181,GNB,@,CHI,W 21-13,*,,,,,,,,,,,,,,
