ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
21,1993,1993-11-14,9,24.129,SFO,@,TAM,W 45-21,,,,,,0.0%,,,,,
22,1993,1993-11-22,10,24.137,SFO,,NOR,W 42-7,,,,,,0.0%,,,,,
23,1993,1993-11-28,11,24.143,SFO,@,RAM,W 35-10,,,,,,0.0%,,,,,
24,1993,1993-12-05,12,24.150,SFO,,CIN,W 21-8,,,,,,0.0%,,,,,
25,1993,1993-12-11,13,24.156,SFO,@,ATL,L 24-27,,,,,,0.0%,,,,,
26,1993,1993-12-19,14,24.164,SFO,@,DET,W 55-17,,,,,,0.0%,,,,,
27,1993,1993-12-25,15,24.170,SFO,,HOU,L 7-10,,,,,,0.0%,,,,,
28,1993,1994-01-03,16,24.179,SFO,,PHI,L 34-37,,,,,,0.0%,,,,,
29,1994,1994-09-05,1,25.059,SFO,,RAI,W 44-14,,,,,,0.0%,,,,,
30,1994,1994-09-11,2,25.065,SFO,@,KAN,L 17-24,,,,,,0.0%,,,,,
31,1994,1994-09-18,3,25.072,SFO,@,RAM,W 34-19,,,,,,0.0%,,,,,
32,1994,1994-09-25,4,25.079,SFO,,NOR,W 24-13,,,,,,0.0%,,,,,
33,1994,1994-10-02,5,25.086,SFO,,PHI,L 8-40,,,,,,0.0%,,,,,
34,1994,1994-10-09,6,25.093,SFO,@,DET,W 27-21,,,,,,0.0%,,,,,
35,1994,1994-10-16,7,25.100,SFO,@,ATL,W 42-3,0,0,0,,0,0.0%,,0.0,2,0,0
36,1994,1994-10-23,8,25.107,SFO,,TAM,W 41-16,,,,,,0.0%,,,,,
37,1994,1994-11-06,9,25.121,SFO,@,WAS,W 37-22,,,,,,0.0%,,,,,
38,1994,1994-11-13,10,25.128,SFO,,DAL,W 21-14,,,,,,0.0%,,,,,
39,1994,1994-11-20,11,25.135,SFO,,RAM,W 31-27,,,,,,0.0%,,,,,
40,1994,1994-11-28,12,25.143,SFO,@,NOR,W 35-14,,,,,,0.0%,,,,,
41,1994,1994-12-04,13,25.149,SFO,,ATL,W 50-14,,,,,,0.0%,,,,,
42,1994,1994-12-11,14,25.156,SFO,@,SDG,W 38-15,,,,,,0.0%,,,,,
43,1994,1994-12-17,15,25.162,SFO,,DEN,W 42-19,,,,,,0.0%,,,,,
44,1994,1994-12-26,16,25.171,SFO,@,MIN,L 14-21,,,,,,0.0%,,,,,
45,1995,1995-09-03,1,26.057,CLE,@,NWE,L 14-17,,,,,,0.0%,,,,,
46,1995,1995-09-10,2,26.064,CLE,,TAM,W 22-6,,,,,,0.0%,,,,,
47,1995,1995-09-24,4,26.078,CLE,,KAN,W 35-17,,,,,,0.0%,,,,,
48,1995,1995-10-02,5,26.086,CLE,,BUF,L 19-22,,,,,,0.0%,,,,,
49,1995,1995-10-08,6,26.092,CLE,@,DET,L 20-38,,,,,,0.0%,,,,,
50,1995,1995-10-22,7,26.106,CLE,,JAX,L 15-23,,,,,,0.0%,,,,,
51,1995,1995-10-29,8,26.113,CLE,@,CIN,W 29-26,0,0,0,,0,0.0%,,0.0,1,5,0
52,1995,1995-11-05,9,26.120,CLE,,HOU,L 10-37,,,,,,0.0%,,,,,
53,1995,1995-11-13,10,26.128,CLE,@,PIT,L 3-20,,,,,,0.0%,,,,,
54,1995,1995-11-19,11,26.134,CLE,,GNB,L 20-31,,,,,,0.0%,,,,,
55,1995,1995-11-26,12,26.141,CLE,,PIT,L 17-20,,,,,,0.0%,,,,,
56,1995,1995-12-03,13,26.148,CLE,@,SDG,L 13-31,,,,,,0.0%,,,,,
57,1995,1995-12-09,14,26.154,CLE,@,MIN,L 11-27,0,0,0,,0,0.0%,,1.0,1,36,0
58,1995,1995-12-17,15,26.162,CLE,,CIN,W 26-10,,,,,,0.0%,,,,,
59,1995,1995-12-24,16,26.169,CLE,@,JAX,L 21-24,,,,,,0.0%,,,,,
60,1996,1996-09-01,1,27.055,JAX,,PIT,W 24-9,,,,,,0.0%,,,,,
61,1996,1996-09-08,2,27.062,JAX,,HOU,L 27-34,,,,,,0.0%,,,,,
62,1996,1996-09-15,3,27.069,JAX,@,OAK,L 3-17,,,,,,0.0%,,,,,
63,1996,1996-09-22,4,27.076,JAX,@,NWE,L 25-28,,,,,,0.0%,,,,,
64,1996,1996-09-29,5,27.083,JAX,,CAR,W 24-14,,,,,,0.0%,,,,,
65,1996,1996-10-06,6,27.090,JAX,@,NOR,L 13-17,,,,,,0.0%,,,,,
66,1996,1996-10-13,7,27.097,JAX,,NYJ,W 21-17,,,,,,0.0%,,,,,
67,1996,1996-10-20,8,27.104,JAX,@,STL,L 14-17,0,0,0,,0,0.0%,,0.0,1,20,0
68,1996,1996-10-27,9,27.111,JAX,@,CIN,L 21-28,,,,,,0.0%,,,,,
69,1996,1996-11-10,10,27.125,MIA,,IND,W 37-13,,,,,,0.0%,,,,,
70,1996,1996-11-17,11,27.132,JAX,@,PIT,L 3-28,,,,,,0.0%,,,,,
71,1996,1996-11-24,12,27.139,NWE,,IND,W 27-13,,,,,,0.0%,,,,,
72,1996,1996-12-01,13,27.146,JAX,,CIN,W 30-27,,,,,,0.0%,,,,,
73,1996,1996-12-08,14,27.153,JAX,@,HOU,W 23-17,,,,,,0.0%,,,,,
74,1996,1996-12-15,15,27.160,JAX,,SEA,W 20-13,,,,,,0.0%,,,,,
75,1996,1996-12-22,16,27.167,JAX,,ATL,W 19-17,,,,,,0.0%,,,,,
76,1997,1997-08-31,1,28.054,JAX,@,BAL,W 28-27,,0,0,,0,0.0%,,,,,
77,1997,1997-09-07,2,28.061,JAX,,NYG,W 40-13,0,0,0,,0,0.0%,,,,,
78,1997,1997-09-22,3,28.076,JAX,,PIT,W 30-21,1,1,22,22.00,0,100.0%,22.00,0.0,0,0,0
79,1997,1997-09-28,4,28.082,JAX,@,WAS,L 12-24,0,0,0,,0,0.0%,,,,,
80,1997,1997-10-05,5,28.089,JAX,,CIN,W 21-13,,0,0,,0,0.0%,,,,,
81,1997,1997-10-12,6,28.096,JAX,,PHI,W 38-21,0,0,0,,0,0.0%,,,,,
82,1997,1997-10-19,7,28.103,JAX,@,DAL,L 22-26,,0,0,,0,0.0%,,,,,
83,1997,1997-10-26,8,28.110,JAX,@,PIT,L 17-23,,0,0,,0,0.0%,,,,,
84,1997,1997-11-02,9,28.117,JAX,@,TEN,W 30-24,0,0,0,,0,0.0%,,,,,
85,1997,1997-11-09,10,28.124,JAX,,KAN,W 24-10,0,0,0,,0,0.0%,,,,,
86,1997,1997-11-16,11,28.131,JAX,,TEN,W 17-9,,0,0,,0,0.0%,,,,,
87,1997,1997-11-23,12,28.138,JAX,@,CIN,L 26-31,,0,0,,0,0.0%,,,,,
88,1997,1997-11-30,13,28.145,JAX,,BAL,W 29-27,0,0,0,,0,0.0%,,,,,
89,1997,1997-12-07,14,28.152,JAX,,NWE,L 20-26,0,0,0,,0,0.0%,,,,,
90,1997,1997-12-14,15,28.159,JAX,@,BUF,W 20-14,,0,0,,0,0.0%,,,,,
91,1997,1997-12-21,16,28.166,JAX,@,OAK,W 20-9,0,0,0,,0,0.0%,,,,,
