ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
46,2012,2012-09-30,4,25.288,DET,,MIN,L 13-20,,,,,,,,,,,0.0%,,,,,,,
47,2012,2012-10-28,7,25.316,DET,,SEA,W 28-24,,1,1,1.00,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0.0,0,0
48,2012,2012-11-04,8,25.323,DET,@,JAX,W 31-14,,3,8,2.67,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,0,0
49,2012,2012-11-11,9,25.330,DET,@,MIN,L 24-34,,,,,,,,,,,0.0%,,,,,,,
50,2012,2012-11-18,10,25.337,DET,,GNB,L 20-24,,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
51,2012,2012-11-22,11,25.341,DET,,HOU,L 31-34,,3,6,2.00,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
52,2012,2012-12-02,12,25.351,DET,,IND,L 33-35,,0,0,,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
53,2012,2012-12-09,13,25.358,DET,@,GNB,L 20-27,,,,,,,,,,,0.0%,,,,,,,
54,2012,2012-12-16,14,25.365,DET,@,ARI,L 10-38,,0,0,,0,2,1,13,13.00,0,50.0%,6.50,,0,0,0.0,0,0
55,2012,2012-12-22,15,26.005,DET,,ATL,L 18-31,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,,0,0,0.0,0,0
