ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
28,1978,1978-09-03,1,24.075,NYJ,,MIA,W 33-20,0,0,,0,0,0,0.0,1,29,0
29,1978,1978-09-10,2,24.082,NYJ,@,BUF,W 21-20,,,,,,,,,,
30,1978,1978-09-17,3,24.089,NYJ,,SEA,L 17-24,,,,,,,,,,
31,1978,1978-09-24,4,24.096,NYJ,@,WAS,L 3-23,,,,,,,,,,
32,1978,1978-10-08,6,24.110,NYJ,,BUF,W 45-14,,,,,,,,,,
33,1978,1978-10-15,7,24.117,NYJ,@,BAL,W 33-10,0,0,,0,0,0,0.0,1,5,0
34,1978,1978-10-22,8,24.124,NYJ,,STL,W 23-10,,,,,,,,,,
35,1978,1978-10-29,9,24.131,NYJ,@,NWE,L 21-55,,,,,,,,,,
36,1979,1979-09-02,1,25.074,NYJ,,CLE,L 22-25,,,,,,,,,,
37,1979,1979-09-09,2,25.081,NYJ,@,NWE,L 3-56,,,,,,,,,,
38,1979,1979-09-16,3,25.088,NYJ,,DET,W 31-10,,,,,,,,,,
39,1979,1979-09-23,4,25.095,NYJ,@,BUF,L 31-46,,,,,,,,,,
40,1979,1979-09-30,5,25.102,NYJ,,MIA,W 33-27,,,,,,,,,,
41,1979,1979-10-07,6,25.109,NYJ,@,BAL,L 8-10,,,,,,,,,,
42,1979,1979-10-15,7,25.117,NYJ,,MIN,W 14-7,,,,,,,,,,
43,1979,1979-10-21,8,25.123,NYJ,,OAK,W 28-19,0,0,,0,0,0,0.0,1,27,0
44,1979,1979-10-28,9,25.130,NYJ,@,HOU,L 24-27,,,,,,,,,,
45,1979,1979-11-04,10,25.137,NYJ,@,GNB,W 27-22,0,0,,0,0,0,0.0,1,0,0
46,1979,1979-11-11,11,25.144,NYJ,,BUF,L 12-14,,,,,,,,,,
47,1979,1979-11-18,12,25.151,NYJ,@,CHI,L 13-23,,,,,,,,,,
48,1979,1979-11-26,13,25.159,NYJ,@,SEA,L 7-30,,,,,,,,,,
49,1979,1979-12-02,14,25.165,NYJ,,BAL,W 30-17,,,,,,,,,,
50,1979,1979-12-09,15,25.172,NYJ,,NWE,W 27-26,,,,,,,,,,
51,1979,1979-12-15,16,25.178,NYJ,@,MIA,W 27-24,,,,,,,,,,
52,1980,1980-09-07,1,26.079,NYJ,,BAL,L 14-17,,,,,,,,,,
53,1980,1980-09-14,2,26.086,NYJ,@,BUF,L 10-20,,,,,,,,,,
54,1980,1980-09-28,4,26.100,NYJ,@,BAL,L 21-35,,,,,,,,,,
55,1980,1980-10-05,5,26.107,NYJ,,NWE,L 11-21,,,,,,,,,,
56,1980,1980-10-12,6,26.114,NYJ,@,ATL,W 14-7,,,,,,,,,,
57,1980,1980-10-19,7,26.121,NYJ,,SEA,L 17-27,,,,,,,,,,
58,1980,1980-10-27,8,26.129,NYJ,,MIA,W 17-14,,,,,,,,,,
59,1980,1980-11-02,9,26.135,NYJ,@,NWE,L 21-34,,,,,,,,,,
60,1980,1980-11-09,10,26.142,NYJ,,BUF,L 24-31,,,,,,,,,,
61,1980,1980-11-16,11,26.149,NYJ,@,DEN,L 24-31,,,,,,,,,,
62,1980,1980-11-23,12,26.156,NYJ,,HOU,W 31-28,,,,,,,,,,
63,1980,1980-11-30,13,26.163,NYJ,@,RAM,L 13-38,0,0,,0,0,0,0.0,1,15,0
64,1980,1980-12-07,14,26.170,NYJ,@,CLE,L 14-17,,,,,,,,,,
65,1980,1980-12-14,15,26.177,NYJ,,NOR,L 20-21,,,,,,,,,,
66,1981,1981-09-13,2,27.085,NYJ,,CIN,L 30-31,,,,,,,,,,
67,1981,1981-09-20,3,27.092,NYJ,@,PIT,L 10-38,,,,,,,,,,
68,1981,1981-09-27,4,27.099,NYJ,,HOU,W 33-17,,,,,,,,,,
69,1981,1981-10-04,5,27.106,NYJ,@,MIA,T 28-28,,,,,,,,,,
70,1981,1981-10-11,6,27.113,NYJ,,NWE,W 28-24,,,,,,,,,,
71,1981,1981-10-18,7,27.120,NYJ,,BUF,W 33-14,0,0,,0,0,0,0.0,1,22,0
72,1981,1981-10-25,8,27.127,NYJ,,SEA,L 3-19,,,,,,,,,,
73,1981,1981-11-01,9,27.134,NYJ,@,NYG,W 26-7,,,,,,,,,,
74,1981,1981-11-08,10,27.141,NYJ,@,BAL,W 41-14,,,,,,,,,,
75,1981,1981-11-15,11,27.148,NYJ,@,NWE,W 17-6,0,0,,0,0,0,0.0,1,12,0
76,1981,1981-11-22,12,27.155,NYJ,,MIA,W 16-15,,,,,,,,,,
77,1981,1981-11-29,13,27.162,NYJ,,BAL,W 25-0,,,,,,,,,,
78,1981,1981-12-06,14,27.169,NYJ,@,SEA,L 23-27,,,,,,,,,,
79,1981,1981-12-12,15,27.175,NYJ,@,CLE,W 14-13,,,,,,,,,,
80,1981,1981-12-20,16,27.183,NYJ,,GNB,W 28-3,,,,,,,,,,
81,1982,1982-09-12,1,28.084,NYJ,,MIA,L 28-45,,,,,,,,,,
82,1982,1982-11-21,3,28.154,NYJ,,BAL,W 37-0,,,,,,,,,,
83,1982,1982-11-28,4,28.161,NYJ,,GNB,W 15-13,,,,,,,,,,
84,1982,1982-12-06,5,28.169,NYJ,@,DET,W 28-13,,,,,,,,,,
85,1982,1982-12-12,6,28.175,NYJ,,TAM,W 32-17,0,0,,0,0,0,0.0,1,9,0
86,1982,1982-12-18,7,28.181,NYJ,@,MIA,L 19-20,,,,,,,,,,
87,1982,1982-12-26,8,28.189,NYJ,@,MIN,W 42-14,,,,,,,,,,
88,1983,1983-09-04,1,29.076,NYJ,@,SDG,W 41-29,,,,,,,,,,
89,1983,1983-09-11,2,29.083,NYJ,,SEA,L 10-17,,,,,,,,,,
90,1983,1983-09-25,4,29.097,NYJ,,RAM,W 27-24,,,,,,,,,,
91,1983,1983-10-03,5,29.105,NYJ,@,BUF,W 34-10,0,0,,0,0,0,0.0,1,17,0
92,1983,1983-10-09,6,29.111,NYJ,@,CLE,L 7-10,0,0,,0,0,0,1.5,0,0,0
93,1983,1983-10-16,7,29.118,NYJ,,MIA,L 14-32,,,,,,,,,,
94,1983,1983-10-23,8,29.125,NYJ,,ATL,L 21-27,,,,,,,,,,
95,1983,1983-10-30,9,29.132,NYJ,@,SFO,W 27-13,,,,,,,,,,
96,1983,1983-11-06,10,29.139,NYJ,,BAL,L 14-17,,,,,,,,,,
97,1984,1984-09-02,1,30.074,NYJ,@,IND,W 23-14,,,,,,,,,,
98,1984,1984-09-06,2,30.078,NYJ,,PIT,L 17-23,0,0,,0,0,0,0.0,1,0,0
99,1984,1984-09-16,3,30.088,NYJ,,CIN,W 43-23,0,0,,0,0,0,0.0,1,5,0
100,1984,1984-09-23,4,30.095,NYJ,@,BUF,W 28-26,,,,,,,,,,
101,1984,1984-09-30,5,30.102,NYJ,,NWE,L 21-28,,,,,,,,,,
102,1984,1984-10-07,6,30.109,NYJ,@,KAN,W 17-16,,,,,,,,,,
103,1984,1984-10-14,7,30.116,NYJ,@,CLE,W 24-20,,,,,,,,,,
104,1984,1984-10-21,8,30.123,NYJ,,KAN,W 28-7,,,,,,,,,,
105,1984,1984-10-28,9,30.130,NYJ,@,NWE,L 20-30,,,,,,,,,,
106,1984,1984-11-04,10,30.137,NYJ,,MIA,L 17-31,,,,,,,,,,
107,1984,1984-11-11,11,30.144,NYJ,,IND,L 5-9,,,,,,,,,,
108,1984,1984-11-18,12,30.151,NYJ,@,HOU,L 20-31,,,,,,,,,,
109,1984,1984-11-26,13,30.159,NYJ,@,MIA,L 17-28,,,,,,,,,,
110,1984,1984-12-02,14,30.165,NYJ,,NYG,L 10-20,,,,,,,,,,
