ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
46,2012,2012-09-30,4,27.026,OAK,@,DEN,L 6-37,*,2,1,22,22.00,0,50.0%,11.00,0,0,,0,,0,0,0.0,0,0
47,2012,2012-10-14,5,27.040,OAK,@,ATL,L 20-23,*,7,5,62,12.40,0,71.4%,8.86,0,0,,0,,0,0,0.0,0,0
48,2012,2012-10-21,6,27.047,OAK,,JAX,W 26-23,*,10,7,44,6.29,0,70.0%,4.40,0,0,,0,,0,0,0.0,0,0
49,2012,2012-10-28,7,27.054,OAK,@,KAN,W 26-16,*,3,3,49,16.33,0,100.0%,16.33,0,0,,0,,0,0,0.0,0,0
50,2012,2012-11-04,8,27.061,OAK,,TAM,L 32-42,*,13,8,59,7.38,2,61.5%,4.54,0,0,,0,,2,12,0.0,0,0
51,2012,2012-11-11,9,27.068,OAK,@,BAL,L 20-55,*,7,5,57,11.40,0,71.4%,8.14,0,0,,0,,0,0,0.0,0,0
52,2012,2012-11-18,10,27.075,OAK,,NOR,L 17-38,*,10,6,55,9.17,1,60.0%,5.50,0,0,,0,,1,6,0.0,0,0
53,2012,2012-11-25,11,27.082,OAK,@,CIN,L 10-34,*,6,5,37,7.40,0,83.3%,6.17,0,0,,0,,0,0,0.0,0,0
54,2012,2012-12-02,12,27.089,OAK,,CLE,L 17-20,*,15,14,130,9.29,1,93.3%,8.67,0,0,,0,,1,6,0.0,0,0
55,2012,2012-12-06,13,27.093,OAK,,DEN,L 13-26,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0
56,2012,2012-12-16,14,27.103,OAK,,KAN,W 15-0,*,4,2,15,7.50,0,50.0%,3.75,0,0,,0,,0,0,0.0,0,0
57,2012,2012-12-23,15,27.110,OAK,@,CAR,L 6-17,*,4,3,10,3.33,0,75.0%,2.50,0,0,,0,,0,0,0.0,0,0
58,2012,2012-12-30,16,27.117,OAK,@,SDG,L 21-24,*,7,4,53,13.25,0,57.1%,7.57,0,0,,0,,0,0,0.0,0,0
59,2013,2013-09-08,1,28.004,NYG,@,DAL,L 31-36,*,9,7,66,9.43,1,77.8%,7.33,0,0,,0,,1,6,0.0,0,0
60,2013,2013-09-15,2,28.011,NYG,,DEN,L 23-41,*,10,6,74,12.33,0,60.0%,7.40,0,0,,0,,0,0,0.0,0,0
61,2013,2013-09-22,3,28.018,NYG,@,CAR,L 0-38,*,6,3,33,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,1,0
62,2013,2013-09-29,4,28.025,NYG,@,KAN,L 7-31,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
63,2013,2013-10-06,5,28.032,NYG,,PHI,L 21-36,*,5,2,35,17.50,0,40.0%,7.00,0,0,,0,,0,0,0.0,0,0
64,2013,2013-10-10,6,28.036,NYG,@,CHI,L 21-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
65,2013,2013-10-21,7,28.047,NYG,,MIN,W 23-7,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,,0,0,0.0,0,0
66,2013,2013-10-27,8,28.053,NYG,@,PHI,W 15-7,,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0.0,0,0
67,2013,2013-11-10,9,28.067,NYG,,OAK,W 24-20,*,,,,,,0.0%,,,,,,,,,,,
68,2013,2013-11-17,10,28.074,NYG,,GNB,W 27-13,*,4,3,32,10.67,0,75.0%,8.00,0,0,,0,,0,0,0.0,0,0
69,2013,2013-11-24,11,28.081,NYG,,DAL,L 21-24,,5,3,39,13.00,1,60.0%,7.80,0,0,,0,,1,6,0.0,0,0
70,2013,2013-12-01,12,28.088,NYG,@,WAS,W 24-17,*,6,5,61,12.20,1,83.3%,10.17,0,0,,0,,1,6,0.0,0,0
71,2013,2013-12-08,13,28.095,NYG,@,SDG,L 14-37,*,7,4,26,6.50,1,57.1%,3.71,0,0,,0,,1,6,0.0,0,0
72,2013,2013-12-15,14,28.102,NYG,,SEA,L 0-23,*,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,0,0,0.0,0,0
73,2013,2013-12-22,15,28.109,NYG,@,DET,W 23-20,*,7,4,53,13.25,0,57.1%,7.57,0,0,,0,,0,0,0.0,1,0
74,2013,2013-12-29,16,28.116,NYG,,WAS,W 20-6,*,5,2,9,4.50,0,40.0%,1.80,0,0,,0,,0,0,0.0,0,0
75,2014,2014-09-07,1,29.003,TAM,,CAR,L 14-20,,8,6,41,6.83,0,75.0%,5.13,0,0,,0,,0,0,0.0,0,0
76,2014,2014-09-14,2,29.010,TAM,,STL,L 17-19,*,2,2,33,16.50,0,100.0%,16.50,0,0,,0,,0,0,0.0,0,0
77,2014,2014-09-18,3,29.014,TAM,@,ATL,L 14-56,*,5,5,33,6.60,0,100.0%,6.60,0,0,,0,,0,0,0.0,0,0
78,2014,2014-09-28,4,29.024,TAM,@,PIT,W 27-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
79,2014,2014-10-05,5,29.031,TAM,@,NOR,L 31-37,*,,,,,,0.0%,,,,,,,,,,,
80,2014,2014-10-12,6,29.038,TAM,,BAL,L 17-48,*,2,2,29,14.50,0,100.0%,14.50,0,0,,0,,0,0,0.0,0,0
81,2014,2014-10-26,7,29.052,TAM,,MIN,L 13-19,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0.0,0,0
82,2014,2014-11-02,8,29.059,TAM,@,CLE,L 17-22,,,,,,,0.0%,,,,,,,,,,,
83,2014,2014-11-09,9,29.066,TAM,,ATL,L 17-27,,,,,,,0.0%,,,,,,,,,,,
84,2014,2014-11-16,10,29.073,TAM,@,WAS,W 27-7,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,0,0
85,2014,2014-11-23,11,29.080,TAM,@,CHI,L 13-21,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0
86,2014,2014-12-14,14,29.101,TAM,@,CAR,L 17-19,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
87,2014,2014-12-21,15,29.108,TAM,,GNB,L 3-20,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
88,2014,2014-12-28,16,29.115,TAM,,NOR,L 20-23,*,6,4,21,5.25,0,66.7%,3.50,0,0,,0,,0,0,0.0,0,0
89,2015,2015-09-13,1,30.009,TAM,,TEN,L 14-42,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
90,2015,2015-09-20,2,30.016,TAM,@,NOR,W 26-19,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
91,2015,2015-09-27,3,30.023,TAM,@,HOU,L 9-19,*,4,3,18,6.00,0,75.0%,4.50,0,0,,0,,0,0,0.0,0,0
92,2015,2015-10-04,4,30.030,TAM,,CAR,L 23-37,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0.0,0,0
93,2015,2015-10-11,5,30.037,TAM,,JAX,W 38-31,*,2,2,34,17.00,0,100.0%,17.00,0,0,,0,,0,0,0.0,0,0
94,2015,2015-10-25,6,30.051,TAM,@,WAS,L 30-31,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
95,2015,2015-11-01,7,30.058,TAM,@,ATL,W 23-20,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,,0,0,0.0,0,0
96,2015,2015-11-08,8,30.065,TAM,,NYG,L 18-32,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
97,2015,2015-11-15,9,30.072,TAM,,DAL,W 10-6,,4,3,35,11.67,0,75.0%,8.75,0,0,,0,,0,0,0.0,0,0
98,2015,2015-11-22,10,30.079,TAM,@,PHI,W 45-17,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
99,2015,2015-11-29,11,30.086,TAM,@,IND,L 12-25,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
100,2016,2016-09-11,1,31.007,TAM,@,ATL,W 31-24,,1,1,4,4.00,1,100.0%,4.00,0,0,,0,,1,6,0.0,0,0
101,2016,2016-09-18,2,31.014,TAM,@,ARI,L 7-40,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
102,2016,2016-09-25,3,31.021,TAM,,LAR,L 32-37,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,,0,0,0.0,0,0
103,2016,2016-10-02,4,31.028,TAM,,DEN,L 7-27,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
104,2016,2016-10-10,5,31.036,TAM,@,CAR,W 17-14,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0,0.0,0,0
105,2016,2016-10-23,6,31.049,TAM,@,SFO,W 34-17,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
106,2016,2016-10-30,7,31.056,TAM,,OAK,L 24-30,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
107,2016,2016-11-03,8,31.060,TAM,,ATL,L 28-43,,0,0,0,,0,0.0%,,0,0,,0,1,0,2,0.0,0,0
108,2016,2016-11-13,9,31.070,TAM,,CHI,W 36-10,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
109,2016,2016-11-20,10,31.077,TAM,@,KAN,W 19-17,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
110,2016,2016-11-27,11,31.084,TAM,,SEA,W 14-5,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
111,2016,2016-12-04,12,31.091,TAM,@,SDG,W 28-21,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
112,2016,2016-12-11,13,31.098,TAM,,NOR,W 16-11,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0
113,2016,2016-12-18,14,31.105,TAM,@,DAL,L 20-26,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
114,2016,2016-12-24,15,31.111,TAM,@,NOR,L 24-31,,6,2,21,10.50,0,33.3%,3.50,0,0,,0,,0,0,0.0,0,0
115,2016,2017-01-01,16,31.119,TAM,,CAR,W 17-16,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
