ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
22,1971,1971-10-23,6,24.108,BUF,@,SDG,L 3-20,0,0,,0,0,0,,0,1,0,0
23,1971,1971-10-31,7,24.116,BUF,,STL,L 23-28,,,,,,,,,,,
24,1971,1971-11-07,8,24.123,BUF,@,MIA,L 0-34,,,,,,,,,,,
25,1971,1971-11-14,9,24.130,BUF,@,NWE,L 33-38,,,,,,,,,,,
26,1971,1971-11-21,10,24.137,BUF,,NYJ,L 7-20,,,,,,,,,,,
27,1971,1971-11-28,11,24.144,BUF,,NWE,W 27-20,0,0,,0,0,0,,0,2,25,0
28,1971,1971-12-05,12,24.151,BUF,@,BAL,L 0-24,,,,,,,,,,,
29,1971,1971-12-12,13,24.158,BUF,,HOU,L 14-20,,,,,,,,,,,
30,1971,1971-12-19,14,24.165,BUF,@,KAN,L 9-22,,,,,,,,,,,
31,1972,1972-09-17,1,25.072,BUF,,NYJ,L 24-41,,,,,,,,,,,
32,1972,1972-09-24,2,25.079,BUF,,SFO,W 27-20,,,,,,,,,,,
33,1972,1972-10-01,3,25.086,BUF,,BAL,L 0-17,,,,,,,,,,,
34,1972,1972-10-08,4,25.093,BUF,,NWE,W 38-14,,,,,,,,,,,
35,1972,1972-10-15,5,25.100,BUF,@,OAK,L 16-28,,,,,,,,,,,
36,1972,1972-10-22,6,25.107,BUF,@,MIA,L 23-24,,,,,,,,,,,
37,1972,1972-10-29,7,25.114,BUF,,PIT,L 21-38,,,,,,,,,,,
38,1972,1972-11-05,8,25.121,BUF,,MIA,L 16-30,,,,,,,,,,,
39,1972,1972-11-12,9,25.128,BUF,@,NYJ,L 3-41,,,,,,,,,,,
40,1972,1972-11-19,10,25.135,BUF,@,NWE,W 27-24,,,,,,,,,,,
41,1972,1972-11-26,11,25.142,BUF,@,CLE,L 10-27,,,,,,,,,,,
42,1972,1972-12-03,12,25.149,BUF,@,BAL,L 7-35,,,,,,,,,,,
43,1972,1972-12-10,13,25.156,BUF,,DET,T 21-21,,,,,,,,,,,
44,1972,1972-12-17,14,25.163,BUF,@,WAS,W 24-17,0,0,,0,0,0,,0,1,0,0
45,1973,1973-09-16,1,26.071,BUF,@,NWE,W 31-13,,,,,,,,,,,
46,1973,1973-09-23,2,26.078,BUF,@,SDG,L 7-34,,,,,,,,,,,
47,1973,1973-09-30,3,26.085,BUF,,NYJ,W 9-7,,,,,,,,,,,
48,1973,1973-10-07,4,26.092,BUF,,PHI,W 27-26,,,,,,,,,,,
49,1973,1973-10-21,6,26.106,BUF,@,MIA,L 6-27,,,,,,,,,,,
50,1973,1973-10-29,7,26.114,BUF,,KAN,W 23-14,,,,,,,,,,,
51,1973,1973-11-04,8,26.120,BUF,@,NOR,L 0-13,,,,,,,,,,,
52,1973,1973-11-11,9,26.127,BUF,,CIN,L 13-16,,,,,,,,,,,
53,1973,1973-11-18,10,26.134,BUF,,MIA,L 0-17,,,,,,,,,,,
54,1973,1973-11-25,11,26.141,BUF,@,BAL,W 24-17,0,0,,0,0,0,,0,1,0,0
55,1973,1973-12-02,12,26.148,BUF,@,ATL,W 17-6,,,,,,,,,,,
56,1973,1973-12-09,13,26.155,BUF,,NWE,W 37-13,,,,,,,,,,,
57,1973,1973-12-16,14,26.162,BUF,@,NYJ,W 34-14,,,,,,,,,,,
58,1974,1974-09-16,1,27.071,BUF,,OAK,W 21-20,,,,,,,,,,,
59,1974,1974-09-22,2,27.077,BUF,,MIA,L 16-24,,,,,,,,,,,
60,1974,1974-09-29,3,27.084,BUF,,NYJ,W 16-12,0,0,,0,0,0,,0,1,8,0
61,1974,1974-10-06,4,27.091,BUF,@,GNB,W 27-7,0,0,,0,0,0,,0,1,5,0
62,1974,1974-10-13,5,27.098,BUF,@,BAL,W 27-14,,,,,,,,,,,
63,1974,1974-10-20,6,27.105,BUF,,NWE,W 30-28,,,,,,,,,,,
64,1974,1974-10-27,7,27.112,BUF,,CHI,W 16-6,,,,,,,,,,,
65,1974,1974-11-03,8,27.119,BUF,@,NWE,W 29-28,0,0,,0,0,0,,0,1,0,0
66,1974,1974-11-10,9,27.126,BUF,,HOU,L 9-21,,,,,,,,,,,
67,1974,1974-11-17,10,27.133,BUF,@,MIA,L 28-35,,,,,,,,,,,
68,1974,1974-11-24,11,27.140,BUF,@,CLE,W 15-10,,,,,,,,,,,
69,1974,1974-12-01,12,27.147,BUF,,BAL,W 6-0,,,,,,,,,,,
70,1974,1974-12-08,13,27.154,BUF,@,NYJ,L 10-20,,,,,,,,,,,
71,1974,1974-12-15,14,27.161,BUF,@,RAM,L 14-19,,,,,,,,,,,
