ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
19,2000,2000-09-18,3,22.088,WAS,,DAL,L 21-27,*,0,,,,,0.0%,,,,,,,,,,0,54,,0,,,,,,,,
20,2000,2000-09-24,4,22.094,WAS,@,NYG,W 16-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
21,2000,2000-10-01,5,22.101,WAS,,TAM,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
22,2000,2000-10-08,6,22.108,WAS,@,PHI,W 17-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
23,2000,2000-10-15,7,22.115,WAS,,BAL,W 10-3,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
24,2000,2000-10-22,8,22.122,WAS,@,JAX,W 35-16,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
25,2000,2000-10-30,9,22.130,WAS,,TEN,L 21-27,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
26,2000,2000-11-05,10,22.136,WAS,@,ARI,L 15-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
27,2000,2000-11-20,11,22.151,WAS,@,STL,W 33-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,48,0
28,2000,2000-11-26,12,22.157,WAS,,PHI,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
29,2000,2000-12-03,13,22.164,WAS,,NYG,L 7-9,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
30,2000,2000-12-10,14,22.171,WAS,@,DAL,L 13-32,,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
31,2000,2000-12-16,15,22.177,WAS,@,PIT,L 3-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
32,2000,2000-12-24,16,22.185,WAS,,ARI,W 20-3,,2,2,54,27.00,0,100.0%,27.00,1,7,7.00,1,0,0,,0,1,11,11.00,0,1,6,0.0,,,1,0,0
33,2001,2001-09-09,1,23.079,WAS,@,SDG,L 3-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,5,0
34,2001,2001-09-24,2,23.094,WAS,@,GNB,L 0-37,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
35,2001,2001-09-30,3,23.100,WAS,,KAN,L 13-45,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
36,2001,2001-10-07,4,23.107,WAS,@,NYG,L 9-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
37,2001,2001-10-15,5,23.115,WAS,@,DAL,L 7-9,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
38,2001,2001-10-21,6,23.121,WAS,,CAR,W 17-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
39,2001,2001-10-28,7,23.128,WAS,,NYG,W 35-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
40,2001,2001-11-04,8,23.135,WAS,,SEA,W 27-14,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
41,2001,2001-11-18,9,23.149,WAS,@,DEN,W 17-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
42,2001,2001-11-25,10,23.156,WAS,@,PHI,W 13-3,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
43,2001,2001-12-02,11,23.163,WAS,,DAL,L 14-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
44,2001,2001-12-09,12,23.170,WAS,@,ARI,W 20-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
45,2001,2001-12-16,13,23.177,WAS,,PHI,L 6-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
46,2001,2001-12-23,14,23.184,WAS,,CHI,L 15-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
47,2001,2001-12-30,15,23.191,WAS,@,NOR,W 40-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,12,0
48,2001,2002-01-06,16,23.198,WAS,,ARI,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
49,2002,2002-09-08,1,24.078,WAS,,ARI,W 31-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,2,0
50,2002,2002-09-16,2,24.086,WAS,,PHI,L 7-37,*,0,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
51,2002,2002-09-22,3,24.092,WAS,@,SFO,L 10-20,*,0,0,0,,0,0.0%,,0,0,,0,0,,,0,0,19,,0,0,0,0.0,,,1,0,0
52,2002,2002-10-06,4,24.106,WAS,@,TEN,W 31-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
53,2002,2002-10-13,5,24.113,WAS,,NOR,L 27-43,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
54,2002,2002-10-20,6,24.120,WAS,@,GNB,L 9-30,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
55,2002,2002-10-27,7,24.127,WAS,,IND,W 26-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
56,2002,2002-11-03,8,24.134,WAS,@,SEA,W 14-3,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
57,2002,2002-11-10,9,24.141,WAS,@,JAX,L 7-26,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
58,2002,2002-11-17,10,24.148,WAS,@,NYG,L 17-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,7,2.33,0,0,0,0.0,,,0,0,0
59,2002,2002-11-24,11,24.155,WAS,,STL,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,47,15.67,0,0,0,0.0,,,0,0,0
60,2002,2002-11-28,12,24.159,WAS,@,DAL,L 20-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,69,13.80,0,0,0,0.0,,,0,0,0
61,2002,2002-12-08,13,24.169,WAS,,NYG,L 21-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,26,5.20,0,0,0,0.0,,,0,0,0
62,2002,2002-12-15,14,24.176,WAS,@,PHI,L 21-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0.0,,,0,0,0
63,2002,2002-12-22,15,24.183,WAS,,HOU,W 26-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,,,0,0,0
64,2002,2002-12-29,16,24.190,WAS,,DAL,W 20-14,*,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,5,60,12.00,0,0,0,0.0,,,0,0,0
65,2003,2003-09-04,1,25.074,WAS,,NYJ,W 16-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
66,2003,2003-09-14,2,25.084,WAS,@,ATL,W 33-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
67,2003,2003-09-21,3,25.091,WAS,,NYG,L 21-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
68,2003,2003-09-28,4,25.098,WAS,,NWE,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
69,2003,2003-10-05,5,25.105,WAS,@,PHI,L 25-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
70,2003,2003-10-12,6,25.112,WAS,,TAM,L 13-35,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
71,2003,2003-10-19,7,25.119,WAS,@,BUF,L 7-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
72,2003,2003-11-02,8,25.133,WAS,@,DAL,L 14-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
73,2003,2003-11-09,9,25.140,WAS,,SEA,W 27-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
74,2003,2003-11-16,10,25.147,WAS,@,CAR,L 17-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
75,2003,2003-11-23,11,25.154,WAS,@,MIA,L 23-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
76,2003,2003-11-30,12,25.161,WAS,,NOR,L 20-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
77,2003,2003-12-07,13,25.168,WAS,@,NYG,W 20-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,2,0
78,2003,2003-12-14,14,25.175,WAS,,DAL,L 0-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
79,2003,2003-12-21,15,25.182,WAS,@,CHI,L 24-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
80,2003,2003-12-27,16,25.188,WAS,,PHI,L 7-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
81,2004,2004-09-12,1,26.082,DEN,,KAN,W 34-24,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
82,2004,2004-09-19,2,26.089,DEN,@,JAX,L 6-7,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
83,2004,2004-09-26,3,26.096,DEN,,SDG,W 23-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
84,2004,2004-10-03,4,26.103,DEN,@,TAM,W 16-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
85,2004,2004-10-10,5,26.110,DEN,,CAR,W 20-17,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
86,2004,2004-10-17,6,26.117,DEN,@,OAK,W 31-3,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
87,2004,2004-10-25,7,26.125,DEN,@,CIN,L 10-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
88,2004,2004-10-31,8,26.131,DEN,,ATL,L 28-41,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
89,2004,2004-11-07,9,26.138,DEN,,HOU,W 31-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
90,2004,2004-11-21,10,26.152,DEN,@,NOR,W 34-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
91,2004,2004-11-28,11,26.159,DEN,,OAK,L 24-25,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
92,2004,2004-12-05,12,26.166,DEN,@,SDG,L 17-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
93,2004,2004-12-12,13,26.173,DEN,,MIA,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
94,2004,2004-12-19,14,26.180,DEN,@,KAN,L 17-45,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
95,2004,2004-12-25,15,26.186,DEN,@,TEN,W 37-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
96,2004,2005-01-02,16,26.194,DEN,,IND,W 33-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
97,2005,2005-09-11,1,27.081,DEN,@,MIA,L 10-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,11,0
98,2005,2005-09-18,2,27.088,DEN,,SDG,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,1,25,1
99,2005,2005-09-26,3,27.096,DEN,,KAN,W 30-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
100,2005,2005-10-16,6,27.116,DEN,,NWE,W 28-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
101,2005,2005-10-23,7,27.123,DEN,@,NYG,L 23-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
102,2005,2005-10-30,8,27.130,DEN,,PHI,W 49-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
103,2005,2005-11-13,9,27.144,DEN,@,OAK,W 31-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,18,0
104,2005,2005-11-20,10,27.151,DEN,,NYJ,W 27-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
105,2005,2005-11-24,11,27.155,DEN,@,DAL,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,1,65,1
106,2005,2005-12-04,12,27.165,DEN,@,KAN,L 27-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,10,0
107,2005,2005-12-11,13,27.172,DEN,,BAL,W 12-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,10,0
108,2005,2005-12-17,14,27.178,DEN,@,BUF,W 28-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
109,2005,2005-12-24,15,27.185,DEN,,OAK,W 22-3,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
110,2005,2005-12-31,16,27.192,DEN,@,SDG,W 23-7,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
111,2006,2006-09-10,1,28.080,DEN,@,STL,L 10-18,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
112,2006,2006-09-17,2,28.087,DEN,,KAN,W 9-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
113,2006,2006-09-24,3,28.094,DEN,@,NWE,W 17-7,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
114,2006,2006-10-09,4,28.109,DEN,,BAL,W 13-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
115,2006,2006-10-15,5,28.115,DEN,,OAK,W 13-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
116,2006,2006-10-22,6,28.122,DEN,@,CLE,W 17-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,30,0
117,2006,2006-10-29,7,28.129,DEN,,IND,L 31-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
118,2006,2006-11-05,8,28.136,DEN,@,PIT,W 31-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,2,5,0
119,2006,2006-11-12,9,28.143,DEN,@,OAK,W 17-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
120,2006,2006-11-19,10,28.150,DEN,,SDG,L 27-35,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
121,2006,2006-11-23,11,28.154,DEN,@,KAN,L 10-19,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
122,2006,2006-12-03,12,28.164,DEN,,SEA,L 20-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
123,2006,2006-12-10,13,28.171,DEN,@,SDG,L 20-48,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
124,2006,2006-12-17,14,28.178,DEN,@,ARI,W 37-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,2,37,0
125,2006,2006-12-24,15,28.185,DEN,,CIN,W 24-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,20,0
126,2006,2006-12-31,16,28.192,DEN,,SFO,L 23-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,1,70,1
127,2007,2007-09-09,1,29.079,DEN,@,BUF,W 15-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
128,2007,2007-09-16,2,29.086,DEN,,OAK,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
129,2007,2007-09-23,3,29.093,DEN,,JAX,L 14-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
130,2007,2007-09-30,4,29.100,DEN,@,IND,L 20-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
131,2007,2007-10-07,5,29.107,DEN,,SDG,L 3-41,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
132,2007,2007-10-29,7,29.129,DEN,,GNB,L 13-19,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
133,2007,2007-11-04,8,29.135,DEN,@,DET,L 7-44,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
134,2007,2007-11-11,9,29.142,DEN,@,KAN,W 27-11,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,3,0
135,2007,2007-11-19,10,29.150,DEN,,TEN,W 34-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
136,2007,2007-11-25,11,29.156,DEN,@,CHI,L 34-37,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
137,2007,2007-12-02,12,29.163,DEN,@,OAK,L 20-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
138,2007,2007-12-09,13,29.170,DEN,,KAN,W 41-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
139,2007,2007-12-13,14,29.174,DEN,@,HOU,L 13-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
140,2007,2007-12-24,15,29.185,DEN,@,SDG,L 3-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
141,2007,2007-12-30,16,29.191,DEN,,MIN,W 22-19,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
142,2008,2008-09-08,1,30.078,DEN,@,OAK,W 41-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
143,2008,2008-09-14,2,30.084,DEN,,SDG,W 39-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,0,1,0,0
144,2008,2008-09-21,3,30.091,DEN,,NOR,W 34-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
145,2008,2008-09-28,4,30.098,DEN,@,KAN,L 19-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
146,2008,2008-10-05,5,30.105,DEN,,TAM,W 16-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
147,2008,2008-10-12,6,30.112,DEN,,JAX,L 17-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
148,2008,2008-10-20,7,30.120,DEN,@,NWE,L 7-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,2,0,0,0
149,2008,2008-12-21,15,30.182,DEN,,BUF,L 23-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,9,0,0,0,0
150,2008,2008-12-28,16,30.189,DEN,@,SDG,L 21-52,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
151,2009,2009-09-13,1,31.083,DEN,@,CIN,W 12-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,6,0,0,0
152,2009,2009-09-20,2,31.090,DEN,,CLE,W 27-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
153,2009,2009-09-27,3,31.097,DEN,@,OAK,W 23-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
154,2009,2009-10-04,4,31.104,DEN,,DAL,W 17-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,8,0,1,3,0
155,2009,2009-10-11,5,31.111,DEN,,NWE,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
156,2009,2009-10-19,6,31.119,DEN,@,SDG,W 34-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
157,2009,2009-11-01,7,31.132,DEN,@,BAL,L 7-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
158,2009,2009-11-09,8,31.140,DEN,,PIT,L 10-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,10,2,0,0,0
159,2009,2009-11-15,9,31.146,DEN,@,WAS,L 17-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
160,2009,2009-11-22,10,31.153,DEN,,SDG,L 3-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
161,2009,2009-11-26,11,31.157,DEN,,NYG,W 26-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
162,2009,2009-12-06,12,31.167,DEN,@,KAN,W 44-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
163,2009,2009-12-13,13,31.174,DEN,@,IND,L 16-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
164,2009,2009-12-20,14,31.181,DEN,,OAK,L 19-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,1,11,0
165,2009,2009-12-27,15,31.188,DEN,@,PHI,L 27-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,1,4,0
166,2009,2010-01-03,16,31.195,DEN,,KAN,L 24-44,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
167,2010,2010-09-12,1,32.082,DEN,@,JAX,L 17-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
168,2010,2010-09-19,2,32.089,DEN,,SEA,W 31-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0
169,2010,2010-09-26,3,32.096,DEN,,IND,L 13-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
170,2010,2010-10-03,4,32.103,DEN,@,TEN,W 26-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
171,2010,2010-10-10,5,32.110,DEN,@,BAL,L 17-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
172,2010,2010-10-17,6,32.117,DEN,,NYJ,L 20-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
173,2010,2010-10-24,7,32.124,DEN,,OAK,L 14-59,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
174,2010,2010-10-31,8,32.131,DEN,@,SFO,L 16-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
175,2010,2010-11-14,9,32.145,DEN,,KAN,W 49-29,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,9,1,0,0,0
