ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,def_int,def_int_yds,def_int_td
68,1999,1999-12-26,15,28.182,JAX,@,TEN,L 14-41,,,,,,,,,,,,,,,,,,,,
69,1999,2000-01-02,16,28.189,JAX,,CIN,W 24-7,,,,,,,,,,,,,,,,,,,,
70,2000,2000-09-03,1,29.068,JAX,@,CLE,W 27-7,,,,,,,,,,,,,,,,,,,,
71,2000,2000-09-10,2,29.075,JAX,@,BAL,L 36-39,,,,,,,,,,,,,,,,,,,,
72,2000,2000-10-16,7,29.111,JAX,@,TEN,L 13-27,,,,,,,,,,,,,,,,,,,,
73,2000,2000-10-22,8,29.117,JAX,,WAS,L 16-35,,,,,,,,,,,,,,,,,,,,
74,2000,2000-10-29,9,29.124,JAX,@,DAL,W 23-17,,,,,,,,,,,,,,,,,,,,
75,2000,2000-11-12,10,29.138,JAX,,SEA,L 21-28,,,,,,,,,,,,,,,,,,,,
76,2000,2000-11-19,11,29.145,JAX,@,PIT,W 34-24,,0,0,,0,0,0,,0,0,0,,0,0,,,1.0,0,0,0
77,2000,2000-11-26,12,29.152,JAX,,TEN,W 16-13,*,,,,,,,,,,,,,,,,,,,
78,2000,2000-12-03,13,29.159,JAX,,CLE,W 48-0,*,0,0,,0,0,0,,0,0,0,,0,0,,,0.5,0,0,0
79,2000,2000-12-10,14,29.166,JAX,,ARI,W 44-10,*,0,0,,0,0,0,,0,0,0,,0,0,,,2.0,1,12,0
80,2000,2000-12-17,15,29.173,JAX,@,CIN,L 14-17,*,,,,,,,,,,,,,,,,,,,
81,2000,2000-12-23,16,29.179,JAX,@,NYG,L 25-28,,,,,,,,,,,,,,,,,,,,
82,2001,2001-09-09,1,30.074,CLE,,SEA,L 6-9,,,,,,,,,,,,,,,,,,,,
83,2001,2001-09-23,2,30.088,CLE,,DET,W 24-14,,,,,,,,,,,,,,,,,,,,
84,2001,2001-09-30,3,30.095,CLE,@,JAX,W 23-14,,,,,,,,,,,,,,,,,,,,
85,2001,2001-10-07,4,30.102,CLE,,SDG,W 20-16,,,,,,,,,,,,,,,,,,,,
86,2001,2001-10-14,5,30.109,CLE,@,CIN,L 14-24,,,,,,,,,,,,,,,,,,,,
87,2001,2001-10-21,6,30.116,CLE,,BAL,W 24-14,,,,,,,,,,,,,,,,,,,,
88,2001,2001-11-04,7,30.130,CLE,@,CHI,L 21-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,8,0
89,2001,2001-11-11,8,30.137,CLE,,PIT,L 12-15,*,,,,,,,,,,,,,,,,,,,
90,2001,2001-11-18,9,30.144,CLE,@,BAL,W 27-17,,,,,,,,,,,,,,,,,,,,
91,2001,2001-11-25,10,30.151,CLE,,CIN,W 18-0,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,4,0
92,2001,2001-12-02,11,30.158,CLE,,TEN,L 15-31,,,,,,,,,,,,,,,,,,,,
93,2001,2001-12-09,12,30.165,CLE,@,NWE,L 16-27,*,,,,,,,,,,,,,,,,,,,
94,2001,2001-12-16,13,30.172,CLE,,JAX,L 10-15,,,,,,,,,,,,,,,,,,,,
95,2001,2001-12-23,14,30.179,CLE,@,GNB,L 7-30,,,,,,,,,,,,,,,,,,,,
96,2001,2001-12-30,15,30.186,CLE,@,TEN,W 41-38,,,,,,,,,,,,,,,,,,,,
97,2001,2002-01-06,16,30.193,CLE,@,PIT,L 7-28,,,,,,,,,,,,,,,,,,,,
98,2002,2002-09-08,1,31.073,CLE,,KAN,L 39-40,,,,,,,,,,,,,,,,,,,,
99,2002,2002-09-15,2,31.080,CLE,,CIN,W 20-7,,0,0,,0,0,0,,0,0,0,,0,0,,,1.0,1,1,0
100,2002,2002-09-22,3,31.087,CLE,@,TEN,W 31-28,,,,,,,,,,,,,,,,,,,,
101,2002,2002-09-29,4,31.094,CLE,@,PIT,L 13-16,,,,,,,,,,,,,,,,,,,,
102,2002,2002-10-06,5,31.101,CLE,,BAL,L 21-26,,,,,,,,,,,,,,,,,,,,
103,2002,2002-10-13,6,31.108,CLE,@,TAM,L 3-17,,,,,,,,,,,,,,,,,,,,
104,2002,2002-10-20,7,31.115,CLE,,HOU,W 34-17,,0,0,,0,0,0,,0,0,0,,0,0,,,1.0,0,0,0
105,2002,2002-10-27,8,31.122,CLE,@,NYJ,W 24-21,,,,,,,,,,,,,,,,,,,,
106,2002,2002-11-03,9,31.129,CLE,,PIT,L 20-23,,,,,,,,,,,,,,,,,,,,
107,2002,2002-11-17,10,31.143,CLE,@,CIN,W 27-20,*,,,,,,,,,,,,,,,,,,,
108,2002,2002-11-24,11,31.150,CLE,@,NOR,W 24-15,,,,,,,,,,,,,,,,,,,,
109,2002,2002-12-01,12,31.157,CLE,,CAR,L 6-13,,,,,,,,,,,,,,,,,,,,
110,2002,2002-12-08,13,31.164,CLE,@,JAX,W 21-20,,,,,,,,,,,,,,,,,,,,
111,2002,2002-12-15,14,31.171,CLE,,IND,L 23-28,,,,,,,,,,,,,,,,,,,,
112,2002,2002-12-22,15,31.178,CLE,@,BAL,W 14-13,,0,0,,0,0,0,,0,0,0,,0,0,,,1.0,0,0,0
113,2002,2002-12-29,16,31.185,CLE,,ATL,W 24-16,,,,,,,,,,,,,,,,,,,,
114,2003,2003-09-07,1,32.072,CLE,,IND,L 6-9,,,,,,,,,,,,,0,,,,,,,
115,2003,2003-09-14,2,32.079,CLE,@,BAL,L 13-33,,,,,,,,,,,,,0,,,,,,,
116,2003,2003-09-21,3,32.086,CLE,@,SFO,W 13-12,*,,,,,,,,,,,,0,,,,,,,
117,2003,2003-09-28,4,32.093,CLE,,CIN,L 14-21,,,,,,,,,,,,,0,,,,,,,
118,2003,2003-10-05,5,32.100,CLE,@,PIT,W 33-13,,,,,,,,,,,,,0,,,,,,,
119,2003,2003-10-12,6,32.107,CLE,,OAK,W 13-7,,,,,,,,,,,,,0,,,,,,,
120,2003,2003-10-19,7,32.114,CLE,,SDG,L 20-26,,,,,,,,,,,,,0,,,,,,,
121,2003,2003-10-26,8,32.121,CLE,@,NWE,L 3-9,,1,7,7.00,0,0,0,,0,0,0,,0,,,,0.0,0,0,0
122,2003,2003-11-09,9,32.135,CLE,@,KAN,L 20-41,,,,,,,,,,,,,0,,,,,,,
123,2003,2003-11-16,10,32.142,CLE,,ARI,W 44-6,*,0,0,,0,0,0,,0,0,0,,0,,,,0.0,1,4,0
124,2003,2003-11-23,11,32.149,CLE,,PIT,L 6-13,*,,,,,,,,,,,,0,,,,,,,
125,2003,2003-12-08,13,32.164,CLE,,STL,L 20-26,*,,,,,,,,,,,,0,,,,,,,
126,2003,2003-12-14,14,32.170,CLE,@,DEN,L 20-23,*,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,0,0,0
127,2003,2003-12-21,15,32.177,CLE,,BAL,L 0-35,*,,,,,,,,,,,,0,,,,,,,
128,2003,2003-12-28,16,32.184,CLE,@,CIN,W 22-14,*,,,,,,,,,,,,0,,,,,,,
