ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
58,2008,2008-12-07,13,27.110,CLE,@,TEN,L 9-28,*,0,0,,0,0,0,0.0,2,3
59,2008,2008-12-15,14,27.118,CLE,@,PHI,L 10-30,*,0,0,,0,0,0,0.0,5,0
60,2008,2008-12-28,16,27.131,CLE,@,PIT,L 0-31,*,0,0,,0,0,0,0.0,1,4
61,2009,2009-12-20,14,28.123,CIN,@,SDG,L 24-27,,0,0,,0,0,0,0.0,0,1
62,2009,2009-12-27,15,28.130,CIN,,KAN,W 17-10,,,,,,,,,,
63,2009,2010-01-03,16,28.137,CIN,@,NYJ,L 0-37,,0,0,,0,0,0,0.0,3,4
64,2010,2010-09-13,1,29.025,KAN,,SDG,W 21-14,,0,0,,0,0,0,0.0,2,1
65,2010,2010-09-19,2,29.031,KAN,@,CLE,W 16-14,*,0,0,,0,0,0,0.0,3,2
66,2010,2010-09-26,3,29.038,KAN,,SFO,W 31-10,*,0,0,,0,0,0,0.0,4,3
67,2010,2010-10-10,4,29.052,KAN,@,IND,L 9-19,,,,,,,,,,
68,2010,2010-10-17,5,29.059,KAN,@,HOU,L 31-35,*,0,0,,0,0,0,0.0,0,1
69,2010,2010-10-24,6,29.066,KAN,,JAX,W 42-20,*,0,0,,0,0,0,0.0,3,4
70,2010,2010-10-31,7,29.073,KAN,,BUF,W 13-10,,0,0,,0,0,0,0.0,1,4
71,2010,2010-11-07,8,29.080,KAN,@,OAK,L 20-23,,0,0,,0,0,0,0.0,1,1
72,2010,2010-11-14,9,29.087,KAN,@,DEN,L 29-49,,0,0,,0,0,0,0.0,2,0
73,2010,2010-11-21,10,29.094,KAN,,ARI,W 31-13,*,0,0,,0,0,0,0.0,0,3
74,2010,2010-11-28,11,29.101,KAN,@,SEA,W 42-24,,1,1,1.00,1,1,6,1.0,1,2
75,2010,2010-12-05,12,29.108,KAN,,DEN,W 10-6,*,0,0,,0,0,0,0.0,1,1
76,2010,2010-12-12,13,29.115,KAN,@,SDG,L 0-31,*,0,0,,0,0,0,0.0,5,2
77,2010,2010-12-19,14,29.122,KAN,@,STL,W 27-13,*,0,0,,0,0,0,0.0,2,0
78,2010,2010-12-26,15,29.129,KAN,,TEN,W 34-14,*,0,0,,0,0,0,0.0,1,0
79,2010,2011-01-02,16,29.136,KAN,,OAK,L 10-31,*,0,0,,0,0,0,0.0,4,2
80,2011,2011-09-11,1,30.023,TEN,@,JAX,L 14-16,*,0,0,,0,0,0,0.0,3,0
81,2011,2011-09-18,2,30.030,TEN,,BAL,W 26-13,*,0,0,,0,0,0,0.0,2,0
82,2011,2011-09-25,3,30.037,TEN,,DEN,W 17-14,*,0,0,,0,0,0,0.0,1,1
83,2011,2011-10-02,4,30.044,TEN,@,CLE,W 31-13,*,0,0,,0,0,0,0.0,1,0
84,2011,2011-10-09,5,30.051,TEN,@,PIT,L 17-38,*,0,0,,0,0,0,0.0,1,1
85,2011,2011-10-23,6,30.065,TEN,,HOU,L 7-41,*,0,0,,0,0,0,0.0,2,2
86,2011,2011-10-30,7,30.072,TEN,,IND,W 27-10,,0,0,,0,0,0,0.0,0,1
87,2011,2011-11-06,8,30.079,TEN,,CIN,L 17-24,,0,0,,0,0,0,1.0,3,1
88,2011,2011-11-13,9,30.086,TEN,@,CAR,W 30-3,,,,,,,,,,
89,2011,2011-11-20,10,30.093,TEN,@,ATL,L 17-23,,0,0,,0,0,0,0.0,0,1
90,2011,2011-11-27,11,30.100,TEN,,TAM,W 23-17,,0,0,,0,0,0,0.0,1,0
91,2011,2011-12-04,12,30.107,TEN,@,BUF,W 23-17,,,,,,,,,,
92,2011,2011-12-11,13,30.114,TEN,,NOR,L 17-22,,0,0,,0,0,0,0.0,1,0
93,2011,2011-12-18,14,30.121,TEN,@,IND,L 13-27,,0,0,,0,0,0,0.0,0,1
94,2011,2011-12-24,15,30.127,TEN,,JAX,W 23-17,,0,0,,0,0,0,0.0,2,0
95,2012,2012-11-12,9,31.085,KAN,@,PIT,L 13-16,,,,,,,,,,
96,2012,2012-11-18,10,31.091,KAN,,CIN,L 6-28,,0,0,,0,0,0,0.0,1,0
97,2012,2012-11-25,11,31.098,KAN,,DEN,L 9-17,,,,,,,,,,
98,2012,2012-12-02,12,31.105,KAN,,CAR,W 27-21,,0,0,,0,0,0,0.0,1,0
99,2012,2012-12-09,13,31.112,KAN,@,CLE,L 7-30,,0,0,,0,0,0,0.0,1,1
100,2012,2012-12-16,14,31.119,KAN,@,OAK,L 0-15,,0,0,,0,0,0,0.0,1,0
101,2012,2012-12-23,15,31.126,KAN,,IND,L 13-20,,0,0,,0,0,0,0.0,1,0
102,2012,2012-12-30,16,31.133,KAN,@,DEN,L 3-38,,0,0,,0,0,0,0.0,4,1
