ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
40,2003,2003-11-02,8,27.163,ATL,,PHI,L 16-23,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,3,100.0,0,10,0.0,,
41,2003,2003-11-09,9,27.170,ATL,@,NYG,W 27-7,,0,0,,0,0,0,0,,0,0.0%,,3,4,75.0,,,,0,3,,,
42,2003,2003-11-16,10,27.177,ATL,@,NOR,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,3,66.7,0,8,0.0,,
43,2003,2003-11-23,11,27.184,ATL,,TEN,L 31-38,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,1,1,100.0,0,7,0.0,,
44,2003,2003-11-30,12,27.191,ATL,@,HOU,L 13-17,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,3,66.7,0,7,0.0,,
45,2003,2003-12-07,13,27.198,ATL,,CAR,W 20-14,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,2,0.0,0,2,0.0,,
46,2003,2003-12-14,14,27.205,ATL,@,IND,L 7-38,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,,,0,1,,,
47,2003,2003-12-20,15,27.211,ATL,@,TAM,W 30-28,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,,
48,2003,2003-12-28,16,27.219,ATL,,JAX,W 21-14,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,,,
49,2004,2004-09-12,1,28.112,ATL,@,SFO,W 21-19,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,,,
50,2004,2004-09-19,2,28.119,ATL,,STL,W 34-17,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,,
51,2004,2004-09-26,3,28.126,ATL,,ARI,W 6-3,,0,0,,0,0,0,0,,0,0.0%,,,,,2,2,100.0,0,6,0.0,,
52,2004,2004-10-03,4,28.133,ATL,@,CAR,W 27-10,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,
53,2004,2004-10-10,5,28.140,ATL,,DET,L 10-17,,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,1,1,100.0,1,1,100.0,0,4,0.0,,
54,2004,2004-10-17,6,28.147,ATL,,SDG,W 21-20,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,,,
55,2004,2004-10-24,7,28.154,ATL,@,KAN,L 10-56,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,,
56,2004,2004-10-31,8,28.161,ATL,@,DEN,W 41-28,,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,2,3,66.7,0,11,0.0,,
57,2004,2004-11-14,9,28.175,ATL,,TAM,W 24-14,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,
58,2004,2004-11-21,10,28.182,ATL,@,NYG,W 14-10,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,1,0.0,0,2,0.0,,
59,2004,2004-11-28,11,28.189,ATL,,NOR,W 24-21,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,2,50.0,0,6,0.0,,
60,2004,2004-12-05,12,28.196,ATL,@,TAM,L 0-27,,,,,,0,,,,,0.0%,,,,,,,,,,,,
61,2004,2004-12-12,13,28.203,ATL,,OAK,W 35-10,,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,,,,0,5,,,
62,2004,2004-12-18,14,28.209,ATL,,CAR,W 34-31,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,3,66.7,0,10,0.0,,
63,2004,2004-12-26,15,28.217,ATL,@,NOR,L 13-26,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,
64,2004,2005-01-02,16,28.224,ATL,@,SEA,L 26-28,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,3,66.7,0,8,0.0,,
65,2005,2005-09-11,1,29.111,NYG,,ARI,W 42-19,,0,0,,0,0,0,0,,0,0.0%,,6,6,100.0,,,,0,6,,,
66,2005,2005-09-19,2,29.119,NYG,@,NOR,W 27-10,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,
67,2005,2005-09-25,3,29.125,NYG,@,SDG,L 23-45,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,3,3,100.0,0,11,0.0,,
68,2005,2005-10-02,4,29.132,NYG,,STL,W 44-24,,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,3,3,100.0,0,14,0.0,,
69,2005,2005-10-16,5,29.146,NYG,@,DAL,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,
70,2005,2005-10-23,6,29.153,NYG,,DEN,W 24-23,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,
71,2005,2005-10-30,7,29.160,NYG,,WAS,W 36-0,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,5,6,83.3,0,18,0.0,,
72,2005,2005-11-06,8,29.167,NYG,@,SFO,W 24-6,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,
73,2005,2005-11-13,9,29.174,NYG,,MIN,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,3,66.7,0,7,0.0,,
74,2005,2005-11-20,10,29.181,NYG,,PHI,W 27-17,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,
75,2005,2005-11-27,11,29.188,NYG,@,SEA,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,5,40.0,0,7,0.0,,
76,2005,2005-12-04,12,29.195,NYG,,DAL,W 17-10,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,2,50.0,0,5,0.0,,
77,2005,2005-12-11,13,29.202,NYG,@,PHI,W 26-23,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,4,4,100.0,0,14,0.0,,
78,2005,2005-12-17,14,29.208,NYG,,KAN,W 27-17,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,
79,2005,2005-12-24,15,29.215,NYG,@,WAS,L 20-35,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,3,66.7,0,8,0.0,,
80,2005,2005-12-31,16,29.222,NYG,@,OAK,W 30-21,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,,
81,2006,2006-09-10,1,30.110,NYG,,IND,L 21-26,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,1,0.0,0,3,0.0,,
82,2006,2006-09-17,2,30.117,NYG,@,PHI,W 30-24,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,
83,2006,2006-09-24,3,30.124,NYG,@,SEA,L 30-42,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,
84,2006,2006-10-08,4,30.138,NYG,,WAS,W 19-3,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,4,5,80.0,0,13,0.0,,
85,2006,2006-10-15,5,30.145,NYG,@,ATL,W 27-14,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,
86,2006,2006-10-23,6,30.153,NYG,@,DAL,W 36-22,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,,
87,2006,2006-10-29,7,30.159,NYG,,TAM,W 17-3,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,,
88,2006,2006-11-05,8,30.166,NYG,,HOU,W 14-10,,0,0,,0,1,0,0,,0,0.0%,0.00,2,2,100.0,,,,0,2,,,
89,2006,2006-11-12,9,30.173,NYG,,CHI,L 20-38,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,4,50.0,0,8,0.0,,
90,2006,2006-11-20,10,30.181,NYG,@,JAX,L 10-26,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,,
91,2006,2006-11-26,11,30.187,NYG,@,TEN,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,,,
92,2006,2006-12-03,12,30.194,NYG,,DAL,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,,
93,2006,2006-12-10,13,30.201,NYG,@,CAR,W 27-13,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,
94,2006,2006-12-17,14,30.208,NYG,,PHI,L 22-36,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,3,100.0,0,10,0.0,,
95,2006,2006-12-24,15,30.215,NYG,,NOR,L 7-30,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,,,0,1,,,
96,2006,2006-12-30,16,30.221,NYG,@,WAS,W 34-28,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,,
97,2007,2007-09-09,1,31.109,MIA,@,WAS,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,
98,2007,2007-09-16,2,31.116,MIA,,DAL,L 20-37,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,,
99,2007,2007-09-23,3,31.123,MIA,@,NYJ,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,,
100,2007,2007-09-30,4,31.130,MIA,,OAK,L 17-35,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,,
101,2007,2007-10-07,5,31.137,MIA,@,HOU,L 19-22,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,4,4,100.0,0,13,0.0,,
102,2007,2007-10-14,6,31.144,MIA,@,CLE,L 31-41,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,1,1,100.0,0,7,0.0,,
103,2007,2007-10-21,7,31.151,MIA,,NWE,L 28-49,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,,,,0,4,,,
104,2007,2007-10-28,8,31.158,MIA,,NYG,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,2,50.0,0,4,0.0,,
105,2007,2007-11-11,9,31.172,MIA,,BUF,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,,
106,2007,2007-11-18,10,31.179,MIA,@,PHI,L 7-17,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,1,0.0,0,1,0.0,,
107,2007,2007-11-26,11,31.187,MIA,@,PIT,L 0-3,,,,,,0,,,,,0.0%,,,,,,,,,,,,
108,2007,2007-12-02,12,31.193,MIA,,NYJ,L 13-40,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,
109,2007,2007-12-09,13,31.200,MIA,@,BUF,L 17-38,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,,
110,2007,2007-12-16,14,31.207,MIA,,BAL,W 22-16,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,3,100.0,0,10,0.0,,
111,2007,2007-12-23,15,31.214,MIA,@,NWE,L 7-28,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,,,0,1,,,
112,2007,2007-12-30,16,31.221,MIA,,CIN,L 25-38,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,,
113,2008,2008-09-14,2,32.114,NYJ,,NWE,L 10-19,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,2,50.0,0,4,0.0,0,0
114,2008,2008-09-22,3,32.122,NYJ,@,SDG,L 29-48,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
115,2008,2008-09-28,4,32.128,NYJ,,ARI,W 56-35,,0,0,,0,0,0,0,,0,0.0%,,6,6,100.0,2,3,66.7,0,12,0.0,0,0
116,2008,2008-10-12,5,32.142,NYJ,,CIN,W 26-14,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
117,2008,2008-10-19,6,32.149,NYJ,@,OAK,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
118,2008,2008-10-26,7,32.156,NYJ,,KAN,W 28-24,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,,1,0.0,0,4,0.0,0,0
119,2008,2008-11-02,8,32.163,NYJ,@,BUF,W 26-17,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,4,5,80.0,0,14,0.0,0,0
120,2008,2008-11-09,9,32.170,NYJ,,STL,W 47-3,,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,4,4,100.0,0,17,0.0,0,1
121,2008,2008-11-13,10,32.174,NYJ,@,NWE,W 34-31,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
122,2008,2008-11-23,11,32.184,NYJ,@,TEN,W 34-13,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
123,2008,2008-11-30,12,32.191,NYJ,,DEN,L 17-34,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
124,2008,2008-12-07,13,32.198,NYJ,@,SFO,L 14-24,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,,,0,2,0.0,0,0
125,2008,2008-12-14,14,32.205,NYJ,,BUF,W 31-27,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
126,2008,2008-12-21,15,32.212,NYJ,@,SEA,L 3-13,,0,0,,0,0,0,0,,0,0.0%,,,,,1,1,100.0,0,3,0.0,0,0
127,2008,2008-12-28,16,32.219,NYJ,,MIA,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,,,,1,1,100.0,0,3,0.0,0,0
128,2009,2009-09-13,1,33.113,NYJ,@,HOU,W 24-7,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
129,2009,2009-09-20,2,33.120,NYJ,,NWE,W 16-9,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
130,2009,2009-09-27,3,33.127,NYJ,,TEN,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
131,2009,2009-10-04,4,33.134,NYJ,@,NOR,L 10-24,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
132,2009,2009-10-12,5,33.142,NYJ,@,MIA,L 27-31,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
133,2009,2009-10-18,6,33.148,NYJ,,BUF,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,3,66.7,0,7,0.0,0,0
134,2009,2009-10-25,7,33.155,NYJ,@,OAK,W 38-0,,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,1,2,50.0,0,8,0.0,0,0
135,2009,2009-11-01,8,33.162,NYJ,,MIA,L 25-30,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
136,2009,2009-11-15,9,33.176,NYJ,,JAX,L 22-24,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
137,2009,2009-11-22,10,33.183,NYJ,@,NWE,L 14-31,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,,,0,2,0.0,0,0
138,2009,2009-11-29,11,33.190,NYJ,,CAR,W 17-6,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
139,2009,2009-12-03,12,33.194,NYJ,@,BUF,W 19-13,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,4,4,100.0,0,13,0.0,0,0
140,2009,2009-12-13,13,33.204,NYJ,@,TAM,W 26-3,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,4,5,80.0,0,14,0.0,0,0
141,2009,2009-12-20,14,33.211,NYJ,,ATL,L 7-10,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,2,0.0,0,1,0.0,0,0
142,2009,2009-12-27,15,33.218,NYJ,@,IND,W 29-15,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
143,2009,2010-01-03,16,33.225,NYJ,,CIN,W 37-0,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,3,3,100.0,0,13,0.0,0,0
144,2010,2010-09-12,1,34.112,ARI,@,STL,W 17-13,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
145,2010,2010-09-19,2,34.119,ARI,@,ATL,L 7-41,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,1,0.0,0,1,0.0,0,0
146,2010,2010-09-26,3,34.126,ARI,,OAK,W 24-23,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
147,2010,2010-10-03,4,34.133,ARI,@,SDG,L 10-41,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
148,2010,2010-10-10,5,34.140,ARI,,NOR,W 30-20,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,0,0
149,2010,2010-10-24,6,34.154,ARI,@,SEA,L 10-22,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
150,2010,2010-10-31,7,34.161,ARI,,TAM,L 35-38,,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,,,,0,5,0.0,0,0
151,2010,2010-11-07,8,34.168,ARI,@,MIN,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
152,2010,2010-11-14,9,34.175,ARI,,SEA,L 18-36,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
153,2010,2010-11-21,10,34.182,ARI,@,KAN,L 13-31,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
154,2010,2010-11-29,11,34.190,ARI,,SFO,L 6-27,,0,0,,0,0,0,0,,0,0.0%,,,,,2,2,100.0,0,6,0.0,0,0
155,2010,2010-12-05,12,34.196,ARI,,STL,L 6-19,,0,0,,0,0,0,0,,0,0.0%,,,,,2,2,100.0,0,6,0.0,0,0
156,2010,2010-12-12,13,34.203,ARI,,DEN,W 43-13,,1,5,5.00,1,0,0,0,,0,0.0%,,4,4,100.0,5,6,83.3,1,25,0.0,0,0
157,2010,2010-12-19,14,34.210,ARI,@,CAR,L 12-19,,0,0,,0,0,0,0,,0,0.0%,,,,,2,2,100.0,0,6,0.0,0,0
158,2010,2010-12-25,15,34.216,ARI,,DAL,W 27-26,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,3,66.7,0,9,0.0,0,0
159,2010,2011-01-02,16,34.224,ARI,@,SFO,L 7-38,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,,,0,1,0.0,0,0
160,2011,2011-09-11,1,35.111,ARI,,CAR,W 28-21,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,,1,0.0,0,4,0.0,0,0
161,2011,2011-09-18,2,35.118,ARI,@,WAS,L 21-22,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,0.0,0,0
162,2011,2011-09-25,3,35.125,ARI,@,SEA,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,3,33.3,0,4,0.0,0,0
163,2011,2011-10-02,4,35.132,ARI,,NYG,L 27-31,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
164,2011,2011-10-09,5,35.139,ARI,@,MIN,L 10-34,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
165,2011,2011-10-23,6,35.153,ARI,,PIT,L 20-32,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,,,0,2,0.0,0,0
166,2011,2011-10-30,7,35.160,ARI,@,BAL,L 27-30,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
