ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
13,1951,1951-10-14,3,28.304,CRD,@,NYG,L 17-28,*,13,30,43.33,134,1,1,54.0,0,0,4.47,3.63,0,0,,0,0,0,,0
14,1951,1951-10-21,4,28.311,CRD,@,WAS,L 3-7,*,13,29,44.83,134,0,2,30.0,0,0,4.62,1.52,9,65,7.22,0,0,0,,0
15,1951,1951-10-28,5,28.318,CRD,,PIT,L 14-28,*,3,8,37.50,19,0,1,6.2,0,0,2.38,-3.25,3,10,3.33,0,0,0,,0
16,1951,1951-11-04,6,28.325,CRD,,CLE,L 17-34,,5,9,55.56,94,0,0,91.9,0,0,10.44,10.44,1,-2,-2.00,0,0,0,,0
17,1951,1951-11-11,7,28.332,CRD,@,RAM,L 21-45,,6,17,35.29,135,1,3,44.6,0,0,7.94,1.18,8,29,3.63,1,0,0,,0
18,1951,1951-11-18,8,28.339,CRD,@,SFO,W 27-21,*,8,16,50.00,189,1,1,87.8,0,0,11.81,10.25,16,81,5.06,1,0,0,,0
19,1951,1951-11-25,9,28.346,CRD,,NYG,L 0-10,*,6,10,60.00,53,0,0,74.2,0,0,5.30,5.30,8,37,4.63,0,0,0,,0
20,1951,1951-12-02,10,28.353,CRD,@,CLE,L 28-49,,11,20,55.00,147,3,1,97.3,0,0,7.35,8.10,4,50,12.50,0,0,0,,0
21,1951,1951-12-09,11,28.360,CRD,,WAS,L 17-20,*,6,11,54.55,64,0,0,71.8,0,0,5.82,5.82,8,37,4.63,0,0,0,,0
22,1951,1951-12-16,12,29.002,CRD,@,CHI,W 24-14,,9,19,47.37,106,1,1,60.4,0,0,5.58,4.26,13,145,11.15,2,0,0,,0
23,1952,1952-09-29,1,29.290,CRD,,WAS,L 7-23,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,2,2,1.00,0,0,0,,0
24,1952,1952-10-05,2,29.296,CRD,,CHI,W 21-10,*,7,19,36.84,51,0,1,23.4,0,0,2.68,0.32,7,86,12.29,1,0,0,,0
25,1952,1952-10-12,3,29.303,CRD,@,WAS,W 17-6,*,12,22,54.55,122,0,2,32.8,0,0,5.55,1.45,13,19,1.46,1,0,0,,0
26,1952,1952-10-19,4,29.310,CRD,@,NYG,W 24-23,*,8,15,53.33,156,1,2,72.5,0,0,10.40,5.73,1,1,1.00,1,0,0,,0
27,1952,1952-10-26,5,29.317,CRD,,PIT,L 28-34,*,1,7,14.29,27,0,0,43.2,0,0,3.86,3.86,7,21,3.00,0,0,0,,0
28,1952,1952-11-02,6,29.324,CRD,,NYG,L 6-28,*,4,8,50.00,52,1,0,110.4,0,0,6.50,9.00,0,0,,0,0,0,,0
29,1952,1952-11-09,7,29.331,CRD,@,CLE,L 13-28,*,5,12,41.67,47,0,0,53.1,0,0,3.92,3.92,7,38,5.43,1,0,0,,0
30,1952,1952-11-16,8,29.338,CRD,@,PHI,L 7-10,*,15,28,53.57,118,1,0,76.2,0,0,4.21,4.93,9,42,4.67,0,0,0,,0
31,1952,1952-11-30,10,29.352,CRD,,PHI,W 28-22,*,9,19,47.37,92,1,1,57.3,0,0,4.84,3.53,4,22,5.50,0,0,0,,0
32,1952,1952-12-07,11,29.359,CRD,,CLE,L 0-10,*,9,16,56.25,49,0,2,22.1,0,0,3.06,-2.56,1,1,1.00,0,0,0,,0
33,1952,1952-12-14,12,30.000,CRD,@,CHI,L 7-10,*,14,34,41.18,176,1,4,28.2,0,0,5.18,0.47,0,0,,0,0,0,,0
34,1953,1953-09-27,1,30.287,CRD,,WAS,L 13-24,,2,2,100.00,18,0,0,104.2,0,0,9.00,9.00,12,61,5.08,0,2,19,9.50,0
35,1953,1953-10-04,2,30.294,CRD,,CLE,L 7-27,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,22,5.50,0,0,11,,1
36,1953,1953-10-11,3,30.301,CRD,@,PIT,L 28-31,,1,2,50.00,3,1,0,95.8,0,0,1.50,11.50,9,40,4.44,0,0,0,,0
37,1953,1953-10-18,4,30.308,CRD,@,NYG,L 7-21,,0,0,,0,0,,,,,,,8,0,0.00,0,0,0,,0
38,1953,1953-10-25,5,30.315,CRD,,PHI,L 17-56,,0,0,,0,0,,,,,,,7,39,5.57,0,1,8,8.00,1
39,1953,1953-11-01,6,30.322,CRD,,NYG,L 20-23,,0,0,,0,0,,,,,,,10,44,4.40,0,2,1,0.50,0
40,1953,1953-11-08,7,30.329,CRD,@,WAS,L 17-28,,0,0,,0,0,,,,,,,13,66,5.08,0,0,0,,0
41,1953,1953-11-15,8,30.336,CRD,,RAM,T 24-24,,11,16,68.75,117,1,0,110.7,0,0,7.31,8.56,15,96,6.40,0,1,6,6.00,0
42,1953,1953-11-21,9,30.342,CRD,@,PHI,L 0-38,,1,3,33.33,8,0,1,2.8,0,0,2.67,-12.33,4,23,5.75,0,0,0,,0
43,1953,1953-11-29,10,30.350,CRD,@,CLE,L 16-27,,2,5,40.00,21,0,0,52.9,0,0,4.20,4.20,13,39,3.00,0,2,26,13.00,0
44,1953,1953-12-06,11,30.357,CRD,,PIT,L 17-21,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,1,3,3.00,0,0,0,,0
45,1953,1953-12-13,12,30.364,CRD,@,CHI,W 24-17,,2,4,50.00,20,0,0,64.6,0,0,5.00,5.00,1,0,0.00,0,0,0,,0
46,1954,1954-09-26,1,31.286,CRD,,NYG,L 10-41,,1,2,50.00,7,0,0,58.3,0,0,3.50,3.50,0,0,,0,2,13,6.50,0
47,1954,1954-10-03,2,31.293,CRD,,PHI,L 16-35,,4,9,44.44,57,0,3,25.9,0,0,6.33,-8.67,4,31,7.75,0,0,0,,0
48,1954,1954-10-10,3,31.300,CRD,@,CLE,L 7-31,,0,0,,0,0,,,,,,,3,4,1.33,0,1,5,5.00,0
49,1954,1954-10-17,4,31.307,CRD,@,NYG,L 17-31,,0,0,,0,0,,,,,,,1,46,46.00,0,0,0,,0
50,1954,1954-11-14,8,31.335,CRD,@,RAM,L 17-28,,2,2,100.00,21,0,0,110.4,0,0,10.50,10.50,2,55,27.50,1,0,0,,0
51,1954,1954-11-28,10,31.349,CRD,@,PIT,L 17-20,,0,0,,0,0,,,,,,,1,1,1.00,0,0,0,,0
