ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
17,2002,2002-09-09,1,25.037,NWE,,PIT,W 30-14,*,29,43,67.44,294,3,0,110.0,2,14,6.84,8.23,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
18,2002,2002-09-15,2,25.043,NWE,@,NYJ,W 44-7,*,25,35,71.43,269,2,1,100.8,0,0,7.69,7.54,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
19,2002,2002-09-22,3,25.050,NWE,,KAN,W 41-38,*,39,54,72.22,410,4,1,110.9,4,11,7.59,8.24,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
20,2002,2002-09-29,4,25.057,NWE,@,SDG,L 14-21,*,36,53,67.92,353,2,2,83.3,0,0,6.66,5.72,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
21,2002,2002-10-06,5,25.064,NWE,@,MIA,L 13-26,*,17,31,54.84,240,2,2,74.7,3,32,7.74,6.13,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
22,2002,2002-10-13,6,25.071,NWE,,GNB,L 10-28,*,24,44,54.55,183,1,3,44.0,2,17,4.16,1.55,5,26,5.20,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
23,2002,2002-10-27,7,25.085,NWE,,DEN,L 16-24,*,15,29,51.72,130,1,0,75.4,5,20,4.48,5.17,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
24,2002,2002-11-03,8,25.092,NWE,@,BUF,W 38-7,*,22,26,84.62,265,3,0,147.6,1,2,10.19,12.50,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
25,2002,2002-11-10,9,25.099,NWE,@,CHI,W 33-30,*,36,55,65.45,328,3,1,92.1,2,13,5.96,6.24,3,16,5.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
26,2002,2002-11-17,10,25.106,NWE,@,OAK,L 20-27,*,18,30,60.00,172,0,0,76.0,4,25,5.73,5.73,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
27,2002,2002-11-24,11,25.113,NWE,,MIN,W 24-17,*,21,34,61.76,239,3,0,112.3,2,20,7.03,8.79,6,4,0.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
28,2002,2002-11-28,12,25.117,NWE,@,DET,W 20-12,*,18,30,60.00,210,0,1,67.4,0,0,7.00,5.50,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
29,2002,2002-12-08,13,25.127,NWE,,BUF,W 27-17,*,15,27,55.56,183,2,0,101.3,0,0,6.78,8.26,5,-5,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
30,2002,2002-12-16,14,25.135,NWE,@,TEN,L 7-24,*,14,29,48.28,134,0,1,47.2,3,17,4.62,3.07,2,10,5.00,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
31,2002,2002-12-22,15,25.141,NWE,,NYJ,L 17-30,*,19,37,51.35,133,1,1,57.6,2,14,3.59,2.92,4,24,6.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
32,2002,2002-12-29,16,25.148,NWE,,MIA,W 27-24,*,25,44,56.82,221,1,1,68.5,1,5,5.02,4.45,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
33,2003,2003-09-07,1,26.035,NWE,@,BUF,L 0-31,*,14,28,50.00,123,0,4,22.5,2,20,4.39,-2.04,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
34,2003,2003-09-14,2,26.042,NWE,@,PHI,W 31-10,*,30,44,68.18,255,3,0,105.8,2,8,5.80,7.16,6,7,1.17,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
35,2003,2003-09-21,3,26.049,NWE,,NYJ,W 23-16,*,15,25,60.00,181,0,0,82.2,5,34,7.24,7.24,3,-1,-0.33,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
36,2003,2003-09-28,4,26.056,NWE,@,WAS,L 17-20,*,25,38,65.79,289,2,3,73.2,1,8,7.61,5.11,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
37,2003,2003-10-05,5,26.063,NWE,,TEN,W 38-30,*,17,31,54.84,219,1,0,88.0,3,26,7.06,7.71,3,2,0.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
38,2003,2003-10-12,6,26.070,NWE,,NYG,W 17-6,*,8,21,38.10,112,0,0,56.1,2,21,5.33,5.33,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
39,2003,2003-10-19,7,26.077,NWE,@,MIA,W 19-13,*,24,34,70.59,283,2,0,115.2,1,10,8.32,9.50,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
40,2003,2003-10-26,8,26.084,NWE,,CLE,W 9-3,*,20,33,60.61,259,0,0,85.3,1,6,7.85,7.85,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
41,2003,2003-11-03,9,26.092,NWE,@,DEN,W 30-26,*,20,35,57.14,350,3,1,108.0,0,0,10.00,10.43,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
42,2003,2003-11-16,10,26.105,NWE,,DAL,W 12-0,*,15,34,44.12,212,0,0,64.8,2,9,6.24,6.24,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
43,2003,2003-11-23,11,26.112,NWE,@,HOU,W 23-20,*,29,47,61.70,368,2,2,82.6,4,24,7.83,6.77,6,15,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
44,2003,2003-11-30,12,26.119,NWE,@,IND,W 38-34,*,26,35,74.29,236,2,2,87.3,2,10,6.74,5.31,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
45,2003,2003-12-07,13,26.126,NWE,,MIA,W 12-0,*,16,31,51.61,163,0,0,67.0,3,13,5.26,5.26,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,1,36,36.00,0
46,2003,2003-12-14,14,26.133,NWE,,JAX,W 27-13,*,22,34,64.71,228,2,0,103.6,2,16,6.71,7.88,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
47,2003,2003-12-20,15,26.139,NWE,@,NYJ,W 21-16,*,15,25,60.00,138,2,0,101.7,0,0,5.52,7.12,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
48,2003,2003-12-27,16,26.146,NWE,,BUF,W 31-0,*,21,32,65.63,204,4,0,122.9,2,14,6.38,8.88,5,23,4.60,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
49,2004,2004-09-09,1,27.037,NWE,,IND,W 27-24,*,26,38,68.42,335,3,1,111.2,2,15,8.82,9.21,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
50,2004,2004-09-19,2,27.047,NWE,@,ARI,W 23-12,*,15,26,57.69,219,2,2,78.8,2,12,8.42,6.50,5,3,0.60,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
51,2004,2004-10-03,3,27.061,NWE,@,BUF,W 31-17,*,17,30,56.67,298,2,0,112.9,0,0,9.93,11.27,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
52,2004,2004-10-10,4,27.068,NWE,,MIA,W 24-10,*,7,19,36.84,76,2,1,62.6,1,7,4.00,3.74,4,-1,-0.25,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
53,2004,2004-10-17,5,27.075,NWE,,SEA,W 30-20,*,19,30,63.33,231,1,1,84.2,1,7,7.70,6.87,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
54,2004,2004-10-24,6,27.082,NWE,,NYJ,W 13-7,*,20,29,68.97,230,1,0,104.1,3,20,7.93,8.62,3,-3,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
55,2004,2004-10-31,7,27.089,NWE,@,PIT,L 20-34,*,25,43,58.14,271,2,2,72.9,4,28,6.30,5.14,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
56,2004,2004-11-07,8,27.096,NWE,@,STL,W 40-22,*,18,31,58.06,234,2,0,103.4,2,9,7.55,8.84,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
57,2004,2004-11-14,9,27.103,NWE,,BUF,W 29-6,*,19,35,54.29,233,2,1,82.2,2,13,6.66,6.51,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
58,2004,2004-11-22,10,27.111,NWE,@,KAN,W 27-19,*,17,26,65.38,315,1,0,119.9,1,6,12.12,12.88,5,-1,-0.20,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
59,2004,2004-11-28,11,27.117,NWE,,BAL,W 24-3,*,15,30,50.00,172,0,0,67.6,1,2,5.73,5.73,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
60,2004,2004-12-05,12,27.124,NWE,@,CLE,W 42-15,*,11,20,55.00,157,1,1,76.5,2,14,7.85,6.60,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
61,2004,2004-12-12,13,27.131,NWE,,CIN,W 35-28,*,18,26,69.23,260,2,0,127.1,1,3,10.00,11.54,5,2,0.40,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
62,2004,2004-12-20,14,27.139,NWE,@,MIA,L 28-29,*,18,29,62.07,171,3,4,73.3,2,15,5.90,1.76,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
63,2004,2004-12-26,15,27.145,NWE,@,NYJ,W 23-7,*,21,32,65.63,264,2,0,112.0,1,6,8.25,9.50,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
64,2004,2005-01-02,16,27.152,NWE,,SFO,W 21-7,*,22,30,73.33,226,2,1,102.9,1,5,7.53,7.37,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
65,2005,2005-09-08,1,28.036,NWE,,OAK,W 30-20,*,24,38,63.16,306,2,0,105.8,0,0,8.05,9.11,3,-1,-0.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
66,2005,2005-09-18,2,28.046,NWE,@,CAR,L 17-27,*,23,44,52.27,270,1,1,69.3,2,21,6.14,5.57,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
67,2005,2005-09-25,3,28.053,NWE,@,PIT,W 23-20,*,31,41,75.61,372,0,1,92.7,3,26,9.07,7.98,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
68,2005,2005-10-02,4,28.060,NWE,,SDG,L 17-41,*,19,32,59.38,224,1,1,78.1,1,8,7.00,6.22,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
69,2005,2005-10-09,5,28.067,NWE,@,ATL,W 31-28,*,22,27,81.48,350,3,1,140.4,1,8,12.96,13.52,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
70,2005,2005-10-16,6,28.074,NWE,@,DEN,L 20-28,*,24,46,52.17,299,1,0,79.9,0,0,6.50,6.93,1,12,12.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
71,2005,2005-10-30,7,28.088,NWE,,BUF,W 21-16,*,14,21,66.67,199,1,0,113.0,3,19,9.48,10.43,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
72,2005,2005-11-07,8,28.096,NWE,,IND,L 21-40,*,22,33,66.67,265,3,0,121.4,1,18,8.03,9.85,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
73,2005,2005-11-13,9,28.102,NWE,@,MIA,W 23-16,*,21,36,58.33,275,2,2,77.9,2,1,7.64,6.25,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
74,2005,2005-11-20,10,28.109,NWE,,NOR,W 24-17,*,15,29,51.72,222,3,0,111.6,3,28,7.66,9.72,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
75,2005,2005-11-27,11,28.116,NWE,@,KAN,L 16-26,*,22,40,55.00,248,1,4,42.5,3,16,6.20,2.20,1,15,15.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
76,2005,2005-12-04,12,28.123,NWE,,NYJ,W 16-3,*,27,37,72.97,271,0,0,93.4,2,20,7.32,7.32,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
77,2005,2005-12-11,13,28.130,NWE,@,BUF,W 35-7,*,29,38,76.32,329,2,2,97.4,1,1,8.66,7.34,4,17,4.25,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
78,2005,2005-12-17,14,28.136,NWE,,TAM,W 28-0,*,20,31,64.52,258,3,0,122.8,1,5,8.32,10.26,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
79,2005,2005-12-26,15,28.145,NWE,@,NYJ,W 31-21,*,18,29,62.07,185,2,1,89.0,3,17,6.38,6.21,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
80,2005,2006-01-01,16,28.151,NWE,,MIA,L 26-28,*,3,8,37.50,37,1,1,52.6,0,0,4.63,1.50,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
81,2006,2006-09-10,1,29.038,NWE,,BUF,W 19-17,*,11,23,47.83,163,2,1,82.3,3,27,7.09,6.87,5,3,0.60,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
82,2006,2006-09-17,2,29.045,NWE,@,NYJ,W 24-17,*,15,29,51.72,220,1,1,73.9,1,9,7.59,6.72,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
83,2006,2006-09-24,3,29.052,NWE,,DEN,L 7-17,*,31,55,56.36,320,1,0,79.4,0,0,5.82,6.18,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
84,2006,2006-10-01,4,29.059,NWE,@,CIN,W 38-13,*,15,26,57.69,188,2,1,89.9,0,0,7.23,7.04,2,21,10.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
85,2006,2006-10-08,5,29.066,NWE,,MIA,W 20-10,*,16,29,55.17,140,2,0,91.2,1,6,4.83,6.21,4,-3,-0.75,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
86,2006,2006-10-22,6,29.080,NWE,@,BUF,W 28-6,*,18,27,66.67,195,2,0,112.4,4,24,7.22,8.70,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
87,2006,2006-10-30,7,29.088,NWE,@,MIN,W 31-7,*,29,43,67.44,372,4,1,115.6,3,27,8.65,9.47,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
88,2006,2006-11-05,8,29.094,NWE,,IND,L 20-27,*,20,35,57.14,201,0,4,34.0,0,0,5.74,0.60,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
89,2006,2006-11-12,9,29.101,NWE,,NYJ,L 14-17,*,24,36,66.67,253,1,1,84.6,4,21,7.03,6.33,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
90,2006,2006-11-19,10,29.108,NWE,@,GNB,W 35-0,*,20,31,64.52,244,4,0,128.2,1,4,7.87,10.45,4,6,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
91,2006,2006-11-26,11,29.115,NWE,,CHI,W 17-13,*,22,33,66.67,267,1,2,76.2,0,0,8.09,5.97,6,12,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
92,2006,2006-12-03,12,29.122,NWE,,DET,W 28-21,*,27,38,71.05,305,0,1,83.8,2,21,8.03,6.84,6,9,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
93,2006,2006-12-10,13,29.129,NWE,@,MIA,L 0-21,*,12,25,48.00,78,0,0,55.1,4,20,3.12,3.12,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
94,2006,2006-12-17,14,29.136,NWE,,HOU,W 40-7,*,16,23,69.57,109,2,0,108.8,1,4,4.74,6.48,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
95,2006,2006-12-24,15,29.143,NWE,@,JAX,W 24-21,*,28,39,71.79,249,1,0,97.1,1,7,6.38,6.90,10,31,3.10,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
96,2006,2006-12-31,16,29.150,NWE,@,TEN,W 40-23,*,15,24,62.50,225,1,0,107.1,1,5,9.38,10.21,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
97,2007,2007-09-09,1,30.037,NWE,@,NYJ,W 38-14,*,22,28,78.57,297,3,0,146.6,0,0,10.61,12.75,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
98,2007,2007-09-16,2,30.044,NWE,,SDG,W 38-14,*,25,31,80.65,279,3,1,123.0,2,16,9.00,9.48,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
99,2007,2007-09-23,3,30.051,NWE,,BUF,W 38-7,*,23,29,79.31,311,4,0,150.9,1,3,10.72,13.48,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
100,2007,2007-10-01,4,30.059,NWE,@,CIN,W 34-13,*,25,32,78.13,231,3,1,115.0,0,0,7.22,7.69,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
101,2007,2007-10-07,5,30.065,NWE,,CLE,W 34-17,*,22,38,57.89,265,3,0,105.7,0,0,6.97,8.55,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
102,2007,2007-10-14,6,30.072,NWE,@,DAL,W 48-27,*,31,46,67.39,388,5,0,129.6,3,15,8.43,10.61,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
103,2007,2007-10-21,7,30.079,NWE,@,MIA,W 49-28,*,21,25,84.00,354,6,0,158.3,1,10,14.16,18.96,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
104,2007,2007-10-28,8,30.086,NWE,,WAS,W 52-7,*,29,38,76.32,306,3,0,125.5,1,0,8.05,9.63,4,14,3.50,2,0,0,0,,0,0.0%,,2,12,0.0,,,0,0,,0
105,2007,2007-11-04,9,30.093,NWE,@,IND,W 24-20,*,21,32,65.63,255,3,2,95.2,2,18,7.97,7.03,5,14,2.80,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
106,2007,2007-11-18,10,30.107,NWE,@,BUF,W 56-10,*,31,39,79.49,373,5,0,146.1,0,0,9.56,12.13,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
107,2007,2007-11-25,11,30.114,NWE,,PHI,W 31-28,*,34,54,62.96,380,1,0,90.0,3,18,7.04,7.41,3,16,5.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
108,2007,2007-12-03,12,30.122,NWE,@,BAL,W 27-24,*,18,38,47.37,257,2,1,76.3,3,21,6.76,6.63,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
109,2007,2007-12-09,13,30.128,NWE,,PIT,W 34-13,*,32,46,69.57,399,4,0,125.2,0,0,8.67,10.41,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
110,2007,2007-12-16,14,30.135,NWE,,NYJ,W 20-10,*,14,27,51.85,140,0,1,51.5,1,6,5.19,3.52,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
111,2007,2007-12-23,15,30.142,NWE,,MIA,W 28-7,*,18,33,54.55,215,3,2,79.7,3,11,6.52,5.61,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
112,2007,2007-12-29,16,30.148,NWE,@,NYG,W 38-35,*,32,42,76.19,356,2,0,116.8,1,10,8.48,9.43,4,-4,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
113,2008,2008-09-07,1,31.035,NWE,,KAN,W 17-10,*,7,11,63.64,76,0,0,83.9,0,0,6.91,6.91,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
114,2009,2009-09-14,1,32.042,NWE,,BUF,W 25-24,*,39,53,73.58,378,2,1,97.8,1,10,7.13,7.04,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
115,2009,2009-09-20,2,32.048,NWE,@,NYJ,L 9-16,*,23,47,48.94,216,0,1,53.1,0,0,4.60,3.64,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
116,2009,2009-09-27,3,32.055,NWE,,ATL,W 26-10,*,25,42,59.52,277,1,0,87.1,0,0,6.60,7.07,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
117,2009,2009-10-04,4,32.062,NWE,,BAL,W 27-21,*,21,32,65.63,258,1,0,100.8,3,24,8.06,8.69,5,11,2.20,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,,0
118,2009,2009-10-11,5,32.069,NWE,@,DEN,L 17-20,*,19,33,57.58,215,2,0,97.4,1,6,6.52,7.73,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
119,2009,2009-10-18,6,32.076,NWE,,TEN,W 59-0,*,29,34,85.29,380,6,0,152.8,2,6,11.18,14.71,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
120,2009,2009-10-25,7,32.083,NWE,@,TAM,W 35-7,*,23,32,71.88,308,3,2,107.3,1,1,9.63,8.69,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
121,2009,2009-11-08,8,32.097,NWE,,MIA,W 27-17,*,25,37,67.57,332,1,1,93.5,2,9,8.97,8.30,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
122,2009,2009-11-15,9,32.104,NWE,@,IND,L 34-35,*,29,42,69.05,375,3,1,110.7,2,11,8.93,9.29,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
123,2009,2009-11-22,10,32.111,NWE,,NYJ,W 31-14,*,28,41,68.29,310,1,0,98.6,2,11,7.56,8.05,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
124,2009,2009-11-30,11,32.119,NWE,@,NOR,L 17-38,*,21,36,58.33,237,0,2,55.0,1,4,6.58,4.08,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
125,2009,2009-12-06,12,32.125,NWE,@,MIA,L 21-22,*,19,29,65.52,352,2,2,101.5,0,0,12.14,10.41,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
