ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
40,2003,2003-11-02,8,24.164,WAS,@,DAL,L 14-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,30,0
41,2003,2003-11-09,9,24.171,WAS,,SEA,W 27-20,*,0,,,,,0.0%,,,,,,,,,,,
42,2003,2003-11-16,10,24.178,WAS,@,CAR,L 17-20,*,0,,,,,0.0%,,,,,,,,,,,
43,2003,2003-11-23,11,24.185,WAS,@,MIA,L 23-24,,0,,,,,0.0%,,,,,,,,,,,
44,2003,2003-11-30,12,24.192,WAS,,NOR,L 20-24,*,0,,,,,0.0%,,,,,,,,,,,
45,2003,2003-12-07,13,24.199,WAS,@,NYG,W 20-7,*,0,,,,,0.0%,,,,,,,,,,,
46,2003,2003-12-14,14,24.206,WAS,,DAL,L 0-27,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0
47,2003,2003-12-21,15,24.213,WAS,@,CHI,L 24-27,*,0,,,,,0.0%,,,,,,,,,,,
48,2004,2004-09-12,1,25.113,ARI,@,STL,L 10-17,,,,,,,0.0%,,,,,,,,,,,
49,2004,2004-09-19,2,25.120,ARI,,NWE,L 12-23,,,,,,,0.0%,,,,,,,,,,,
50,2004,2004-09-26,3,25.127,ARI,@,ATL,L 3-6,,0,,,,,0.0%,,,,,,,,,,,
51,2004,2004-10-03,4,25.134,ARI,,NOR,W 34-10,*,0,,,,,0.0%,,,,,,,,,,,
52,2004,2004-10-10,5,25.141,ARI,@,SFO,L 28-31,*,0,,,,,0.0%,,,,,,,,,,,
53,2004,2004-10-24,6,25.155,ARI,,SEA,W 25-17,*,0,,,,,0.0%,,,,,,,,,,,
54,2004,2004-10-31,7,25.162,ARI,@,BUF,L 14-38,*,0,,,,,0.0%,,,,,,,,,,,
55,2004,2004-11-07,8,25.169,ARI,@,MIA,W 24-23,*,0,,,,,0.0%,,,,,,,,,,,
56,2004,2004-11-14,9,25.176,ARI,,NYG,W 17-14,*,0,,,,,0.0%,,,,,,,,,,,
57,2004,2004-11-21,10,25.183,ARI,@,CAR,L 10-35,*,0,,,,,0.0%,,,,,,,,,,,
58,2004,2004-11-28,11,25.190,ARI,,NYJ,L 3-13,*,0,,,,,0.0%,,,,,,,,,,,
59,2004,2004-12-05,12,25.197,ARI,@,DET,L 12-26,*,0,,,,,0.0%,,,,,,,,,,,
60,2004,2004-12-12,13,25.204,ARI,,SFO,L 28-31,*,0,,,,,0.0%,,,,,,,,,,,
61,2004,2004-12-19,14,25.211,ARI,,STL,W 31-7,*,0,,,,,0.0%,,,,,,,,,,,
62,2004,2004-12-26,15,25.218,ARI,@,SEA,L 21-24,*,0,,,,,0.0%,,,,,,,,,,,
63,2004,2005-01-02,16,25.225,ARI,,TAM,W 12-7,*,,,,,,0.0%,,,,,,,,,,,
64,2005,2005-09-11,1,26.112,CIN,@,CLE,W 27-13,,0,,,,,0.0%,,,,,,,,,,,
65,2005,2005-09-18,2,26.119,CIN,,MIN,W 37-8,,0,,,,,0.0%,,,,,,,,,,,
66,2005,2005-09-25,3,26.126,CIN,@,CHI,W 24-7,,0,,,,,0.0%,,,,,,,,,,,
67,2005,2005-10-02,4,26.133,CIN,,HOU,W 16-10,*,0,,,,,0.0%,,,,,,,,,,,
68,2005,2005-10-09,5,26.140,CIN,@,JAX,L 20-23,*,0,,,,,0.0%,,,,,,,,,,,
69,2005,2005-10-16,6,26.147,CIN,@,TEN,W 31-23,*,0,,,,,0.0%,,,,,,,,,,,
70,2005,2005-10-23,7,26.154,CIN,,PIT,L 13-27,*,0,,,,,0.0%,,,,,,,,,,,
71,2005,2005-10-30,8,26.161,CIN,,GNB,W 21-14,*,0,,,,,0.0%,,,,,,,,,,,
72,2005,2005-11-06,9,26.168,CIN,@,BAL,W 21-9,*,0,,,,,0.0%,,,,,,,,,,,
73,2005,2005-11-20,10,26.182,CIN,,IND,L 37-45,*,0,,,,,0.0%,,,,,,,,,,,
74,2005,2005-11-27,11,26.189,CIN,,BAL,W 42-29,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,15,0
75,2005,2005-12-04,12,26.196,CIN,@,PIT,W 38-31,*,0,,,,,0.0%,,,,,,,,,,,
76,2005,2005-12-11,13,26.203,CIN,,CLE,W 23-20,*,0,,,,,0.0%,,,,,,,,,,,
77,2005,2005-12-24,15,26.216,CIN,,BUF,L 27-37,*,0,,,,,0.0%,,,,,,,,,,,
78,2005,2006-01-01,16,26.224,CIN,@,KAN,L 3-37,*,0,,,,,0.0%,,,,,,,,,,,
