ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
48,1982,1982-09-19,2,25.157,BAL,@,MIA,L 20-24,,,,,,,,,,,,0,0,,0,,,,,,
49,1982,1982-11-21,3,25.220,BAL,@,NYJ,L 0-37,,,,,,,,,,,,0,0,,0,,,,,,
50,1982,1982-11-28,4,25.227,BAL,@,BUF,L 0-20,,,,,,,,,,,,0,0,,0,,,,,,
51,1982,1982-12-05,5,25.234,BAL,,CIN,L 17-20,,0,0,,0,,,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
52,1982,1982-12-12,6,25.241,BAL,@,MIN,L 10-13,,,,,,,,,,,,0,0,,0,,,,,,
53,1982,1982-12-19,7,25.248,BAL,,GNB,T 20-20,,,,,,,,,,,,0,0,,0,,,,,,
54,1982,1982-12-26,8,25.255,BAL,@,SDG,L 26-44,,,,,,,,,,,,0,0,,0,,,,,,
55,1982,1983-01-02,9,25.262,BAL,,MIA,L 7-34,,,,,,,,,,,,0,0,,0,,,,,,
56,1983,1983-09-04,1,26.142,BAL,@,NWE,W 29-23,,0,0,,0,,,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0
57,1983,1983-09-11,2,26.149,BAL,,DEN,L 10-17,,,,,,,,,,,,0,0,,0,,,,,,
58,1983,1983-09-18,3,26.156,BAL,@,BUF,L 23-28,,,,,,,,,,,,0,0,,0,,,,,,
59,1983,1983-09-25,4,26.163,BAL,,CHI,W 22-19,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
60,1983,1983-10-02,5,26.170,BAL,@,CIN,W 34-31,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,17,0
61,1983,1983-10-09,6,26.177,BAL,,NWE,W 12-7,,,,,,,,,,,,0,0,,0,,,,,,
62,1983,1983-10-16,7,26.184,BAL,,BUF,L 7-30,,,,,,,,,,,,0,0,,0,,,,,,
63,1983,1983-10-23,8,26.191,BAL,,MIA,L 7-21,,,,,,,,,,,,0,0,,0,,,,,,
64,1983,1983-10-30,9,26.198,BAL,@,PHI,W 22-21,,,,,,,,,,,,0,0,,0,,,,,,
65,1983,1983-11-06,10,26.205,BAL,@,NYJ,W 17-14,,,,,,,,,,,,0,0,,0,,,,,,
66,1983,1983-11-13,11,26.212,BAL,,PIT,L 13-24,,,,,,,,,,,,0,0,,0,,,,,,
67,1983,1983-11-20,12,26.219,BAL,@,MIA,L 0-37,,,,,,,,,,,,0,0,,0,,,,,,
68,1983,1983-11-27,13,26.226,BAL,@,CLE,L 23-41,,,,,,,,,,,,0,0,,0,,,,,,
69,1983,1983-12-04,14,26.233,BAL,,NYJ,L 6-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,1.0,1,18,0
70,1983,1983-12-11,15,26.240,BAL,@,DEN,L 19-21,,,,,,,,,,,,0,0,,0,,,,,,
71,1983,1983-12-18,16,26.247,BAL,,HOU,W 20-10,,,,,,,,,,,,0,0,,0,,,,,,
72,1984,1984-09-02,1,27.140,IND,,NYJ,L 14-23,,,,,,,,,,,,0,0,,0,,,,,,
73,1984,1984-09-09,2,27.147,IND,@,HOU,W 35-21,,,,,,,,,,,,0,0,,0,,,,,,
74,1984,1984-09-16,3,27.154,IND,,STL,L 33-34,,,,,,,,,,,,0,0,,0,,,,,,
75,1984,1984-09-23,4,27.161,IND,@,MIA,L 7-44,,,,,,,,,,,,0,0,,0,,,,,,
76,1984,1984-09-30,5,27.168,IND,,BUF,W 31-17,,0,0,,0,,,0,0,,0,2,49,24.50,0,0,0,0.0,0,0,0
77,1984,1984-10-07,6,27.175,IND,,WAS,L 7-35,,,,,,,,,,,,0,0,,0,,,,,,
78,1984,1984-10-14,7,27.182,IND,@,PHI,L 7-16,,,,,,,,,,,,0,0,,0,,,,,,
79,1984,1984-10-21,8,27.189,IND,,PIT,W 17-16,,0,0,,0,,,0,0,,0,2,11,5.50,0,0,0,0.0,0,0,0
80,1984,1984-10-28,9,27.196,IND,@,DAL,L 3-22,,0,0,,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
81,1984,1984-11-04,10,27.203,IND,,SDG,L 10-38,,0,0,,0,,,0,0,,0,1,11,11.00,0,0,0,0.0,0,0,0
82,1984,1984-11-11,11,27.210,IND,@,NYJ,W 9-5,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,8,0
83,1984,1984-11-18,12,27.217,IND,,NWE,L 17-50,,,,,,,,,,,,0,0,,0,,,,,,
84,1984,1984-11-25,13,27.224,IND,@,RAI,L 7-21,,,,,,,,,,,,0,0,,0,,,,,,
85,1984,1984-12-02,14,27.231,IND,@,BUF,L 15-21,,,,,,,,,,,,0,0,,0,,,,,,
86,1984,1984-12-09,15,27.238,IND,,MIA,L 17-35,,,,,,,,,,,,0,0,,0,,,,,,
87,1984,1984-12-16,16,27.245,IND,@,NWE,L 10-16,,0,0,,0,,,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
88,1985,1985-09-08,1,28.146,IND,@,PIT,L 3-45,,,,,,,,,,,,,,,,,,,,,
89,1985,1985-09-15,2,28.153,IND,@,MIA,L 13-30,,,,,,,,,,,,,,,,,,,,,
90,1985,1985-09-22,3,28.160,IND,,DET,W 14-6,,,,,,,,,,,,,,,,,,,,,
91,1985,1985-09-29,4,28.167,IND,@,NYJ,L 20-25,,,,,,,,,,,,,,,,,,,,,
92,1985,1985-10-06,5,28.174,IND,,BUF,W 49-17,,,,,,,,,,,,,,,,,,,,,
93,1985,1985-10-13,6,28.181,IND,,DEN,L 10-15,,,,,,,,,,,,,,,,,,,,,
94,1985,1985-10-20,7,28.188,IND,@,BUF,L 9-21,,0,0,,0,,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
95,1985,1985-10-27,8,28.195,IND,,GNB,W 37-10,,,,,,,,,,,,,,,,,,,,,
96,1985,1985-11-03,9,28.202,IND,,NYJ,L 17-35,,,,,,,,,,,,,,,,,,,,,
97,1985,1985-11-10,10,28.209,IND,@,NWE,L 15-34,,,,,,,,,,,,,,,,,,,,,
98,1985,1985-11-17,11,28.216,IND,,MIA,L 20-34,,,,,,,,,,,,,,,,,,,,,
99,1985,1985-11-24,12,28.223,IND,@,KAN,L 7-20,,,,,,,,,,,,,,,,,,,,,
100,1985,1985-12-01,13,28.230,IND,,NWE,L 31-38,,,,,,,,,,,,,,,,,,,,,
101,1985,1985-12-08,14,28.237,IND,@,CHI,L 10-17,,,,,,,,,,,,,,,,,,,,,
102,1985,1985-12-15,15,28.244,IND,@,TAM,W 31-23,,,,,,,,,,,,,,,,,,,,,
103,1985,1985-12-22,16,28.251,IND,,HOU,W 34-16,,0,0,,0,,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
104,1986,1986-09-07,1,29.145,IND,@,NWE,L 3-33,,,,,,,,,,,,,,,,,,,,,
105,1986,1986-09-21,3,29.159,IND,,RAM,L 7-24,,,,,,,,,,,,,,,,,,,,,
106,1986,1986-09-28,4,29.166,IND,,NYJ,L 7-26,,,,,,,,,,,,,,,,,,,,,
107,1986,1986-10-05,5,29.173,IND,@,SFO,L 14-35,,,,,,,,,,,,,,,,,,,,,
108,1986,1986-10-12,6,29.180,IND,,NOR,L 14-17,,,,,,,,,,,,,,,,,,,,,
109,1986,1986-10-19,7,29.187,IND,@,BUF,L 13-24,,,,,,,,,,,,,,,,,,,,,
110,1986,1986-10-26,8,29.194,IND,,MIA,L 13-17,,,,,,,,,,,,,,,,,,,,,
111,1986,1986-11-02,9,29.201,IND,,CLE,L 9-24,,,,,,,,,,,,,,,,,,,,,
112,1986,1986-11-09,10,29.208,IND,,NWE,L 21-30,,,,,,,,,,,,,,,,,,,,,
113,1986,1986-11-16,11,29.215,IND,@,NYJ,L 16-31,,,,,,,,,,,,,,,,,,,,,
114,1986,1986-11-23,12,29.222,IND,@,HOU,L 17-31,,,,,,,,,,,,,,,,,,,,,
115,1986,1986-12-07,14,29.236,IND,@,ATL,W 28-23,,,,,,,,,,,,,,,,,,,,,
116,1986,1986-12-14,15,29.243,IND,,BUF,W 24-14,,,,,,,,,,,,,,,,,,,,,
117,1986,1986-12-21,16,29.250,IND,@,RAI,W 30-24,,,,,,,,,,,,,,,,,,,,,
118,1987,1987-09-13,1,30.151,IND,,CIN,L 21-23,,,,,,,,,,,,,,,,,,,,,
119,1987,1987-09-20,2,30.158,IND,,MIA,L 10-23,,,,,,,,,,,,,,,,,,,,,
120,1987,1987-10-25,6,30.193,IND,,NWE,W 30-16,,,,,,,,,,,,,,,,,,,,,
121,1987,1987-11-01,7,30.200,IND,@,NYJ,W 19-14,,,,,,,,,,,,,,,,,,,,,
122,1987,1987-11-08,8,30.207,IND,,SDG,L 13-16,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
123,1987,1987-11-15,9,30.214,IND,@,MIA,W 40-21,,,,,,,,,,,,,,,,,,,,,
124,1987,1987-11-22,10,30.221,IND,@,NWE,L 0-24,,,,,,,,,,,,,,,,,,,,,
125,1987,1987-11-29,11,30.228,IND,,HOU,W 51-27,,,,,,,,,,,,,,,,,,,,,
126,1987,1987-12-06,12,30.235,IND,@,CLE,W 9-7,,,,,,,,,,,,,,,,,,,,,
127,1987,1987-12-13,13,30.242,IND,,BUF,L 3-27,,,,,,,,,,,,,,,,,,,,,
128,1987,1987-12-20,14,30.249,IND,@,SDG,W 20-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.5,0,0,0
129,1988,1988-09-04,1,31.142,SEA,@,DEN,W 21-14,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,19,0
130,1988,1988-09-11,2,31.149,SEA,,KAN,W 31-10,,,,,,,,,,,,0,0,,0,,,,,,
131,1988,1988-09-18,3,31.156,SEA,@,SDG,L 6-17,,,,,,,,,,,,0,0,,0,,,,,,
132,1988,1988-09-25,4,31.163,SEA,,SFO,L 7-38,,,,,,,,,,,,0,0,,0,,,,,,
133,1988,1988-10-02,5,31.170,SEA,@,ATL,W 31-20,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
134,1988,1988-10-09,6,31.177,SEA,@,CLE,W 16-10,,,,,,,,,,,,0,0,,0,,,,,,
135,1988,1988-10-16,7,31.184,SEA,,NOR,L 19-20,,,,,,,,,,,,0,0,,0,,,,,,
136,1988,1988-10-23,8,31.191,SEA,@,RAM,L 10-31,,,,,,,,,,,,0,0,,0,,,,,,
137,1988,1988-10-30,9,31.198,SEA,,SDG,W 17-14,,,,,,,,,,,,0,0,,0,,,,,,
138,1988,1988-11-06,10,31.205,SEA,,BUF,L 3-13,,0,0,,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
139,1988,1988-11-13,11,31.212,SEA,,HOU,W 27-24,,,,,,,,,,,,0,0,,0,,,,,,
140,1988,1988-11-20,12,31.219,SEA,@,KAN,L 24-27,,,,,,,,,,,,0,0,,0,,,,,,
141,1988,1988-11-28,13,31.227,SEA,,RAI,W 35-27,,,,,,,,,,,,0,0,,0,,,,,,
142,1988,1988-12-04,14,31.233,SEA,@,NWE,L 7-13,,,,,,,,,,,,0,0,,0,,,,,,
143,1988,1988-12-11,15,31.240,SEA,,DEN,W 42-14,,,,,,,,,,,,0,0,,0,,,,,,
144,1988,1988-12-18,16,31.247,SEA,@,RAI,W 43-37,,,,,,,,,,,,0,0,,0,,,,,,
145,1989,1989-09-10,1,32.148,SEA,@,PHI,L 7-31,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0
146,1989,1989-09-17,2,32.155,SEA,,PHO,L 24-34,,0,0,,0,,,,,,,,,,,,,,,,
147,1989,1989-09-24,3,32.162,SEA,@,NWE,W 24-3,,0,0,,0,,,,,,,,,,,,,,,,
148,1989,1989-10-01,4,32.169,SEA,@,RAI,W 24-20,,0,0,,0,,,,,,,,,,,,,,,,
149,1989,1989-10-08,5,32.176,SEA,,KAN,L 16-20,,0,0,,0,,,,,,,,,,,,,,,,
150,1989,1989-10-15,6,32.183,SEA,@,SDG,W 17-16,,0,0,,0,,,,,,,,,,,,,,,,
151,1989,1989-10-22,7,32.190,SEA,,DEN,L 21-24,,0,0,,0,,,,,,,,,,,,,,,,
152,1989,1989-10-29,8,32.197,SEA,,SDG,W 10-7,,0,0,,0,,,,,,,,,,,,,,,,
153,1989,1989-11-05,9,32.204,SEA,@,KAN,L 10-20,,0,0,,0,,,,,,,,,,,,,,,,
154,1989,1989-11-12,10,32.211,SEA,,CLE,L 7-17,,0,0,,0,,,,,,,,,,,,,,,,
155,1989,1989-11-19,11,32.218,SEA,@,NYG,L 3-15,,0,0,,0,,,,,,,,,,,,,,,,
156,1989,1989-11-26,12,32.225,SEA,@,DEN,L 14-41,,0,0,,0,,,,,,,,,,,,,,,,
157,1989,1989-12-04,13,32.233,SEA,,BUF,W 17-16,,0,0,,0,,,,,,,,,,,,,,,,
158,1989,1989-12-10,14,32.239,SEA,@,CIN,W 24-17,,0,0,,0,,,,,,,,,,,,,,,,
159,1989,1989-12-17,15,32.246,SEA,,RAI,W 23-17,,0,0,,0,,,,,,,,,,,,,,,,
160,1989,1989-12-23,16,32.252,SEA,,WAS,L 0-29,,0,0,,0,,,,,,,,,,,,,,,,
161,1990,1990-09-09,1,33.147,SEA,@,CHI,L 0-17,,,,,,,,0,0,,0,,,,,,,,,,
162,1990,1990-09-16,2,33.154,SEA,,RAI,L 13-17,,,,,,,,0,0,,0,,,,,,,,,,
163,1990,1990-09-23,3,33.161,SEA,@,DEN,L 31-34,,,,,,,,0,0,,0,,,,,,,,,,
164,1990,1990-10-01,4,33.169,SEA,,CIN,W 31-16,,,,,,,,0,0,,0,,,,,,,,,,
165,1990,1990-10-07,5,33.175,SEA,@,NWE,W 33-20,,,,,,,,0,0,,0,,,,,,,,,,
166,1990,1990-10-14,6,33.182,SEA,@,RAI,L 17-24,,,,,,,,0,0,,0,,,,,,,,,,
167,1990,1990-10-21,7,33.189,SEA,,KAN,W 19-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
168,1990,1990-11-04,8,33.203,SEA,,SDG,L 14-31,,,,,,,,0,0,,0,,,,,,,,,,
169,1990,1990-11-11,9,33.210,SEA,@,KAN,W 17-16,,0,0,,0,,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
170,1990,1990-11-18,10,33.217,SEA,,MIN,L 21-24,,,,,,,,0,0,,0,,,,,,,,,,
171,1990,1990-11-25,11,33.224,SEA,@,SDG,W 13-10,,,,,,,,0,0,,0,,,,,,,,,,
172,1990,1990-12-02,12,33.231,SEA,,HOU,W 13-10,,,,,,,,0,0,,0,,,,,,,,,,
173,1990,1990-12-09,13,33.238,SEA,@,GNB,W 20-14,,0,0,,0,,,1,2,2.00,0,0,0,,0,0,0,0.0,0,0,0
174,1990,1990-12-16,14,33.245,SEA,@,MIA,L 17-24,,,,,,,,0,0,,0,,,,,,,,,,
175,1990,1990-12-23,15,33.252,SEA,,DEN,W 17-12,,,,,,,,0,0,,0,,,,,,,,,,
176,1990,1990-12-30,16,33.259,SEA,,DET,W 30-10,,,,,,,,0,0,,0,,,,,,,,,,
177,1991,1991-09-01,1,34.139,SEA,@,NOR,L 24-27,,,,,,,,,,,,,,,,,,,,,
178,1991,1991-09-08,2,34.146,SEA,,NYJ,W 20-13,,,,,,,,,,,,,,,,,,,,,
179,1991,1991-09-15,3,34.153,SEA,@,DEN,L 10-16,,,,,,,,,,,,,,,,,,,,,
180,1991,1991-09-22,4,34.160,SEA,@,KAN,L 13-20,,,,,,,,,,,,,,,,,,,,,
181,1991,1991-09-29,5,34.167,SEA,,IND,W 31-3,,,,,,,,,,,,,,,,,,,,,
182,1991,1991-10-06,6,34.174,SEA,@,CIN,W 13-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
183,1991,1991-10-13,7,34.181,SEA,,RAI,L 20-23,,,,,,,,,,,,,,,,,,,,,
184,1991,1991-10-20,8,34.188,SEA,@,PIT,W 27-7,,,,,,,,,,,,,,,,,,,,,
185,1991,1991-10-27,9,34.195,SEA,,SDG,W 20-9,,,,,,,,,,,,,,,,,,,,,
186,1991,1991-11-10,10,34.209,SEA,@,SDG,L 14-17,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.5,0,0,0
187,1991,1991-11-17,11,34.216,SEA,@,RAI,L 7-31,,,,,,,,,,,,,,,,,,,,,
188,1991,1991-11-24,12,34.223,SEA,,DEN,W 13-10,,,,,,,,,,,,,,,,,,,,,
189,1991,1991-12-01,13,34.230,SEA,,KAN,L 6-19,,,,,,,,,,,,,,,,,,,,,
190,1991,1991-12-08,14,34.237,SEA,,SFO,L 22-24,,,,,,,,,,,,,,,,,,,,,
191,1991,1991-12-15,15,34.244,SEA,@,ATL,L 13-26,,0,0,,0,,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
192,1991,1991-12-22,16,34.251,SEA,,RAM,W 23-9,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,28,0
193,1992,1992-09-06,1,35.144,SEA,,CIN,L 3-21,,,,,,0.0%,,,,,,,,,,,,,,,
194,1992,1992-09-13,2,35.151,SEA,@,KAN,L 7-26,,,,,,0.0%,,,,,,,,,,,,,,,
195,1992,1992-09-20,3,35.158,SEA,@,NWE,W 10-6,,,,,,0.0%,,,,,,,,,,,,,,,
196,1992,1992-09-27,4,35.165,SEA,,MIA,L 17-19,,,,,,0.0%,,,,,,,,,,,,,,,
197,1992,1992-10-04,5,35.172,SEA,@,SDG,L 6-17,,,,,,0.0%,,,,,,,,,,,,,,,
198,1992,1992-10-11,6,35.179,SEA,@,DAL,L 0-27,,,,,,0.0%,,,,,,,,,,,,,,,
199,1992,1992-10-18,7,35.186,SEA,,RAI,L 0-19,,,,,,0.0%,,,,,,,,,,,,,,,
200,1992,1992-10-25,8,35.193,SEA,@,NYG,L 10-23,,,,,,0.0%,,,,,,,,,,,,,,,
201,1992,1992-11-08,9,35.207,SEA,,WAS,L 3-16,,,,,,0.0%,,,,,,,,,,,,,,,
202,1992,1992-11-15,10,35.214,SEA,@,RAI,L 3-20,,,,,,0.0%,,,,,,,,,,,,,,,
203,1992,1992-11-22,11,35.221,SEA,,KAN,L 14-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
204,1992,1992-11-30,12,35.229,SEA,,DEN,W 16-13,,,,,,0.0%,,,,,,,,,,,,,,,
205,1992,1992-12-06,13,35.235,SEA,@,PIT,L 14-20,,,,,,0.0%,,,,,,,,,,,,,,,
