ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
48,1976,1976-09-12,1,25.324,NOR,,MIN,L 9-40,0,0,,0,0,0,,0,0,0,,0,0,,,2,22,11.00,0,0,0,0,0,0
49,1976,1976-09-19,2,25.331,NOR,,DAL,L 6-24,,,,,,,,,,,,,,,,,,,,,,,,
50,1976,1976-09-26,3,25.338,NOR,@,KAN,W 27-17,,,,,,,,,,,,,,,,,,,,,,,,
51,1976,1976-10-03,4,25.345,NOR,,HOU,L 26-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
52,1976,1976-10-10,5,25.352,NOR,,ATL,W 30-0,,,,,,,,,,,,,,,,,,,,,,,,
53,1976,1976-10-17,6,25.359,NOR,@,SFO,L 3-33,,,,,,,,,,,,,,,,,,,,,,,,
54,1976,1976-10-24,7,26.000,NOR,,RAM,L 10-16,,,,,,,,,,,,,,,,,,,,,,,,
55,1976,1976-10-31,8,26.007,NOR,@,ATL,L 20-23,,,,,,,,,,,,,,,,,,,,,,,,
56,1976,1976-11-07,9,26.014,NOR,@,GNB,L 27-32,,,,,,,,,,,,,,,,,,,,,,,,
57,1976,1976-11-14,10,26.021,NOR,,DET,W 17-16,,,,,,,,,,,,,,,,,,,,,,,,
58,1976,1976-11-21,11,26.028,NOR,@,SEA,W 51-27,,,,,,,,,,,,,,,,,,,,,,0,0,0
59,1976,1976-11-28,12,26.035,NOR,@,RAM,L 14-33,,,,,,,,,,,,,,,,,,,,,,,,
60,1976,1976-12-05,13,26.042,NOR,@,NWE,L 6-27,,,,,,,,,,,,,,,,,,,,,,,,
61,1976,1976-12-12,14,26.049,NOR,,SFO,L 7-27,,,,,,,,,,,,,,,,,,,,,,,,
62,1977,1977-09-18,1,26.329,NOR,,GNB,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,2,0
63,1977,1977-09-25,2,26.336,NOR,@,DET,L 19-23,,,,,,,,,,,,,,,,,,,,,,,,
64,1977,1977-10-02,3,26.343,NOR,@,CHI,W 42-24,,,,,,,,,,,,,,,,,,,,,,,,
65,1977,1977-10-09,4,26.350,NOR,,SDG,L 0-14,,,,,,,,,,,,,,,,,,,,,,,,
66,1977,1977-10-16,5,26.357,NOR,@,RAM,L 7-14,,,,,,,,,,,,,,,,,,,,,,,,
67,1977,1977-10-23,6,26.364,NOR,@,STL,L 31-49,,,,,,,,,,,,,,,,,,,,,,,,
68,1977,1977-10-30,7,27.006,NOR,,RAM,W 27-26,,,,,,,,,,,,,,,,,,,,,,,,
69,1977,1977-11-20,10,27.027,NOR,,ATL,W 21-20,,,,,,,,,,,,,,,,,,,,,,,,
70,1977,1977-11-27,11,27.034,NOR,@,SFO,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,
71,1977,1977-12-04,12,27.041,NOR,,NYJ,L 13-16,,,,,,,,,,,,,,,,,,,,,,,,
72,1977,1977-12-11,13,27.048,NOR,,TAM,L 14-33,,,,,,,,,,,,,,,,,,,,,,,,
73,1977,1977-12-18,14,27.055,NOR,@,ATL,L 7-35,,,,,,,,,,,,,,,,,,,,,,,,
74,1978,1978-09-03,1,27.314,NOR,,MIN,W 31-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,3,151,1
75,1978,1978-09-10,2,27.321,NOR,@,GNB,L 17-28,,,,,,,,,,,,,,,,,,,,,,,,
76,1978,1978-09-17,3,27.328,NOR,,PHI,L 17-24,,,,,,,,,,,,,,,,,,,,,,,,
77,1978,1978-09-24,4,27.335,NOR,@,CIN,W 20-18,,,,,,,,,,,,,,,,,,,,,,,,
78,1978,1978-10-01,5,27.342,NOR,,RAM,L 20-26,,,,,,,,,,,,,,,,,,,,,,,,
79,1978,1978-10-08,6,27.349,NOR,,CLE,L 16-24,,,,,,,,,,,,,,,,,,,,,,,,
80,1978,1978-10-15,7,27.356,NOR,@,SFO,W 14-7,,,,,,,,,,,,,,,,,,,,,,,,
81,1978,1978-10-22,8,27.363,NOR,@,RAM,W 10-3,,,,,,,,,,,,,,,,,,,,,,,,
82,1978,1978-10-29,9,28.005,NOR,,NYG,W 28-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
83,1978,1978-11-05,10,28.012,NOR,@,PIT,L 14-20,,,,,,,,,,,,,,,,,,,,,,,,
84,1978,1978-11-12,11,28.019,NOR,,ATL,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,
85,1978,1978-11-19,12,28.026,NOR,@,DAL,L 7-27,,,,,,,,,,,,,,,,,,,,,,,,
86,1978,1978-11-26,13,28.033,NOR,@,ATL,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,16,0
87,1978,1978-12-03,14,28.040,NOR,,SFO,W 24-13,,,,,,,,,,,,,,,,,,,,,,,,
88,1978,1978-12-10,15,28.047,NOR,,HOU,L 12-17,,,,,,,,,,,,,,,,,,,,,,,,
89,1978,1978-12-17,16,28.054,NOR,@,TAM,W 17-10,,,,,,,,,,,,,,,,,,,,,,,,
90,1979,1979-09-02,1,28.313,NOR,,ATL,L 34-40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,14,0
91,1979,1979-09-09,2,28.320,NOR,@,GNB,L 19-28,,,,,,,,,,,,,,,,,,,,,,,,
92,1979,1979-09-16,3,28.327,NOR,,PHI,L 14-26,,,,,,,,,,,,,,,,,,,,,,,,
93,1979,1979-09-23,4,28.334,NOR,@,SFO,W 30-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,15,0
94,1979,1979-09-30,5,28.341,NOR,,NYG,W 24-14,,,,,,,,,,,,,,,,,,,,,,,,
95,1979,1979-10-14,7,28.355,NOR,@,TAM,W 42-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,24,0
96,1979,1979-10-21,8,28.362,NOR,,DET,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,1,52,1
97,1979,1979-10-28,9,29.004,NOR,@,WAS,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,2,0
98,1979,1979-11-04,10,29.011,NOR,@,DEN,L 3-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
99,1979,1979-11-11,11,29.018,NOR,,SFO,W 31-20,,,,,,,,,,,,,,,,,,,,,,,,
100,1979,1979-11-18,12,29.025,NOR,@,SEA,L 24-38,,,,,,,,,,,,,,,,,,,,,,,,
101,1979,1979-11-25,13,29.032,NOR,@,ATL,W 37-6,,,,,,,,,,,,,,,,,,,,,,,,
102,1979,1979-12-03,14,29.040,NOR,,OAK,L 35-42,,,,,,,,,,,,,,,,,,,,,,,,
103,1979,1979-12-09,15,29.046,NOR,,SDG,L 0-35,,,,,,,,,,,,,,,,,,,,,,,,
104,1979,1979-12-16,16,29.053,NOR,@,RAM,W 29-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,20,0
105,1980,1980-09-07,1,29.319,NOR,,SFO,L 23-26,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,11,0
106,1980,1980-09-14,2,29.326,NOR,@,CHI,L 3-22,,,,,,,,,,,,,,,,,,,,,,,,
107,1980,1980-09-21,3,29.333,NOR,,BUF,L 26-35,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,25,0
108,1980,1980-09-28,4,29.340,NOR,@,MIA,L 16-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,48,0
109,1980,1980-10-05,5,29.347,NOR,,STL,L 7-40,,,,,,,,,,,,,,,,,,,,,,,,
110,1980,1980-10-12,6,29.354,NOR,@,DET,L 13-24,,,,,,,,,,,,,,,,,,,,,,,,
111,1980,1980-10-19,7,29.361,NOR,,ATL,L 14-41,,,,,,,,,,,,,,,,,,,,,,,,
112,1980,1980-10-26,8,30.002,NOR,@,WAS,L 14-22,,,,,,,,,,,,,,,,,,,,,,,,
113,1980,1980-11-02,9,30.009,NOR,@,RAM,L 31-45,,,,,,,,,,,,,,,,,,,,,,,,
114,1980,1980-11-09,10,30.016,NOR,,PHI,L 21-34,,,,,,,,,,,,,,,,,,,,,,,,
115,1980,1980-11-16,11,30.023,NOR,@,ATL,L 13-31,,,,,,,,,,,,,,,,,,,,,,,,
116,1980,1980-11-24,12,30.031,NOR,,RAM,L 7-27,,,,,,,,,,,,,,,,,,,,,,,,
117,1980,1980-11-30,13,30.037,NOR,,MIN,L 20-23,,,,,,,,,,,,,,,,,,,,,,,,
118,1980,1980-12-07,14,30.044,NOR,@,SFO,L 35-38,,,,,,,,,,,,,,,,,,,,,,,,
119,1980,1980-12-14,15,30.051,NOR,@,NYJ,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,12,0
120,1980,1980-12-21,16,30.058,NOR,,NWE,L 27-38,,,,,,,,,,,,,,,,,,,,,,,,
121,1981,1981-09-06,1,30.317,NOR,@,ATL,L 0-27,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
122,1981,1981-09-13,2,30.324,NOR,,RAM,W 23-17,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,0
123,1981,1981-09-20,3,30.331,NOR,@,NYG,L 7-20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
124,1981,1981-09-27,4,30.338,NOR,@,SFO,L 14-21,1,-9,-9.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,0,0
125,1981,1981-10-04,5,30.345,NOR,,PIT,L 6-20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
126,1981,1981-10-11,6,30.352,NOR,,PHI,L 14-31,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
127,1981,1981-10-18,7,30.359,NOR,@,CLE,L 17-20,0,0,,0,1,1,100.00,8,1,0,139.6,0,0,8.00,28.00,0,0,,0,0,0,0,0,0
128,1981,1981-10-25,8,31.001,NOR,,CIN,W 17-7,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
129,1981,1981-11-01,9,31.008,NOR,,ATL,L 10-41,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
130,1981,1981-11-08,10,31.015,NOR,@,RAM,W 21-13,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
131,1981,1981-11-15,11,31.022,NOR,@,MIN,L 10-20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
132,1981,1981-11-22,12,31.029,NOR,@,HOU,W 27-24,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
133,1981,1981-11-29,13,31.036,NOR,,TAM,L 14-31,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,1,16,0
134,1981,1981-12-06,14,31.043,NOR,@,STL,L 3-30,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,1,54,0
135,1981,1981-12-13,15,31.050,NOR,,GNB,L 7-35,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
136,1981,1981-12-20,16,31.057,NOR,,SFO,L 17-21,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,
