ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
18,2011,2011-09-18,2,30.068,JAX,@,NYJ,L 3-32,*,6,19,31.58,59,0,4,1.8,1,10,3.11,-6.37,1,4,4.00,0,0.0,1,0
19,2011,2011-10-30,8,30.110,JAX,@,HOU,L 14-24,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0
20,2011,2011-11-27,11,30.138,JAX,,HOU,L 13-20,,7,11,63.64,62,0,0,78.6,1,13,5.64,5.64,1,9,9.00,0,0.0,0,0
21,2012,2012-09-23,3,31.073,ATL,@,SDG,W 27-3,,,,,,,,,,,,,,,,,,,
22,2012,2012-12-16,14,31.157,ATL,,NYG,W 34-0,,0,0,,0,0,0,,0,0,,,2,-3,-1.50,0,0.0,0,0
23,2013,2013-09-08,1,32.058,NOR,,ATL,W 23-17,,,,,,,,,,,,,,,,,,,
24,2013,2013-09-15,2,32.065,NOR,@,TAM,W 16-14,,,,,,,,,,,,,,,,,,,
25,2013,2013-09-22,3,32.072,NOR,,ARI,W 31-7,,,,,,,,,,,,,,,,,,,
26,2013,2013-09-30,4,32.080,NOR,,MIA,W 38-17,,,,,,,,,,,,,,,,,,,
27,2013,2013-10-06,5,32.086,NOR,@,CHI,W 26-18,,,,,,,,,,,,,,,,,,,
28,2013,2013-10-13,6,32.093,NOR,@,NWE,L 27-30,,,,,,,,,,,,,,,,,,,
29,2013,2013-10-27,7,32.107,NOR,,BUF,W 35-17,,,,,,,,,,,,,,,,,,,
30,2013,2013-11-03,8,32.114,NOR,@,NYJ,L 20-26,,,,,,,,,,,,,,,,,,,
31,2013,2013-11-10,9,32.121,NOR,,DAL,W 49-17,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,0.0,0,0
32,2013,2013-11-17,10,32.128,NOR,,SFO,W 23-20,,,,,,,,,,,,,,,,,,,
33,2013,2013-11-21,11,32.132,NOR,@,ATL,W 17-13,,,,,,,,,,,,,,,,,,,
34,2013,2013-12-02,12,32.143,NOR,@,SEA,L 7-34,,,,,,,,,,,,,,,,,,,
35,2013,2013-12-08,13,32.149,NOR,,CAR,W 31-13,,,,,,,,,,,,,,,,,,,
36,2013,2013-12-15,14,32.156,NOR,@,STL,L 16-27,,,,,,,,,,,,,,,,,,,
37,2013,2013-12-22,15,32.163,NOR,@,CAR,L 13-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0
38,2013,2013-12-29,16,32.170,NOR,,TAM,W 42-17,,0,0,,0,0,0,,0,0,,,1,-2,-2.00,0,0.0,0,0
39,2014,2014-09-07,1,33.057,NOR,@,ATL,L 34-37,,,,,,,,,,,,,,,,,,,
40,2014,2014-09-14,2,33.064,NOR,@,CLE,L 24-26,,,,,,,,,,,,,,,,,,,
41,2014,2014-09-21,3,33.071,NOR,,MIN,W 20-9,,,,,,,,,,,,,,,,,,,
42,2014,2014-09-28,4,33.078,NOR,@,DAL,L 17-38,,,,,,,,,,,,,,,,,,,
43,2014,2014-10-05,5,33.085,NOR,,TAM,W 37-31,,,,,,,,,,,,,,,,,,,
44,2014,2014-10-19,6,33.099,NOR,@,DET,L 23-24,,,,,,,,,,,,,,,,,,,
45,2014,2014-10-26,7,33.106,NOR,,GNB,W 44-23,,,,,,,,,,,,,,,,,,,
46,2014,2014-10-30,8,33.110,NOR,@,CAR,W 28-10,,,,,,,,,,,,,,,,,,,
47,2014,2014-11-09,9,33.120,NOR,,SFO,L 24-27,,,,,,,,,,,,,,,,,,,
48,2014,2014-11-16,10,33.127,NOR,,CIN,L 10-27,,,,,,,,,,,,,,,,,,,
49,2014,2014-11-24,11,33.135,NOR,,BAL,L 27-34,,,,,,,,,,,,,,,,,,,
50,2014,2014-11-30,12,33.141,NOR,@,PIT,W 35-32,,,,,,,,,,,,,,,,,,,
51,2014,2014-12-07,13,33.148,NOR,,CAR,L 10-41,,,,,,,,,,,,,,,,,,,
52,2014,2014-12-15,14,33.156,NOR,@,CHI,W 31-15,,,,,,,,,,,,,,,,,,,
53,2014,2014-12-21,15,33.162,NOR,,ATL,L 14-30,,,,,,,,,,,,,,,,,,,
54,2014,2014-12-28,16,33.169,NOR,@,TAM,W 23-20,,,,,,,,,,,,,,,,,,,
55,2015,2015-09-13,1,34.063,NOR,@,ARI,L 19-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
56,2015,2015-09-20,2,34.070,NOR,,TAM,L 19-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
57,2015,2015-09-27,3,34.077,NOR,@,CAR,L 22-27,*,31,38,81.58,310,0,1,89.7,1,0,8.16,6.97,0,0,,0,0.0,0,0
58,2015,2015-10-04,4,34.084,NOR,,DAL,W 26-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
59,2015,2015-10-11,5,34.091,NOR,@,PHI,L 17-39,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
60,2015,2015-10-15,6,34.095,NOR,,ATL,W 31-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
61,2015,2015-10-25,7,34.105,NOR,@,IND,W 27-21,,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,0.0,0,0
62,2015,2015-11-01,8,34.112,NOR,,NYG,W 52-49,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
