ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks
25,1993,1993-11-21,10,24.251,CLE,,HOU,L 20-27,,,,,,0.0%,,
26,1993,1993-11-28,11,24.258,CLE,@,ATL,L 14-17,,,,,,0.0%,,
27,1993,1993-12-05,12,24.265,CLE,,NOR,W 17-13,,,,,,0.0%,,
28,1993,1993-12-12,13,24.272,CLE,@,HOU,L 17-19,,,,,,0.0%,,
29,1993,1993-12-19,14,24.279,CLE,,NWE,L 17-20,,,,,,0.0%,,
30,1993,1993-12-26,15,24.286,CLE,@,RAM,W 42-14,,,,,,0.0%,,
31,1993,1994-01-02,16,24.293,CLE,@,PIT,L 9-16,,,,,,0.0%,,
32,1994,1994-09-04,1,25.173,CLE,@,CIN,W 28-20,,,,,,0.0%,,
33,1994,1994-09-11,2,25.180,CLE,,PIT,L 10-17,,,,,,0.0%,,
34,1994,1994-09-18,3,25.187,CLE,,ARI,W 32-0,,,,,,0.0%,,
35,1994,1994-09-25,4,25.194,CLE,@,IND,W 21-14,,,,,,0.0%,,
36,1994,1994-10-02,5,25.201,CLE,,NYJ,W 27-7,,,,,,0.0%,,
37,1994,1994-10-13,6,25.212,CLE,@,HOU,W 11-8,,,,,,0.0%,,
38,1994,1994-10-23,7,25.222,CLE,,CIN,W 37-13,,,,,,0.0%,,
39,1994,1994-10-30,8,25.229,CLE,@,DEN,L 14-26,,,,,,0.0%,,
40,1994,1994-11-06,9,25.236,CLE,,NWE,W 13-6,,,,,,0.0%,,
41,1994,1994-11-13,10,25.243,CLE,@,PHI,W 26-7,,,,,,0.0%,,
42,1994,1994-11-20,11,25.250,CLE,@,KAN,L 13-20,,,,,,0.0%,,
43,1994,1994-11-27,12,25.257,CLE,,HOU,W 34-10,,,,,,0.0%,,
44,1994,1994-12-04,13,25.264,CLE,,NYG,L 13-16,,,,,,0.0%,,
45,1994,1994-12-10,14,25.270,CLE,@,DAL,W 19-14,,,,,,0.0%,,
46,1994,1994-12-18,15,25.278,CLE,@,PIT,L 7-17,,,,,,0.0%,,
47,1994,1994-12-24,16,25.284,CLE,,SEA,W 35-9,,,,,,0.0%,,
48,1995,1995-09-03,1,26.172,CLE,@,NWE,L 14-17,,0,0,,0,0.0%,,
49,1995,1995-09-10,2,26.179,CLE,,TAM,W 22-6,0,0,0,,0,0.0%,,
50,1995,1995-09-17,3,26.186,CLE,@,HOU,W 14-7,,0,0,,0,0.0%,,
51,1995,1995-09-24,4,26.193,CLE,,KAN,W 35-17,1,1,25,25.00,0,100.0%,25.00,0.0
52,1995,1995-10-02,5,26.201,CLE,,BUF,L 19-22,,0,0,,0,0.0%,,
53,1995,1995-10-08,6,26.207,CLE,@,DET,L 20-38,0,0,0,,0,0.0%,,
54,1995,1995-10-22,7,26.221,CLE,,JAX,L 15-23,1,0,0,,0,0.0%,0.00,
55,1995,1995-10-29,8,26.228,CLE,@,CIN,W 29-26,0,0,0,,0,0.0%,,
56,1995,1995-11-05,9,26.235,CLE,,HOU,L 10-37,0,0,0,,0,0.0%,,
57,1995,1995-11-13,10,26.243,CLE,@,PIT,L 3-20,0,0,0,,0,0.0%,,
58,1995,1995-11-19,11,26.249,CLE,,GNB,L 20-31,0,0,0,,0,0.0%,,
59,1995,1995-11-26,12,26.256,CLE,,PIT,L 17-20,,0,0,,0,0.0%,,
60,1995,1995-12-03,13,26.263,CLE,@,SDG,L 13-31,,0,0,,0,0.0%,,
61,1995,1995-12-09,14,26.269,CLE,@,MIN,L 11-27,,0,0,,0,0.0%,,
62,1995,1995-12-17,15,26.277,CLE,,CIN,W 26-10,,0,0,,0,0.0%,,
63,1995,1995-12-24,16,26.284,CLE,@,JAX,L 21-24,,0,0,,0,0.0%,,
64,1996,1996-09-01,1,27.170,ATL,@,CAR,L 6-29,,,,,,0.0%,,
65,1996,1996-09-08,2,27.177,ATL,,MIN,L 17-23,,,,,,0.0%,,
66,1996,1996-09-22,3,27.191,ATL,,PHI,L 18-33,,,,,,0.0%,,
67,1996,1996-09-29,4,27.198,ATL,@,SFO,L 17-39,,,,,,0.0%,,
68,1996,1996-10-06,5,27.205,ATL,@,DET,L 24-28,,,,,,0.0%,,
69,1996,1996-10-13,6,27.212,ATL,,HOU,L 13-23,,,,,,0.0%,,
70,1996,1996-10-20,7,27.219,ATL,@,DAL,L 28-32,,,,,,0.0%,,
71,1996,1996-10-27,8,27.226,ATL,,PIT,L 17-20,,,,,,0.0%,,
72,1996,1996-11-03,9,27.233,ATL,,CAR,W 20-17,,,,,,0.0%,,
73,1996,1996-11-10,10,27.240,ATL,@,STL,L 16-59,,,,,,0.0%,,
74,1996,1996-11-17,11,27.247,ATL,,NOR,W 17-15,0,0,0,,0,0.0%,,1.0
75,1996,1996-11-24,12,27.254,ATL,@,CIN,L 31-41,,,,,,0.0%,,
76,1996,1996-12-02,13,27.262,ATL,,SFO,L 10-34,,,,,,0.0%,,
77,1996,1996-12-08,14,27.268,ATL,@,NOR,W 31-15,,,,,,0.0%,,
78,1996,1996-12-15,15,27.275,ATL,,STL,L 27-34,,,,,,0.0%,,
79,1996,1996-12-22,16,27.282,ATL,@,JAX,L 17-19,,,,,,0.0%,,
80,1998,1998-09-06,1,29.175,OAK,@,KAN,L 8-28,,,,,,0.0%,,
81,1998,1998-09-20,3,29.189,OAK,,DEN,L 17-34,,,,,,0.0%,,
82,1998,1998-09-27,4,29.196,OAK,@,DAL,W 13-12,,,,,,0.0%,,
83,1998,1998-10-04,5,29.203,OAK,@,ARI,W 23-20,,,,,,0.0%,,
84,1998,1998-10-11,6,29.210,OAK,,SDG,W 7-6,,,,,,0.0%,,
85,1998,1998-10-25,7,29.224,OAK,,CIN,W 27-10,,,,,,0.0%,,
86,1998,1998-11-01,8,29.231,OAK,@,SEA,W 31-18,,,,,,0.0%,,
87,1998,1998-11-15,10,29.245,OAK,,SEA,W 20-17,,,,,,0.0%,,
88,1998,1998-11-22,11,29.252,OAK,@,DEN,L 14-40,,,,,,0.0%,,
89,1998,1998-11-29,12,29.259,OAK,,WAS,L 19-29,,,,,,0.0%,,
90,1998,1998-12-06,13,29.266,OAK,,MIA,L 17-27,,,,,,0.0%,,
91,1998,1998-12-13,14,29.273,OAK,@,BUF,L 21-44,,,,,,0.0%,,
92,1998,1998-12-20,15,29.280,OAK,@,SDG,W 17-10,,,,,,0.0%,,
93,1998,1998-12-26,16,29.286,OAK,,KAN,L 24-31,,,,,,0.0%,,
