ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
16,1993,1994-01-03,16,25.182,SFO,,PHI,L 34-37,7,5,92,18.40,0,71.4%,13.14,0,0,,0,0,0,,0,0,0
17,1994,1994-09-05,1,26.062,SFO,,RAI,W 44-14,0,0,0,,0,0.0%,,1,6,6.00,0,0,0,,0,0,0
18,1994,1994-09-11,2,26.068,SFO,@,KAN,L 17-24,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
19,1994,1994-09-18,3,26.075,SFO,@,RAM,W 34-19,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
20,1994,1994-09-25,4,26.082,SFO,,NOR,W 24-13,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
21,1994,1994-10-02,5,26.089,SFO,,PHI,L 8-40,3,2,31,15.50,0,66.7%,10.33,1,17,17.00,0,0,0,,0,0,0
22,1994,1994-10-09,6,26.096,SFO,@,DET,W 27-21,2,2,10,5.00,1,100.0%,5.00,0,0,,0,0,0,,0,1,6
23,1994,1994-10-16,7,26.103,SFO,@,ATL,W 42-3,2,1,42,42.00,0,50.0%,21.00,0,0,,0,0,0,,0,0,0
24,1994,1994-10-23,8,26.110,SFO,,TAM,W 41-16,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,0
25,1994,1994-11-06,9,26.124,SFO,@,WAS,W 37-22,2,2,37,18.50,0,100.0%,18.50,0,0,,0,0,0,,0,0,0
26,1994,1994-11-13,10,26.131,SFO,,DAL,W 21-14,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
27,1994,1994-11-20,11,26.138,SFO,,RAM,W 31-27,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
28,1994,1994-11-28,12,26.146,SFO,@,NOR,W 35-14,1,1,43,43.00,1,100.0%,43.00,0,0,,0,0,0,,0,1,6
29,1994,1994-12-04,13,26.152,SFO,,ATL,W 50-14,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
30,1994,1994-12-11,14,26.159,SFO,@,SDG,W 38-15,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
31,1994,1994-12-17,15,26.165,SFO,,DEN,W 42-19,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0
32,1994,1994-12-26,16,26.174,SFO,@,MIN,L 14-21,7,6,74,12.33,0,85.7%,10.57,0,0,,0,2,13,6.50,0,0,0
33,1995,1995-09-03,1,27.060,SFO,@,NOR,W 24-22,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0
34,1995,1995-09-10,2,27.067,SFO,,ATL,W 41-10,4,3,37,12.33,0,75.0%,9.25,0,0,,0,4,27,6.75,0,0,0
35,1995,1995-09-17,3,27.074,SFO,,NWE,W 28-3,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0
36,1995,1995-09-25,4,27.082,SFO,@,DET,L 24-27,1,1,8,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,1,6
37,1995,1995-10-01,5,27.088,SFO,,NYG,W 20-6,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0
38,1995,1995-12-24,16,27.172,SFO,@,ATL,L 27-28,,0,0,,0,0.0%,,,,,,0,0,,0,,
39,1996,1996-09-01,1,28.058,SFO,,NOR,W 27-11,1,1,11,11.00,0,100.0%,11.00,0,0,,0,2,32,16.00,0,0,0
40,1996,1996-09-08,2,28.065,SFO,,STL,W 34-0,0,0,0,,0,0.0%,,1,10,10.00,0,0,0,,0,0,0
41,1997,1997-11-23,12,29.141,BAL,,ARI,L 13-16,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,0,0
42,1997,1997-11-30,13,29.148,BAL,@,JAX,L 27-29,0,0,0,,0,0.0%,,2,33,16.50,0,0,0,,0,0,0
43,1997,1997-12-07,14,29.155,BAL,,SEA,W 31-24,0,0,0,,0,0.0%,,1,12,12.00,0,0,0,,0,0,0
44,1997,1997-12-14,15,29.162,BAL,,TEN,W 21-19,,,,,,0.0%,,0,0,,0,,,,,,
