ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
64,1992,1992-09-13,2,26.136,RAI,@,CIN,L 21-24,,,,,,0.0%,,,,,,,,,,,
65,1992,1992-09-20,3,26.143,RAI,,CLE,L 16-28,,,,,,0.0%,,,,,,,,,,,
66,1992,1992-09-28,4,26.151,RAI,@,KAN,L 7-27,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
67,1992,1992-10-04,5,26.157,RAI,,NYG,W 13-10,,,,,,0.0%,,,,,,,,,,,
68,1992,1992-10-11,6,26.164,RAI,,BUF,W 20-3,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
69,1992,1992-10-18,7,26.171,RAI,@,SEA,W 19-0,,,,,,0.0%,,,,,,,,,,,
70,1992,1992-10-25,8,26.178,RAI,,DAL,L 13-28,,,,,,0.0%,,,,,,,,,,,
71,1992,1992-11-08,9,26.192,RAI,@,PHI,L 10-31,,,,,,0.0%,,,,,,,,,,,
72,1992,1992-11-15,10,26.199,RAI,,SEA,W 20-3,,,,,,0.0%,,,,,,,,,,,
73,1992,1992-11-22,11,26.206,RAI,,DEN,W 24-0,,,,,,0.0%,,,,,,,,,,,
74,1992,1992-11-29,12,26.213,RAI,@,SDG,L 3-27,,,,,,0.0%,,,,,,,,,,,
75,1992,1992-12-06,13,26.220,RAI,,KAN,W 28-7,,0,0,,0,0.0%,,0,0,,0,0,0,0.5,0,0,0
76,1992,1992-12-14,14,26.228,RAI,@,MIA,L 7-20,,,,,,0.0%,,,,,,,,,,,
77,1992,1992-12-20,15,26.234,RAI,,SDG,L 14-36,,,,,,0.0%,,,,,,,,,,,
78,1992,1992-12-26,16,26.240,RAI,@,WAS,W 21-20,,,,,,0.0%,,,,,,,,,,,
79,1993,1993-09-05,1,27.128,RAI,,MIN,W 24-7,,,,,,0.0%,,,,,,,,,,,
80,1993,1993-09-12,2,27.135,RAI,@,SEA,W 17-13,,,,,,0.0%,,,,,,,,,,,
81,1993,1993-09-19,3,27.142,RAI,,CLE,L 16-19,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
82,1993,1993-10-03,4,27.156,RAI,@,KAN,L 9-24,,,,,,0.0%,,,,,,,,,,,
83,1993,1993-10-10,5,27.163,RAI,,NYJ,W 24-20,,,,,,0.0%,,,,,,,,,,,
84,1993,1993-10-18,6,27.171,RAI,@,DEN,W 23-20,,,,,,0.0%,,,,,,,,,,,
85,1993,1993-10-31,7,27.184,RAI,,SDG,L 23-30,,,,,,0.0%,,,,,,,,,,,
86,1993,1993-11-07,8,27.191,RAI,@,CHI,W 16-14,,,,,,0.0%,,,,,,,,,,,
87,1993,1993-11-14,9,27.198,RAI,,KAN,L 20-31,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
88,1993,1993-11-21,10,27.205,RAI,@,SDG,W 12-7,,,,,,0.0%,,,,,,,,,,,
89,1993,1993-11-28,11,27.212,RAI,@,CIN,L 10-16,,,,,,0.0%,,,,,,,,,,,
90,1993,1993-12-05,12,27.219,RAI,@,BUF,W 25-24,,,,,,0.0%,,,,,,,,,,,
91,1993,1993-12-12,13,27.226,RAI,,SEA,W 27-23,,,,,,0.0%,,,,,,,,,,,
92,1993,1993-12-19,14,27.233,RAI,,TAM,W 27-20,,,,,,0.0%,,,,,,,,,,,
93,1993,1993-12-26,15,27.240,RAI,@,GNB,L 0-28,,,,,,0.0%,,,,,,,,,,,
94,1993,1994-01-02,16,27.247,RAI,,DEN,W 33-30,,,,,,0.0%,,,,,,,,,,,
95,1994,1994-09-05,1,28.128,RAI,@,SFO,L 14-44,,,,,,0.0%,,,,,,,,,,,
96,1994,1994-09-11,2,28.134,RAI,,SEA,L 9-38,,,,,,0.0%,,,,,,,,,,,
97,1994,1994-09-18,3,28.141,RAI,@,DEN,W 48-16,,,,,,0.0%,,,,,,,,,,,
98,1994,1994-09-25,4,28.148,RAI,,SDG,L 24-26,,,,,,0.0%,,,,,,,,,,,
99,1994,1994-10-09,5,28.162,RAI,@,NWE,W 21-17,,,,,,0.0%,,,,,,,,,,,
100,1994,1994-10-16,6,28.169,RAI,@,MIA,L 17-20,,,,,,0.0%,,,,,,,,,,,
101,1994,1994-10-23,7,28.176,RAI,,ATL,W 30-17,,,,,,0.0%,,,,,,,,,,,
102,1994,1994-10-30,8,28.183,RAI,,HOU,W 17-14,,,,,,0.0%,,,,,,,,,,,
103,1994,1994-11-06,9,28.190,RAI,@,KAN,L 3-13,,,,,,0.0%,,,,,,,,,,,
104,1994,1994-11-13,10,28.197,RAI,@,RAM,W 20-17,,,,,,0.0%,,,,,,,,,,,
105,1994,1994-11-20,11,28.204,RAI,,NOR,W 24-19,,,,,,0.0%,,,,,,,,,,,
106,1994,1994-11-27,12,28.211,RAI,,PIT,L 3-21,,,,,,0.0%,,,,,,,,,,,
107,1994,1994-12-05,13,28.219,RAI,@,SDG,W 24-17,,,,,,0.0%,,,,,,,,,,,
108,1994,1994-12-11,14,28.225,RAI,,DEN,W 23-13,,,,,,0.0%,,,,,,,,,,,
109,1994,1994-12-18,15,28.232,RAI,@,SEA,W 17-16,,,,,,0.0%,,,,,,,,,,,
110,1994,1994-12-24,16,28.238,RAI,,KAN,L 9-19,,,,,,0.0%,,,,,,,,,,,
111,1995,1995-09-17,3,29.140,OAK,@,KAN,L 17-23,,,,,,0.0%,,,,,,,,,,,
112,1995,1995-09-24,4,29.147,OAK,,PHI,W 48-17,0,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
113,1995,1995-10-01,5,29.154,OAK,@,NYJ,W 47-10,,0,0,,0,0.0%,,0,0,,0,0,0,1.5,0,0,0
114,1995,1995-10-08,6,29.161,OAK,,SEA,W 34-14,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
115,1995,1995-10-16,7,29.169,OAK,@,DEN,L 0-27,,,,,,0.0%,,,,,,,,,,,
116,1995,1995-10-22,8,29.175,OAK,,IND,W 30-17,,,,,,0.0%,,,,,,,,,,,
117,1995,1995-11-05,9,29.189,OAK,@,CIN,W 20-17,,,,,,0.0%,,,,,,,,,,,
118,1995,1995-11-12,10,29.196,OAK,@,NYG,W 17-13,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
119,1995,1995-11-19,11,29.203,OAK,,DAL,L 21-34,,,,,,0.0%,,,,,,,,,,,
120,1995,1995-11-27,12,29.211,OAK,@,SDG,L 6-12,,,,,,0.0%,,,,,,,,,,,
121,1995,1995-12-03,13,29.217,OAK,,KAN,L 23-29,,,,,,0.0%,,,,,,,,,,,
122,1995,1995-12-10,14,29.224,OAK,,PIT,L 10-29,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,1,1,1
123,1995,1995-12-17,15,29.231,OAK,@,SEA,L 10-44,,,,,,0.0%,,,,,,,,,,,
124,1995,1995-12-24,16,29.238,OAK,,DEN,L 28-31,,,,,,0.0%,,,,,,,,,,,
125,1996,1996-09-01,1,30.124,ARI,@,IND,L 13-20,,,,,,0.0%,,,,,,,,,,,
126,1996,1996-09-08,2,30.131,OAK,@,KAN,L 3-19,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
127,1996,1996-09-15,3,30.138,OAK,,JAX,W 17-3,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
128,1996,1996-09-22,4,30.145,OAK,,SDG,L 34-40,,,,,,0.0%,,,,,,,,,,,
129,1996,1996-09-29,5,30.152,OAK,@,CHI,L 17-19,,,,,,0.0%,,,,,,,,,,,
130,1996,1996-10-06,6,30.159,OAK,@,NYJ,W 34-13,,,,,,0.0%,,,,,,,,,,,
131,1996,1996-10-13,7,30.166,OAK,,DET,W 37-21,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
132,1996,1996-10-21,8,30.174,OAK,@,SDG,W 23-14,,,,,,0.0%,,,,,,,,,,,
133,1996,1996-11-04,9,30.188,OAK,,DEN,L 21-22,,,,,,0.0%,,,,,,,,,,,
134,1996,1996-11-10,10,30.194,OAK,@,TAM,L 17-20,,,,,,0.0%,,,,,,,,,,,
135,1996,1996-11-17,11,30.201,OAK,,MIN,L 13-16,,,,,,0.0%,,,,,,,,,,,
136,1996,1996-11-24,12,30.208,OAK,@,SEA,W 27-21,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
137,1996,1996-12-01,13,30.215,OAK,,MIA,W 17-7,,,,,,0.0%,,,,,,,,,,,
138,1996,1996-12-09,14,30.223,OAK,,KAN,W 26-7,,,,,,0.0%,,,,,,,,,,,
139,1996,1996-12-15,15,30.229,OAK,@,DEN,L 19-24,,,,,,0.0%,,,,,,,,,,,
140,1996,1996-12-22,16,30.236,OAK,,SEA,L 21-28,,,,,,0.0%,,,,,,,,,,,
141,1997,1997-10-19,7,31.172,OAK,,DEN,W 28-25,,,,,,0.0%,,,,,,,,,,,
142,1997,1997-10-26,8,31.179,OAK,@,SEA,L 34-45,,,,,,0.0%,,,,,,,,,,,
143,1997,1997-11-02,9,31.186,OAK,@,CAR,L 14-38,,,,,,0.0%,,,,,,,,,,,
144,1997,1997-11-09,10,31.193,OAK,,NOR,L 10-13,,,,,,0.0%,,,,,,,,,,,
145,1997,1997-11-16,11,31.200,OAK,@,SDG,W 38-13,,,,,,0.0%,,,,,,,,,,,
146,1997,1997-11-24,12,31.208,OAK,@,DEN,L 3-31,,,,,,0.0%,,,,,,,,,,,
147,1997,1997-11-30,13,31.214,OAK,,MIA,L 16-34,,,,,,0.0%,,,,,,,,,,,
148,1997,1997-12-07,14,31.221,OAK,@,KAN,L 0-30,,,,,,0.0%,,,,,,,,,,,
149,1997,1997-12-14,15,31.228,OAK,,SEA,L 21-22,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
150,1997,1997-12-21,16,31.235,OAK,,JAX,L 9-20,,,,,,0.0%,,,,,,,,,,,
151,1998,1998-11-01,8,32.185,OAK,@,SEA,W 31-18,,,,,,0.0%,,,,,,,,,,,
