ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
39,2004,2004-11-14,9,24.046,PIT,@,CLE,W 24-10,*,0,,,,,0.0%,,,,,,,,,
40,2004,2004-11-21,10,24.053,PIT,@,CIN,W 19-14,*,0,,,,,0.0%,,,,,,,,,
41,2004,2004-11-28,11,24.060,PIT,,WAS,W 16-7,*,0,,,,,0.0%,,,,,,,,,
42,2004,2004-12-05,12,24.067,PIT,@,JAX,W 17-16,*,0,,,,,0.0%,,,,,,,,,
43,2004,2004-12-12,13,24.074,PIT,,NYJ,W 17-6,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,41,0
44,2004,2004-12-18,14,24.080,PIT,@,NYG,W 33-30,*,0,,,,,0.0%,,,,,,,,,
45,2004,2004-12-26,15,24.088,PIT,,BAL,W 20-7,*,0,,,,,0.0%,,,,,,,,,
46,2004,2005-01-02,16,24.095,PIT,@,BUF,W 29-24,*,0,,,,,0.0%,,,,,,,,,
47,2005,2005-09-11,1,24.347,PIT,,TEN,W 34-7,*,0,,,,,0.0%,,,,,,,,,
48,2005,2005-09-18,2,24.354,PIT,@,HOU,W 27-7,*,0,,,,,0.0%,,,,,,,,,
49,2005,2005-09-25,3,24.361,PIT,,NWE,L 20-23,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,5,0
50,2005,2005-10-10,4,25.011,PIT,@,SDG,W 24-22,*,0,,,,,0.0%,,,,,,,,,
51,2005,2005-10-16,5,25.017,PIT,,JAX,L 17-23,*,0,,,,,0.0%,,,,,,,,,
52,2005,2005-10-23,6,25.024,PIT,@,CIN,W 27-13,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,55,0
53,2005,2005-10-31,7,25.032,PIT,,BAL,W 20-19,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,0,0
54,2005,2005-11-06,8,25.038,PIT,@,GNB,W 20-10,*,0,,,,,0.0%,,,,,,,,,
55,2005,2005-11-13,9,25.045,PIT,,CLE,W 34-21,*,0,,,,,0.0%,,,,,,,,,
56,2005,2005-11-20,10,25.052,PIT,@,BAL,L 13-16,*,0,,,,,0.0%,,,,,,,,,
57,2005,2005-11-28,11,25.060,PIT,@,IND,L 7-26,*,0,,,,,0.0%,,,,,,,,,
58,2005,2005-12-04,12,25.066,PIT,,CIN,L 31-38,*,0,,,,,0.0%,,,,,,,,,
59,2005,2005-12-11,13,25.073,PIT,,CHI,W 21-9,*,0,,,,,0.0%,,,,,,,,,
60,2005,2005-12-18,14,25.080,PIT,@,MIN,W 18-3,*,0,,,,,0.0%,,,,,,,,,
61,2005,2005-12-24,15,25.086,PIT,@,CLE,W 41-0,*,0,,,,,0.0%,,,,,,,,,
62,2005,2006-01-01,16,25.094,PIT,,DET,W 35-21,*,0,,,,,0.0%,,,,,,,,,
63,2006,2006-09-10,1,25.346,TEN,,NYJ,L 16-23,*,0,,,,,0.0%,,,,,,,,,
64,2006,2006-09-17,2,25.353,TEN,@,SDG,L 7-40,*,0,,,,,0.0%,,,,,,,,,
65,2006,2006-09-24,3,25.360,TEN,@,MIA,L 10-13,*,0,,,,,0.0%,,,,,,,,,
66,2006,2006-10-01,4,26.002,TEN,,DAL,L 14-45,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,0,0
67,2006,2006-10-08,5,26.009,TEN,@,IND,L 13-14,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,5,0
68,2006,2006-10-15,6,26.016,TEN,@,WAS,W 25-22,*,0,,,,,0.0%,,,,,,,,,
69,2006,2006-10-29,7,26.030,TEN,,HOU,W 28-22,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,14,0
70,2006,2006-11-05,8,26.037,TEN,@,JAX,L 7-37,*,0,,,,,0.0%,,,,,,,,,
71,2006,2006-11-12,9,26.044,TEN,,BAL,L 26-27,*,0,,,,,0.0%,,,,,,,,,
72,2006,2006-11-19,10,26.051,TEN,@,PHI,W 31-13,*,0,,,,,0.0%,,,,,,,,,
73,2006,2006-11-26,11,26.058,TEN,,NYG,W 24-21,*,0,,,,,0.0%,,,,,,,,,
74,2006,2006-12-03,12,26.065,TEN,,IND,W 20-17,*,0,,,,,0.0%,,,,,,,,,
75,2006,2006-12-10,13,26.072,TEN,@,HOU,W 26-20,*,0,,,,,0.0%,,,,,,,,,
76,2006,2006-12-17,14,26.079,TEN,,JAX,W 24-17,*,0,0,0,,0,0.0%,,1,6,0.0,,,1,61,1
77,2006,2006-12-24,15,26.086,TEN,@,BUF,W 30-29,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,25,0
78,2006,2006-12-31,16,26.093,TEN,,NWE,L 23-40,*,0,,,,,0.0%,,,,,,,,,
79,2007,2007-09-09,1,26.345,TEN,@,JAX,W 13-10,*,0,,,,,0.0%,,,,,,,,,
80,2007,2007-09-16,2,26.352,TEN,,IND,L 20-22,*,0,,,,,0.0%,,,,,,,,,
81,2007,2007-09-24,3,26.360,TEN,@,NOR,W 31-14,*,0,,,,,0.0%,,,,,,,,,
82,2007,2007-10-07,4,27.008,TEN,,ATL,W 20-13,*,0,,,,,0.0%,,,,,,,,,
83,2007,2007-10-14,5,27.015,TEN,@,TAM,L 10-13,*,0,,,,,0.0%,,,,,,,,,
84,2007,2007-10-21,6,27.022,TEN,@,HOU,W 38-36,*,0,,,,,0.0%,,,,,,,,,
85,2007,2007-10-28,7,27.029,TEN,,OAK,W 13-9,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,0,0
86,2007,2007-11-04,8,27.036,TEN,,CAR,W 20-7,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,45,0
87,2007,2007-11-11,9,27.043,TEN,,JAX,L 13-28,*,0,,,,,0.0%,,,,,,,,,
88,2007,2007-11-19,10,27.051,TEN,@,DEN,L 20-34,*,0,,,,,0.0%,,,,,,,,,
89,2007,2007-11-25,11,27.057,TEN,@,CIN,L 6-35,*,0,,,,,0.0%,,,,,,,,,
90,2008,2008-09-07,1,27.344,TEN,,JAX,W 17-10,*,0,0,0,,0,0.0%,,0,0,0.0,1,3,0,0,0
91,2008,2008-09-14,2,27.351,TEN,@,CIN,W 24-7,*,0,0,0,,0,0.0%,,0,0,0.0,4,4,0,0,0
92,2008,2008-09-21,3,27.358,TEN,,HOU,W 31-12,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,0,0,0
93,2008,2008-09-28,4,27.365,TEN,,MIN,W 30-17,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,0,0,0
94,2008,2008-10-05,5,28.006,TEN,@,BAL,W 13-10,*,0,0,0,,0,0.0%,,0,0,0.0,7,1,0,0,0
95,2008,2008-10-19,6,28.020,TEN,@,KAN,W 34-10,*,0,0,0,,0,0.0%,,0,0,0.0,5,0,0,0,0
96,2008,2008-10-27,7,28.028,TEN,,IND,W 31-21,*,0,0,0,,0,0.0%,,0,0,0.0,3,2,2,40,0
97,2008,2008-11-02,8,28.034,TEN,,GNB,W 19-16,*,0,0,0,,0,0.0%,,0,0,1.0,5,0,1,0,0
98,2008,2008-11-09,9,28.041,TEN,@,CHI,W 21-14,*,0,0,0,,0,0.0%,,0,0,0.0,3,2,1,13,0
99,2008,2008-11-16,10,28.048,TEN,@,JAX,W 24-14,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
100,2008,2008-11-23,11,28.055,TEN,,NYJ,L 13-34,*,0,0,0,,0,0.0%,,0,0,0.0,6,2,0,0,0
101,2008,2008-11-27,12,28.059,TEN,@,DET,W 47-10,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,0,0,0
102,2008,2008-12-07,13,28.069,TEN,,CLE,W 28-9,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
103,2008,2008-12-14,14,28.076,TEN,@,HOU,L 12-13,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,0,0,0
104,2008,2008-12-21,15,28.083,TEN,,PIT,W 31-14,*,0,0,0,,0,0.0%,,0,0,0.0,8,0,0,0,0
105,2008,2008-12-28,16,28.090,TEN,@,IND,L 0-23,*,,,,,,0.0%,,,,,,,,,
106,2009,2009-09-10,1,28.346,TEN,@,PIT,L 10-13,*,0,0,0,,0,0.0%,,0,0,0.0,7,4,0,0,0
107,2009,2009-09-20,2,28.356,TEN,,HOU,L 31-34,*,0,0,0,,0,0.0%,,0,0,0.0,3,2,0,0,0
108,2009,2009-09-27,3,28.363,TEN,@,NYJ,L 17-24,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,1,24,0
109,2009,2009-10-04,4,29.005,TEN,@,JAX,L 17-37,*,0,0,0,,0,0.0%,,0,0,0.0,10,0,0,0,0
110,2009,2009-10-11,5,29.012,TEN,,IND,L 9-31,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
111,2009,2009-10-18,6,29.019,TEN,@,NWE,L 0-59,*,0,0,0,,0,0.0%,,0,0,0.0,6,1,0,0,0
112,2009,2009-11-01,7,29.033,TEN,,JAX,W 30-13,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
113,2009,2009-11-08,8,29.040,TEN,@,SFO,W 34-27,*,0,0,0,,0,0.0%,,0,0,1.0,3,2,1,0,0
114,2009,2009-11-15,9,29.047,TEN,,BUF,W 41-17,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
115,2009,2009-11-23,10,29.055,TEN,@,HOU,W 20-17,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,0,0,0
116,2009,2009-11-29,11,29.061,TEN,,ARI,W 20-17,*,0,0,0,,0,0.0%,,0,0,0.0,6,1,0,0,0
117,2009,2009-12-06,12,29.068,TEN,@,IND,L 17-27,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,0,0,0
118,2009,2009-12-13,13,29.075,TEN,,STL,W 47-7,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
119,2009,2009-12-20,14,29.082,TEN,,MIA,W 27-24,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,1,0,0
120,2009,2009-12-25,15,29.087,TEN,,SDG,L 17-42,*,0,0,0,,0,0.0%,,0,0,0.0,6,2,0,0,0
121,2009,2010-01-03,16,29.096,TEN,@,SEA,W 17-13,*,0,0,0,,0,0.0%,,0,0,1.0,5,0,0,0,0
122,2010,2010-09-12,1,29.348,TEN,,OAK,W 38-13,*,0,0,0,,0,0.0%,,0,0,0.0,4,1,1,32,0
123,2010,2010-09-19,2,29.355,TEN,,PIT,L 11-19,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,0,0,0
124,2010,2010-09-26,3,29.362,TEN,@,NYG,W 29-10,*,0,0,0,,0,0.0%,,0,0,0.0,6,2,0,0,0
125,2010,2010-10-03,4,30.004,TEN,,DEN,L 20-26,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,0,0,0
126,2010,2010-10-10,5,30.011,TEN,@,DAL,W 34-27,*,0,0,0,,0,0.0%,,0,0,1.0,9,0,0,0,0
127,2010,2010-10-18,6,30.019,TEN,@,JAX,W 30-3,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
128,2010,2010-10-24,7,30.025,TEN,,PHI,W 37-19,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,0,0,0
129,2010,2010-10-31,8,30.032,TEN,@,SDG,L 25-33,*,0,0,0,,0,0.0%,,0,0,0.0,2,2,0,0,0
130,2010,2010-11-14,9,30.046,TEN,@,MIA,L 17-29,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
131,2010,2010-11-21,10,30.053,TEN,,WAS,L 16-19,*,0,0,0,,0,0.0%,,0,0,0.0,6,1,0,0,0
132,2010,2010-11-28,11,30.060,TEN,@,HOU,L 0-20,*,0,0,0,,0,0.0%,,0,0,0.0,6,3,0,0,0
133,2010,2010-12-05,12,30.067,TEN,,JAX,L 6-17,*,0,0,0,,0,0.0%,,0,0,0.0,6,1,0,0,0
134,2010,2010-12-09,13,30.071,TEN,,IND,L 28-30,*,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
135,2010,2010-12-19,14,30.081,TEN,,HOU,W 31-17,*,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
136,2010,2010-12-26,15,30.088,TEN,@,KAN,L 14-34,*,0,0,0,,0,0.0%,,0,0,0.0,9,1,0,0,0
137,2010,2011-01-02,16,30.095,TEN,@,IND,L 20-23,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
138,2011,2011-09-11,1,30.347,TEN,@,JAX,L 14-16,*,0,0,0,,0,0.0%,,0,0,0.0,7,1,0,0,0
139,2011,2011-10-02,4,31.003,TEN,@,CLE,W 31-13,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
140,2011,2011-11-13,9,31.045,TEN,@,CAR,W 30-3,,,0,0,,0,0.0%,,0,0,0.0,0,0,1,7,0
141,2011,2011-11-20,10,31.052,TEN,@,ATL,L 17-23,,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
142,2011,2011-11-27,11,31.059,TEN,,TAM,W 23-17,,,,,,,0.0%,,,,,,,,,
143,2011,2011-12-04,12,31.066,TEN,@,BUF,W 23-17,,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
144,2011,2011-12-11,13,31.073,TEN,,NOR,L 17-22,,0,0,0,,0,0.0%,,0,0,0.0,5,0,0,0,0
145,2011,2011-12-18,14,31.080,TEN,@,IND,L 13-27,,0,0,0,,0,0.0%,,0,0,0.0,1,1,0,0,0
146,2011,2011-12-24,15,31.086,TEN,,JAX,W 23-17,,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
147,2011,2012-01-01,16,31.094,TEN,@,HOU,W 23-22,,,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
148,2012,2012-09-09,1,31.346,ATL,@,KAN,W 40-24,,0,,,,,0.0%,,,,,,,,,
149,2012,2012-09-17,2,31.354,ATL,,DEN,W 27-21,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
150,2012,2012-09-23,3,31.360,ATL,@,SDG,W 27-3,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
151,2012,2012-09-30,4,32.001,ATL,,CAR,W 30-28,,,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
152,2012,2012-10-07,5,32.008,ATL,@,WAS,W 24-17,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
153,2012,2012-10-14,6,32.015,ATL,,OAK,W 23-20,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
154,2012,2012-10-28,7,32.029,ATL,@,PHI,W 30-17,,,,,,,0.0%,,,,,,,,,
155,2012,2012-11-04,8,32.036,ATL,,DAL,W 19-13,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
156,2012,2012-11-11,9,32.043,ATL,@,NOR,L 27-31,,,,,,,0.0%,,,,,,,,,
157,2012,2012-11-18,10,32.050,ATL,,ARI,W 23-19,,,,,,,0.0%,,,,,,,,,
158,2012,2012-11-25,11,32.057,ATL,@,TAM,W 24-23,,,,,,,0.0%,,,,,,,,,
159,2012,2012-11-29,12,32.061,ATL,,NOR,W 23-13,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
160,2012,2012-12-09,13,32.071,ATL,@,CAR,L 20-30,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,0,0,0
161,2012,2012-12-16,14,32.078,ATL,,NYG,W 34-0,*,0,0,0,,0,0.0%,,0,0,0.0,4,1,0,0,0
162,2012,2012-12-22,15,32.084,ATL,@,DET,W 31-18,*,0,0,0,,0,0.0%,,0,0,0.0,3,4,0,0,0
163,2012,2012-12-30,16,32.092,ATL,,TAM,L 17-22,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
