ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
23,2012,2012-09-23,3,24.180,NOR,,KAN,L 24-27,,0,0,,0,,0,0,2.0,2,0
24,2012,2012-09-30,4,24.187,NOR,@,GNB,L 27-28,,,,,,,,,,,
25,2012,2012-10-07,5,24.194,NOR,,SDG,W 31-24,,0,0,,0,,0,0,1.0,2,0
26,2012,2012-10-21,6,24.208,NOR,@,TAM,W 35-28,,0,0,,0,,0,0,1.0,4,0
27,2012,2012-10-28,7,24.215,NOR,@,DEN,L 14-34,*,0,0,,0,,0,0,0.0,2,1
28,2012,2012-11-05,8,24.223,NOR,,PHI,W 28-13,,,,,,,,,,,
29,2012,2012-12-09,13,24.257,NOR,@,NYG,L 27-52,,,,,,,,,,,
30,2012,2012-12-16,14,24.264,NOR,,TAM,W 41-0,,0,0,,0,,0,0,0.0,1,1
31,2012,2012-12-23,15,24.271,NOR,@,DAL,W 34-31,,0,0,,0,,0,0,1.0,1,0
32,2012,2012-12-30,16,24.278,NOR,,CAR,L 38-44,,0,0,,0,,0,0,0.0,1,0
33,2013,2013-09-08,1,25.165,NOR,,ATL,W 23-17,,0,0,,0,,0,0,1.0,1,0
34,2013,2013-09-15,2,25.172,NOR,@,TAM,W 16-14,*,0,0,,0,,0,0,0.0,3,0
35,2013,2013-09-22,3,25.179,NOR,,ARI,W 31-7,*,0,0,,0,,0,0,1.0,1,2
36,2013,2013-09-30,4,25.187,NOR,,MIA,W 38-17,*,0,0,,0,,0,0,1.0,2,0
37,2013,2013-10-06,5,25.193,NOR,@,CHI,W 26-18,*,0,0,,0,,0,0,0.0,1,0
38,2013,2013-10-13,6,25.200,NOR,@,NWE,L 27-30,*,0,0,,0,,0,0,0.0,1,1
39,2013,2013-10-27,7,25.214,NOR,,BUF,W 35-17,*,0,0,,0,,0,0,1.0,5,1
40,2013,2013-11-03,8,25.221,NOR,@,NYJ,L 20-26,*,0,0,,0,,0,0,1.0,1,1
41,2013,2013-11-10,9,25.228,NOR,,DAL,W 49-17,*,0,0,,0,,0,0,0.0,1,0
42,2013,2013-11-17,10,25.235,NOR,,SFO,W 23-20,*,0,0,,0,,0,0,1.0,1,1
43,2013,2013-11-21,11,25.239,NOR,@,ATL,W 17-13,*,0,0,,0,,0,0,0.0,0,0
44,2013,2013-12-02,12,25.250,NOR,@,SEA,L 7-34,*,0,0,,0,,0,0,0.0,2,3
45,2013,2013-12-08,13,25.256,NOR,,CAR,W 31-13,*,0,0,,0,,0,0,3.0,4,2
46,2013,2013-12-15,14,25.263,NOR,@,STL,L 16-27,*,0,0,,0,,0,0,0.0,0,0
47,2013,2013-12-22,15,25.270,NOR,@,CAR,L 13-17,*,0,0,,0,,0,0,1.0,2,0
48,2013,2013-12-29,16,25.277,NOR,,TAM,W 42-17,*,0,0,,0,,0,0,2.0,3,1
49,2014,2014-09-07,1,26.164,NOR,@,ATL,L 34-37,*,0,0,,0,,0,0,0.0,4,0
50,2014,2014-09-14,2,26.171,NOR,@,CLE,L 24-26,*,0,0,,0,,0,0,1.0,3,1
51,2014,2014-09-21,3,26.178,NOR,,MIN,W 20-9,*,0,0,,0,,0,0,1.0,4,3
52,2014,2014-09-28,4,26.185,NOR,@,DAL,L 17-38,*,0,0,,0,,0,0,0.0,1,0
53,2014,2014-10-05,5,26.192,NOR,,TAM,W 37-31,*,0,0,,0,1,0,2,1.0,2,0
54,2014,2014-10-19,6,26.206,NOR,@,DET,L 23-24,*,0,0,,0,,0,0,1.0,3,1
55,2014,2014-10-26,7,26.213,NOR,,GNB,W 44-23,*,0,0,,0,,0,0,0.0,0,2
56,2014,2014-10-30,8,26.217,NOR,@,CAR,W 28-10,*,0,0,,0,,0,0,2.0,3,1
57,2014,2014-11-09,9,26.227,NOR,,SFO,L 24-27,*,0,0,,0,,0,0,0.0,1,0
58,2014,2014-11-16,10,26.234,NOR,,CIN,L 10-27,*,0,0,,0,,0,0,0.0,0,2
59,2014,2014-11-24,11,26.242,NOR,,BAL,L 27-34,*,0,0,,0,,0,0,1.0,4,0
60,2014,2014-11-30,12,26.248,NOR,@,PIT,W 35-32,*,0,0,,0,,0,0,0.0,2,0
61,2014,2014-12-07,13,26.255,NOR,,CAR,L 10-41,*,,,,,,,,,,
62,2014,2014-12-15,14,26.263,NOR,@,CHI,W 31-15,,0,0,,0,,0,0,2.0,2,0
63,2014,2014-12-21,15,26.269,NOR,,ATL,L 14-30,,0,0,,0,,0,0,0.0,2,1
64,2014,2014-12-28,16,26.276,NOR,@,TAM,W 23-20,,0,0,,0,1,0,2,1.0,2,1
65,2017,2017-09-10,1,29.167,WAS,,PHI,L 17-30,,0,0,,0,,0,0,0.0,0,0
66,2017,2017-09-17,2,29.174,WAS,@,LAR,W 27-20,,0,0,,0,,0,0,0.0,2,0
67,2017,2017-09-24,3,29.181,WAS,,OAK,W 27-10,,0,0,,0,,0,0,0.5,0,1
68,2017,2017-10-02,4,29.189,WAS,@,KAN,L 20-29,,0,0,,0,,0,0,0.0,1,0
69,2017,2017-10-15,5,29.202,WAS,,SFO,W 26-24,,0,0,,0,,0,0,0.0,0,0
70,2017,2017-10-23,6,29.210,WAS,@,PHI,L 24-34,,0,0,,0,,0,0,0.5,4,1
71,2017,2017-10-29,7,29.216,WAS,,DAL,L 19-33,,0,0,,0,,0,0,0.0,0,0
72,2017,2017-11-05,8,29.223,WAS,@,SEA,W 17-14,,0,0,,0,,0,0,0.0,0,0
73,2017,2017-11-12,9,29.230,WAS,,MIN,L 30-38,,0,0,,0,,0,0,0.0,1,2
74,2017,2017-11-19,10,29.237,WAS,@,NOR,L 31-34,,0,0,,0,,0,0,0.0,0,0
75,2017,2017-11-23,11,29.241,WAS,,NYG,W 20-10,,0,0,,0,,0,0,1.0,1,0
76,2017,2017-11-30,12,29.248,WAS,@,DAL,L 14-38,,0,0,,0,,0,0,0.0,0,1
77,2017,2017-12-10,13,29.258,WAS,@,LAC,L 13-30,,0,0,,0,,0,0,0.0,1,0
78,2017,2017-12-17,14,29.265,WAS,,ARI,W 20-15,,0,0,,0,,0,0,1.0,1,0
79,2017,2017-12-24,15,29.272,WAS,,DEN,W 27-11,,0,0,,0,,0,0,0.0,2,1
80,2017,2017-12-31,16,29.279,WAS,@,NYG,L 10-18,,0,0,,0,,0,0,0.0,1,0
