ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
54,1970,1970-12-20,14,25.160,NOR,,CHI,L 3-24,4,67,16.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
55,1971,1971-09-19,1,26.068,NOR,,RAM,W 24-20,5,73,14.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
56,1971,1971-09-26,2,26.075,NOR,,SFO,L 20-38,5,110,22.00,3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18
57,1971,1971-10-03,3,26.082,NOR,@,HOU,T 13-13,3,89,29.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
58,1971,1971-10-10,4,26.089,NOR,@,CHI,L 14-35,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
59,1971,1971-10-17,5,26.096,NOR,,DAL,W 24-14,2,26,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
60,1971,1971-10-24,6,26.103,NOR,@,ATL,L 6-28,4,66,16.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
61,1971,1971-10-31,7,26.110,NOR,@,WAS,L 14-24,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
62,1971,1971-11-07,8,26.117,NOR,,OAK,T 21-21,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
63,1971,1971-11-14,9,26.124,NOR,@,SFO,W 26-20,3,44,14.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
64,1971,1971-11-21,10,26.131,NOR,,MIN,L 10-23,3,62,20.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
65,1971,1971-11-28,11,26.138,NOR,@,GNB,W 29-21,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
66,1971,1971-12-05,12,26.145,NOR,@,RAM,L 28-45,5,91,18.20,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
67,1971,1971-12-12,13,26.152,NOR,,CLE,L 17-21,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
68,1971,1971-12-19,14,26.159,NOR,,ATL,L 20-24,2,24,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0
69,1972,1972-09-17,1,27.066,NOR,@,RAM,L 14-34,3,59,19.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
70,1972,1972-09-25,2,27.074,NOR,,KAN,L 17-20,2,30,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
71,1972,1972-10-01,3,27.080,NOR,,SFO,L 2-37,3,45,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
72,1972,1972-10-08,4,27.087,NOR,@,NYG,L 21-45,2,56,28.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
73,1972,1972-10-15,5,27.094,NOR,,ATL,L 14-21,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
74,1972,1972-10-22,6,27.101,NOR,@,SFO,T 20-20,4,84,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
75,1972,1972-10-29,7,27.108,NOR,,PHI,W 21-3,2,37,18.50,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
76,1972,1972-11-05,8,27.115,NOR,@,MIN,L 6-37,5,50,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
77,1972,1972-11-12,9,27.122,NOR,@,ATL,L 20-36,5,85,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
78,1972,1972-11-19,10,27.129,NOR,@,DET,L 14-27,4,99,24.75,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
79,1972,1972-11-26,11,27.136,NOR,,RAM,W 19-16,2,40,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
80,1972,1972-12-03,12,27.143,NOR,@,NYJ,L 17-18,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
81,1972,1972-12-10,13,27.150,NOR,,NWE,L 10-17,4,67,16.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
82,1973,1973-09-16,1,28.065,NOR,,ATL,L 7-62,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
83,1973,1973-09-24,2,28.073,NOR,@,DAL,L 3-40,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
84,1973,1973-09-30,3,28.079,SFO,,RAM,L 20-40,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
85,1973,1973-10-07,4,28.086,SFO,@,ATL,W 13-9,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
86,1973,1973-10-14,5,28.093,SFO,,MIN,L 13-17,7,87,12.43,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
87,1973,1973-10-21,6,28.100,SFO,,NOR,W 40-0,4,101,25.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
88,1973,1973-10-28,7,28.107,SFO,,ATL,L 3-17,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
89,1973,1973-11-04,8,28.114,SFO,@,DET,L 20-30,4,45,11.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
90,1973,1973-11-11,9,28.121,SFO,@,WAS,L 9-33,6,76,12.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
91,1973,1973-11-18,10,28.128,SFO,@,RAM,L 13-31,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
92,1973,1973-11-26,11,28.136,SFO,,GNB,W 20-6,3,22,7.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
93,1973,1973-12-02,12,28.142,SFO,,PHI,W 38-28,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
94,1973,1973-12-09,13,28.149,SFO,@,NOR,L 10-16,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
95,1973,1973-12-15,14,28.155,SFO,,PIT,L 14-37,3,28,9.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
96,1974,1974-09-15,1,29.064,SFO,@,NOR,W 17-13,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
97,1974,1974-09-22,2,29.071,SFO,@,ATL,W 16-10,1,13,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
98,1974,1974-09-29,3,29.078,SFO,,CIN,L 3-21,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
99,1974,1974-10-06,4,29.085,SFO,,STL,L 9-34,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
100,1974,1974-10-14,5,29.093,SFO,@,DET,L 13-17,3,20,6.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
101,1974,1974-10-20,6,29.099,SFO,@,RAM,L 14-37,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
102,1974,1974-10-27,7,29.106,SFO,,OAK,L 24-35,3,49,16.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
103,1974,1974-11-04,8,29.114,SFO,,RAM,L 13-15,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
104,1974,1974-11-10,9,29.120,SFO,@,DAL,L 14-20,2,45,22.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
105,1974,1974-11-17,10,29.127,SFO,@,CHI,W 34-0,3,65,21.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
106,1974,1974-11-24,11,29.134,SFO,,ATL,W 27-0,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
107,1974,1974-12-01,12,29.141,SFO,@,CLE,L 0-7,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
108,1974,1974-12-08,13,29.148,SFO,,GNB,W 7-6,3,41,13.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
109,1974,1974-12-15,14,29.155,SFO,,NOR,W 35-21,1,24,24.00,0,0,0,,0,1,1,100.00,41,0,0,118.7,0,0,41.00,41.00,0,0,,0,0,0
