ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
48,1961,1961-10-08,4,29.031,DAL,@,MIN,W 28-0,2,28,14.00,0,0,0,,0,0,0,,0,,,,,,,0,0
49,1961,1961-10-15,5,29.038,DAL,,NYG,L 10-31,2,26,13.00,0,0,0,,0,0,0,,0,,,,,,,0,0
50,1961,1961-10-22,6,29.045,DAL,,PHI,L 7-43,4,77,19.25,0,0,0,,0,0,0,,0,,,,,,,0,0
51,1961,1961-10-29,7,29.052,DAL,@,NYG,W 17-16,4,66,16.50,1,0,0,,0,0,0,,0,,,,,,,1,6
52,1961,1961-11-05,8,29.059,DAL,,STL,L 17-31,,,,,,,,,,,,,,,,,,,,
53,1961,1961-11-12,9,29.066,DAL,@,PIT,L 7-37,1,11,11.00,0,0,0,,0,0,0,,0,,,,,,,0,0
54,1961,1961-11-19,10,29.073,DAL,,WAS,T 28-28,5,74,14.80,1,0,0,,0,0,0,,0,4,4,100.0,,2,0.0,1,10
55,1961,1961-11-26,11,29.080,DAL,@,PHI,L 13-35,1,10,10.00,0,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
56,1961,1961-12-03,12,29.087,DAL,,CLE,L 17-38,1,2,2.00,0,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4
57,1961,1961-12-10,13,29.094,DAL,@,STL,L 13-31,0,0,,0,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
58,1961,1961-12-17,14,29.101,DAL,@,WAS,L 24-34,1,10,10.00,0,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
59,1962,1962-09-16,1,30.009,BAL,,RAM,W 30-27,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
60,1962,1962-09-23,2,30.016,BAL,@,MIN,W 34-7,2,28,14.00,0,0,0,,0,0,0,,0,4,4,100.0,2,2,100.0,0,10
61,1962,1962-09-30,3,30.023,BAL,,DET,L 20-29,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,2,3,66.7,0,8
62,1962,1962-10-07,4,30.030,BAL,,SFO,L 13-21,1,16,16.00,0,0,0,,0,0,0,,0,1,2,50.0,,1,0.0,0,1
63,1962,1962-10-14,5,30.037,BAL,@,CLE,W 36-14,1,4,4.00,1,0,0,,0,0,0,,0,2,2,100.0,,,,1,8
64,1962,1962-10-21,6,30.044,BAL,@,CHI,L 15-35,3,41,13.67,0,0,0,,0,0,0,,0,1,2,50.0,,2,0.0,0,1
65,1962,1962-10-28,7,30.051,BAL,,GNB,L 6-17,2,25,12.50,0,0,0,,0,0,0,,0,,,,2,4,50.0,0,6
66,1962,1962-11-04,8,30.058,BAL,@,SFO,W 22-3,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,2,5,40.0,0,8
67,1962,1962-11-11,9,30.065,BAL,@,RAM,W 14-2,1,11,11.00,0,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
68,1962,1962-11-18,10,30.072,BAL,@,GNB,L 13-17,0,0,,0,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
69,1962,1962-11-25,11,30.079,BAL,,CHI,L 0-57,0,0,,0,0,0,,0,0,0,,0,,,,,2,0.0,0,0
70,1962,1962-12-02,12,30.086,BAL,@,DET,L 14-21,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
71,1962,1962-12-08,13,30.092,BAL,,WAS,W 34-21,5,75,15.00,1,0,0,,0,0,0,,0,2,3,66.7,,1,0.0,1,8
72,1962,1962-12-16,14,30.100,BAL,,MIN,W 42-17,0,0,,0,0,0,,0,0,0,,0,6,6,100.0,,1,0.0,0,6
73,1963,1963-12-01,12,31.085,BAL,@,WAS,W 36-20,0,0,,0,0,0,,0,1,0,0.00,0,,,,,,,0,0
