ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
12,2003,2003-11-30,12,23.058,ARI,@,CHI,L 3-28,*,10,4,33,8.25,0,40.0%,3.30,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,,0,0,0.0,,
13,2003,2003-12-07,13,23.065,ARI,@,SFO,L 14-50,*,14,9,123,13.67,1,64.3%,8.79,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
14,2003,2003-12-14,14,23.072,ARI,,CAR,L 17-20,*,13,7,73,10.43,0,53.8%,5.62,1,11,11.00,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,,0,0,0.0,,
15,2003,2003-12-21,15,23.079,ARI,@,SEA,L 10-28,*,14,10,122,12.20,1,71.4%,8.71,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
16,2003,2003-12-28,16,23.086,ARI,,MIN,W 18-17,*,8,5,27,5.40,0,62.5%,3.38,0,0,,0,0,0,,0,0,0,,0,0,,,1,7,7.00,0,,0,0,0.0,,
17,2004,2004-10-31,7,24.028,ARI,@,BUF,L 14-38,,9,4,50,12.50,0,44.4%,5.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
18,2004,2004-11-07,8,24.035,ARI,@,MIA,W 24-23,*,8,5,37,7.40,0,62.5%,4.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
19,2004,2004-11-14,9,24.042,ARI,,NYG,W 17-14,*,8,5,31,6.20,0,62.5%,3.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
20,2004,2004-11-21,10,24.049,ARI,@,CAR,L 10-35,*,16,6,75,12.50,0,37.5%,4.69,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
21,2004,2004-11-28,11,24.056,ARI,,NYJ,L 3-13,*,13,8,87,10.88,0,61.5%,6.69,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
22,2004,2004-12-05,12,24.063,ARI,@,DET,L 12-26,*,13,5,48,9.60,0,38.5%,3.69,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
23,2004,2004-12-12,13,24.070,ARI,,SFO,L 28-31,*,14,9,109,12.11,0,64.3%,7.79,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
24,2004,2004-12-19,14,24.077,ARI,,STL,W 31-7,*,8,4,48,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
25,2004,2004-12-26,15,24.084,ARI,@,SEA,L 21-24,*,9,7,107,15.29,1,77.8%,11.89,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
26,2004,2005-01-02,16,24.091,ARI,,TAM,W 12-7,*,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
27,2005,2005-09-11,1,24.343,ARI,@,NYG,L 19-42,*,9,4,62,15.50,0,44.4%,6.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
28,2005,2005-09-18,2,24.350,ARI,,STL,L 12-17,*,9,8,119,14.88,0,88.9%,13.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
29,2005,2005-09-25,3,24.357,ARI,@,SEA,L 12-37,*,12,6,88,14.67,0,50.0%,7.33,2,18,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
30,2005,2005-10-02,4,24.364,ARI,,SFO,W 31-14,*,12,8,116,14.50,1,66.7%,9.67,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
31,2005,2005-10-09,5,25.006,ARI,,CAR,L 20-24,*,17,10,162,16.20,1,58.8%,9.53,3,7,2.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
32,2005,2005-10-23,6,25.020,ARI,,TEN,W 20-10,*,5,0,0,,0,0.0%,0.00,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
33,2005,2005-10-30,7,25.027,ARI,@,DAL,L 13-34,*,8,3,69,23.00,1,37.5%,8.63,1,0,0.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,1,6,0.0,,
34,2005,2005-11-20,10,25.048,ARI,@,STL,W 38-28,*,11,8,105,13.13,1,72.7%,9.55,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
35,2005,2005-11-27,11,25.055,ARI,,JAX,L 17-24,*,16,10,115,11.50,0,62.5%,7.19,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
36,2005,2005-12-04,12,25.062,ARI,@,SFO,W 17-10,*,15,11,156,14.18,1,73.3%,10.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
37,2005,2005-12-11,13,25.069,ARI,,WAS,L 13-17,*,17,9,114,12.67,0,52.9%,6.71,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
38,2005,2005-12-18,14,25.076,ARI,@,HOU,L 19-30,*,12,8,134,16.75,1,66.7%,11.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
39,2005,2005-12-24,15,25.082,ARI,,PHI,W 27-21,*,14,9,81,9.00,1,64.3%,5.79,1,-6,-6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
40,2005,2006-01-01,16,25.090,ARI,@,IND,L 13-17,*,14,8,81,10.13,0,57.1%,5.79,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
41,2006,2006-09-10,1,25.342,ARI,,SFO,W 34-27,*,9,4,62,15.50,1,44.4%,6.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
42,2006,2006-09-17,2,25.349,ARI,@,SEA,L 10-21,*,10,6,62,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
43,2006,2006-09-24,3,25.356,ARI,,STL,L 14-16,*,12,10,129,12.90,0,83.3%,10.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
44,2006,2006-10-01,4,25.363,ARI,@,ATL,L 10-32,*,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
45,2006,2006-10-08,5,26.005,ARI,,KAN,L 20-23,*,7,4,71,17.75,1,57.1%,10.14,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
46,2006,2006-10-16,6,26.013,ARI,,CHI,L 23-24,*,18,12,136,11.33,1,66.7%,7.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
47,2006,2006-10-22,7,26.019,ARI,@,OAK,L 9-22,*,13,4,59,14.75,0,30.8%,4.54,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
48,2006,2006-10-29,8,26.026,ARI,@,GNB,L 14-31,*,11,4,47,11.75,0,36.4%,4.27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
49,2006,2006-11-12,9,26.040,ARI,,DAL,L 10-27,*,6,2,53,26.50,0,33.3%,8.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
50,2006,2006-11-19,10,26.047,ARI,,DET,W 17-10,*,7,5,87,17.40,0,71.4%,12.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
51,2006,2006-11-26,11,26.054,ARI,@,MIN,L 26-31,*,15,9,140,15.56,1,60.0%,9.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
52,2006,2006-12-03,12,26.061,ARI,@,STL,W 34-20,*,8,2,32,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
53,2006,2006-12-10,13,26.068,ARI,,SEA,W 27-21,*,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
54,2006,2006-12-17,14,26.075,ARI,,DEN,L 20-37,*,11,5,60,12.00,0,45.5%,5.45,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
55,2006,2006-12-24,15,26.082,ARI,@,SFO,W 26-20,*,7,4,64,16.00,0,57.1%,9.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
56,2006,2006-12-31,16,26.089,ARI,@,SDG,L 20-27,*,5,4,112,28.00,0,80.0%,22.40,2,18,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
57,2007,2007-09-10,1,26.342,ARI,@,SFO,L 17-20,*,7,4,22,5.50,1,57.1%,3.14,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
58,2007,2007-09-16,2,26.348,ARI,,SEA,W 23-20,*,8,4,83,20.75,0,50.0%,10.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
59,2007,2007-09-23,3,26.355,ARI,@,BAL,L 23-26,*,17,14,181,12.93,2,82.4%,10.65,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,,
60,2007,2007-10-21,7,27.018,ARI,@,WAS,L 19-21,*,13,8,29,3.63,2,61.5%,2.23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,,
61,2007,2007-11-04,8,27.032,ARI,@,TAM,L 10-17,*,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
62,2007,2007-11-11,9,27.039,ARI,,DET,W 31-21,*,8,3,25,8.33,0,37.5%,3.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
63,2007,2007-11-18,10,27.046,ARI,@,CIN,W 35-27,*,6,4,71,17.75,1,66.7%,11.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
64,2007,2007-11-25,11,27.053,ARI,,SFO,L 31-37,*,7,6,76,12.67,0,85.7%,10.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
65,2007,2007-12-02,12,27.060,ARI,,CLE,W 27-21,*,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
66,2007,2007-12-16,14,27.074,ARI,@,NOR,L 24-31,,7,6,83,13.83,0,85.7%,11.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
67,2007,2007-12-23,15,27.081,ARI,,ATL,W 30-27,*,14,13,162,12.46,2,92.9%,11.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,,
68,2007,2007-12-30,16,27.088,ARI,,STL,W 48-19,*,4,4,56,14.00,1,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,,
69,2008,2008-09-07,1,27.340,ARI,@,SFO,W 23-13,*,11,8,82,10.25,0,72.7%,7.45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
70,2008,2008-09-14,2,27.347,ARI,,MIA,W 31-10,*,6,6,140,23.33,3,100.0%,23.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,3,18,0.0,0,0
71,2008,2008-09-21,3,27.354,ARI,@,WAS,L 17-24,*,5,3,25,8.33,1,60.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,1
72,2008,2008-09-28,4,27.361,ARI,@,NYJ,L 35-56,*,13,10,119,11.90,1,76.9%,9.15,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,1,0
73,2008,2008-10-26,7,28.023,ARI,@,CAR,L 23-27,*,12,9,63,7.00,2,75.0%,5.25,1,30,30.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
74,2008,2008-11-02,8,28.030,ARI,@,STL,W 34-13,*,9,6,85,14.17,1,66.7%,9.44,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
75,2008,2008-11-10,9,28.038,ARI,,SFO,W 29-24,*,11,7,92,13.14,2,63.6%,8.36,3,19,6.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
76,2008,2008-11-16,10,28.044,ARI,@,SEA,W 26-20,*,16,13,186,14.31,0,81.3%,11.63,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
77,2008,2008-11-23,11,28.051,ARI,,NYG,L 29-37,*,19,11,87,7.91,1,57.9%,4.58,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
78,2008,2008-11-27,12,28.055,ARI,@,PHI,L 20-48,,10,5,63,12.60,0,50.0%,6.30,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
79,2008,2008-12-07,13,28.065,ARI,,STL,W 34-10,*,6,5,62,12.40,0,83.3%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
80,2008,2008-12-14,14,28.072,ARI,,MIN,L 14-35,*,9,6,34,5.67,0,66.7%,3.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
81,2009,2009-09-13,1,28.345,ARI,,SFO,L 16-20,*,5,2,19,9.50,0,40.0%,3.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
82,2009,2009-09-20,2,28.352,ARI,@,JAX,W 31-17,*,9,8,69,8.63,0,88.9%,7.67,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
83,2009,2009-09-27,3,28.359,ARI,,IND,L 10-31,*,11,6,83,13.83,1,54.5%,7.55,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,1,0
84,2009,2009-10-11,4,29.008,ARI,,HOU,W 28-21,*,12,7,81,11.57,0,58.3%,6.75,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
85,2009,2009-10-18,5,29.015,ARI,@,SEA,W 27-3,*,7,6,54,9.00,0,85.7%,7.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
86,2009,2009-10-25,6,29.022,ARI,@,NYG,W 24-17,*,7,3,75,25.00,0,42.9%,10.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
87,2009,2009-11-01,7,29.029,ARI,,CAR,L 21-34,*,6,3,23,7.67,0,50.0%,3.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
88,2009,2009-11-15,9,29.043,ARI,,SEA,W 31-20,*,10,8,105,13.13,0,80.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
89,2009,2009-11-22,10,29.050,ARI,@,STL,W 21-13,*,9,8,103,12.88,1,88.9%,11.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
90,2009,2009-11-29,11,29.057,ARI,@,TEN,L 17-20,*,9,5,53,10.60,0,55.6%,5.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
91,2009,2009-12-06,12,29.064,ARI,,MIN,W 30-17,*,9,7,98,14.00,2,77.8%,10.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
92,2009,2009-12-14,13,29.072,ARI,@,SFO,L 9-24,*,7,5,40,8.00,0,71.4%,5.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
93,2009,2009-12-20,14,29.078,ARI,@,DET,W 31-24,*,10,5,67,13.40,0,50.0%,6.70,1,5,5.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
94,2009,2009-12-27,15,29.085,ARI,,STL,W 31-10,*,10,8,116,14.50,0,80.0%,11.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
95,2009,2010-01-03,16,29.092,ARI,,GNB,L 7-33,*,6,3,38,12.67,0,50.0%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
96,2010,2010-09-13,1,29.345,BAL,@,NYJ,W 10-9,*,10,7,110,15.71,0,70.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
97,2010,2010-09-19,2,29.351,BAL,@,CIN,L 10-15,*,8,5,35,7.00,0,62.5%,4.38,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,1,0
98,2010,2010-09-26,3,29.358,BAL,,CLE,W 24-17,*,11,8,142,17.75,3,72.7%,12.91,0,0,,0,1,1,100.00,-6,0,0,79.2,0,0,-6.00,-6.00,0,0,,0,,3,18,0.0,0,0
99,2010,2010-10-03,4,30.000,BAL,@,PIT,W 17-14,*,10,7,68,9.71,0,70.0%,6.80,1,3,3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
100,2010,2010-10-10,5,30.007,BAL,,DEN,W 31-17,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
101,2010,2010-10-17,6,30.014,BAL,@,NWE,L 20-23,*,6,4,63,15.75,1,66.7%,10.50,1,-1,-1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
102,2010,2010-10-24,7,30.021,BAL,,BUF,W 37-34,*,13,6,92,15.33,1,46.2%,7.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
103,2010,2010-11-07,8,30.035,BAL,,MIA,W 26-10,*,7,2,28,14.00,0,28.6%,4.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
104,2010,2010-11-11,9,30.039,BAL,@,ATL,L 21-26,*,7,5,50,10.00,1,71.4%,7.14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
105,2010,2010-11-21,10,30.049,BAL,@,CAR,W 37-13,*,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,1,0
106,2010,2010-11-28,11,30.056,BAL,,TAM,W 17-10,*,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,1,0
107,2010,2010-12-05,12,30.063,BAL,,PIT,L 10-13,*,9,5,118,23.60,1,55.6%,13.11,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
108,2010,2010-12-13,13,30.071,BAL,@,HOU,W 34-28,*,8,3,41,13.67,0,37.5%,5.13,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
109,2010,2010-12-19,14,30.077,BAL,,NOR,W 30-24,*,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
110,2010,2010-12-26,15,30.084,BAL,@,CLE,W 20-10,*,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,1,0
111,2010,2011-01-02,16,30.091,BAL,,CIN,W 13-7,*,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
112,2011,2011-09-11,1,30.343,BAL,,PIT,W 35-7,*,7,4,74,18.50,1,57.1%,10.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
113,2011,2011-09-18,2,30.350,BAL,@,TEN,L 13-26,*,7,3,46,15.33,0,42.9%,6.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
114,2011,2011-09-25,3,30.357,BAL,@,STL,W 37-7,*,14,7,74,10.57,0,50.0%,5.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
115,2011,2011-10-02,4,30.364,BAL,,NYJ,W 34-17,*,2,1,28,28.00,0,50.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
116,2011,2011-10-16,5,31.013,BAL,,HOU,W 29-14,*,9,8,132,16.50,0,88.9%,14.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
117,2011,2011-10-24,6,31.021,BAL,@,JAX,L 7-12,*,12,4,40,10.00,1,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
118,2011,2011-10-30,7,31.027,BAL,,ARI,W 30-27,*,12,7,145,20.71,0,58.3%,12.08,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
119,2011,2011-11-06,8,31.034,BAL,@,PIT,W 23-20,*,10,7,88,12.57,0,70.0%,8.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
120,2011,2011-11-13,9,31.041,BAL,@,SEA,L 17-22,*,9,2,22,11.00,0,22.2%,2.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
121,2011,2011-11-20,10,31.048,BAL,,CIN,W 31-24,*,2,1,35,35.00,1,50.0%,17.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
122,2011,2011-11-24,11,31.052,BAL,,SFO,W 16-6,*,9,4,63,15.75,0,44.4%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
123,2011,2011-12-04,12,31.062,BAL,@,CLE,W 24-10,*,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
124,2011,2011-12-11,13,31.069,BAL,,IND,W 24-10,*,6,5,57,11.40,0,83.3%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
125,2011,2011-12-18,14,31.076,BAL,@,SDG,L 14-34,*,3,2,51,25.50,0,66.7%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
126,2012,2012-09-10,1,31.343,BAL,,CIN,W 44-13,*,5,4,63,15.75,1,80.0%,12.60,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
127,2012,2012-09-16,2,31.349,BAL,@,PHI,L 23-24,*,4,2,7,3.50,0,50.0%,1.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
128,2012,2012-09-23,3,31.356,BAL,,NWE,W 31-30,*,7,4,48,12.00,0,57.1%,6.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
129,2012,2012-09-27,4,31.360,BAL,,CLE,W 23-16,*,12,9,131,14.56,0,75.0%,10.92,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
130,2012,2012-10-07,5,32.004,BAL,@,KAN,W 9-6,*,10,4,82,20.50,0,40.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
131,2012,2012-10-14,6,32.011,BAL,,DAL,W 31-29,*,6,5,98,19.60,0,83.3%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
132,2012,2012-10-21,7,32.018,BAL,@,HOU,L 13-43,*,8,3,24,8.00,0,37.5%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
