ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
80,2016,2016-09-25,3,29.263,PHI,,PIT,W 34-3,,0,0,,0,0.0,0,0
81,2016,2016-10-09,4,29.277,PHI,@,DET,L 23-24,,0,0,,0,0.0,0,0
82,2016,2016-10-16,5,29.284,PHI,@,WAS,L 20-27,,0,0,,0,0.0,0,0
83,2016,2016-10-23,6,29.291,PHI,,MIN,W 21-10,,0,0,,0,0.0,0,0
84,2016,2016-10-30,7,29.298,PHI,@,DAL,L 23-29,,0,0,,0,0.0,0,0
85,2016,2016-11-06,8,29.305,PHI,@,NYG,L 23-28,,0,0,,0,0.0,0,0
86,2016,2016-11-13,9,29.312,PHI,,ATL,W 24-15,,0,0,,0,0.0,0,0
87,2016,2016-11-20,10,29.319,PHI,@,SEA,L 15-26,,0,0,,0,0.0,0,0
88,2016,2016-11-28,11,29.327,PHI,,GNB,L 13-27,,0,0,,0,0.0,0,0
89,2016,2016-12-04,12,29.333,PHI,@,CIN,L 14-32,,0,0,,0,0.0,0,0
90,2016,2016-12-11,13,29.340,PHI,,WAS,L 22-27,,0,0,,0,0.0,0,0
91,2016,2016-12-18,14,29.347,PHI,@,BAL,L 26-27,,0,0,,0,0.0,0,0
92,2016,2016-12-22,15,29.351,PHI,,NYG,W 24-19,,0,0,,0,0.0,0,0
93,2016,2017-01-01,16,29.361,PHI,,DAL,W 27-13,,0,0,,0,0.0,0,0
94,2017,2017-09-10,1,30.247,PHI,@,WAS,W 30-17,,0,0,,0,0.0,0,0
95,2017,2017-09-17,2,30.254,PHI,@,KAN,L 20-27,,0,0,,0,0.0,0,0
96,2017,2017-09-24,3,30.261,PHI,,NYG,W 27-24,*,0,0,,0,0.0,4,2
97,2017,2017-10-01,4,30.268,PHI,@,LAC,W 26-24,,0,0,,0,0.0,0,0
98,2017,2017-10-08,5,30.275,PHI,,ARI,W 34-7,,0,0,,0,0.0,0,0
99,2017,2017-10-12,6,30.279,PHI,@,CAR,W 28-23,,0,0,,0,0.0,0,0
