ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
25,2014,2014-11-16,10,22.203,SDG,,OAK,W 13-6,*,13,8,63,7.88,0,61.5%,4.85,0,0,,0,0,0,,0,4,44,11.00,0,0,0,0.0,0,0,0,0,0
26,2014,2014-11-23,11,22.210,SDG,,STL,W 27-24,*,9,6,104,17.33,1,66.7%,11.56,0,0,,0,0,0,,0,1,0,0.00,0,1,6,0.0,1,0,0,0,0
27,2014,2014-11-30,12,22.217,SDG,@,BAL,W 34-33,*,15,11,121,11.00,2,73.3%,8.07,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,1,0,0,0,0
28,2014,2014-12-07,13,22.224,SDG,,NWE,L 14-23,*,3,2,3,1.50,0,66.7%,1.00,0,0,,0,0,0,,0,2,7,3.50,0,0,0,0.0,1,0,0,0,0
29,2014,2014-12-14,14,22.231,SDG,,DEN,L 10-22,*,8,3,18,6.00,0,37.5%,2.25,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0.0,0,0,0,0,0
30,2015,2015-09-13,1,23.139,SDG,,DET,W 33-28,*,17,15,166,11.07,0,88.2%,9.76,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
31,2015,2015-09-20,2,23.146,SDG,@,CIN,L 19-24,*,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0
32,2015,2015-09-27,3,23.153,SDG,@,MIN,L 14-31,*,18,12,133,11.08,2,66.7%,7.39,0,0,,0,0,0,,0,1,0,0.00,0,2,12,0.0,0,0,0,0,0
33,2015,2015-10-04,4,23.160,SDG,,CLE,W 30-27,*,7,4,72,18.00,1,57.1%,10.29,0,0,,0,0,0,,0,1,5,5.00,0,1,6,0.0,0,0,0,0,0
34,2015,2015-10-12,5,23.168,SDG,,PIT,L 20-24,*,10,6,57,9.50,0,60.0%,5.70,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
35,2015,2015-10-18,6,23.174,SDG,@,GNB,L 20-27,*,15,14,157,11.21,0,93.3%,10.47,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
36,2015,2015-10-25,7,23.181,SDG,,OAK,L 29-37,*,13,9,89,9.89,0,69.2%,6.85,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
37,2015,2015-11-01,8,23.188,SDG,@,BAL,L 26-29,*,5,5,35,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0
38,2016,2016-09-11,1,24.137,SDG,@,KAN,L 27-33,*,7,6,63,10.50,0,85.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,0
39,2017,2017-09-11,1,25.137,LAC,@,DEN,L 21-24,*,10,5,35,7.00,1,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0
40,2017,2017-09-17,2,25.143,LAC,,MIA,L 17-19,*,10,9,100,11.11,0,90.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
41,2017,2017-09-24,3,25.150,LAC,,KAN,L 10-24,*,9,5,61,12.20,0,55.6%,6.78,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
42,2017,2017-10-01,4,25.157,LAC,,PHI,L 24-26,*,11,5,138,27.60,0,45.5%,12.55,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
43,2017,2017-10-08,5,25.164,LAC,@,NYG,W 27-22,*,12,4,67,16.75,0,33.3%,5.58,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
44,2017,2017-10-15,6,25.171,LAC,@,OAK,W 17-16,*,9,5,45,9.00,0,55.6%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
45,2017,2017-10-22,7,25.178,LAC,,DEN,W 21-0,*,7,3,41,13.67,0,42.9%,5.86,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
46,2017,2017-10-29,8,25.185,LAC,@,NWE,L 13-21,*,5,4,61,15.25,0,80.0%,12.20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
47,2017,2017-11-12,9,25.199,LAC,@,JAX,L 17-20,*,7,4,48,12.00,0,57.1%,6.86,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
48,2017,2017-11-19,10,25.206,LAC,,BUF,W 54-24,*,13,12,159,13.25,2,92.3%,12.23,1,3,3.00,0,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0
49,2017,2017-11-23,11,25.210,LAC,@,DAL,W 28-6,*,14,11,172,15.64,1,78.6%,12.29,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0
50,2017,2017-12-03,12,25.220,LAC,,CLE,W 19-10,*,14,10,105,10.50,1,71.4%,7.50,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0
51,2017,2017-12-10,13,25.227,LAC,,WAS,W 30-13,,8,6,111,18.50,0,75.0%,13.88,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
52,2017,2017-12-16,14,25.233,LAC,@,KAN,L 13-30,*,8,5,54,10.80,0,62.5%,6.75,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
53,2017,2017-12-24,15,25.241,LAC,@,NYJ,W 14-7,*,10,5,63,12.60,0,50.0%,6.30,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,1,32,0
54,2017,2017-12-31,16,25.248,LAC,,OAK,W 30-10,*,12,9,133,14.78,1,75.0%,11.08,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0
55,2018,2018-09-09,1,26.135,LAC,,KAN,L 28-38,*,11,8,108,13.50,1,72.7%,9.82,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0
56,2018,2018-09-16,2,26.142,LAC,@,BUF,W 31-20,*,8,6,67,11.17,0,75.0%,8.38,0,0,,0,1,25,25.00,0,0,0,,0,0,0,0.0,0,0,0,0,0
57,2018,2018-09-23,3,26.149,LAC,@,LAR,L 23-35,*,7,3,44,14.67,0,42.9%,6.29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
