ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
16,2014,2014-10-05,4,25.121,STL,@,PHI,L 28-34,,,,,,,0.0%,,,,,,,,,,,,,,,
17,2014,2014-10-13,5,25.129,STL,,SFO,L 17-31,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
18,2014,2014-10-19,6,25.135,STL,,SEA,W 28-26,,,,,,,0.0%,,,,,,,,,,,,,,,
19,2014,2014-10-26,7,25.142,STL,@,KAN,L 7-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
20,2014,2014-11-09,9,25.156,STL,@,ARI,L 14-31,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
21,2014,2014-11-16,10,25.163,STL,,DEN,W 22-7,,,,,,,0.0%,,,,,,,,,,,,,,,
22,2014,2014-11-23,11,25.170,STL,@,SDG,L 24-27,,,,,,,0.0%,,,,,,,,,,,,,,,
23,2014,2014-11-30,12,25.177,STL,,OAK,W 52-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
24,2014,2014-12-07,13,25.184,STL,@,WAS,W 24-0,,,,,,,0.0%,,,,,,,,,,,,,,,
25,2014,2014-12-11,14,25.188,STL,,ARI,L 6-12,,,,,,,0.0%,,,,,,,,,,,,,,,
26,2014,2014-12-21,15,25.198,STL,,NYG,L 27-37,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
27,2014,2014-12-28,16,25.205,STL,@,SEA,L 6-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
28,2015,2015-09-13,1,26.099,STL,,SEA,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
29,2015,2015-09-20,2,26.106,STL,@,WAS,L 10-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
30,2015,2015-09-27,3,26.113,STL,,PIT,L 6-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
31,2015,2015-10-04,4,26.120,STL,@,ARI,W 24-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
32,2015,2015-10-11,5,26.127,STL,@,GNB,L 10-24,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0.0,0,0,0,0,0
33,2015,2015-10-25,6,26.141,STL,,CLE,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
34,2015,2015-11-01,7,26.148,STL,,SFO,W 27-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
35,2015,2015-11-08,8,26.155,STL,@,MIN,L 18-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
36,2015,2015-11-15,9,26.162,STL,,CHI,L 13-37,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0,0,0,0
37,2015,2015-11-22,10,26.169,STL,@,BAL,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
38,2015,2015-11-29,11,26.176,STL,@,CIN,L 7-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
39,2015,2015-12-06,12,26.183,STL,,ARI,L 3-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
40,2015,2015-12-13,13,26.190,STL,,DET,W 21-14,,0,0,0,,0,0.0%,,0,0,,0,1,4,4.00,0,0.0,0,0,0,0,0
41,2015,2015-12-17,14,26.194,STL,,TAM,W 31-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
42,2015,2015-12-27,15,26.204,STL,@,SEA,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
43,2015,2016-01-03,16,26.211,STL,@,SFO,L 16-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
44,2016,2016-09-12,1,27.098,LAR,@,SFO,L 0-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
45,2016,2016-09-18,2,27.104,LAR,,SEA,W 9-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
46,2016,2016-09-25,3,27.111,LAR,@,TAM,W 37-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
47,2016,2016-10-02,4,27.118,LAR,@,ARI,W 17-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
48,2016,2016-10-09,5,27.125,LAR,,BUF,L 19-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
49,2016,2016-10-16,6,27.132,LAR,@,DET,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
50,2016,2016-10-23,7,27.139,LAR,,NYG,L 10-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
51,2016,2016-11-06,8,27.153,LAR,,CAR,L 10-13,,0,0,0,,0,0.0%,,0,15,,0,0,0,,0,0.0,0,0,0,0,0
52,2016,2016-11-13,9,27.160,LAR,@,NYJ,W 9-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
53,2016,2016-11-20,10,27.167,LAR,,MIA,L 10-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
54,2016,2016-11-27,11,27.174,LAR,@,NOR,L 21-49,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
55,2016,2016-12-04,12,27.181,LAR,@,NWE,L 10-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
56,2016,2016-12-11,13,27.188,LAR,,ATL,L 14-42,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
57,2016,2016-12-15,14,27.192,LAR,@,SEA,L 3-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,4,0,0,0
58,2016,2016-12-24,15,27.201,LAR,,SFO,L 21-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0,1,29,0
59,2016,2017-01-01,16,27.209,LAR,,ARI,L 6-44,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
60,2017,2017-09-10,1,28.096,LAR,,IND,W 46-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
61,2017,2017-09-17,2,28.103,LAR,,WAS,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,1,0,0,0
62,2017,2017-09-21,3,28.107,LAR,@,SFO,W 41-39,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,1,0,0,0
63,2017,2017-10-01,4,28.117,LAR,@,DAL,W 35-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
64,2017,2017-10-08,5,28.124,LAR,,SEA,L 10-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,4,1,1,0,0
65,2017,2017-10-15,6,28.131,LAR,@,JAX,W 27-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,2,0,0,0
66,2017,2017-12-31,16,28.208,LAR,,SFO,L 13-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,1,0,0,0
67,2018,2018-09-09,1,29.095,JAX,@,NYG,W 20-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
68,2018,2018-09-16,2,29.102,JAX,,NWE,W 31-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
69,2018,2018-09-23,3,29.109,JAX,,TEN,L 6-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
