ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
37,2004,2004-12-13,13,24.341,TEN,,KAN,L 38-49,*,,,,,,,,,
38,2004,2004-12-19,14,24.347,TEN,@,OAK,L 35-40,*,,,,,,,,,
39,2004,2004-12-25,15,24.353,TEN,,DEN,L 16-37,*,,,,,,,,,
40,2004,2005-01-02,16,24.361,TEN,,DET,W 24-19,*,,,,,,,,,
41,2005,2005-09-11,1,25.247,TEN,@,PIT,L 7-34,*,,,,,,,,,
42,2005,2005-09-18,2,25.254,TEN,,BAL,W 25-10,*,0,0,,0,1,6,1,21,1
43,2005,2005-09-25,3,25.261,TEN,@,STL,L 27-31,*,,,,,,,,,
44,2005,2005-10-02,4,25.268,TEN,,IND,L 10-31,*,,,,,,,,,
45,2005,2005-10-09,5,25.275,TEN,@,HOU,W 34-20,*,,,,,,,,,
46,2005,2005-10-16,6,25.282,TEN,,CIN,L 23-31,,,,,,,,,,
47,2005,2005-10-23,7,25.289,TEN,@,ARI,L 10-20,*,,,,,,,,,
48,2005,2005-10-30,8,25.296,TEN,,OAK,L 25-34,*,,,,,,,,,
49,2005,2005-11-06,9,25.303,TEN,@,CLE,L 14-20,*,,,,,,,,,
50,2005,2005-11-20,10,25.317,TEN,,JAX,L 28-31,,,,,,,,,,
51,2005,2005-11-27,11,25.324,TEN,,SFO,W 33-22,*,,,,,,,,,
52,2005,2005-12-04,12,25.331,TEN,@,IND,L 3-35,*,,,,,,,,,
53,2005,2005-12-11,13,25.338,TEN,,HOU,W 13-10,*,,,,,,,,,
54,2005,2005-12-18,14,25.345,TEN,,SEA,L 24-28,*,,,,,,,,,
55,2005,2005-12-24,15,25.351,TEN,@,MIA,L 10-24,*,,,,,,,,,
56,2005,2006-01-01,16,25.359,TEN,@,JAX,L 13-40,*,,,,,,,,,
57,2006,2006-09-10,1,26.246,NYJ,@,TEN,W 23-16,,,,,,,,,,
58,2006,2006-09-17,2,26.253,NYJ,,NWE,L 17-24,,,,,,,,,,
59,2006,2006-09-24,3,26.260,NYJ,@,BUF,W 28-20,,,,,,,,,,
60,2006,2006-10-01,4,26.267,NYJ,,IND,L 28-31,,,,,,,,,,
61,2006,2006-10-08,5,26.274,NYJ,@,JAX,L 0-41,,,,,,,,,,
62,2006,2006-10-15,6,26.281,NYJ,,MIA,W 20-17,,,,,,,,,,
63,2006,2006-10-22,7,26.288,NYJ,,DET,W 31-24,,0,0,,0,,,,,
64,2006,2006-10-29,8,26.295,NYJ,@,CLE,L 13-20,,,,,,,,,,
65,2006,2006-11-12,9,26.309,NYJ,@,NWE,W 17-14,,,,,,,,,,
66,2006,2006-11-19,10,26.316,NYJ,,CHI,L 0-10,,,,,,,,,,
67,2006,2006-11-26,11,26.323,NYJ,,HOU,W 26-11,,,,,,,,,,
68,2006,2006-12-03,12,26.330,NYJ,@,GNB,W 38-10,,,,,,,,,,
69,2006,2006-12-10,13,26.337,NYJ,,BUF,L 13-31,,,,,,,,,,
70,2006,2006-12-17,14,26.344,NYJ,@,MIN,W 26-13,,,,,,,,,,
71,2006,2006-12-25,15,26.352,NYJ,@,MIA,W 13-10,,1,0,0.00,0,0,0,0,0,0
72,2006,2006-12-31,16,26.358,NYJ,,OAK,W 23-3,,,,,,,,,,
73,2007,2007-09-09,1,27.245,NYJ,,NWE,L 14-38,,,,,,,,,,
74,2007,2007-09-16,2,27.252,NYJ,@,BAL,L 13-20,,,,,,,,,,
75,2007,2007-09-23,3,27.259,NYJ,,MIA,W 31-28,,,,,,,,,,
76,2007,2007-09-30,4,27.266,NYJ,@,BUF,L 14-17,,,,,,,,,,
77,2007,2007-10-07,5,27.273,NYJ,@,NYG,L 24-35,,,,,,,,,,
78,2007,2007-10-14,6,27.280,NYJ,,PHI,L 9-16,,,,,,,,,,
79,2007,2007-10-21,7,27.287,NYJ,@,CIN,L 31-38,,,,,,,,,,
80,2007,2007-10-28,8,27.294,NYJ,,BUF,L 3-13,,,,,,,,,,
81,2007,2007-11-04,9,27.301,NYJ,,WAS,L 20-23,,,,,,,,,,
82,2007,2007-11-18,10,27.315,NYJ,,PIT,W 19-16,,,,,,,,,,
83,2007,2007-11-22,11,27.319,NYJ,@,DAL,L 3-34,,,,,,,,,,
84,2007,2007-12-02,12,27.329,NYJ,@,MIA,W 40-13,,,,,,,,,,
85,2007,2007-12-09,13,27.336,NYJ,,CLE,L 18-24,*,,,,,,,,,
86,2007,2007-12-16,14,27.343,NYJ,@,NWE,L 10-20,,,,,,,,,,
87,2007,2007-12-23,15,27.350,NYJ,@,TEN,L 6-10,,,,,,,,,,
88,2007,2007-12-30,16,27.357,NYJ,,KAN,W 13-10,,,,,,,,,,
