ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
11,2007,2007-12-16,14,21.272,NYG,,WAS,L 10-22,,1,8,8.00,0,1,1,1,1.00,0,100.0%,1.00,4,102,25.50,0,0,0,,0,,0,0,0.0,,
12,2007,2007-12-23,15,21.279,NYG,@,BUF,W 38-21,,17,151,8.88,1,0,0,0,,0,0.0%,,4,99,24.75,0,1,1,1.00,0,,1,6,0.0,,
13,2008,2008-09-04,1,22.169,NYG,,WAS,W 16-7,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,,0,0,0.0,0,0
14,2008,2008-09-14,2,22.179,NYG,@,STL,W 41-13,,5,52,10.40,1,1,1,18,18.00,1,100.0%,18.00,4,93,23.25,0,0,0,,0,,2,12,0.0,0,0
15,2008,2008-09-21,3,22.186,NYG,,CIN,W 26-23,,2,2,1.00,0,1,1,5,5.00,0,100.0%,5.00,3,78,26.00,0,0,0,,0,,0,0,0.0,0,0
16,2008,2008-10-05,4,22.200,NYG,,SEA,W 44-6,,11,65,5.91,0,0,0,0,,0,0.0%,,2,24,12.00,0,0,0,,0,,0,0,0.0,0,0
17,2008,2008-10-13,5,22.208,NYG,@,CLE,L 14-35,,0,0,,0,0,0,0,,0,0.0%,,3,66,22.00,0,0,0,,0,,0,0,0.0,0,0
18,2008,2008-10-19,6,22.214,NYG,,SFO,W 29-17,,8,28,3.50,0,1,1,5,5.00,0,100.0%,5.00,5,109,21.80,0,0,0,,0,,0,0,0.0,0,0
19,2008,2008-10-26,7,22.221,NYG,@,PIT,W 21-14,,0,0,,0,0,0,0,,0,0.0%,,3,76,25.33,0,0,0,,0,,0,0,0.0,0,0
20,2008,2008-11-02,8,22.228,NYG,,DAL,W 35-14,,5,20,4.00,0,0,0,0,,0,0.0%,,3,54,18.00,0,0,0,,0,,0,0,0.0,0,0
21,2008,2008-11-09,9,22.235,NYG,@,PHI,W 36-31,,5,38,7.60,0,0,0,0,,0,0.0%,,3,58,19.33,0,0,0,,0,,0,0,0.0,0,0
22,2008,2008-11-16,10,22.242,NYG,,BAL,W 30-10,,9,96,10.67,0,0,0,0,,0,0.0%,,3,53,17.67,0,0,0,,0,,0,0,0.0,0,0
23,2008,2008-11-23,11,22.249,NYG,@,ARI,W 37-29,,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
24,2008,2008-12-07,13,22.263,NYG,,PHI,L 14-20,,5,9,1.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
25,2008,2008-12-14,14,22.270,NYG,@,DAL,L 8-20,,3,8,2.67,0,2,1,16,16.00,0,50.0%,8.00,2,48,24.00,0,0,0,,0,,0,0,0.0,0,0
26,2008,2008-12-21,15,22.277,NYG,,CAR,W 34-28,,0,0,,0,0,0,0,,0,0.0%,,4,88,22.00,0,1,6,6.00,0,,0,0,0.0,0,0
27,2008,2008-12-28,16,22.284,NYG,@,MIN,L 19-20,,10,28,2.80,0,1,1,-2,-2.00,0,100.0%,-2.00,3,101,33.67,0,0,0,,0,,0,0,0.0,0,0
28,2009,2009-09-13,1,23.178,NYG,,WAS,W 23-17,,12,60,5.00,0,4,3,11,3.67,0,75.0%,2.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
29,2009,2009-09-20,2,23.185,NYG,@,DAL,W 33-31,,9,37,4.11,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,2,16,8.00,0,,0,0,0.0,0,0
30,2009,2009-09-27,3,23.192,NYG,@,TAM,W 24-0,,14,104,7.43,0,0,0,0,,0,0.0%,,0,0,,0,4,39,9.75,0,,0,0,0.0,0,0
31,2009,2009-10-04,4,23.199,NYG,@,KAN,W 27-16,,12,64,5.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
32,2009,2009-10-11,5,23.206,NYG,,OAK,W 44-7,,11,110,10.00,2,1,1,55,55.00,0,100.0%,55.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
33,2009,2009-10-18,6,23.213,NYG,@,NOR,L 27-48,,10,48,4.80,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
34,2009,2009-10-25,7,23.220,NYG,,ARI,L 17-24,,12,32,2.67,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
35,2009,2009-11-01,8,23.227,NYG,@,PHI,L 17-40,,9,21,2.33,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,1,6,0.0,0,0
36,2009,2009-11-08,9,23.234,NYG,,SDG,L 20-21,,14,39,2.79,0,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
37,2009,2009-11-22,10,23.248,NYG,,ATL,W 34-31,,12,34,2.83,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
38,2009,2009-12-06,12,23.262,NYG,,DAL,W 31-24,,7,47,6.71,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
39,2009,2009-12-13,13,23.269,NYG,,PHI,L 38-45,,14,55,3.93,1,4,4,46,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,,1,6,0.0,1,0
40,2009,2009-12-21,14,23.277,NYG,@,WAS,W 45-12,,9,61,6.78,2,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,,2,12,0.0,0,0
41,2009,2009-12-27,15,23.283,NYG,,CAR,L 9-41,,11,53,4.82,0,4,2,3,1.50,0,50.0%,0.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
42,2009,2010-01-03,16,23.290,NYG,@,MIN,L 7-44,*,7,13,1.86,0,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
43,2010,2010-09-12,1,24.177,NYG,,CAR,W 31-18,*,20,76,3.80,1,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,,1,6,0.0,2,0
44,2010,2010-09-19,2,24.184,NYG,@,IND,L 14-38,*,17,89,5.24,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
45,2010,2010-09-26,3,24.191,NYG,,TEN,L 10-29,*,15,88,5.87,1,5,5,30,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,1,6,0.0,1,0
46,2010,2010-10-03,4,24.198,NYG,,CHI,W 17-3,*,23,129,5.61,1,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,,1,6,0.0,1,0
47,2010,2010-10-10,5,24.205,NYG,@,HOU,W 34-10,*,16,67,4.19,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
48,2010,2010-10-17,6,24.212,NYG,,DET,W 28-20,*,19,133,7.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
49,2010,2010-10-25,7,24.220,NYG,@,DAL,W 41-35,*,24,126,5.25,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
50,2010,2010-11-07,8,24.233,NYG,@,SEA,W 41-7,*,19,57,3.00,2,4,4,35,8.75,0,100.0%,8.75,0,0,,0,0,0,,0,,2,12,0.0,0,0
51,2010,2010-11-14,9,24.240,NYG,,DAL,L 20-33,*,20,73,3.65,0,7,6,62,10.33,0,85.7%,8.86,0,0,,0,0,0,,0,,0,0,0.0,0,0
52,2010,2010-11-21,10,24.247,NYG,@,PHI,L 17-27,*,12,29,2.42,0,2,2,-5,-2.50,0,100.0%,-2.50,0,0,,0,0,0,,0,,0,0,0.0,1,0
53,2010,2010-11-28,11,24.254,NYG,,JAX,W 24-20,,9,49,5.44,0,4,4,34,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,1,0,2,0.0,0,0
54,2010,2010-12-05,12,24.261,NYG,,WAS,W 31-7,,25,97,3.88,2,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,,2,12,0.0,0,0
55,2010,2010-12-13,13,24.269,NYG,@,MIN,W 21-3,,11,103,9.36,1,6,5,12,2.40,0,83.3%,2.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
56,2010,2010-12-19,14,24.275,NYG,,PHI,L 31-38,,19,66,3.47,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
57,2010,2010-12-26,15,24.282,NYG,@,GNB,L 17-45,,12,31,2.58,0,6,5,41,8.20,0,83.3%,6.83,0,0,,0,0,0,,0,,0,0,0.0,2,0
58,2010,2011-01-02,16,24.289,NYG,@,WAS,W 17-14,*,15,22,1.47,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
59,2011,2011-09-11,1,25.176,NYG,@,WAS,L 14-28,*,13,44,3.38,1,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
60,2011,2011-09-19,2,25.184,NYG,,STL,W 28-16,*,15,59,3.93,0,5,5,45,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
61,2011,2011-09-25,3,25.190,NYG,@,PHI,W 29-16,*,15,86,5.73,0,5,5,53,10.60,1,100.0%,10.60,0,0,,0,0,0,,0,,1,6,0.0,0,0
62,2011,2011-10-02,4,25.197,NYG,@,ARI,W 31-27,*,12,39,3.25,1,5,4,11,2.75,0,80.0%,2.20,0,0,,0,0,0,,0,,1,6,0.0,0,0
63,2011,2011-10-09,5,25.204,NYG,,SEA,L 25-36,*,17,58,3.41,0,5,2,27,13.50,0,40.0%,5.40,0,0,,0,0,0,,0,1,0,2,0.0,2,0
64,2011,2011-10-16,6,25.211,NYG,,BUF,W 27-24,*,26,104,4.00,3,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,3,18,0.0,0,0
65,2011,2011-10-30,7,25.225,NYG,,MIA,W 20-17,*,13,50,3.85,0,5,5,38,7.60,0,100.0%,7.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
66,2011,2011-12-04,12,25.260,NYG,,GNB,L 35-38,*,11,38,3.45,0,5,2,9,4.50,0,40.0%,1.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
67,2011,2011-12-11,13,25.267,NYG,@,DAL,W 37-34,,8,12,1.50,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
68,2011,2011-12-18,14,25.274,NYG,,WAS,L 10-23,*,10,58,5.80,1,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,0,,1,6,0.0,2,0
69,2011,2011-12-24,15,25.280,NYG,@,NYJ,W 29-14,,15,54,3.60,2,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
70,2011,2012-01-01,16,25.288,NYG,,DAL,W 31-14,,16,57,3.56,1,4,3,12,4.00,1,75.0%,3.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
71,2012,2012-09-05,1,26.170,NYG,,DAL,L 17-24,*,17,78,4.59,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
72,2012,2012-09-16,2,26.181,NYG,,TAM,W 41-34,*,5,16,3.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
73,2012,2012-09-30,4,26.195,NYG,@,PHI,L 17-19,*,13,39,3.00,0,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
74,2012,2012-10-07,5,26.202,NYG,,CLE,W 41-27,*,30,200,6.67,1,6,4,29,7.25,0,66.7%,4.83,0,0,,0,0,0,,0,,1,6,0.0,0,0
75,2012,2012-10-14,6,26.209,NYG,@,SFO,W 26-3,*,27,116,4.30,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
76,2012,2012-10-21,7,26.216,NYG,,WAS,W 27-23,*,12,43,3.58,1,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0,,1,6,0.0,0,0
77,2012,2012-10-28,8,26.223,NYG,@,DAL,W 29-24,*,22,78,3.55,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
78,2012,2012-11-04,9,26.230,NYG,,PIT,L 20-24,*,15,48,3.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
79,2012,2012-11-11,10,26.237,NYG,@,CIN,L 13-31,,10,57,5.70,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
80,2012,2012-11-25,11,26.251,NYG,,GNB,W 38-10,*,10,58,5.80,1,3,2,61,30.50,0,66.7%,20.33,0,0,,0,0,0,,0,,1,6,0.0,0,0
81,2012,2012-12-03,12,26.259,NYG,@,WAS,L 16-17,*,24,103,4.29,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
82,2012,2012-12-09,13,26.265,NYG,,NOR,W 52-27,*,11,33,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
83,2012,2012-12-23,15,26.279,NYG,@,BAL,L 14-33,*,9,39,4.33,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
84,2012,2012-12-30,16,26.286,NYG,,PHI,W 42-7,,16,107,6.69,1,2,1,41,41.00,0,50.0%,20.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
85,2013,2013-09-08,1,27.173,IND,,OAK,W 21-17,,7,26,3.71,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
86,2013,2013-09-15,2,27.180,IND,,MIA,L 20-24,*,15,65,4.33,1,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,,1,6,0.0,0,0
87,2013,2013-09-22,3,27.187,IND,@,SFO,W 27-7,*,19,95,5.00,1,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
88,2014,2014-09-07,1,28.172,IND,@,DEN,L 24-31,,3,15,5.00,0,6,5,70,14.00,0,83.3%,11.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
89,2014,2014-09-15,2,28.180,IND,,PHI,L 27-30,,13,70,5.38,0,5,5,26,5.20,2,100.0%,5.20,0,0,,0,0,0,,0,,2,12,0.0,0,0
90,2014,2014-09-21,3,28.186,IND,@,JAX,W 44-17,,9,65,7.22,0,3,2,18,9.00,1,66.7%,6.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
91,2014,2014-09-28,4,28.193,IND,,TEN,W 41-17,,9,32,3.56,0,2,2,20,10.00,1,100.0%,10.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
92,2014,2014-10-05,5,28.200,IND,,BAL,W 20-13,,15,68,4.53,0,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
93,2014,2014-10-09,6,28.204,IND,@,HOU,W 33-28,,11,34,3.09,0,6,3,25,8.33,1,50.0%,4.17,0,0,,0,0,0,,0,,1,6,0.0,0,0
94,2014,2014-10-19,7,28.214,IND,,CIN,W 27-0,,10,52,5.20,1,3,3,36,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,,2,12,0.0,1,0
95,2014,2014-10-26,8,28.221,IND,@,PIT,L 34-51,*,6,35,5.83,1,7,7,52,7.43,0,100.0%,7.43,0,0,,0,0,0,,0,,1,6,0.0,0,0
96,2014,2014-11-03,9,28.229,IND,@,NYG,W 40-24,,7,50,7.14,0,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
97,2014,2014-11-16,10,28.242,IND,,NWE,L 20-42,,7,4,0.57,0,5,4,7,1.75,0,80.0%,1.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
98,2015,2015-10-18,6,29.213,IND,,NWE,L 27-34,,4,8,2.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
99,2015,2015-10-25,7,29.220,IND,,NOR,L 21-27,,1,5,5.00,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
100,2015,2015-11-02,8,29.228,IND,@,CAR,L 26-29,,7,31,4.43,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
101,2015,2015-11-08,9,29.234,IND,,DEN,W 27-24,,6,3,0.50,0,2,1,8,8.00,1,50.0%,4.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
102,2015,2015-11-22,10,29.248,IND,@,ATL,W 24-21,,9,32,3.56,0,4,4,20,5.00,2,100.0%,5.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
103,2015,2015-11-29,11,29.255,IND,,TAM,W 25-12,,4,6,1.50,0,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
