ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
28,1972,1972-12-03,12,26.331,ATL,,HOU,W 20-10,,,,,,,
29,1972,1972-12-10,13,26.338,ATL,@,SFO,L 0-20,,,,,,,
30,1972,1972-12-17,14,26.345,ATL,,KAN,L 14-17,,,,,,,
31,1973,1973-09-16,1,27.252,ATL,@,NOR,W 62-7,0,0,,0,1,3,0
32,1973,1973-09-23,2,27.259,ATL,@,RAM,L 0-31,,,,,,,
33,1973,1973-10-01,3,27.267,ATL,@,DET,L 6-31,,,,,,,
34,1973,1973-10-07,4,27.273,ATL,,SFO,L 9-13,,,,,,,
35,1973,1973-10-14,5,27.280,ATL,,CHI,W 46-6,0,0,,0,1,12,0
36,1973,1973-10-21,6,27.287,ATL,@,SDG,W 41-0,0,0,,0,1,36,0
37,1973,1973-10-28,7,27.294,ATL,@,SFO,W 17-3,,,,,,,
38,1973,1973-11-04,8,27.301,ATL,,RAM,W 15-13,,,,,,,
39,1973,1973-11-11,9,27.308,ATL,@,PHI,W 44-27,,,,,,,
40,1973,1973-11-19,10,27.316,ATL,,MIN,W 20-14,,,,,,,
41,1973,1973-11-25,11,27.322,ATL,@,NYJ,W 28-20,,,,,,,
42,1973,1973-12-02,12,27.329,ATL,,BUF,L 6-17,,,,,,,
43,1973,1973-12-09,13,27.336,ATL,,STL,L 10-32,,,,,,,
44,1973,1973-12-16,14,27.343,ATL,,NOR,W 14-10,,,,,,,
45,1974,1974-09-15,1,28.251,ATL,,DAL,L 0-24,,,,,,,
46,1974,1974-09-22,2,28.258,ATL,,SFO,L 10-16,,,,,,,
47,1974,1974-09-29,3,28.265,ATL,@,NOR,L 13-14,,,,,,,
48,1974,1974-10-06,4,28.272,ATL,@,NYG,W 14-7,,,,,,,
49,1974,1974-10-13,5,28.279,ATL,,CHI,W 13-10,,,,,,,
50,1974,1974-10-20,6,28.286,ATL,,NOR,L 3-13,0,0,,0,1,9,0
51,1974,1974-10-28,7,28.294,ATL,@,PIT,L 17-24,,,,,,,
52,1974,1974-11-03,8,28.300,ATL,@,MIA,L 7-42,,,,,,,
53,1974,1974-11-10,9,28.307,ATL,@,RAM,L 0-21,,,,,,,
54,1974,1974-11-17,10,28.314,ATL,,BAL,L 7-17,,,,,,,
55,1974,1974-11-24,11,28.321,ATL,@,SFO,L 0-27,,,,,,,
56,1974,1974-12-01,12,28.328,ATL,,RAM,L 7-30,,,,,,,
57,1974,1974-12-07,13,28.334,ATL,@,MIN,L 10-23,,,,,,,
58,1974,1974-12-15,14,28.342,ATL,,GNB,W 10-3,,,,,,,
59,1975,1975-09-21,1,29.257,ATL,@,STL,L 20-23,,,,,,,
60,1975,1975-09-28,2,29.264,ATL,,DET,L 14-17,,,,,,,
61,1975,1975-10-05,3,29.271,ATL,,NOR,W 14-7,,,,,,,
62,1975,1975-10-12,4,29.278,ATL,@,SFO,W 17-3,0,0,,0,2,11,0
63,1975,1975-10-19,5,29.285,ATL,@,RAM,L 7-22,,,,,,,
64,1975,1975-10-26,6,29.292,ATL,,CIN,L 14-21,,,,,,,
65,1975,1975-11-02,7,29.299,ATL,@,NOR,L 7-23,0,0,,0,1,0,0
66,1975,1975-11-09,8,29.306,ATL,@,MIN,L 0-38,,,,,,,
67,1975,1975-11-16,9,29.313,ATL,,RAM,L 7-16,,,,,,,
68,1975,1975-11-23,10,29.320,ATL,,DEN,W 35-21,,,,,,,
69,1975,1975-11-30,11,29.327,ATL,@,OAK,L 34-37,,,,,,,
70,1975,1975-12-07,12,29.334,ATL,,WAS,L 27-30,,,,,,,
71,1975,1975-12-14,13,29.341,ATL,,SFO,W 31-9,0,0,,0,1,0,0
72,1975,1975-12-21,14,29.348,ATL,@,GNB,L 13-22,,,,,,,
73,1976,1976-09-12,1,30.249,ATL,,RAM,L 14-30,,,,,,,
74,1976,1976-09-19,2,30.256,ATL,@,DET,L 10-24,,,,,,,
75,1976,1976-09-26,3,30.263,ATL,@,CHI,W 10-0,,,,,,,
76,1976,1976-10-03,4,30.270,ATL,,PHI,L 13-14,,,,,,,
77,1976,1976-10-10,5,30.277,ATL,@,NOR,L 0-30,,,,,,,
78,1976,1976-10-17,6,30.284,ATL,,CLE,L 17-20,,,,,,,
79,1976,1976-10-23,7,30.290,ATL,@,SFO,L 0-15,,,,,,,
80,1976,1976-10-31,8,30.298,ATL,,NOR,W 23-20,,,,,,,
81,1976,1976-11-07,9,30.305,ATL,@,SEA,L 13-30,,,,,,,
82,1976,1976-11-14,10,30.312,ATL,,SFO,W 21-16,,,,,,,
83,1976,1976-11-21,11,30.319,ATL,,DAL,W 17-10,,,,,,,
84,1977,1977-09-18,1,31.254,ATL,,RAM,W 17-6,,,,,,,
85,1977,1977-09-25,2,31.261,ATL,@,WAS,L 6-10,,,,,,,
86,1977,1977-10-02,3,31.268,ATL,,NYG,W 17-3,,,,,,,
87,1977,1977-10-09,4,31.275,ATL,@,SFO,W 7-0,,,,,,,
88,1977,1977-10-16,5,31.282,ATL,@,BUF,L 0-3,,,,,,,
89,1977,1977-10-23,6,31.289,ATL,@,CHI,W 16-10,,,,,,,
90,1977,1977-10-30,7,31.296,ATL,,MIN,L 7-14,,,,,,,
91,1977,1977-11-06,8,31.303,ATL,,SFO,L 3-10,,,,,,,
92,1977,1977-11-13,9,31.310,ATL,,DET,W 17-6,,,,,,,
93,1977,1977-11-20,10,31.317,ATL,@,NOR,L 20-21,,,,,,,
94,1977,1977-11-27,11,31.324,ATL,@,TAM,W 17-0,,,,,,,
95,1977,1977-12-04,12,31.331,ATL,,NWE,L 10-16,,,,,,,
96,1977,1977-12-11,13,31.338,ATL,@,RAM,L 7-23,,,,,,,
97,1977,1977-12-18,14,31.345,ATL,,NOR,W 35-7,,,,,,,
98,1978,1978-09-03,1,32.239,ATL,,HOU,W 20-14,,,,,,,
99,1978,1978-09-10,2,32.246,ATL,@,RAM,L 0-10,,,,,,,
100,1978,1978-09-17,3,32.253,ATL,,CLE,L 16-24,,,,,,,
101,1978,1978-09-24,4,32.260,ATL,@,TAM,L 9-14,,,,,,,
102,1978,1978-10-01,5,32.267,ATL,,NYG,W 23-20,,,,,,,
103,1978,1978-10-08,6,32.274,ATL,@,PIT,L 7-31,,,,,,,
104,1978,1978-10-15,7,32.281,ATL,,DET,W 14-0,,,,,,,
105,1978,1978-10-22,8,32.288,ATL,@,SFO,W 20-17,,,,,,,
106,1978,1978-10-30,9,32.296,ATL,,RAM,W 15-7,,,,,,,
107,1978,1978-11-05,10,32.302,ATL,,SFO,W 21-10,,,,,,,
108,1978,1978-11-12,11,32.309,ATL,@,NOR,W 20-17,,,,,,,
109,1978,1978-11-19,12,32.316,ATL,@,CHI,L 7-13,,,,,,,
110,1978,1978-11-26,13,32.323,ATL,,NOR,W 20-17,,,,,,,
111,1978,1978-12-03,14,32.330,ATL,@,CIN,L 7-37,,,,,,,
112,1978,1978-12-10,15,32.337,ATL,,WAS,W 20-17,,,,,,,
113,1978,1978-12-17,16,32.344,ATL,@,STL,L 21-42,,,,,,,
114,1979,1979-09-02,1,33.238,ATL,@,NOR,W 40-34,,,,,,,
115,1979,1979-09-10,2,33.246,ATL,@,PHI,W 14-10,,,,,,,
116,1979,1979-09-16,3,33.252,ATL,,DEN,L 17-20,,,,,,,
117,1979,1979-09-23,4,33.259,ATL,@,DET,L 23-24,,,,,,,
118,1979,1979-09-30,5,33.266,ATL,,WAS,L 7-16,,,,,,,
119,1979,1979-10-07,6,33.273,ATL,,GNB,W 25-7,,,,,,,
120,1979,1979-10-14,7,33.280,ATL,@,OAK,L 19-50,,,,,,,
121,1979,1979-10-21,8,33.287,ATL,@,SFO,L 15-20,,,,,,,
122,1979,1979-10-29,9,33.295,ATL,,SEA,L 28-31,,,,,,,
123,1979,1979-11-04,10,33.301,ATL,,TAM,W 17-14,,,,,,,
124,1979,1979-11-11,11,33.308,ATL,@,NYG,L 3-24,,,,,,,
125,1979,1979-11-19,12,33.316,ATL,@,RAM,L 14-20,,,,,,,
126,1979,1979-11-25,13,33.322,ATL,,NOR,L 6-37,,,,,,,
127,1979,1979-12-02,14,33.329,ATL,@,SDG,W 28-26,,,,,,,
128,1979,1979-12-09,15,33.336,ATL,,RAM,L 13-34,,,,,,,
129,1979,1979-12-16,16,33.343,ATL,,SFO,W 31-21,,,,,,,
