ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
12,2004,2004-12-27,15,24.207,PHI,@,STL,L 7-20,,6,17,2.83,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0
13,2004,2005-01-02,16,24.213,PHI,,CIN,L 10-38,,7,26,3.71,0,9,8,62,7.75,0,88.9%,6.89,1,8,8.00,0,1,7,7.00,0
14,2005,2005-09-12,1,25.101,PHI,@,ATL,L 10-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
15,2005,2005-09-18,2,25.107,PHI,,SFO,W 42-3,,2,12,6.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
16,2005,2005-09-25,3,25.114,PHI,,OAK,W 23-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
17,2005,2005-10-02,4,25.121,PHI,@,KAN,W 37-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
18,2005,2005-10-09,5,25.128,PHI,@,DAL,L 10-33,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
19,2005,2005-10-23,6,25.142,PHI,,SDG,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0
20,2005,2005-10-30,7,25.149,PHI,@,DEN,L 21-49,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
21,2005,2005-11-06,8,25.156,PHI,@,WAS,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
22,2005,2005-11-14,9,25.164,PHI,,DAL,L 20-21,,1,7,7.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,2,33,16.50,0
23,2005,2005-11-20,10,25.170,PHI,@,NYG,L 17-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,19,9.50,0
24,2005,2005-11-27,11,25.177,PHI,,GNB,W 19-14,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,2,15,7.50,0
25,2005,2005-12-05,12,25.185,PHI,,SEA,L 0-42,,2,3,1.50,0,6,4,16,4.00,0,66.7%,2.67,0,0,,0,7,108,15.43,0
26,2005,2005-12-11,13,25.191,PHI,,NYG,L 23-26,,7,42,6.00,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,1,28,28.00,0
27,2005,2005-12-18,14,25.198,PHI,@,STL,W 17-16,,4,18,4.50,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,4,42,10.50,0
28,2005,2005-12-24,15,25.204,PHI,@,ARI,L 21-27,,4,5,1.25,0,4,2,16,8.00,0,50.0%,4.00,0,0,,0,3,24,8.00,0
29,2006,2006-09-24,3,26.113,PHI,@,SFO,W 38-24,,0,0,,0,0,0,0,,0,0.0%,,1,2,2.00,0,2,31,15.50,0
30,2006,2006-10-02,4,26.121,PHI,,GNB,W 31-9,*,0,0,,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,1,14,14.00,0
31,2006,2006-10-08,5,26.127,PHI,,DAL,W 38-24,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
32,2006,2006-10-29,8,26.148,PHI,,JAX,L 6-13,,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0,2,24,12.00,0
33,2006,2006-11-12,9,26.162,PHI,,WAS,W 27-3,,0,0,,0,0,0,0,,0,0.0%,,2,66,33.00,0,2,18,9.00,0
34,2006,2006-11-19,10,26.169,PHI,,TEN,L 13-31,,1,4,4.00,0,0,0,0,,0,0.0%,,4,108,27.00,0,3,37,12.33,0
35,2006,2006-11-26,11,26.176,PHI,@,IND,L 21-45,,0,0,,0,0,0,0,,0,0.0%,,6,143,23.83,0,1,3,3.00,0
36,2006,2006-12-04,12,26.184,PHI,,CAR,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,4,67,16.75,0,4,24,6.00,0
37,2006,2006-12-10,13,26.190,PHI,@,WAS,W 21-19,,0,0,,0,0,0,0,,0,0.0%,,6,114,19.00,0,2,4,2.00,0
38,2006,2006-12-17,14,26.197,PHI,@,NYG,W 36-22,,0,0,,0,0,0,0,,0,0.0%,,2,82,41.00,0,0,0,,0
39,2006,2006-12-25,15,26.205,PHI,@,DAL,W 23-7,,0,0,,0,0,0,0,,0,0.0%,,1,25,25.00,0,0,0,,0
40,2006,2006-12-31,16,26.211,PHI,,ATL,W 24-17,,3,14,4.67,0,3,2,4,2.00,0,66.7%,1.33,3,42,14.00,0,1,14,14.00,0
41,2007,2007-09-17,2,27.106,PHI,,WAS,L 12-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,9,4.50,0
42,2007,2007-09-23,3,27.112,PHI,,DET,W 56-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,41,10.25,0
43,2007,2007-09-30,4,27.119,PHI,@,NYG,L 3-16,,0,0,,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,3,20,6.67,0
44,2007,2007-10-14,5,27.133,PHI,@,NYJ,W 16-9,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,32,32.00,0
45,2007,2007-10-21,6,27.140,PHI,,CHI,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,6,6.00,0
46,2007,2007-10-28,7,27.147,PHI,@,MIN,W 23-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,39,13.00,0
47,2007,2007-11-04,8,27.154,PHI,,DAL,L 17-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,8,8.00,0
48,2007,2007-11-11,9,27.161,PHI,@,WAS,W 33-25,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0
49,2007,2007-11-18,10,27.168,PHI,,MIA,W 17-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,32,8.00,0
50,2007,2007-11-25,11,27.175,PHI,@,NWE,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,-2,-2.00,0
51,2007,2007-12-02,12,27.182,PHI,,SEA,L 24-28,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,2,6,3.00,0
52,2007,2007-12-09,13,27.189,PHI,,NYG,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
53,2007,2007-12-16,14,27.196,PHI,@,DAL,W 10-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,34,8.50,0
54,2007,2007-12-23,15,27.203,PHI,@,NOR,W 38-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,1,0.50,0
55,2007,2007-12-30,16,27.210,PHI,,BUF,W 17-9,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0
