ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
44,1973,1973-09-30,3,25.067,OAK,@,KAN,L 3-16,,,,,,,
45,1973,1973-10-07,4,25.074,OAK,@,STL,W 17-10,,,,,,,
46,1973,1973-10-14,5,25.081,OAK,@,SDG,W 27-17,,,,,,,
47,1973,1973-10-22,6,25.089,OAK,@,DEN,T 23-23,,,,,,,
48,1973,1973-10-28,7,25.095,OAK,@,BAL,W 34-21,,,,,,,
49,1973,1973-11-04,8,25.102,OAK,,NYG,W 42-0,,,,,,,
50,1973,1973-11-11,9,25.109,OAK,,PIT,L 9-17,,,,,,,
51,1973,1973-11-18,10,25.116,OAK,,CLE,L 3-7,,,,,,,
52,1973,1973-11-25,11,25.123,OAK,,SDG,W 31-3,,,,,,,
53,1973,1973-12-02,12,25.130,OAK,@,HOU,W 17-6,,,,,,,
54,1973,1973-12-08,13,25.136,OAK,,KAN,W 37-7,,,,,,,
55,1973,1973-12-16,14,25.144,OAK,,DEN,W 21-17,,,,,,,
56,1974,1974-09-16,1,26.053,OAK,@,BUF,L 20-21,,,,,,,
57,1974,1974-11-24,11,26.122,OAK,,DEN,L 17-20,,,,,,,
58,1974,1974-12-01,12,26.129,OAK,,NWE,W 41-26,,,,,,,
59,1974,1974-12-08,13,26.136,OAK,@,KAN,W 7-6,,,,,,,
60,1974,1974-12-14,14,26.142,OAK,,DAL,W 27-23,,,,,,,
61,1975,1975-09-22,1,27.059,OAK,@,MIA,W 31-21,,,,,,,
62,1975,1975-09-28,2,27.065,OAK,@,BAL,W 31-20,,,,,,,
63,1975,1975-10-05,3,27.072,OAK,@,SDG,W 6-0,,,,,,,
64,1975,1975-10-12,4,27.079,OAK,@,KAN,L 10-42,,,,,,,
65,1975,1975-10-19,5,27.086,OAK,@,CIN,L 10-14,,,,,,,
66,1975,1975-10-26,6,27.093,OAK,,SDG,W 25-0,,,,,,,
67,1975,1975-11-02,7,27.100,OAK,@,DEN,W 42-17,,,,,,,
68,1975,1975-11-23,10,27.121,OAK,@,WAS,W 26-23,,,,,,,
69,1975,1975-11-30,11,27.128,OAK,,ATL,W 37-34,,,,,,,
70,1975,1975-12-08,12,27.136,OAK,,DEN,W 17-10,,,,,,,
71,1975,1975-12-14,13,27.142,OAK,,HOU,L 26-27,,,,,,,
72,1975,1975-12-21,14,27.149,OAK,,KAN,W 28-20,,,,,,,
73,1976,1976-10-23,7,28.090,SFO,,ATL,W 15-0,,,,,,,
74,1976,1976-10-31,8,28.098,SFO,@,STL,L 20-23,,,,,,,
75,1976,1976-11-07,9,28.105,SFO,,WAS,L 21-24,,,,,,,
76,1976,1976-11-14,10,28.112,SFO,@,ATL,L 16-21,,,,,,,
77,1976,1976-11-21,11,28.119,SFO,,RAM,L 3-23,,,,,,,
78,1976,1976-11-29,12,28.127,SFO,,MIN,W 20-16,,,,,,,
79,1976,1976-12-05,13,28.133,SFO,@,SDG,L 7-13,,,,,,,
80,1977,1977-09-19,1,29.056,SFO,@,PIT,L 0-27,,,,,,,
81,1977,1977-09-25,2,29.062,SFO,,MIA,L 15-19,,,,,,,
82,1977,1977-10-02,3,29.069,SFO,@,RAM,L 14-34,,,,,,,
83,1977,1977-10-09,4,29.076,SFO,,ATL,L 0-7,,,,,,,
84,1977,1977-10-16,5,29.083,SFO,@,NYG,L 17-20,,,,,,,
85,1977,1977-10-23,6,29.090,SFO,,DET,W 28-7,,,,,,,
86,1977,1977-10-30,7,29.097,SFO,,TAM,W 20-10,,,,,,,
87,1977,1977-11-06,8,29.104,SFO,@,ATL,W 10-3,,,,,,,
88,1977,1977-11-13,9,29.111,SFO,@,NOR,W 10-7,,,,,,,
89,1977,1977-11-20,10,29.118,SFO,,RAM,L 10-23,,,,,,,
90,1977,1977-11-27,11,29.125,SFO,,NOR,W 20-17,,,,,,,
91,1977,1977-12-04,12,29.132,SFO,@,MIN,L 27-28,,,,,,,
92,1977,1977-12-12,13,29.140,SFO,,DAL,L 35-42,1,15,15.00,0,0,0,0
93,1977,1977-12-18,14,29.146,SFO,@,GNB,L 14-16,,,,,,,
