ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
14,2014,2014-12-14,14,24.085,SFO,@,SEA,L 7-17,,6,55,9.17,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
15,2015,2015-09-14,1,24.359,SFO,,MIN,W 20-3,*,26,168,6.46,2,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,2,12
16,2015,2015-09-20,2,25.000,SFO,@,PIT,L 18-43,*,13,43,3.31,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,,0,0
17,2015,2015-09-27,3,25.007,SFO,@,ARI,L 7-47,*,15,51,3.40,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0
18,2015,2015-10-04,4,25.014,SFO,,GNB,L 3-17,*,8,20,2.50,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0
19,2015,2015-10-11,5,25.021,SFO,@,NYG,L 27-30,*,21,93,4.43,1,5,1,4,4.00,0,20.0%,0.80,0,0,,0,,1,6
20,2015,2015-10-18,6,25.028,SFO,,BAL,W 25-20,*,21,55,2.62,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,,0,0
21,2015,2015-10-22,7,25.032,SFO,,SEA,L 3-20,*,11,40,3.64,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
22,2016,2016-09-12,1,25.358,SFO,,LAR,W 28-0,*,23,88,3.83,2,3,2,5,2.50,0,66.7%,1.67,0,0,,0,,2,12
23,2016,2016-09-18,2,25.364,SFO,@,CAR,L 27-46,*,14,34,2.43,0,3,3,18,6.00,0,100.0%,6.00,0,0,,0,,0,0
24,2016,2016-09-25,3,26.005,SFO,@,SEA,L 18-37,*,21,103,4.90,2,1,1,2,2.00,0,100.0%,2.00,0,0,,0,1,2,14
25,2016,2016-10-02,4,26.012,SFO,,DAL,L 17-24,*,15,74,4.93,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,1,6
26,2016,2016-10-06,5,26.016,SFO,,ARI,L 21-33,*,22,78,3.55,1,6,6,36,6.00,0,100.0%,6.00,0,0,,0,,1,6
27,2016,2016-10-16,6,26.026,SFO,@,BUF,L 16-45,*,14,52,3.71,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
28,2016,2016-11-13,9,26.054,SFO,@,ARI,L 20-23,*,13,14,1.08,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
29,2016,2016-11-20,10,26.061,SFO,,NWE,L 17-30,*,19,86,4.53,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,,0,0
30,2016,2016-11-27,11,26.068,SFO,@,MIA,L 24-31,*,13,65,5.00,0,6,5,30,6.00,1,83.3%,5.00,0,0,,0,,1,6
31,2016,2016-12-04,12,26.075,SFO,@,CHI,L 6-26,*,20,92,4.60,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0
32,2016,2016-12-11,13,26.082,SFO,,NYJ,L 17-23,*,17,193,11.35,0,1,1,7,7.00,1,100.0%,7.00,0,0,,0,,1,6
33,2016,2016-12-18,14,26.089,SFO,@,ATL,L 13-41,*,13,71,5.46,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,,0,0
34,2016,2016-12-24,15,26.095,SFO,@,LAR,W 22-21,*,13,38,2.92,0,3,3,24,8.00,1,100.0%,8.00,0,0,,0,,1,6
35,2017,2017-09-10,1,26.355,SFO,,CAR,L 3-23,*,9,45,5.00,0,6,6,32,5.33,0,100.0%,5.33,0,0,,0,,0,0
36,2017,2017-09-17,2,26.362,SFO,@,SEA,L 9-12,*,15,124,8.27,0,6,3,19,6.33,0,50.0%,3.17,0,0,,0,,0,0
37,2017,2017-09-21,3,27.001,SFO,,LAR,L 39-41,*,25,84,3.36,2,4,3,10,3.33,0,75.0%,2.50,0,0,,0,,2,12
38,2017,2017-10-01,4,27.011,SFO,@,ARI,L 15-18,*,16,68,4.25,0,6,5,27,5.40,0,83.3%,4.50,0,0,,0,,0,0
39,2017,2017-10-08,5,27.018,SFO,@,IND,L 23-26,*,8,11,1.38,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0
40,2017,2017-10-15,6,27.025,SFO,@,WAS,L 24-26,*,13,28,2.15,2,6,5,47,9.40,0,83.3%,7.83,0,0,,0,,2,12
41,2017,2017-10-22,7,27.032,SFO,,DAL,L 10-40,*,14,68,4.86,0,8,4,20,5.00,0,50.0%,2.50,0,0,,0,,0,0
42,2017,2017-10-29,8,27.039,SFO,@,PHI,L 10-33,*,12,25,2.08,0,9,4,22,5.50,0,44.4%,2.44,0,0,,0,,0,0
43,2017,2017-11-05,9,27.046,SFO,,ARI,L 10-20,*,12,41,3.42,0,11,9,84,9.33,0,81.8%,7.64,0,0,,0,,0,0
44,2017,2017-11-12,10,27.053,SFO,,NYG,W 31-21,*,17,98,5.76,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,0,0
45,2017,2017-11-26,11,27.067,SFO,,SEA,L 13-24,*,16,47,2.94,0,13,7,21,3.00,0,53.8%,1.62,0,0,,0,,0,0
46,2017,2017-12-03,12,27.074,SFO,@,CHI,W 15-14,*,17,54,3.18,0,5,3,12,4.00,0,60.0%,2.40,0,0,,0,,0,0
47,2017,2017-12-10,13,27.081,SFO,@,HOU,W 26-16,*,14,78,5.57,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6
48,2017,2017-12-17,14,27.088,SFO,,TEN,W 25-23,*,16,25,1.56,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0
49,2017,2017-12-24,15,27.095,SFO,,JAX,W 44-33,*,21,54,2.57,1,3,3,19,6.33,0,100.0%,6.33,0,0,,0,,1,6
50,2017,2017-12-31,16,27.102,SFO,@,LAR,W 34-13,*,15,88,5.87,2,4,2,10,5.00,0,50.0%,2.50,0,0,,0,,2,12
51,2018,2018-09-09,1,27.354,CLE,,PIT,T 21-21,*,22,62,2.82,1,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,1,6
52,2018,2018-09-16,2,27.361,CLE,@,NOR,L 18-21,,16,43,2.69,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,1,6
53,2018,2018-09-20,3,28.000,CLE,,NYJ,W 21-17,*,23,98,4.26,2,3,2,5,2.50,0,66.7%,1.67,0,0,,0,,2,12
