ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
22,1968,1968-11-10,9,28.258,CHI,,SFO,W 27-19,0,0,,0,3,3,100.0,2,5,40.0,0,9
23,1968,1968-11-17,10,28.265,CHI,,ATL,L 13-16,0,0,,0,1,1,100.0,2,3,66.7,0,7
24,1968,1968-11-24,11,28.272,CHI,,DAL,L 3-34,0,0,,0,,,,1,2,50.0,0,3
25,1968,1968-12-01,12,28.279,CHI,@,NOR,W 23-17,0,0,,0,2,2,100.0,3,4,75.0,0,11
26,1968,1968-12-08,13,28.286,CHI,@,RAM,W 17-16,0,0,,0,2,2,100.0,1,2,50.0,0,5
27,1968,1968-12-15,14,28.293,CHI,,GNB,L 27-28,0,0,,0,3,3,100.0,2,2,100.0,0,9
28,1969,1969-09-21,1,29.207,CHI,@,GNB,L 0-17,0,0,,0,,,,,1,0.0,0,0
29,1969,1969-09-28,2,29.214,CHI,@,STL,L 17-20,0,0,,0,2,2,100.0,1,3,33.3,0,5
30,1969,1969-10-05,3,29.221,CHI,@,NYG,L 24-28,0,0,,0,3,3,100.0,1,3,33.3,0,6
31,1969,1969-10-12,4,29.228,CHI,,MIN,L 0-31,0,0,,0,,,,,1,0.0,0,0
32,1969,1969-10-19,5,29.235,CHI,@,DET,L 7-13,0,0,,0,1,1,100.0,,1,0.0,0,1
33,1969,1969-10-26,6,29.242,CHI,,RAM,L 7-9,0,0,,0,1,1,100.0,,,,0,1
34,1969,1969-11-02,7,29.249,CHI,@,MIN,L 14-31,0,0,,0,2,2,100.0,,,,0,2
35,1969,1969-11-09,8,29.256,CHI,,PIT,W 38-7,0,0,,0,4,4,100.0,2,2,100.0,0,10
36,1969,1969-11-16,9,29.263,CHI,@,ATL,L 31-48,0,0,,0,4,4,100.0,1,2,50.0,0,7
37,1969,1969-11-23,10,29.270,CHI,,BAL,L 21-24,0,0,,0,3,3,100.0,,,,0,3
38,1969,1969-11-30,11,29.277,CHI,,CLE,L 24-28,0,0,,0,3,3,100.0,1,1,100.0,0,6
39,1969,1969-12-06,12,29.283,CHI,@,SFO,L 21-42,0,0,,0,3,3,100.0,,2,0.0,0,3
40,1969,1969-12-14,13,29.291,CHI,,GNB,L 3-21,0,0,,0,,,,1,2,50.0,0,3
41,1969,1969-12-21,14,29.298,CHI,,DET,L 3-20,0,0,,0,,,,1,3,33.3,0,3
42,1970,1970-09-19,1,30.205,CHI,@,NYG,W 24-16,0,0,,0,3,3,100.0,1,2,50.0,0,6
43,1970,1970-09-27,2,30.213,CHI,,PHI,W 20-16,0,0,,0,2,2,100.0,2,3,66.7,0,8
44,1970,1970-10-05,3,30.221,CHI,@,DET,L 14-28,0,0,,0,2,2,100.0,,1,0.0,0,2
45,1970,1970-10-11,4,30.227,CHI,,MIN,L 0-24,0,0,,0,,,,,1,0.0,0,0
46,1970,1970-10-18,5,30.234,CHI,,SDG,L 7-20,0,0,,0,1,1,100.0,,,,0,1
47,1970,1970-10-25,6,30.241,CHI,,DET,L 10-16,0,0,,0,1,1,100.0,1,2,50.0,0,4
48,1970,1970-11-01,7,30.248,CHI,@,ATL,W 23-14,0,0,,0,2,2,100.0,3,4,75.0,0,11
49,1970,1970-11-08,8,30.255,CHI,,SFO,L 16-37,0,0,,0,1,1,100.0,3,4,75.0,0,10
50,1970,1970-11-15,9,30.262,CHI,@,GNB,L 19-20,0,0,,0,1,1,100.0,4,5,80.0,0,13
51,1970,1970-11-22,10,30.269,CHI,,BUF,W 31-13,0,0,,0,4,4,100.0,1,2,50.0,0,7
52,1970,1970-11-29,11,30.276,CHI,@,BAL,L 20-21,1,19,19.00,0,2,2,100.0,2,5,40.0,0,8
53,1970,1970-12-05,12,30.282,CHI,@,MIN,L 13-16,0,0,,0,1,1,100.0,2,2,100.0,0,7
54,1970,1970-12-13,13,30.290,CHI,,GNB,W 35-17,0,0,,0,5,5,100.0,,1,0.0,0,5
55,1970,1970-12-20,14,30.297,CHI,@,NOR,W 24-3,0,0,,0,3,3,100.0,1,2,50.0,0,6
56,1971,1971-09-19,1,31.205,CHI,,PIT,W 17-15,0,0,,0,2,2,100.0,1,2,50.0,0,5
57,1971,1971-09-26,2,31.212,CHI,@,MIN,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8
58,1971,1971-10-03,3,31.219,CHI,@,RAM,L 3-17,0,0,,0,,,,1,2,50.0,0,3
59,1971,1971-10-10,4,31.226,CHI,,NOR,W 35-14,0,0,,0,5,5,100.0,,1,0.0,0,5
60,1971,1971-10-17,5,31.233,CHI,@,SFO,L 0-13,0,0,,0,,,,,2,0.0,0,0
61,1971,1971-10-24,6,31.240,CHI,@,DET,W 28-23,0,0,,0,4,4,100.0,,1,0.0,0,4
62,1971,1971-10-31,7,31.247,CHI,,DAL,W 23-19,0,0,,0,1,1,100.0,3,4,75.0,0,10
63,1971,1971-11-07,8,31.254,CHI,,GNB,L 14-17,0,0,,0,2,2,100.0,,1,0.0,0,2
64,1971,1971-11-14,9,31.261,CHI,,WAS,W 16-15,0,0,,0,,,,3,5,60.0,0,9
65,1971,1971-11-21,10,31.268,CHI,,DET,L 3-28,0,0,,0,,,,1,4,25.0,0,3
66,1971,1971-11-29,11,31.276,CHI,@,MIA,L 3-34,0,0,,0,,,,1,1,100.0,0,3
67,1971,1971-12-05,12,31.282,CHI,@,DEN,L 3-6,0,0,,0,,,,1,4,25.0,0,3
68,1971,1971-12-12,13,31.289,CHI,@,GNB,L 10-31,0,0,,0,1,1,100.0,1,3,33.3,0,4
69,1971,1971-12-19,14,31.296,CHI,,MIN,L 10-27,0,0,,0,1,1,100.0,1,1,100.0,0,4
70,1972,1972-09-17,1,32.204,CHI,,ATL,L 21-37,0,0,,0,3,3,100.0,,,,0,3
71,1972,1972-09-24,2,32.211,CHI,,RAM,T 13-13,0,0,,0,1,1,100.0,2,3,66.7,0,7
72,1972,1972-10-01,3,32.218,CHI,,DET,L 24-38,0,0,,0,3,3,100.0,1,2,50.0,0,6
73,1972,1972-10-08,4,32.225,CHI,@,GNB,L 17-20,0,0,,0,2,2,100.0,1,3,33.3,0,5
74,1972,1972-10-15,5,32.232,CHI,@,CLE,W 17-0,0,0,,0,2,2,100.0,1,1,100.0,0,5
75,1972,1972-10-23,6,32.240,CHI,,MIN,W 13-10,0,0,,0,1,1,100.0,2,2,100.0,0,7
76,1972,1972-10-29,7,32.246,CHI,@,STL,W 27-10,0,0,,0,3,3,100.0,2,3,66.7,0,9
77,1972,1972-11-05,8,32.253,CHI,@,DET,L 0-14,0,0,,0,,,,,2,0.0,0,0
78,1972,1972-11-12,9,32.260,CHI,,GNB,L 17-23,0,0,,0,2,2,100.0,1,2,50.0,0,5
79,1972,1972-11-19,10,32.267,CHI,,SFO,L 21-34,0,0,,0,3,3,100.0,,1,0.0,0,3
80,1972,1972-11-26,11,32.274,CHI,,CIN,L 3-13,0,0,,0,,,,1,1,100.0,0,3
81,1972,1972-12-03,12,32.281,CHI,@,MIN,L 10-23,0,0,,0,1,1,100.0,1,2,50.0,0,4
82,1972,1972-12-10,13,32.288,CHI,@,PHI,W 21-12,0,0,,0,2,2,100.0,,,,0,2
83,1972,1972-12-17,14,32.295,CHI,@,OAK,L 21-28,0,0,,0,3,3,100.0,,2,0.0,0,3
84,1973,1973-09-16,1,33.202,CHI,,DAL,L 17-20,0,0,,0,2,2,100.0,1,1,100.0,0,5
85,1973,1973-09-23,2,33.209,CHI,,MIN,L 13-22,0,0,,0,1,1,100.0,2,3,66.7,0,7
86,1973,1973-09-30,3,33.216,CHI,@,DEN,W 33-14,0,0,,0,3,3,100.0,2,2,100.0,0,9
87,1973,1973-11-04,8,33.251,CHI,@,GNB,W 31-17,0,0,,0,4,4,100.0,1,2,50.0,0,7
88,1974,1974-09-15,1,34.201,DAL,@,ATL,W 24-0,0,0,,0,3,3,100.0,1,3,33.3,0,6
89,1974,1974-09-23,2,34.209,DAL,@,PHI,L 10-13,0,0,,0,1,1,100.0,1,4,25.0,0,4
90,1974,1974-09-29,3,34.215,DAL,,NYG,L 6-14,0,0,,0,,1,0.0,,1,0.0,0,0
