ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
22,2005,2005-10-30,7,23.210,KAN,@,SDG,L 20-28,*,0,,,,,0.0%,,,,,,,,,,
23,2005,2005-11-06,8,23.217,KAN,,OAK,W 27-23,*,0,,,,,0.0%,,,,,,,,,,
24,2005,2005-11-13,9,23.224,KAN,@,BUF,L 3-14,*,0,0,0,,0,0.0%,,,0,0,2.0,,,0,0,0
25,2005,2005-11-20,10,23.231,KAN,@,HOU,W 45-17,*,0,,,,,0.0%,,,,,,,,,,
26,2005,2005-11-27,11,23.238,KAN,,NWE,W 26-16,*,,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
27,2005,2005-12-04,12,23.245,KAN,,DEN,W 31-27,*,0,,,,,0.0%,,,,,,,,,,
28,2005,2005-12-11,13,23.252,KAN,@,DAL,L 28-31,*,0,0,0,,0,0.0%,,,0,0,2.0,,,0,0,0
29,2005,2005-12-17,14,23.258,KAN,@,NYG,L 17-27,*,0,,,,,0.0%,,,,,,,,,,
30,2005,2005-12-24,15,23.265,KAN,,SDG,W 20-7,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
31,2005,2006-01-01,16,23.273,KAN,,CIN,W 37-3,*,0,,,,,0.0%,,,,,,,,,,
32,2006,2006-09-10,1,24.160,KAN,,CIN,L 10-23,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
33,2006,2006-09-17,2,24.167,KAN,@,DEN,L 6-9,*,0,,,,,0.0%,,,,,,,,,,
34,2006,2006-10-01,3,24.181,KAN,,SFO,W 41-0,*,0,,,,,0.0%,,,,,,,,,,
35,2006,2006-10-08,4,24.188,KAN,@,ARI,W 23-20,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
36,2006,2006-10-15,5,24.195,KAN,@,PIT,L 7-45,*,0,,,,,0.0%,,,,,,,,,,
37,2006,2006-10-22,6,24.202,KAN,,SDG,W 30-27,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
38,2006,2006-10-29,7,24.209,KAN,,SEA,W 35-28,*,0,0,0,,0,0.0%,,,0,0,0.0,,,1,3,0
39,2006,2006-11-05,8,24.216,KAN,@,STL,W 31-17,*,0,0,0,,0,0.0%,,,0,0,2.0,,,0,0,0
40,2006,2006-11-12,9,24.223,KAN,@,MIA,L 10-13,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
41,2006,2006-11-19,10,24.230,KAN,,OAK,W 17-13,*,0,,,,,0.0%,,,,,,,,,,
42,2006,2006-11-23,11,24.234,KAN,,DEN,W 19-10,*,0,0,0,,0,0.0%,,,0,0,0.5,,,0,0,0
43,2006,2006-12-03,12,24.244,KAN,@,CLE,L 28-31,*,0,,,,,0.0%,,,,,,,,,,
44,2006,2006-12-10,13,24.251,KAN,,BAL,L 10-20,*,0,,,,,0.0%,,,,,,,,,,
45,2006,2006-12-17,14,24.258,KAN,@,SDG,L 9-20,*,0,,,,,0.0%,,,,,,,,,,
46,2006,2006-12-23,15,24.264,KAN,@,OAK,W 20-9,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
47,2006,2006-12-31,16,24.272,KAN,,JAX,W 35-30,*,0,,,,,0.0%,,,,,,,,,,
48,2007,2007-09-23,3,25.173,KAN,,MIN,W 13-10,*,0,0,0,,0,0.0%,,,0,0,2.0,,,0,0,0
49,2007,2007-09-30,4,25.180,KAN,@,SDG,W 30-16,*,0,,,,,0.0%,,,,,,,,,,
50,2007,2007-10-07,5,25.187,KAN,,JAX,L 7-17,*,0,0,0,,0,0.0%,,,0,0,1.5,,,0,0,0
51,2007,2007-10-14,6,25.194,KAN,,CIN,W 27-20,*,,0,0,,0,0.0%,,,0,0,2.5,,,0,0,0
52,2007,2007-10-21,7,25.201,KAN,@,OAK,W 12-10,*,0,0,0,,0,0.0%,,,0,0,2.0,,,0,0,0
53,2007,2007-11-04,8,25.215,KAN,,GNB,L 22-33,*,0,0,0,,0,0.0%,,,0,0,0.5,,,0,0,0
54,2007,2007-11-11,9,25.222,KAN,,DEN,L 11-27,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
55,2007,2007-11-18,10,25.229,KAN,@,IND,L 10-13,*,0,,,,,0.0%,,,,,,,,,,
56,2007,2007-11-25,11,25.236,KAN,,OAK,L 17-20,*,0,,,,,0.0%,,,,,,,,,,
57,2007,2007-12-02,12,25.243,KAN,,SDG,L 10-24,*,1,1,2,2.00,1,100.0%,2.00,,1,6,2.0,,,0,0,0
58,2007,2007-12-09,13,25.250,KAN,@,DEN,L 7-41,*,0,,,,,0.0%,,,,,,,,,,
59,2007,2007-12-16,14,25.257,KAN,,TEN,L 17-26,*,0,,,,,0.0%,,,,,,,,,,
60,2007,2007-12-23,15,25.264,KAN,@,DET,L 20-25,*,1,1,1,1.00,1,100.0%,1.00,,1,6,2.0,,,0,0,0
61,2007,2007-12-30,16,25.271,KAN,@,NYJ,L 10-13,*,0,0,0,,0,0.0%,,,0,0,2.0,,,0,0,0
62,2008,2008-09-08,1,26.158,MIN,@,GNB,L 19-24,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0
63,2008,2008-09-14,2,26.164,MIN,,IND,L 15-18,*,0,0,0,,0,0.0%,,,0,0,1.0,2,1,0,0,0
64,2008,2008-09-21,3,26.171,MIN,,CAR,W 20-10,*,0,0,0,,0,0.0%,,,0,0,1.0,3,2,0,0,0
65,2008,2008-09-28,4,26.178,MIN,@,TEN,L 17-30,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
66,2008,2008-10-06,5,26.186,MIN,@,NOR,W 30-27,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
67,2008,2008-10-12,6,26.192,MIN,,DET,W 12-10,*,0,0,0,,0,0.0%,,1,0,2,1.0,3,0,0,0,0
68,2008,2008-10-19,7,26.199,MIN,@,CHI,L 41-48,*,0,0,0,,0,0.0%,,,0,0,2.0,6,0,0,0,0
69,2008,2008-11-02,8,26.213,MIN,,HOU,W 28-21,*,,0,0,,0,0.0%,,,0,0,2.0,3,0,0,0,0
70,2008,2008-11-09,9,26.220,MIN,,GNB,W 28-27,*,0,0,0,,0,0.0%,,1,0,2,1.0,2,0,0,0,0
71,2008,2008-11-16,10,26.227,MIN,@,TAM,L 13-19,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
72,2008,2008-11-23,11,26.234,MIN,@,JAX,W 30-12,*,0,0,0,,0,0.0%,,,0,0,0.0,2,1,0,0,0
73,2008,2008-11-30,12,26.241,MIN,,CHI,W 34-14,*,0,0,0,,0,0.0%,,,0,0,2.5,3,5,0,0,0
74,2008,2008-12-07,13,26.248,MIN,@,DET,W 20-16,*,0,0,0,,0,0.0%,,,0,0,2.0,5,0,0,0,0
75,2008,2008-12-14,14,26.255,MIN,@,ARI,W 35-14,*,,0,0,,0,0.0%,,,0,0,2.0,3,0,0,0,0
76,2008,2008-12-21,15,26.262,MIN,,ATL,L 17-24,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
77,2008,2008-12-28,16,26.269,MIN,,NYG,W 20-19,*,0,0,0,,0,0.0%,,,0,0,0.0,2,2,0,0,0
78,2009,2009-09-13,1,27.163,MIN,@,CLE,W 34-20,*,0,0,0,,0,0.0%,,,0,0,0.0,0,1,0,0,0
79,2009,2009-09-20,2,27.170,MIN,@,DET,W 27-13,*,0,0,0,,0,0.0%,,,0,0,1.0,4,0,0,0,0
80,2009,2009-09-27,3,27.177,MIN,,SFO,W 27-24,*,0,0,0,,0,0.0%,,,0,0,1.0,4,2,0,0,0
81,2009,2009-10-05,4,27.185,MIN,,GNB,W 30-23,*,0,0,0,,0,0.0%,,1,0,2,4.5,6,1,0,0,0
82,2009,2009-10-11,5,27.191,MIN,@,STL,W 38-10,*,0,0,0,,0,0.0%,,,1,6,0.0,2,0,0,0,0
83,2009,2009-10-18,6,27.198,MIN,,BAL,W 33-31,*,0,0,0,,0,0.0%,,,0,0,1.0,6,1,0,0,0
84,2009,2009-10-25,7,27.205,MIN,@,PIT,L 17-27,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
85,2009,2009-11-01,8,27.212,MIN,@,GNB,W 38-26,*,0,0,0,,0,0.0%,,,0,0,3.0,5,0,0,0,0
86,2009,2009-11-15,9,27.226,MIN,,DET,W 27-10,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
87,2009,2009-11-22,10,27.233,MIN,,SEA,W 35-9,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
88,2009,2009-11-29,11,27.240,MIN,,CHI,W 36-10,*,0,0,0,,0,0.0%,,,0,0,2.0,2,0,1,-4,0
89,2009,2009-12-06,12,27.247,MIN,@,ARI,L 17-30,*,,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0
90,2009,2009-12-13,13,27.254,MIN,,CIN,W 30-10,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
91,2009,2009-12-20,14,27.261,MIN,@,CAR,L 7-26,*,0,0,0,,0,0.0%,,,0,0,1.0,5,1,0,0,0
92,2009,2009-12-28,15,27.269,MIN,@,CHI,L 30-36,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
93,2009,2010-01-03,16,27.275,MIN,,NYG,W 44-7,*,0,0,0,,0,0.0%,,,0,0,1.0,2,0,0,0,0
94,2010,2010-09-09,1,28.159,MIN,@,NOR,L 9-14,*,0,0,0,,0,0.0%,,,0,0,0.0,3,1,0,0,0
95,2010,2010-09-19,2,28.169,MIN,,MIA,L 10-14,*,0,0,0,,0,0.0%,,,0,0,1.0,3,0,0,0,0
96,2010,2010-09-26,3,28.176,MIN,,DET,W 24-10,*,0,0,0,,0,0.0%,,,0,0,0.0,2,1,0,0,0
97,2010,2010-10-11,4,28.191,MIN,@,NYJ,L 20-29,*,0,0,0,,0,0.0%,,,0,0,0.0,4,2,0,0,0
98,2010,2010-10-17,5,28.197,MIN,,DAL,W 24-21,*,0,0,0,,0,0.0%,,,0,0,0.0,0,1,0,0,0
99,2010,2010-10-24,6,28.204,MIN,@,GNB,L 24-28,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,4,0
100,2010,2010-10-31,7,28.211,MIN,@,NWE,L 18-28,*,0,0,0,,0,0.0%,,,0,0,0.0,3,1,0,0,0
101,2010,2010-11-07,8,28.218,MIN,,ARI,W 27-24,*,0,0,0,,0,0.0%,,,0,0,2.5,2,2,0,0,0
102,2010,2010-11-14,9,28.225,MIN,@,CHI,L 13-27,*,0,0,0,,0,0.0%,,,0,0,2.0,5,0,0,0,0
103,2010,2010-11-21,10,28.232,MIN,,GNB,L 3-31,*,0,0,0,,0,0.0%,,,0,0,1.0,2,2,0,0,0
104,2010,2010-11-28,11,28.239,MIN,@,WAS,W 17-13,*,0,0,0,,0,0.0%,,,0,0,1.0,4,2,0,0,0
105,2010,2010-12-05,12,28.246,MIN,,BUF,W 38-14,*,0,0,0,,0,0.0%,,,0,0,1.0,3,2,0,0,0
106,2010,2010-12-13,13,28.254,MIN,,NYG,L 3-21,*,0,0,0,,0,0.0%,,,0,0,1.0,3,0,0,0,0
107,2010,2010-12-20,14,28.261,MIN,,CHI,L 14-40,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
108,2010,2010-12-28,15,28.269,MIN,@,PHI,W 24-14,*,0,0,0,,0,0.0%,,,0,0,1.0,4,0,0,0,0
109,2010,2011-01-02,16,28.274,MIN,@,DET,L 13-20,*,0,0,0,,0,0.0%,,,1,6,0.5,3,1,1,36,1
110,2011,2011-09-11,1,29.161,MIN,@,SDG,L 17-24,*,0,0,0,,0,0.0%,,,0,0,0.5,3,3,1,14,0
111,2011,2011-09-18,2,29.168,MIN,,TAM,L 20-24,*,0,0,0,,0,0.0%,,,0,0,1.0,1,0,0,0,0
112,2011,2011-09-25,3,29.175,MIN,,DET,L 23-26,*,0,0,0,,0,0.0%,,,0,0,3.0,5,1,0,0,0
113,2011,2011-10-02,4,29.182,MIN,@,KAN,L 17-22,*,,0,0,,0,0.0%,,,0,0,2.0,2,0,0,0,0
114,2011,2011-10-09,5,29.189,MIN,,ARI,W 34-10,*,0,0,0,,0,0.0%,,,0,0,2.0,3,1,0,0,0
115,2011,2011-10-16,6,29.196,MIN,@,CHI,L 10-39,*,0,0,0,,0,0.0%,,,0,0,1.0,3,0,0,0,0
116,2011,2011-10-23,7,29.203,MIN,,GNB,L 27-33,*,0,0,0,,0,0.0%,,,0,0,2.0,3,3,0,0,0
117,2011,2011-10-30,8,29.210,MIN,@,CAR,W 24-21,*,0,0,0,,0,0.0%,,,0,0,1.0,5,0,0,0,0
118,2011,2011-11-14,9,29.225,MIN,@,GNB,L 7-45,*,0,0,0,,0,0.0%,,,0,0,1.0,6,1,0,0,0
119,2011,2011-11-20,10,29.231,MIN,,OAK,L 21-27,*,0,0,0,,0,0.0%,,,0,0,0.0,0,2,0,0,0
120,2011,2011-11-27,11,29.238,MIN,@,ATL,L 14-24,*,0,0,0,,0,0.0%,,,0,0,0.0,4,0,0,0,0
121,2011,2011-12-04,12,29.245,MIN,,DEN,L 32-35,*,0,0,0,,0,0.0%,,1,0,2,1.0,3,0,0,0,0
122,2011,2011-12-11,13,29.252,MIN,@,DET,L 28-34,*,,0,0,,0,0.0%,,,0,0,3.0,3,0,0,0,0
123,2011,2011-12-18,14,29.259,MIN,,NOR,L 20-42,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
124,2011,2011-12-24,15,29.265,MIN,@,WAS,W 33-26,*,0,0,0,,0,0.0%,,,0,0,1.0,1,3,0,0,0
125,2011,2012-01-01,16,29.273,MIN,,CHI,L 13-17,*,0,0,0,,0,0.0%,,,0,0,3.5,3,2,0,0,0
126,2012,2012-09-09,1,30.159,MIN,,JAX,W 26-23,*,0,,,,,0.0%,,,,,,,,,,
127,2012,2012-09-16,2,30.166,MIN,@,IND,L 20-23,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
128,2012,2012-09-23,3,30.173,MIN,,SFO,W 24-13,*,,0,0,,0,0.0%,,,0,0,1.0,1,0,0,0,0
129,2012,2012-09-30,4,30.180,MIN,@,DET,W 20-13,*,0,0,0,,0,0.0%,,,0,0,1.0,4,2,0,0,0
130,2012,2012-10-07,5,30.187,MIN,,TEN,W 30-7,*,0,0,0,,0,0.0%,,,0,0,1.0,1,0,0,0,0
131,2012,2012-10-14,6,30.194,MIN,@,WAS,L 26-38,*,0,0,0,,0,0.0%,,,0,0,1.0,4,1,0,0,0
132,2012,2012-10-21,7,30.201,MIN,,ARI,W 21-14,*,0,0,0,,0,0.0%,,,0,0,2.0,2,1,0,0,0
133,2012,2012-10-25,8,30.205,MIN,,TAM,L 17-36,*,0,0,0,,0,0.0%,,,0,0,1.0,2,2,0,0,0
134,2012,2012-11-04,9,30.215,MIN,@,SEA,L 20-30,*,0,0,0,,0,0.0%,,,0,0,0.0,3,2,0,0,0
135,2012,2012-11-11,10,30.222,MIN,,DET,W 34-24,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
136,2012,2012-11-25,11,30.236,MIN,@,CHI,L 10-28,*,0,0,0,,0,0.0%,,,0,0,0.0,3,1,0,0,0
137,2012,2012-12-02,12,30.243,MIN,@,GNB,L 14-23,*,0,0,0,,0,0.0%,,,0,0,2.0,5,1,0,0,0
138,2012,2012-12-09,13,30.250,MIN,,CHI,W 21-14,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
139,2012,2012-12-16,14,30.257,MIN,@,STL,W 36-22,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
140,2012,2012-12-23,15,30.264,MIN,@,HOU,W 23-6,*,,0,0,,0,0.0%,,,0,0,2.0,2,0,0,0,0
141,2012,2012-12-30,16,30.271,MIN,,GNB,W 37-34,*,,0,0,,0,0.0%,,,0,0,1.0,1,0,0,0,0
142,2013,2013-09-08,1,31.158,MIN,@,DET,L 24-34,*,0,0,0,,0,0.0%,,,0,0,0.0,2,2,0,0,0
143,2013,2013-09-15,2,31.165,MIN,@,CHI,L 30-31,*,0,0,0,,0,0.0%,,,0,0,1.0,5,1,0,0,0
144,2013,2013-09-22,3,31.172,MIN,,CLE,L 27-31,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0
145,2013,2013-09-29,4,31.179,MIN,,PIT,W 34-27,*,0,0,0,,0,0.0%,,,0,0,2.5,3,1,0,0,0
146,2013,2013-10-13,5,31.193,MIN,,CAR,L 10-35,*,0,0,0,,0,0.0%,,,0,0,0.0,2,1,0,0,0
147,2013,2013-10-21,6,31.201,MIN,@,NYG,L 7-23,*,0,0,0,,0,0.0%,,,0,0,1.0,3,1,0,0,0
148,2013,2013-10-27,7,31.207,MIN,,GNB,L 31-44,*,,,,,,0.0%,,,,,,,,,,
149,2013,2013-11-03,8,31.214,MIN,@,DAL,L 23-27,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
150,2013,2013-11-07,9,31.218,MIN,,WAS,W 34-27,*,0,0,0,,0,0.0%,,,0,0,0.5,1,2,0,0,0
151,2013,2013-11-17,10,31.228,MIN,@,SEA,L 20-41,*,0,0,0,,0,0.0%,,,0,0,0.0,0,5,0,0,0
152,2013,2013-11-24,11,31.235,MIN,@,GNB,T 26-26,*,0,0,0,,0,0.0%,,,0,0,0.0,4,1,0,0,0
153,2013,2013-12-01,12,31.242,MIN,,CHI,W 23-20,*,0,0,0,,0,0.0%,,,0,0,1.0,3,1,0,0,0
154,2013,2013-12-08,13,31.249,MIN,@,BAL,L 26-29,*,0,0,0,,0,0.0%,,,0,0,1.0,2,0,0,0,0
155,2013,2013-12-15,14,31.256,MIN,,PHI,W 48-30,*,0,0,0,,0,0.0%,,,0,0,2.0,3,0,0,0,0
156,2013,2013-12-22,15,31.263,MIN,@,CIN,L 14-42,*,0,0,0,,0,0.0%,,,0,0,0.5,1,3,0,0,0
157,2013,2013-12-29,16,31.270,MIN,,DET,W 14-13,*,1,0,0,,0,0.0%,0.00,,0,0,2.0,3,1,0,0,0
158,2014,2014-09-07,1,32.157,CHI,,BUF,L 20-23,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
159,2014,2014-09-14,2,32.164,CHI,@,SFO,W 28-20,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
160,2014,2014-09-22,3,32.172,CHI,@,NYJ,W 27-19,*,0,0,0,,0,0.0%,,,0,0,0.0,3,4,0,0,0
161,2014,2014-10-05,5,32.185,CHI,@,CAR,L 24-31,*,0,0,0,,0,0.0%,,,0,0,0.0,2,5,0,0,0
162,2014,2014-10-12,6,32.192,CHI,@,ATL,W 27-13,*,0,0,0,,0,0.0%,,,0,0,1.0,2,0,0,0,0
163,2014,2014-10-19,7,32.199,CHI,,MIA,L 14-27,*,0,0,0,,0,0.0%,,,0,0,0.5,2,2,0,0,0
164,2014,2014-10-26,8,32.206,CHI,@,NWE,L 23-51,*,0,0,0,,0,0.0%,,,0,0,0.0,1,4,0,0,0
165,2014,2014-11-09,9,32.220,CHI,@,GNB,L 14-55,*,0,0,0,,0,0.0%,,,0,0,0.0,1,2,0,0,0
166,2014,2014-11-16,10,32.227,CHI,,MIN,W 21-13,*,0,0,0,,0,0.0%,,,0,0,1.0,5,0,0,0,0
167,2014,2014-11-23,11,32.234,CHI,,TAM,W 21-13,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
168,2014,2014-11-27,12,32.238,CHI,@,DET,L 17-34,*,0,0,0,,0,0.0%,,,0,0,2.0,4,0,0,0,0
169,2014,2014-12-04,13,32.245,CHI,,DAL,L 28-41,*,0,0,0,,0,0.0%,,,0,0,0.0,4,0,0,0,0
170,2014,2014-12-15,14,32.256,CHI,,NOR,L 15-31,*,0,0,0,,0,0.0%,,,0,0,0.0,4,0,0,0,0
171,2014,2014-12-21,15,32.262,CHI,,DET,L 14-20,*,0,0,0,,0,0.0%,,,0,0,1.0,2,0,0,0,0
172,2014,2014-12-28,16,32.269,CHI,@,MIN,L 9-13,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
173,2015,2015-09-13,1,33.163,CHI,,GNB,L 23-31,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
174,2015,2015-09-20,2,33.170,CHI,,ARI,L 23-48,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,2,0
175,2015,2015-09-27,3,33.177,CHI,@,SEA,L 0-26,*,0,0,0,,0,0.0%,,,0,0,0.0,0,1,0,0,0
176,2015,2015-10-04,4,33.184,CAR,@,TAM,W 37-23,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
177,2015,2015-10-25,6,33.205,CAR,,PHI,W 27-16,*,0,0,0,,0,0.0%,,,0,0,1.0,2,3,0,0,0
178,2015,2015-11-02,7,33.213,CAR,,IND,W 29-26,*,0,0,0,,0,0.0%,,,0,0,1.0,2,3,0,0,0
179,2015,2015-11-08,8,33.219,CAR,,GNB,W 37-29,*,0,0,0,,0,0.0%,,,0,0,0.0,0,1,0,0,0
180,2015,2015-11-15,9,33.226,CAR,@,TEN,W 27-10,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
181,2015,2015-11-22,10,33.233,CAR,,WAS,W 44-16,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
182,2015,2015-11-26,11,33.237,CAR,@,DAL,W 33-14,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
183,2015,2015-12-06,12,33.247,CAR,@,NOR,W 41-38,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
184,2015,2015-12-13,13,33.254,CAR,,ATL,W 38-0,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0
185,2015,2015-12-20,14,33.261,CAR,@,NYG,W 38-35,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
186,2015,2015-12-27,15,33.268,CAR,@,ATL,L 13-20,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
187,2015,2016-01-03,16,33.275,CAR,,TAM,W 38-10,*,0,0,0,,0,0.0%,,,0,0,0.0,3,2,0,0,0
