ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
36,1963,1963-12-15,14,27.075,CHI,,DET,W 24-14,0,0,,0,,,,1,2,50.0,0,3
37,1964,1964-10-11,5,28.010,CHI,,RAM,W 38-17,0,0,,0,,,,,1,0.0,0,0
38,1964,1964-10-18,6,28.017,CHI,,DET,L 0-10,0,0,,0,,,,,1,0.0,0,0
39,1964,1964-10-25,7,28.024,CHI,@,WAS,L 20-27,0,0,,0,,,,,1,0.0,0,0
40,1964,1964-11-01,8,28.031,CHI,,DAL,L 10-24,0,0,,0,,,,1,2,50.0,0,3
41,1964,1964-11-08,9,28.038,CHI,,BAL,L 24-40,0,0,,0,,,,1,2,50.0,0,3
42,1964,1964-11-15,10,28.045,CHI,@,RAM,W 34-24,0,0,,0,,,,2,2,100.0,0,6
43,1964,1964-11-22,11,28.052,CHI,,SFO,W 23-21,0,0,,0,,,,3,3,100.0,0,9
44,1964,1964-11-26,12,28.056,CHI,@,DET,W 27-24,0,0,,0,,,,2,2,100.0,0,6
45,1964,1964-12-05,13,28.065,CHI,,GNB,L 3-17,0,0,,0,,,,1,2,50.0,0,3
46,1965,1965-09-19,1,28.353,CHI,@,SFO,L 24-52,0,0,,0,3,3,100.0,1,2,50.0,0,6
47,1965,1965-09-25,2,28.359,CHI,@,RAM,L 28-30,1,0,0.00,0,4,4,100.0,,1,0.0,0,4
48,1965,1965-10-03,3,29.002,CHI,@,GNB,L 14-23,,,,,2,2,100.0,,,,0,2
49,1965,1965-10-10,4,29.009,CHI,,RAM,W 31-6,0,0,,0,4,4,100.0,1,2,50.0,0,7
50,1965,1965-10-17,5,29.016,CHI,@,MIN,W 45-37,0,0,,0,6,6,100.0,1,1,100.0,0,9
51,1965,1965-10-24,6,29.023,CHI,,DET,W 38-10,0,0,,0,5,5,100.0,1,2,50.0,0,8
52,1965,1965-10-31,7,29.030,CHI,,GNB,W 31-10,0,0,,0,4,4,100.0,1,2,50.0,0,7
53,1965,1965-11-07,8,29.037,CHI,,BAL,L 21-26,,,,,3,3,100.0,,,,0,3
54,1965,1965-11-14,9,29.044,CHI,,STL,W 34-13,0,0,,0,4,4,100.0,2,4,50.0,0,10
55,1965,1965-11-21,10,29.051,CHI,@,DET,W 17-10,0,0,,0,2,2,100.0,1,1,100.0,0,5
56,1965,1965-11-28,11,29.058,CHI,@,NYG,W 35-14,0,0,,0,5,5,100.0,,4,0.0,0,5
57,1965,1965-12-05,12,29.065,CHI,@,BAL,W 13-0,0,0,,0,1,1,100.0,2,4,50.0,0,7
58,1965,1965-12-12,13,29.072,CHI,,SFO,W 61-20,,,,,7,7,100.0,,,,0,7
59,1965,1965-12-19,14,29.079,CHI,,MIN,L 17-24,0,0,,0,2,2,100.0,1,3,33.3,0,5
60,1966,1966-09-11,1,29.345,CHI,@,DET,L 3-14,0,0,,0,,,,1,2,50.0,0,3
61,1966,1966-09-16,2,29.350,CHI,@,RAM,L 17-31,0,0,,0,2,2,100.0,1,1,100.0,0,5
62,1966,1966-10-02,3,30.001,CHI,@,MIN,W 13-10,0,0,,0,1,1,100.0,2,2,100.0,0,7
63,1966,1966-10-09,4,30.008,CHI,,BAL,W 27-17,0,0,,0,3,3,100.0,2,4,50.0,0,9
64,1966,1966-10-16,5,30.015,CHI,,GNB,L 0-17,0,0,,0,,,,,1,0.0,0,0
65,1966,1966-10-23,6,30.022,CHI,,RAM,W 17-10,0,0,,0,2,2,100.0,1,3,33.3,0,5
66,1966,1966-10-31,7,30.030,CHI,@,STL,L 17-24,0,0,,0,2,2,100.0,1,3,33.3,0,5
67,1966,1966-11-06,8,30.036,CHI,,DET,T 10-10,0,0,,0,1,1,100.0,1,3,33.3,0,4
68,1966,1966-11-13,9,30.043,CHI,,SFO,T 30-30,0,0,,0,3,3,100.0,1,1,100.0,0,6
69,1966,1966-11-20,10,30.050,CHI,@,GNB,L 6-13,,,,,,1,0.0,,,,0,0
70,1966,1966-11-27,11,30.057,CHI,,ATL,W 23-6,0,0,,0,2,2,100.0,3,3,100.0,0,11
71,1966,1966-12-04,12,30.064,CHI,@,BAL,L 16-21,0,0,,0,1,1,100.0,3,5,60.0,0,10
72,1966,1966-12-11,13,30.071,CHI,@,SFO,L 14-41,,,,,2,2,100.0,,,,0,2
73,1966,1966-12-18,14,30.078,CHI,,MIN,W 41-28,0,0,,0,5,5,100.0,2,2,100.0,0,11
74,1967,1967-09-24,4,30.358,DEN,,NYJ,L 24-38,0,0,,0,,,,1,1,100.0,0,3
75,1967,1967-10-08,6,31.007,DEN,,BUF,L 16-17,0,0,,0,2,2,100.0,,5,0.0,0,2
