ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
24,2008,2008-12-14,14,22.104,MIN,@,ARI,W 35-14,,1,1,6,6.00,1,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
25,2008,2008-12-21,15,22.111,MIN,,ATL,L 17-24,,3,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,
26,2008,2008-12-28,16,22.118,MIN,,NYG,W 20-19,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
27,2009,2009-09-13,1,23.012,MIN,@,CLE,W 34-20,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,,,,1,0,0.00,0,0,0,0.0,0,0
28,2009,2009-09-20,2,23.019,MIN,@,DET,W 27-13,*,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
29,2009,2009-09-27,3,23.026,MIN,,SFO,W 27-24,*,7,4,56,14.00,1,57.1%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,1,0
30,2009,2009-10-05,4,23.034,MIN,,GNB,W 30-23,,6,5,70,14.00,1,83.3%,11.67,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6,0.0,0,0
31,2009,2009-10-11,5,23.040,MIN,@,STL,W 38-10,*,5,3,61,20.33,0,60.0%,12.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
32,2009,2009-10-18,6,23.047,MIN,,BAL,W 33-31,*,7,6,176,29.33,0,85.7%,25.14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
33,2009,2009-10-25,7,23.054,MIN,@,PIT,L 17-27,*,13,10,136,13.60,0,76.9%,10.46,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
34,2009,2009-11-01,8,23.061,MIN,@,GNB,W 38-26,*,5,4,40,10.00,0,80.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
35,2009,2009-11-15,9,23.075,MIN,,DET,W 27-10,,9,7,201,28.71,0,77.8%,22.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
36,2009,2009-11-22,10,23.082,MIN,,SEA,W 35-9,*,7,6,89,14.83,2,85.7%,12.71,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,12,0.0,0,0
37,2009,2009-11-29,11,23.089,MIN,,CHI,W 36-10,*,10,6,89,14.83,0,60.0%,8.90,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
38,2009,2009-12-06,12,23.096,MIN,@,ARI,L 17-30,*,16,7,72,10.29,0,43.8%,4.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
39,2009,2009-12-13,13,23.103,MIN,,CIN,W 30-10,*,9,4,39,9.75,1,44.4%,4.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
40,2009,2009-12-20,14,23.110,MIN,@,CAR,L 7-26,*,4,4,69,17.25,0,100.0%,17.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
41,2009,2009-12-28,15,23.118,MIN,@,CHI,L 30-36,*,8,6,56,9.33,1,75.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
42,2009,2010-01-03,16,23.124,MIN,,NYG,W 44-7,*,6,6,112,18.67,2,100.0%,18.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,12,0.0,0,0
43,2010,2010-11-21,10,24.081,MIN,,GNB,L 3-31,*,10,3,56,18.67,0,30.0%,5.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
44,2010,2010-11-28,11,24.088,MIN,@,WAS,W 17-13,*,4,1,20,20.00,0,25.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
45,2010,2010-12-05,12,24.095,MIN,,BUF,W 38-14,*,6,5,105,21.00,2,83.3%,17.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,1,0
46,2010,2010-12-13,13,24.103,MIN,,NYG,L 3-21,*,12,5,60,12.00,0,41.7%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
47,2010,2010-12-20,14,24.110,MIN,,CHI,L 14-40,*,5,2,23,11.50,0,40.0%,4.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
48,2010,2010-12-28,15,24.118,MIN,@,PHI,W 24-14,,5,1,16,16.00,0,20.0%,3.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
49,2011,2011-09-25,3,25.024,SEA,,ARI,W 13-10,*,10,8,109,13.63,0,80.0%,10.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
50,2011,2011-10-02,4,25.031,SEA,,ATL,L 28-30,*,6,3,79,26.33,1,50.0%,13.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
51,2011,2011-10-09,5,25.038,SEA,@,NYG,W 36-25,*,5,4,38,9.50,0,80.0%,7.60,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
52,2011,2011-10-23,6,25.052,SEA,@,CLE,L 3-6,*,5,2,38,19.00,0,40.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0
53,2011,2011-10-30,7,25.059,SEA,,CIN,L 12-34,*,14,7,102,14.57,0,50.0%,7.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
54,2011,2011-11-06,8,25.066,SEA,@,DAL,L 13-23,*,8,3,69,23.00,0,37.5%,8.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
55,2011,2011-11-13,9,25.073,SEA,,BAL,W 22-17,*,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
56,2011,2011-11-20,10,25.080,SEA,@,STL,W 24-7,*,3,3,35,11.67,1,100.0%,11.67,0,0,,0,1,1,100.00,55,0,0,118.7,0,0,55.00,55.00,0,0,,0,1,6,0.0,0,0
57,2011,2011-11-27,11,25.087,SEA,,WAS,L 17-23,*,2,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
58,2012,2012-09-09,1,26.008,SEA,@,ARI,L 16-20,*,9,4,36,9.00,1,44.4%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
59,2012,2012-09-16,2,26.015,SEA,,DAL,W 27-7,*,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
60,2012,2012-09-24,3,26.023,SEA,,GNB,W 14-12,*,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
61,2012,2012-09-30,4,26.029,SEA,@,STL,L 13-19,*,7,4,41,10.25,0,57.1%,5.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
62,2012,2012-10-07,5,26.036,SEA,@,CAR,W 16-12,*,6,5,67,13.40,0,83.3%,11.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
63,2012,2012-10-14,6,26.043,SEA,,NWE,W 24-23,*,6,3,81,27.00,1,50.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
64,2012,2012-10-18,7,26.047,SEA,@,SFO,L 6-13,*,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
65,2012,2012-10-28,8,26.057,SEA,@,DET,L 24-28,*,8,6,55,9.17,1,75.0%,6.88,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
66,2012,2012-11-04,9,26.064,SEA,,MIN,W 30-20,*,4,4,54,13.50,1,100.0%,13.50,0,0,,0,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,1,6,0.0,0,0
67,2012,2012-11-11,10,26.071,SEA,,NYJ,W 28-7,*,7,2,54,27.00,2,28.6%,7.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0
68,2012,2012-11-25,11,26.085,SEA,@,MIA,L 21-24,*,3,3,49,16.33,0,100.0%,16.33,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
69,2012,2012-12-02,12,26.092,SEA,@,CHI,W 23-17,*,9,6,99,16.50,1,66.7%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
70,2012,2012-12-09,13,26.099,SEA,,ARI,W 58-0,*,5,2,35,17.50,0,40.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
71,2012,2012-12-16,14,26.106,SEA,@,BUF,W 50-17,*,5,4,76,19.00,0,80.0%,15.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
72,2012,2012-12-23,15,26.113,SEA,,SFO,W 42-13,*,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,0,0
73,2012,2012-12-30,16,26.120,SEA,,STL,W 20-13,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
74,2013,2013-09-08,1,27.007,SEA,@,CAR,W 12-7,*,3,2,35,17.50,0,66.7%,11.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
75,2013,2013-09-15,2,27.014,SEA,,SFO,W 29-3,,5,1,13,13.00,0,20.0%,2.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
76,2013,2013-09-22,3,27.021,SEA,,JAX,W 45-17,,7,5,79,15.80,2,71.4%,11.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0
77,2013,2013-09-29,4,27.028,SEA,@,HOU,W 23-20,*,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
78,2013,2013-10-06,5,27.035,SEA,@,IND,L 28-34,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
79,2013,2013-10-13,6,27.042,SEA,,TEN,W 20-13,*,4,2,35,17.50,0,50.0%,8.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
80,2013,2013-10-17,7,27.046,SEA,@,ARI,W 34-22,*,4,3,50,16.67,1,75.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
81,2013,2013-10-28,8,27.057,SEA,@,STL,W 14-9,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
