ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
11,2015,2015-12-20,14,22.210,PHI,,ARI,L 17-40,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
12,2015,2015-12-26,15,22.216,PHI,,WAS,L 24-38,*,5,2,35,17.50,0,40.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
13,2015,2016-01-03,16,22.224,PHI,@,NYG,W 35-30,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
14,2016,2016-09-11,1,23.110,PHI,,CLE,W 29-10,*,5,4,57,14.25,1,80.0%,11.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
15,2016,2016-09-19,2,23.118,PHI,@,CHI,W 29-14,*,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
16,2016,2016-09-25,3,23.124,PHI,,PIT,W 34-3,*,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
17,2016,2016-10-09,4,23.138,PHI,@,DET,L 23-24,*,7,2,27,13.50,0,28.6%,3.86,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
18,2016,2016-10-16,5,23.145,PHI,@,WAS,L 20-27,,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
19,2016,2016-10-23,6,23.152,PHI,,MIN,W 21-10,*,6,2,10,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
20,2016,2016-10-30,7,23.159,PHI,@,DAL,L 23-29,*,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
21,2016,2016-11-06,8,23.166,PHI,@,NYG,L 23-28,*,7,4,41,10.25,0,57.1%,5.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
22,2016,2016-11-13,9,23.173,PHI,,ATL,W 24-15,*,5,2,7,3.50,0,40.0%,1.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
23,2016,2016-11-20,10,23.180,PHI,@,SEA,L 15-26,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,2
24,2016,2016-12-04,12,23.194,PHI,@,CIN,L 14-32,*,5,4,23,5.75,0,80.0%,4.60,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
25,2016,2016-12-11,13,23.201,PHI,,WAS,L 22-27,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,2,27,13.50,0,0,0,,0,,0,0
26,2016,2016-12-18,14,23.208,PHI,@,BAL,L 26-27,*,4,1,9,9.00,0,25.0%,2.25,1,1,1.00,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,,0,,0,0
27,2016,2016-12-22,15,23.212,PHI,,NYG,W 24-19,*,5,2,47,23.50,1,40.0%,9.40,1,5,5.00,0,0,0,,0,0,0,,0,0,,,2,38,19.00,0,0,0,,0,,1,6
28,2016,2017-01-01,16,23.222,PHI,,DAL,W 27-13,*,0,0,0,,0,0.0%,,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
29,2017,2017-09-10,1,24.109,PHI,@,WAS,W 30-17,,8,6,86,14.33,1,75.0%,10.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
30,2017,2017-09-17,2,24.116,PHI,@,KAN,L 20-27,,3,1,9,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
31,2017,2017-09-24,3,24.123,PHI,,NYG,W 27-24,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
32,2017,2017-10-01,4,24.130,PHI,@,LAC,W 26-24,*,4,3,58,19.33,0,75.0%,14.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
33,2017,2017-10-08,5,24.137,PHI,,ARI,W 34-7,*,5,4,93,23.25,1,80.0%,18.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
34,2017,2017-10-12,6,24.141,PHI,@,CAR,W 28-23,*,7,4,55,13.75,1,57.1%,7.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
35,2017,2017-10-23,7,24.152,PHI,,WAS,W 34-24,*,5,4,45,11.25,1,80.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
36,2017,2017-10-29,8,24.158,PHI,,SFO,W 33-10,*,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
37,2017,2017-11-05,9,24.165,PHI,,DEN,W 51-23,,4,2,36,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
38,2017,2017-11-19,10,24.179,PHI,@,DAL,W 37-9,,5,1,-2,-2.00,0,20.0%,-0.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
39,2017,2017-11-26,11,24.186,PHI,,CHI,W 31-3,*,6,3,32,10.67,1,50.0%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12
40,2017,2017-12-03,12,24.193,PHI,@,SEA,L 10-24,*,12,7,141,20.14,1,58.3%,11.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
41,2017,2017-12-10,13,24.200,PHI,@,LAR,W 43-35,*,11,8,64,8.00,0,72.7%,5.82,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
42,2017,2017-12-17,14,24.207,PHI,@,NYG,W 34-29,*,9,7,59,8.43,1,77.8%,6.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
43,2017,2017-12-25,15,24.215,PHI,,OAK,W 19-10,*,7,4,35,8.75,0,57.1%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
44,2017,2017-12-31,16,24.221,PHI,,DAL,L 0-6,,3,3,11,3.67,0,100.0%,3.67,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
45,2018,2018-09-06,1,25.105,PHI,,ATL,W 18-12,*,10,8,33,4.13,0,80.0%,3.30,1,16,16.00,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,0,0,,0,0,0,,0,,0,0
46,2018,2018-09-16,2,25.115,PHI,@,TAM,L 21-27,*,12,8,88,11.00,1,66.7%,7.33,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,1,6
47,2018,2018-09-23,3,25.122,PHI,,IND,W 20-16,*,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
