ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
19,2002,2002-12-15,14,29.210,WAS,@,PHI,L 21-34,,1,1,15,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6
20,2002,2002-12-22,15,29.217,WAS,,HOU,W 26-10,,2,,,,,0.0%,,,,,,,,,0,,,,,,,,,
21,2002,2002-12-29,16,29.224,WAS,,DAL,W 20-14,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,
22,2003,2003-09-07,1,30.111,PIT,,BAL,W 34-15,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
23,2003,2003-09-14,2,30.118,PIT,@,KAN,L 20-41,,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,2003,2003-09-21,3,30.125,PIT,@,CIN,W 17-10,,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,2003,2003-09-28,4,30.132,PIT,,TEN,L 13-30,,4,3,44,14.67,0,75.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,2003,2003-10-05,5,30.139,PIT,,CLE,L 13-33,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
27,2003,2003-10-12,6,30.146,PIT,@,DEN,L 14-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
28,2003,2003-10-26,7,30.160,PIT,,STL,L 21-33,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
29,2003,2003-11-02,8,30.167,PIT,@,SEA,L 16-23,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
30,2003,2003-11-09,9,30.174,PIT,,ARI,W 28-15,,2,2,62,31.00,1,100.0%,31.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
31,2003,2003-11-17,10,30.182,PIT,@,SFO,L 14-30,,5,4,61,15.25,0,80.0%,12.20,0,0,,0,0,0,,,,,,0,0,,0,0,0
32,2003,2003-11-23,11,30.188,PIT,@,CLE,W 13-6,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
33,2003,2003-11-30,12,30.195,PIT,,CIN,L 20-24,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
34,2003,2003-12-07,13,30.202,PIT,,OAK,W 27-7,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
35,2003,2003-12-14,14,30.209,PIT,@,NYJ,L 0-6,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
36,2003,2003-12-21,15,30.216,PIT,,SDG,W 40-24,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,
37,2003,2003-12-28,16,30.223,PIT,@,BAL,L 10-13,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,9,,0,0,0
38,2004,2004-12-05,12,31.200,PIT,@,JAX,W 17-16,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,
39,2004,2004-12-12,13,31.207,PIT,,NYJ,W 17-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
40,2004,2004-12-18,14,31.213,PIT,@,NYG,W 33-30,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
