ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
54,1992,1992-11-01,8,25.286,DAL,,PHI,W 20-10,,,,,,,,,
55,1992,1992-11-08,9,25.293,DAL,@,DET,W 37-3,,,,,,,,,
56,1992,1992-11-15,10,25.300,DAL,,RAM,L 23-27,,,,,,,,,
57,1992,1992-11-22,11,25.307,DAL,@,PHO,W 16-10,,,,,,,,,
58,1992,1992-11-26,12,25.311,DAL,,NYG,W 30-3,,,,,,,,,
59,1992,1992-12-06,13,25.321,DAL,@,DEN,W 31-27,,,,,,,,,
60,1992,1992-12-13,14,25.328,DAL,@,WAS,L 17-20,,,,,,,,,
61,1992,1992-12-21,15,25.336,DAL,@,ATL,W 41-17,,,,,,,,,
62,1992,1992-12-27,16,25.342,DAL,,CHI,W 27-14,,,,,,,,,
63,1993,1993-09-06,1,26.229,DAL,@,WAS,L 16-35,,,,,,,,,
64,1993,1993-09-12,2,26.235,DAL,,BUF,L 10-13,,,,,,,,,
65,1993,1993-09-19,3,26.242,DAL,@,PHO,W 17-10,,,,,,,,,
66,1993,1993-10-03,4,26.256,DAL,,GNB,W 36-14,,,,,,,,,
67,1993,1993-10-10,5,26.263,DAL,@,IND,W 27-3,,,,,,,,,
68,1993,1993-10-17,6,26.270,DAL,,SFO,W 26-17,,,,,,,,,
69,1993,1993-10-31,7,26.284,DAL,@,PHI,W 23-10,,,,,,,,,
70,1993,1993-11-07,8,26.291,DAL,,NYG,W 31-9,,,,,,,,,
71,1993,1993-11-14,9,26.298,DAL,,PHO,W 20-15,,,,,,,,,
72,1993,1993-11-21,10,26.305,DAL,@,ATL,L 14-27,,,,,,,,,
73,1993,1993-11-25,11,26.309,DAL,,MIA,L 14-16,,,,,,,,,
74,1993,1993-12-06,12,26.320,DAL,,PHI,W 23-17,,,,,,,,,
75,1993,1993-12-12,13,26.326,DAL,@,MIN,W 37-20,,,,,,,,,
76,1994,1994-09-04,1,27.227,DAL,@,PIT,W 26-9,,,,,,,,,
77,1994,1994-09-11,2,27.234,DAL,,HOU,W 20-17,,,,,,,,,
78,1994,1994-09-19,3,27.242,DAL,,DET,L 17-20,,,,,,,,,
79,1994,1994-10-02,4,27.255,DAL,@,WAS,W 34-7,,,,,,,,,
80,1994,1994-10-09,5,27.262,DAL,,ARI,W 38-3,,,,,,,,,
81,1994,1994-10-16,6,27.269,DAL,,PHI,W 24-13,,,,,,,,,
82,1994,1994-10-23,7,27.276,DAL,@,ARI,W 28-21,,,,,,,,,
83,1994,1994-10-30,8,27.283,DAL,@,CIN,W 23-20,,,,,,,,,
84,1994,1994-11-07,9,27.291,DAL,,NYG,W 38-10,,,,,,,,,
85,1994,1994-11-13,10,27.297,DAL,@,SFO,L 14-21,,,,,,,,,
86,1994,1994-11-20,11,27.304,DAL,,WAS,W 31-7,,,,,,,,,
87,1994,1994-11-24,12,27.308,DAL,,GNB,W 42-31,,,,,,,,,
88,1994,1994-12-04,13,27.318,DAL,@,PHI,W 31-19,,,,,,,,,
89,1994,1994-12-10,14,27.324,DAL,,CLE,L 14-19,,,,,,,,,
90,1994,1994-12-19,15,27.333,DAL,@,NOR,W 24-16,,,,,,,,,
91,1994,1994-12-24,16,27.338,DAL,@,NYG,L 10-15,,,,,,,,,
92,1995,1995-09-03,1,28.226,HOU,@,JAX,W 10-3,,,,,,,,,
93,1995,1995-09-10,2,28.233,HOU,,PIT,L 17-34,,,,,,,,,
94,1995,1995-09-17,3,28.240,HOU,,CLE,L 7-14,,,,,,,,,
95,1995,1995-09-24,4,28.247,HOU,@,CIN,W 38-28,,,,,,,,,
96,1995,1995-10-01,5,28.254,HOU,,JAX,L 16-17,,,,,,,,,
97,1995,1995-10-08,6,28.261,HOU,@,MIN,L 17-23,,,,,,,,,
98,1995,1995-10-22,7,28.275,HOU,@,CHI,L 32-35,,,,,,,,,
99,1995,1995-10-29,8,28.282,HOU,,TAM,W 19-7,,,,,,,,,
100,1995,1995-11-05,9,28.289,HOU,@,CLE,W 37-10,,,,,,,,,
101,1995,1995-11-12,10,28.296,HOU,,CIN,L 25-32,,,,,,,,,
102,1995,1995-11-19,11,28.303,HOU,@,KAN,L 13-20,,,,,,,,,
103,1995,1995-11-26,12,28.310,HOU,,DEN,W 42-33,,,,,,,,,
104,1995,1995-12-03,13,28.317,HOU,@,PIT,L 7-21,,,,,,,,,
105,1995,1995-12-10,14,28.324,HOU,,DET,L 17-24,,,,,,,,,
106,1995,1995-12-17,15,28.331,HOU,,NYJ,W 23-6,,,,,,,,,
107,1995,1995-12-24,16,28.338,HOU,@,BUF,W 28-17,,,,,,,,,
108,1996,1996-09-01,1,29.225,HOU,,KAN,L 19-20,,,,,,,,,
109,1996,1996-09-08,2,29.232,HOU,@,JAX,W 34-27,,,,,,,,,
110,1996,1996-09-15,3,29.239,DAL,,IND,L 24-25,,,,,,,,,
111,1996,1996-09-29,4,29.253,HOU,@,PIT,L 16-30,,,,,,,,,
112,1996,1996-10-06,5,29.260,HOU,@,CIN,W 30-27,,,,,,,,,
113,1996,1996-10-13,6,29.267,HOU,@,ATL,W 23-13,,,,,,,,,
114,1996,1996-10-20,7,29.274,HOU,,PIT,W 23-13,,,,,,,,,
115,1996,1996-10-27,8,29.281,HOU,,SFO,L 9-10,,,,,,,,,
116,1996,1996-11-03,9,29.288,HOU,@,SEA,L 16-23,,,,,,,,,
117,1996,1996-11-10,10,29.295,HOU,@,NOR,W 31-14,,,,,,,,,
118,1996,1996-11-17,11,29.302,HOU,,MIA,L 20-23,,,,,,,,,
119,1996,1996-11-24,12,29.309,HOU,,CAR,L 6-31,,,,,,,,,
120,1996,1996-12-01,13,29.316,HOU,@,NYJ,W 35-10,,,,,,,,,
121,1996,1996-12-08,14,29.323,HOU,,JAX,L 17-23,,,,,,,,,
122,1996,1996-12-15,15,29.330,HOU,,CIN,L 13-21,,,,,,,,,
123,1996,1996-12-22,16,29.337,CIN,,IND,W 31-24,,,,,,,,,
124,1997,1997-08-31,1,30.223,TEN,,OAK,W 24-21,,,,,,,,,
125,1997,1997-09-07,2,30.230,TEN,@,MIA,L 13-16,,,,,,,,,
126,1997,1997-09-21,4,30.244,BUF,,IND,W 37-35,,,,,,,,,
127,1997,1997-09-28,4,30.251,TEN,@,PIT,L 24-37,,,,,,,,,
128,1997,1997-10-05,5,30.258,TEN,@,SEA,L 13-16,,,,,,,,,
129,1997,1997-10-12,6,30.265,TEN,,CIN,W 30-7,,,,,,,,,
130,1997,1997-10-19,7,30.272,TEN,,WAS,W 28-14,,,,,,,,,
131,1997,1997-10-26,8,30.279,TEN,@,ARI,W 41-14,,,,,,,,,
132,1997,1997-11-02,9,30.286,TEN,,JAX,L 24-30,,,,,,,,,
133,1997,1997-11-09,10,30.293,TEN,,NYG,W 10-6,,,,,,,,,
134,1997,1997-11-16,11,30.300,TEN,@,JAX,L 9-17,,,,,,,,,
135,1997,1997-11-23,12,30.307,TEN,,BUF,W 31-14,,,,,,,,,
136,1997,1997-11-27,13,30.311,TEN,@,DAL,W 27-14,,,,,,,,,
137,1997,1997-12-04,14,30.318,TEN,@,CIN,L 14-41,,,,,,,,,
138,1997,1997-12-14,15,30.328,MIA,@,IND,L 0-41,,,,,,,,,
139,1997,1997-12-21,16,30.335,TEN,,PIT,W 16-6,,,,,,,,,
140,1998,1998-09-27,4,31.250,TEN,,JAX,L 22-27,,,,,,,,,
141,1998,1998-10-18,6,31.271,TEN,,CIN,W 44-14,,,,,,,,,
142,1998,1998-10-25,7,31.278,TEN,,CHI,L 20-23,,,,,,,,,
143,1998,1998-11-01,8,31.285,TEN,@,PIT,W 41-31,,1,0,0.00,0,0,0,,0
144,1998,1998-11-08,9,31.292,TEN,@,TAM,W 31-22,,,,,,,,,
145,1998,1998-11-15,10,31.299,TEN,,PIT,W 23-14,,,,,,,,,
146,1998,1998-11-22,11,31.306,TEN,,NYJ,L 3-24,,,,,,,,,
147,1998,1998-11-29,12,31.313,TEN,@,SEA,L 18-20,,,,,,,,,
148,1998,1998-12-13,14,31.327,TEN,@,JAX,W 16-13,,,,,,,,,
149,1998,1998-12-20,15,31.334,TEN,@,GNB,L 22-30,,,,,,,,,
150,1998,1998-12-26,16,31.340,TEN,,MIN,L 16-26,,,,,,,,,
151,1999,1999-09-12,1,32.235,DAL,@,WAS,W 41-35,*,,,,,,,,
152,1999,1999-09-20,2,32.243,DAL,,ATL,W 24-7,*,,,,,,,,
153,1999,1999-10-03,3,32.256,DAL,,ARI,W 35-7,*,,,,,,,,
154,1999,1999-10-10,4,32.263,DAL,@,PHI,L 10-13,*,,,,,,,,
155,1999,1999-10-18,5,32.271,DAL,@,NYG,L 10-13,*,,,,,,,,
156,1999,1999-10-24,6,32.277,DAL,,WAS,W 38-20,*,,,,,,,,
157,1999,1999-10-31,7,32.284,DAL,@,IND,L 24-34,*,,,,,,,,
158,1999,1999-11-08,8,32.292,DAL,@,MIN,L 17-27,*,,,,,,,,
159,1999,1999-11-14,9,32.298,DAL,,GNB,W 27-13,*,,,,,,,,
160,1999,1999-11-21,10,32.305,DAL,@,ARI,L 9-13,*,,,,,,,,
161,1999,1999-11-25,11,32.309,DAL,,MIA,W 20-0,*,,,,,,,,
162,1999,1999-12-12,13,32.326,DAL,,PHI,W 20-10,*,,,,,,,,
163,1999,1999-12-19,14,32.333,DAL,,NYJ,L 21-22,*,,,,,,,,
164,1999,1999-12-24,15,32.338,DAL,@,NOR,L 24-31,*,,,,,,,,
165,1999,2000-01-02,16,32.347,DAL,,NYG,W 26-18,*,,,,,,,,
166,2000,2000-09-03,1,33.227,DAL,,PHI,L 14-41,*,,,,,,,,
167,2000,2000-09-10,2,33.234,DAL,@,ARI,L 31-32,*,,,,,,,,
168,2000,2000-09-18,3,33.242,DAL,@,WAS,W 27-21,*,,,,,,,,
169,2000,2000-09-24,4,33.248,DAL,,SFO,L 24-41,*,,,,,,,,
170,2000,2000-10-01,5,33.255,DAL,@,CAR,W 16-13,,,,,,,,,
171,2000,2000-10-15,6,33.269,DAL,@,NYG,L 14-19,*,,,,,,,,
172,2000,2000-10-22,7,33.276,DAL,,ARI,W 48-7,*,,,,,,,,
173,2000,2000-10-29,8,33.283,DAL,,JAX,L 17-23,*,,,,,,,,
174,2000,2000-11-05,9,33.290,DAL,@,PHI,L 13-16,*,,,,,,,,
175,2000,2000-11-12,10,33.297,DAL,,CIN,W 23-6,,,,,,,,,
176,2000,2000-11-19,11,33.304,DAL,@,BAL,L 0-27,,,,,,,,,
177,2001,2001-09-09,1,34.232,DAL,,TAM,L 6-10,*,,,,,,,,
178,2001,2001-09-23,2,34.246,DAL,,SDG,L 21-32,*,,,,,,,,
179,2001,2001-09-30,3,34.253,DAL,@,PHI,L 18-40,*,,,,,,,,
180,2001,2001-10-07,4,34.260,DAL,@,OAK,L 21-28,*,,,,,,,,
181,2001,2001-10-15,5,34.268,DAL,,WAS,W 9-7,*,,,,,,,,
182,2001,2001-10-28,6,34.281,DAL,,ARI,W 17-3,*,,,,,,,,
183,2001,2001-11-04,7,34.288,DAL,@,NYG,L 24-27,*,,,,,,,,
184,2001,2001-11-11,8,34.295,DAL,@,ATL,L 13-20,*,,,,,,,,
185,2001,2001-11-18,9,34.302,DAL,,PHI,L 3-36,*,,,,,,,,
186,2001,2001-11-22,10,34.306,DAL,,DEN,L 24-26,*,,,,,,,,
187,2001,2001-12-02,11,34.316,DAL,@,WAS,W 20-14,*,,,,,,,,
188,2001,2001-12-09,12,34.323,DAL,,NYG,W 20-13,*,,,,,,,,
189,2001,2001-12-16,13,34.330,DAL,@,SEA,L 3-29,*,,,,,,,,
190,2001,2001-12-23,14,34.337,DAL,@,ARI,L 10-17,*,,,,,,,,
191,2001,2001-12-30,15,34.344,DAL,,SFO,W 27-21,*,,,,,,,,
192,2001,2002-01-06,16,34.351,DAL,@,DET,L 10-15,*,,,,,,,,
