ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
27,1977,1977-10-02,3,24.090,DAL,,TAM,W 23-7,,,,,,,,,,,,
28,1977,1977-10-09,4,24.097,DAL,@,STL,W 30-24,,,,,,,,,,,,
29,1977,1977-10-16,5,24.104,DAL,,WAS,W 34-16,,,,,,,,,,,,
30,1977,1977-10-23,6,24.111,DAL,@,PHI,W 16-10,,,,,,,,,,,,
31,1977,1977-10-30,7,24.118,DAL,,DET,W 37-0,,,,,,,,,,,,
32,1977,1977-11-06,8,24.125,DAL,@,NYG,W 24-10,,,,,,,,,,,,
33,1977,1977-11-14,9,24.133,DAL,,STL,L 17-24,,,,,,,,,,,,
34,1977,1977-11-20,10,24.139,DAL,@,PIT,L 13-28,,,,,,,,,,,,
35,1977,1977-11-27,11,24.146,DAL,@,WAS,W 14-7,,,,,,,,,,,,
36,1977,1977-12-04,12,24.153,DAL,,PHI,W 24-14,,,,,,,,,,,,
37,1977,1977-12-12,13,24.161,DAL,@,SFO,W 42-35,,,,,,,,,,,,
38,1977,1977-12-18,14,24.167,DAL,,DEN,W 14-6,0,0,,0,0,0,,0,0.0,1,15,0
39,1978,1978-09-04,1,25.062,DAL,,BAL,W 38-0,,,,,,,,,,,,
40,1978,1978-09-10,2,25.068,DAL,@,NYG,W 34-24,,,,,,,,,,,,
41,1978,1978-09-17,3,25.075,DAL,@,RAM,L 14-27,,,,,,,,,,,,
42,1978,1978-09-24,4,25.082,DAL,,STL,W 21-12,,,,,,,,,,,,
43,1978,1978-10-02,5,25.090,DAL,@,WAS,L 5-9,,,,,,,,,,,,
44,1978,1978-10-08,6,25.096,DAL,,NYG,W 24-3,,,,,,,,,,,,
45,1978,1978-10-15,7,25.103,DAL,@,STL,W 24-21,0,0,,0,0,0,,0,0.0,1,2,0
46,1978,1978-10-22,8,25.110,DAL,,PHI,W 14-7,,,,,,,,,,,,
47,1978,1978-10-26,9,25.114,DAL,,MIN,L 10-21,,,,,,,,,,,,
48,1978,1978-11-05,10,25.124,DAL,@,MIA,L 16-23,,,,,,,,,,,,
49,1978,1978-11-12,11,25.131,DAL,@,GNB,W 42-14,,,,,,,,,,,,
50,1978,1978-11-19,12,25.138,DAL,,NOR,W 27-7,,,,,,,,,,,,
51,1978,1978-11-23,13,25.142,DAL,,WAS,W 37-10,,,,,,,,,,,,
52,1978,1978-12-03,14,25.152,DAL,,NWE,W 17-10,,,,,,,,,,,,
53,1978,1978-12-10,15,25.159,DAL,@,PHI,W 31-13,,,,,,,,,,,,
54,1978,1978-12-17,16,25.166,DAL,@,NYJ,W 30-7,,,,,,,,,,,,
55,1979,1979-09-02,1,26.060,DAL,@,STL,W 22-21,,,,,,,,,,,,
56,1979,1979-09-09,2,26.067,DAL,@,SFO,W 21-13,,,,,,,,,,,,
57,1979,1979-09-16,3,26.074,DAL,,CHI,W 24-20,,,,,,,,,,,,
58,1979,1979-09-24,4,26.082,DAL,@,CLE,L 7-26,,,,,,,,,,,,
59,1979,1979-09-30,5,26.088,DAL,,CIN,W 38-13,,,,,,,,,,,,
60,1979,1979-10-07,6,26.095,DAL,@,MIN,W 36-20,,,,,,,,,,,,
61,1979,1979-10-14,7,26.102,DAL,,RAM,W 30-6,,,,,,,,,,,,
62,1979,1979-10-21,8,26.109,DAL,,STL,W 22-13,,,,,,,,,,,,
63,1979,1979-10-28,9,26.116,DAL,@,PIT,L 3-14,,,,,,,,,,,,
64,1979,1979-11-04,10,26.123,DAL,@,NYG,W 16-14,,,,,,,,,,,,
65,1979,1979-11-12,11,26.131,DAL,,PHI,L 21-31,,,,,,,,,,,,
66,1979,1979-11-18,12,26.137,DAL,@,WAS,L 20-34,,,,,,,,,,,,
67,1979,1979-11-22,13,26.141,DAL,,HOU,L 24-30,,,,,,,,,,,,
68,1979,1979-12-02,14,26.151,DAL,,NYG,W 28-7,,,,,,,,,,,,
69,1979,1979-12-08,15,26.157,DAL,@,PHI,W 24-17,,,,,,,,,,,,
70,1979,1979-12-16,16,26.165,DAL,,WAS,W 35-34,,,,,,,,,,,,
71,1980,1980-09-08,1,27.066,DAL,@,WAS,W 17-3,,,,,,,,,,,,
72,1980,1980-09-14,2,27.072,DAL,@,DEN,L 20-41,,,,,,,,,,,,
73,1980,1980-09-21,3,27.079,DAL,,TAM,W 28-17,,,,,,,,,,,,
74,1980,1980-09-28,4,27.086,DAL,@,GNB,W 28-7,,,,,,,,,,,,
75,1980,1980-10-05,5,27.093,DAL,,NYG,W 24-3,0,0,,0,0,0,,0,0.0,1,15,0
76,1980,1980-10-12,6,27.100,DAL,,SFO,W 59-14,,,,,,,,,,,,
77,1980,1980-10-19,7,27.107,DAL,@,PHI,L 10-17,,,,,,,,,,,,
78,1980,1980-10-26,8,27.114,DAL,,SDG,W 42-31,,,,,,,,,,,,
79,1980,1980-11-02,9,27.121,DAL,@,STL,W 27-24,,,,,,,,,,,,
80,1980,1980-11-09,10,27.128,DAL,@,NYG,L 35-38,,,,,,,,,,,,
81,1980,1980-11-16,11,27.135,DAL,,STL,W 31-21,0,0,,0,0,0,,0,0.0,1,10,0
82,1980,1980-11-23,12,27.142,DAL,,WAS,W 14-10,,,,,,,,,,,,
83,1980,1980-11-27,13,27.146,DAL,,SEA,W 51-7,0,0,,0,0,0,,0,0.0,1,9,0
84,1980,1980-12-07,14,27.156,DAL,@,OAK,W 19-13,,,,,,,,,,,,
85,1980,1980-12-15,15,27.164,DAL,@,RAM,L 14-38,,,,,,,,,,,,
86,1980,1980-12-21,16,27.170,DAL,,PHI,W 35-27,,,,,,,,,,,,
87,1981,1981-09-06,1,28.064,DAL,@,WAS,W 26-10,,,,,,,,,,,,
88,1981,1981-09-13,2,28.071,DAL,,STL,W 30-17,,,,,,,,,,,,
89,1981,1981-09-21,3,28.079,DAL,@,NWE,W 35-21,,,,,,,,,,,,
90,1981,1981-09-27,4,28.085,DAL,,NYG,W 18-10,,,,,,,,,,,,
91,1981,1981-10-04,5,28.092,DAL,@,STL,L 17-20,,,,,,,,,,,,
92,1981,1981-10-11,6,28.099,DAL,@,SFO,L 14-45,,,,,,,,,,,,
93,1981,1981-10-18,7,28.106,DAL,,RAM,W 29-17,,,,,,,,,,,,
94,1981,1981-10-25,8,28.113,DAL,,MIA,W 28-27,,,,,,,,,,,,
95,1981,1981-11-01,9,28.120,DAL,@,PHI,W 17-14,,,,,,,,,,,,
96,1981,1981-11-09,10,28.128,DAL,,BUF,W 27-14,,,,,,,,,,,,
97,1981,1981-11-15,11,28.134,DAL,@,DET,L 24-27,0,0,,0,0,0,,0,0.0,1,8,0
98,1981,1981-11-22,12,28.141,DAL,,WAS,W 24-10,,,,,,,,,,,,
99,1981,1981-11-26,13,28.145,DAL,,CHI,W 10-9,,,,,,,,,,,,
100,1981,1981-12-06,14,28.155,DAL,@,BAL,W 37-13,0,0,,0,0,0,,0,0.0,1,0,0
101,1981,1981-12-13,15,28.162,DAL,,PHI,W 21-10,,,,,,,,,,,,
102,1981,1981-12-19,16,28.168,DAL,@,NYG,L 10-13,,,,,,,,,,,,
103,1982,1982-09-13,1,29.071,DAL,,PIT,L 28-36,,,,,,,,,,,,
104,1982,1982-09-19,2,29.077,DAL,@,STL,W 24-7,,,,,,,,,,,,
105,1982,1982-11-21,3,29.140,DAL,,TAM,W 14-9,,,,,,,,,,,,
106,1982,1982-11-25,4,29.144,DAL,,CLE,W 31-14,0,0,,0,0,0,,0,0.0,1,1,0
107,1982,1982-12-05,5,29.154,DAL,@,WAS,W 24-10,0,0,,0,0,0,,0,0.5,0,0,0
108,1982,1982-12-13,6,29.162,DAL,@,HOU,W 37-7,0,0,,0,0,0,,0,1.0,0,0,0
109,1982,1982-12-19,7,29.168,DAL,,NOR,W 21-7,,,,,,,,,,,,
110,1982,1982-12-26,8,29.175,DAL,,PHI,L 20-24,,,,,,,,,,,,
111,1982,1983-01-03,9,29.183,DAL,@,MIN,L 27-31,,,,,,,,,,,,
112,1983,1983-09-05,1,30.063,DAL,@,WAS,W 31-30,,,,,,,,,,,,
113,1983,1983-09-11,2,30.069,DAL,@,STL,W 34-17,,,,,,,,,,,,
114,1983,1983-09-18,3,30.076,DAL,,NYG,W 28-13,,,,,,,,,,,,
115,1983,1983-09-25,4,30.083,DAL,,NOR,W 21-20,,,,,,,,,,,,
116,1983,1983-10-02,5,30.090,DAL,@,MIN,W 37-24,,,,,,,,,,,,
117,1983,1983-10-09,6,30.097,DAL,,TAM,W 27-24,,,,,,,,,,,,
118,1983,1983-10-16,7,30.104,DAL,,PHI,W 37-7,,,,,,,,,,,,
119,1983,1983-10-23,8,30.111,DAL,,RAI,L 38-40,,,,,,,,,,,,
120,1983,1983-10-30,9,30.118,DAL,@,NYG,W 38-20,0,0,,0,0,0,,0,0.0,1,0,0
121,1983,1983-11-06,10,30.125,DAL,@,PHI,W 27-20,,,,,,,,,,,,
122,1983,1983-11-13,11,30.132,DAL,@,SDG,L 23-24,,,,,,,,,,,,
123,1983,1983-11-20,12,30.139,DAL,,KAN,W 41-21,,,,,,,,,,,,
124,1983,1983-11-24,13,30.143,DAL,,STL,W 35-17,,,,,,,,,,,,
125,1983,1983-12-04,14,30.153,DAL,@,SEA,W 35-10,,,,,,,,,,,,
126,1983,1983-12-11,15,30.160,DAL,,WAS,L 10-31,,,,,,,,,,,,
127,1983,1983-12-19,16,30.168,DAL,@,SFO,L 17-42,,,,,,,,,,,,
128,1984,1984-09-03,1,31.061,DAL,@,RAM,W 20-13,,,,,,,,,,,,
129,1984,1984-09-09,2,31.067,DAL,@,NYG,L 7-28,,,,,,,,,,,,
130,1984,1984-09-30,5,31.088,DAL,@,CHI,W 23-14,,,,,,,,,,,,
131,1984,1984-10-07,6,31.095,DAL,,STL,L 20-31,,,,,,,,,,,,
132,1984,1984-10-14,7,31.102,DAL,@,WAS,L 14-34,,,,,,,,,,,,
133,1984,1984-10-21,8,31.109,DAL,,NOR,W 30-27,,,,,,,,,,,,
134,1984,1984-10-28,9,31.116,DAL,,IND,W 22-3,,,,,,,,,,,,
135,1984,1984-11-04,10,31.123,DAL,,NYG,L 7-19,,,,,,,,,,,,
