ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
36,1975,1975-11-16,9,24.076,NYG,,PHI,L 10-13,,,,,,,,,,,,,,,,
37,1975,1975-11-23,10,24.083,NYG,@,GNB,L 14-40,0,0,,0,0,0,,0,0,0,,0,0.0,1,4,0
38,1975,1975-11-30,11,24.090,NYG,@,DAL,L 3-14,,,,,,,,,,,,,,,,
39,1975,1975-12-07,12,24.097,NYG,,BAL,L 0-21,,,,,,,,,,,,,,,,
40,1975,1975-12-14,13,24.104,NYG,,NOR,W 28-14,,,,,,,,,,,,,,,,
41,1975,1975-12-21,14,24.111,NYG,@,SFO,W 26-23,,,,,,,,,,,,,,,,
42,1976,1976-09-12,1,25.011,NYG,@,WAS,L 17-19,,,,,,,,,,,,,,,,
43,1976,1976-09-19,2,25.018,NYG,@,PHI,L 7-20,,,,,,,,,,,,,,,,
44,1976,1976-09-26,3,25.025,NYG,@,RAM,L 10-24,,,,,,,,,,,,,,,,
45,1976,1976-10-03,4,25.032,NYG,@,STL,L 21-27,,,,,,,,,,,,,,,,
46,1976,1976-10-10,5,25.039,NYG,,DAL,L 14-24,,,,,,,,,,,,,,,,
47,1976,1976-10-17,6,25.046,NYG,@,MIN,L 7-24,,,,,,,,,,,,,,,,
48,1976,1976-10-24,7,25.053,NYG,,PIT,L 0-27,,,,,,,,,,,,,,,,
49,1976,1976-10-31,8,25.060,NYG,,PHI,L 0-10,,,,,,,,,,,,,,,,
50,1976,1976-11-07,9,25.067,NYG,@,DAL,L 3-9,,,,,,,,,,,,,,,,
51,1976,1976-11-14,10,25.074,NYG,,WAS,W 12-9,,,,,,,,,,,,,,,,
52,1976,1976-11-21,11,25.081,NYG,@,DEN,L 13-14,,,,,,,,,,,,,,,,
53,1976,1976-11-28,12,25.088,NYG,,SEA,W 28-16,,,,,,,,,,,,,,,,
54,1976,1976-12-05,13,25.095,NYG,,DET,W 24-10,,,,,,,,,,,,,,,,
55,1976,1976-12-12,14,25.102,NYG,,STL,L 14-17,,,,,,,,,,,,,,,,
56,1977,1977-09-18,1,26.017,NYG,,WAS,W 20-17,,,,,,,,,,,,,,,,
57,1977,1977-09-25,2,26.024,NYG,@,DAL,L 21-41,,,,,,,,,,,,,,,,
58,1977,1977-10-02,3,26.031,NYG,@,ATL,L 3-17,,,,,,,,,,,,,,,,
59,1977,1977-10-09,4,26.038,NYG,,PHI,L 10-28,,,,,,,,,,,,,,,,
60,1977,1977-10-16,5,26.045,NYG,,SFO,W 20-17,0,0,,0,0,0,,0,0,0,,0,0.0,1,17,0
61,1977,1977-10-23,6,26.052,NYG,@,WAS,W 17-6,,,,,,,,,,,,,,,,
62,1977,1977-10-31,7,26.060,NYG,@,STL,L 0-28,,,,,,,,,,,,,,,,
63,1977,1977-11-06,8,26.066,NYG,,DAL,L 10-24,0,0,,0,0,0,,0,1,20,20.00,0,0.0,0,0,0
64,1977,1977-11-13,9,26.073,NYG,@,TAM,W 10-0,,,,,,,,,,,,,,,,
65,1977,1977-11-27,11,26.087,NYG,@,CIN,L 13-30,,,,,,,,,,,,,,,,
66,1977,1977-12-04,12,26.094,NYG,,STL,W 27-7,,,,,,,,,,,,,,,,
67,1977,1977-12-11,13,26.101,NYG,@,PHI,L 14-17,,,,,,,,,,,,,,,,
68,1977,1977-12-18,14,26.108,NYG,,CHI,L 9-12,,,,,,,,,,,,,,,,
69,1978,1978-09-02,1,27.001,NYG,@,TAM,W 19-13,,,,,,,,,,,,,,,,
70,1978,1978-09-10,2,27.009,NYG,,DAL,L 24-34,,,,,,,,,,,,,,,,
71,1978,1978-09-17,3,27.016,NYG,,KAN,W 26-10,,,,,,,,,,,,,,,,
72,1978,1978-09-24,4,27.023,NYG,,SFO,W 27-10,,,,,,,,,,,,,,,,
73,1978,1978-10-01,5,27.030,NYG,@,ATL,L 20-23,,,,,,,,,,,,,,,,
74,1978,1978-10-08,6,27.037,NYG,@,DAL,L 3-24,,,,,,,,,,,,,,,,
75,1978,1978-10-15,7,27.044,NYG,,TAM,W 17-14,0,0,,0,0,0,,0,0,0,,0,0.0,1,20,0
76,1978,1978-10-22,8,27.051,NYG,,WAS,W 17-6,,,,,,,,,,,,,,,,
77,1978,1978-10-29,9,27.058,NYG,@,NOR,L 17-28,,,,,,,,,,,,,,,,
78,1978,1978-11-05,10,27.065,NYG,@,STL,L 10-20,,,,,,,,,,,,,,,,
79,1978,1978-11-12,11,27.072,NYG,@,WAS,L 13-16,,,,,,,,,,,,,,,,
80,1978,1978-11-19,12,27.079,NYG,,PHI,L 17-19,,,,,,,,,,,,,,,,
81,1978,1978-11-26,13,27.086,NYG,@,BUF,L 17-41,,,,,,,,,,,,,,,,
82,1978,1978-12-03,14,27.093,NYG,,RAM,L 17-20,,,,,,,,,,,,,,,,
83,1978,1978-12-10,15,27.100,NYG,,STL,W 17-0,1,2,2.00,0,0,0,,0,0,0,,0,0.0,0,0,0
84,1978,1978-12-17,16,27.107,NYG,@,PHI,L 3-20,0,0,,0,1,-1,-1.00,0,0,0,,0,0.0,0,0,0
85,1979,1979-09-02,1,28.001,NYG,@,PHI,L 17-23,,,,,,,,,,,,,,,,
86,1979,1979-09-09,2,28.008,NYG,,STL,L 14-27,,,,,,,,,,,,,,,,
87,1979,1979-09-17,3,28.016,NYG,@,WAS,L 0-27,,,,,,,,,,,,,,,,
88,1979,1979-09-23,4,28.022,NYG,,PHI,L 13-17,0,0,,0,0,0,,0,0,0,,0,0.0,1,16,0
89,1979,1979-09-30,5,28.029,NYG,@,NOR,L 14-24,,,,,,,,,,,,,,,,
90,1979,1979-10-07,6,28.036,NYG,,TAM,W 17-14,0,0,,0,0,0,,0,0,0,,0,0.0,1,12,0
91,1979,1979-10-14,7,28.043,NYG,,SFO,W 32-16,,,,,,,,,,,,,,,,
92,1979,1979-10-21,8,28.050,NYG,@,KAN,W 21-17,,,,,,,,,,,,,,,,
93,1979,1979-10-28,9,28.057,NYG,@,RAM,W 20-14,0,0,,0,0,0,,0,0,0,,0,0.0,1,13,0
94,1979,1979-11-04,10,28.064,NYG,,DAL,L 14-16,,,,,,,,,,,,,,,,
95,1979,1979-11-11,11,28.071,NYG,,ATL,W 24-3,,,,,,,,,,,,,,,,
96,1979,1979-11-18,12,28.078,NYG,@,TAM,L 3-31,,,,,,,,,,,,,,,,
97,1979,1979-11-25,13,28.085,NYG,,WAS,W 14-6,,,,,,,,,,,,,,,,
98,1979,1979-12-02,14,28.092,NYG,@,DAL,L 7-28,,,,,,,,,,,,,,,,
99,1979,1979-12-09,15,28.099,NYG,@,STL,L 20-29,,,,,,,,,,,,,,,,
100,1979,1979-12-16,16,28.106,NYG,,BAL,L 7-31,,,,,,,,,,,,,,,,
101,1980,1980-09-14,2,29.013,NYG,,WAS,L 21-23,,,,,,,,,,,,,,,,
102,1980,1980-09-22,3,29.021,NYG,@,PHI,L 3-35,,,,,,,,,,,,,,,,
103,1981,1981-09-06,1,30.005,NYG,,PHI,L 10-24,,,,,,,,,,,,,,,,
104,1981,1981-09-13,2,30.012,NYG,@,WAS,W 17-7,,,,,,,,,,,,,,,,
105,1981,1981-09-20,3,30.019,NYG,,NOR,W 20-7,,,,,,,,,,,,,,,,
106,1981,1981-09-27,4,30.026,NYG,@,DAL,L 10-18,,,,,,,,,,,,,,,,
107,1981,1981-10-04,5,30.033,NYG,,GNB,L 14-27,,,,,,,,,,,,,,,,
108,1981,1981-10-11,6,30.040,NYG,,STL,W 34-14,0,0,,0,0,0,,0,0,0,,0,0.0,1,16,0
109,1981,1981-10-18,7,30.047,NYG,@,SEA,W 32-0,,,,,,,,,,,,,,,,
110,1981,1981-10-25,8,30.054,NYG,@,ATL,W 27-24,,,,,,,,,,,,,,,,
111,1981,1981-11-01,9,30.061,NYG,,NYJ,L 7-26,,,,,,,,,,,,,,,,
112,1981,1981-11-08,10,30.068,NYG,@,GNB,L 24-26,,,,,,,,,,,,,,,,
113,1981,1981-11-15,11,30.075,NYG,,WAS,L 27-30,0,0,,0,0,0,,0,0,0,,0,0.0,1,27,0
114,1981,1981-11-22,12,30.082,NYG,@,PHI,W 20-10,,,,,,,,,,,,,,,,
115,1981,1981-11-29,13,30.089,NYG,@,SFO,L 10-17,,,,,,,,,,,,,,,,
116,1981,1981-12-06,14,30.096,NYG,,RAM,W 10-7,,,,,,,,,,,,,,,,
117,1981,1981-12-13,15,30.103,NYG,@,STL,W 20-10,,,,,,,,,,,,,,,,
118,1981,1981-12-19,16,30.109,NYG,,DAL,W 13-10,,,,,,,,,,,,,,,,
119,1982,1982-09-12,1,31.011,NYG,,ATL,L 14-16,,,,,,,,,,,,,,,,
120,1982,1982-09-20,2,31.019,NYG,,GNB,L 19-27,,,,,,,,,,,,,,,,
121,1982,1982-11-21,3,31.081,NYG,,WAS,L 17-27,,,,,,,,,,,,,,,,
122,1982,1982-11-25,4,31.085,NYG,@,DET,W 13-6,,,,,,,,,,,,,,,,
123,1982,1982-12-05,5,31.095,NYG,,HOU,W 17-14,,,,,,,,,,,,,,,,
124,1982,1982-12-11,6,31.101,NYG,,PHI,W 23-7,,,,,,,,,,,,,,,,
125,1982,1982-12-19,7,31.109,NYG,@,WAS,L 14-15,0,0,,0,0,0,,0,0,0,,0,0.0,2,21,0
126,1982,1982-12-26,8,31.116,NYG,@,STL,L 21-24,,,,,,,,,,,,,,,,
127,1982,1983-01-02,9,31.123,NYG,@,PHI,W 26-24,0,0,,0,0,0,,0,0,0,,0,0.0,1,6,0
128,1983,1983-09-04,1,32.003,NYG,,RAM,L 6-16,,,,,,,,,,,,,,,,
129,1983,1983-09-11,2,32.010,NYG,@,ATL,W 16-13,,,,,,,,,,,,,,,,
130,1983,1983-09-18,3,32.017,NYG,@,DAL,L 13-28,,,,,,,,,,,,,,,,
131,1983,1983-09-26,4,32.025,NYG,,GNB,W 27-3,,,,,,,,,,,,,,,,
132,1983,1983-10-02,5,32.031,NYG,,SDG,L 34-41,,,,,,,,,,,,,,,,
133,1983,1983-10-09,6,32.038,NYG,,PHI,L 13-17,,,,,,,,,,,,,,,,
134,1983,1983-10-16,7,32.045,NYG,@,KAN,L 17-38,0,0,,0,0,0,,0,0,0,,0,0.0,1,17,0
135,1983,1983-10-24,8,32.053,NYG,@,STL,T 20-20,,,,,,,,,,,,,,,,
136,1983,1983-10-30,9,32.059,NYG,,DAL,L 20-38,,,,,,,,,,,,,,,,
137,1983,1983-11-07,10,32.067,NYG,@,DET,L 9-15,,,,,,,,,,,,,,,,
138,1983,1983-11-13,11,32.073,NYG,,WAS,L 17-33,0,0,,0,0,0,,0,0,0,,0,1.0,0,0,0
139,1983,1983-11-20,12,32.080,NYG,@,PHI,W 23-0,0,0,,0,0,0,,0,0,0,,0,0.5,0,0,0
140,1983,1983-11-27,13,32.087,NYG,@,RAI,L 12-27,,,,,,,,,,,,,,,,
141,1983,1983-12-04,14,32.094,NYG,,STL,L 6-10,,,,,,,,,,,,,,,,
142,1983,1983-12-11,15,32.101,NYG,,SEA,L 12-17,,,,,,,,,,,,,,,,
143,1983,1983-12-17,16,32.107,NYG,@,WAS,L 22-31,,,,,,,,,,,,,,,,
