ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
21,1967,1967-12-17,13,28.223,MIA,,BOS,W 41-32,,0,0,,0,0,0,,0,0,,,5,5,100.0,2,2,100.0,0,11
22,1967,1967-12-23,14,28.229,MIA,,HOU,L 10-41,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
23,1968,1968-09-22,2,29.137,PIT,@,RAM,L 10-45,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
24,1968,1968-09-29,3,29.144,PIT,,BAL,L 7-41,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1
25,1968,1968-10-05,4,29.150,PIT,@,CLE,L 24-31,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
26,1968,1968-10-13,5,29.158,PIT,@,WAS,L 13-16,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7
27,1968,1968-10-20,6,29.165,PIT,,NOR,L 12-16,,0,0,,0,0,,,,,,,,2,0.0,,,,0,0
28,1968,1968-10-27,7,29.172,PIT,,PHI,W 6-3,,0,0,,0,0,0,,0,0,,,,,,2,4,50.0,0,6
29,1968,1968-11-03,8,29.179,PIT,@,ATL,W 41-21,,0,0,,0,0,0,,0,0,,,5,6,83.3,,1,0.0,0,5
30,1968,1968-11-10,9,29.186,PIT,@,STL,T 28-28,,0,0,,0,0,0,,0,0,,,4,4,100.0,,2,0.0,0,4
31,1968,1968-11-17,10,29.193,PIT,,CLE,L 24-45,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6
32,1968,1968-11-24,11,29.200,PIT,,SFO,L 28-45,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4
33,1968,1968-12-01,12,29.207,PIT,,STL,L 10-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,3,33.3,0,4
34,1968,1968-12-08,13,29.214,PIT,@,DAL,L 7-28,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
35,1968,1968-12-15,14,29.221,PIT,@,NOR,L 14-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2
36,1969,1969-11-30,11,30.206,GNB,,NYG,W 20-10,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
37,1969,1969-12-07,12,30.213,GNB,@,CLE,L 7-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
38,1969,1969-12-14,13,30.220,GNB,@,CHI,W 21-3,,0,0,,0,0,0,,0,0,,,3,3,100.0,,3,0.0,0,3
39,1969,1969-12-21,14,30.227,GNB,,STL,W 45-28,,0,0,,0,0,0,,0,0,,,6,6,100.0,1,1,100.0,0,9
