ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
41,2013,2013-10-20,7,27.360,PHI,,DAL,L 3-17,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
42,2013,2013-10-27,8,28.002,PHI,,NYG,L 7-15,,,,,,,,,,,,,,,
43,2013,2013-11-03,9,28.009,PHI,@,OAK,W 49-20,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
44,2013,2013-11-10,10,28.016,PHI,@,GNB,W 27-13,,0,0,,0,0,0,,0,0.0,3,0,0,0,0
45,2013,2013-11-17,11,28.023,PHI,,WAS,W 24-16,,,,,,,,,,,,,,,
46,2013,2013-12-01,12,28.037,PHI,,ARI,W 24-21,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
47,2013,2013-12-08,13,28.044,PHI,,DET,W 34-20,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
48,2013,2013-12-15,14,28.051,PHI,@,MIN,L 30-48,,,,,,,,,,,,,,,
49,2014,2014-09-07,1,28.317,IND,@,DEN,L 24-31,,,,,,,,,,,,,,,
50,2014,2014-09-15,2,28.325,IND,,PHI,L 27-30,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
51,2014,2014-09-21,3,28.331,IND,@,JAX,W 44-17,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
52,2014,2014-10-05,5,28.345,IND,,BAL,W 20-13,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
53,2014,2014-10-09,6,28.349,IND,@,HOU,W 33-28,,,,,,,,,,,,,,,
54,2014,2014-10-19,7,28.359,IND,,CIN,W 27-0,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
55,2014,2014-10-26,8,29.001,IND,@,PIT,L 34-51,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
56,2014,2014-11-03,9,29.009,IND,@,NYG,W 40-24,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
57,2014,2014-11-16,10,29.022,IND,,NWE,L 20-42,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
58,2014,2014-11-23,11,29.029,IND,,JAX,W 23-3,,,,,,,,,,,,,,,
59,2014,2014-11-30,12,29.036,IND,,WAS,W 49-27,,,,,,,,,,,,,,,
60,2014,2014-12-07,13,29.043,IND,@,CLE,W 25-24,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
61,2014,2014-12-14,14,29.050,IND,,HOU,W 17-10,,,,,,,,,,,,,,,
62,2014,2014-12-21,15,29.057,IND,@,DAL,L 7-42,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
63,2014,2014-12-28,16,29.064,IND,@,TEN,W 27-10,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
64,2015,2015-09-13,1,29.323,IND,@,BUF,L 14-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
65,2015,2015-09-21,2,29.331,IND,,NYJ,L 7-20,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
66,2015,2015-09-27,3,29.337,IND,@,TEN,W 35-33,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
67,2015,2015-10-04,4,29.344,IND,,JAX,W 16-13,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
68,2015,2015-10-08,5,29.348,IND,@,HOU,W 27-20,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
69,2015,2015-10-18,6,29.358,IND,,NWE,L 27-34,,1,-1,-1.00,0,0,0,,0,0.0,2,2,0,0,0
70,2015,2015-10-25,7,30.000,IND,,NOR,L 21-27,*,0,0,,0,0,0,,0,0.0,4,2,0,0,0
71,2015,2015-11-02,8,30.008,IND,@,CAR,L 26-29,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
72,2015,2015-11-08,9,30.014,IND,,DEN,W 27-24,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
73,2015,2015-11-22,10,30.028,IND,@,ATL,W 24-21,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
74,2015,2015-11-29,11,30.035,IND,,TAM,W 25-12,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
75,2015,2015-12-06,12,30.042,IND,@,PIT,L 10-45,,0,0,,0,1,5,5.00,0,0.0,0,0,0,0,0
76,2015,2015-12-13,13,30.049,IND,@,JAX,L 16-51,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
77,2015,2016-01-03,16,30.070,IND,,TEN,W 30-24,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
78,2016,2016-10-02,4,30.343,BUF,@,NWE,W 16-0,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
79,2016,2016-10-09,5,30.350,BUF,@,LAR,W 30-19,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
80,2017,2017-09-10,1,31.320,BUF,,NYJ,W 21-12,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
81,2017,2017-09-17,2,31.327,BUF,@,CAR,L 3-9,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
82,2017,2017-09-24,3,31.334,BUF,,DEN,W 26-16,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
83,2017,2017-10-01,4,31.341,BUF,@,ATL,W 23-17,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
84,2017,2017-12-31,16,32.067,BUF,@,MIA,W 22-16,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
