ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
27,1988,1988-12-11,15,24.103,NYG,,KAN,W 28-12,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0
28,1988,1988-12-18,16,24.110,NYG,@,NYJ,L 21-27,,3,26,8.67,2,,,0,0,,0,0,0,,0,2,12
29,1989,1989-09-11,1,25.012,NYG,@,WAS,W 27-24,,0,0,,0,,,,,,,,,,,,
30,1989,1989-09-17,2,25.018,NYG,,DET,W 24-14,,0,0,,0,,,,,,,,,,,,
31,1989,1989-09-24,3,25.025,NYG,,PHO,W 35-7,,1,39,39.00,1,,,0,0,,0,0,0,,0,1,6
32,1989,1989-10-01,4,25.032,NYG,@,DAL,W 30-13,,0,0,,0,,,,,,,,,,,,
33,1989,1989-10-08,5,25.039,NYG,@,PHI,L 19-21,,1,20,20.00,0,,,0,0,,0,0,0,,0,0,0
34,1989,1989-10-15,6,25.046,NYG,,WAS,W 20-17,,1,18,18.00,0,,,0,0,,0,0,0,,0,0,0
35,1989,1989-10-22,7,25.053,NYG,@,SDG,W 20-13,,0,0,,0,,,,,,,,,,,,
36,1989,1989-11-05,9,25.067,NYG,@,PHO,W 20-13,,1,35,35.00,1,,,0,0,,0,0,0,,0,1,6
37,1989,1989-11-12,10,25.074,NYG,@,RAM,L 10-31,,1,19,19.00,0,,,0,0,,0,0,0,,0,0,0
38,1989,1989-11-19,11,25.081,NYG,,SEA,W 15-3,,3,41,13.67,0,,,0,0,,0,0,0,,0,0,0
39,1989,1989-11-27,12,25.089,NYG,@,SFO,L 24-34,,1,18,18.00,0,,,0,0,,0,0,0,,0,0,0
40,1989,1989-12-03,13,25.095,NYG,,PHI,L 17-24,,0,0,,0,,,,,,,,,,,,
41,1989,1989-12-10,14,25.102,NYG,@,DEN,W 14-7,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0
42,1989,1989-12-16,15,25.108,NYG,,DAL,W 15-0,,1,24,24.00,0,,,0,0,,0,0,0,,0,0,0
43,1989,1989-12-24,16,25.116,NYG,,RAI,W 34-17,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
44,1990,1990-09-09,1,26.010,NYG,,PHI,W 27-20,,0,0,,0,,,0,0,,0,,,,,0,
45,1990,1990-09-16,2,26.017,NYG,@,DAL,W 28-7,,0,0,,0,,,0,0,,0,,,,,0,
46,1990,1990-09-23,3,26.024,NYG,,MIA,W 20-3,,0,0,,0,,,0,0,,0,,,,,0,
47,1990,1990-09-30,4,26.031,NYG,,DAL,W 31-17,,2,26,13.00,0,,,0,0,,0,0,0,,0,0,0
48,1990,1990-10-14,5,26.045,NYG,@,WAS,W 24-20,,3,109,36.33,1,,,0,0,,0,0,0,,0,1,6
49,1990,1990-10-21,6,26.052,NYG,,PHO,W 20-19,,3,65,21.67,1,,,0,0,,0,0,0,,0,1,6
50,1990,1990-10-28,7,26.059,NYG,,WAS,W 21-10,,2,19,9.50,1,,,0,0,,0,0,0,,0,1,6
51,1990,1990-11-05,8,26.067,NYG,@,IND,W 24-7,,1,40,40.00,0,,,0,0,,0,0,0,,0,0,0
52,1990,1990-11-11,9,26.073,NYG,@,RAM,W 31-7,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
53,1990,1990-11-18,10,26.080,NYG,,DET,W 20-0,,1,33,33.00,1,,,0,0,,0,0,0,,0,1,6
54,1990,1990-11-25,11,26.087,NYG,@,PHI,L 13-31,,3,65,21.67,0,,,0,0,,0,0,0,,0,0,0
55,1990,1990-12-03,12,26.095,NYG,@,SFO,L 3-7,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0
56,1990,1990-12-09,13,26.101,NYG,,MIN,W 23-15,,3,57,19.00,0,,,1,3,3.00,0,0,0,,0,0,0
57,1990,1990-12-15,14,26.107,NYG,,BUF,L 13-17,,4,56,14.00,0,,,0,0,,0,0,0,,0,0,0
58,1990,1990-12-23,15,26.115,NYG,@,PHO,W 24-21,,2,51,25.50,0,,,0,0,,0,0,0,,0,0,0
59,1990,1990-12-30,16,26.122,NYG,@,NWE,W 13-10,,0,0,,0,,,0,0,,0,,,,,0,
60,1991,1991-09-02,1,27.003,NYG,,SFO,W 16-14,,3,69,23.00,0,,,0,0,,0,0,0,,0,0,0
61,1991,1991-09-08,2,27.009,NYG,,RAM,L 13-19,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
62,1991,1991-09-15,3,27.016,NYG,@,CHI,L 17-20,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0
63,1991,1991-09-22,4,27.023,NYG,,CLE,W 13-10,,0,0,,0,,,,,,,,,,,,
64,1991,1991-09-29,5,27.030,NYG,@,DAL,L 16-21,,4,60,15.00,1,,,0,0,,0,0,0,,0,1,6
65,1991,1991-10-06,6,27.037,NYG,,PHO,W 20-9,,1,22,22.00,0,,,0,0,,0,0,0,,0,0,0
66,1991,1991-10-27,8,27.058,NYG,,WAS,L 13-17,,3,77,25.67,0,,,0,0,,0,0,0,,0,0,0
67,1991,1991-11-04,9,27.066,NYG,@,PHI,L 7-30,,1,16,16.00,0,,,0,0,,0,0,0,,0,0,0
68,1991,1991-11-10,10,27.072,NYG,@,PHO,W 21-14,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0
69,1991,1991-11-17,11,27.079,NYG,,DAL,W 22-9,,4,64,16.00,0,,,0,0,,0,0,0,,0,0,0
70,1991,1991-11-24,12,27.086,NYG,@,TAM,W 21-14,,2,41,20.50,1,,,0,0,,0,0,0,,0,1,6
71,1991,1991-12-01,13,27.093,NYG,@,CIN,L 24-27,,2,28,14.00,2,,,0,0,,0,0,0,,0,2,12
72,1991,1991-12-08,14,27.100,NYG,,PHI,L 14-19,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
73,1991,1991-12-15,15,27.107,NYG,@,WAS,L 17-34,,4,83,20.75,0,,,0,0,,0,0,0,,0,0,0
74,1991,1991-12-21,16,27.113,NYG,,HOU,W 24-20,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
75,1992,1992-09-06,1,28.007,NYG,,SFO,L 14-31,4,0,0,,0,0.0%,0.00,,,,,,,,,,
76,1992,1992-09-13,2,28.014,NYG,,DAL,L 28-34,10,1,6,6.00,1,10.0%,0.60,0,0,,0,0,0,,0,1,6
77,1992,1992-09-21,3,28.022,NYG,@,CHI,W 27-14,7,7,109,15.57,1,100.0%,15.57,0,0,,0,0,0,,0,1,6
78,1992,1992-10-04,4,28.035,NYG,@,RAI,L 10-13,3,1,32,32.00,0,33.3%,10.67,0,0,,0,0,0,,0,0,0
79,1992,1992-10-11,5,28.042,NYG,,PHO,W 31-21,,0,0,,0,0.0%,,,,,,,,,,,
80,1992,1992-10-18,6,28.049,NYG,@,RAM,L 17-38,6,1,5,5.00,0,16.7%,0.83,0,0,,0,0,0,,0,0,0
81,1992,1992-10-25,7,28.056,NYG,,SEA,W 23-10,2,1,46,46.00,0,50.0%,23.00,0,0,,0,0,0,,0,0,0
82,1992,1992-11-01,8,28.063,NYG,@,WAS,W 24-7,3,0,0,,0,0.0%,0.00,,,,,,,,,,
83,1992,1992-11-08,9,28.070,NYG,,GNB,W 27-7,5,2,46,23.00,0,40.0%,9.20,0,0,,0,0,0,,0,0,0
84,1992,1992-11-15,10,28.077,NYG,@,DEN,L 13-27,1,0,0,,0,0.0%,0.00,,,,,,,,,,
85,1992,1992-11-22,11,28.084,NYG,,PHI,L 34-47,13,4,89,22.25,0,30.8%,6.85,0,0,,0,0,0,,0,0,0
86,1992,1992-11-26,12,28.088,NYG,@,DAL,L 3-30,3,0,0,,0,0.0%,0.00,,,,,,,,,,
87,1992,1992-12-06,13,28.098,NYG,,WAS,L 10-28,,0,0,,0,0.0%,,,,,,,,,,,
88,1992,1992-12-12,14,28.104,NYG,@,PHO,L 0-19,1,0,0,,0,0.0%,0.00,,,,,,,,,,
89,1992,1992-12-19,15,28.111,NYG,,KAN,W 35-21,,0,0,,0,0.0%,,,,,,,,,,,
90,1992,1992-12-27,16,28.119,NYG,@,PHI,L 10-20,1,0,0,,0,0.0%,0.00,,,,,,,,,,
