ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
56,1991,1991-11-24,12,25.325,CHI,,MIA,L 13-16,,7,75,10.71,0,,,0,0,,0,0,0,,0,0,0
57,1991,1991-11-28,13,25.329,CHI,@,DET,L 6-16,,6,81,13.50,0,,,0,0,,0,0,0,,0,0,0
58,1991,1991-12-08,14,25.339,CHI,,GNB,W 27-13,,2,55,27.50,2,,,0,0,,0,0,0,,0,2,12
59,1991,1991-12-14,15,25.345,CHI,,TAM,W 27-0,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0
60,1991,1991-12-23,16,25.354,CHI,@,SFO,L 14-52,,6,136,22.67,0,,,0,0,,0,0,0,,0,0,0
61,1992,1992-09-06,1,26.247,CHI,,DET,W 27-24,9,4,66,16.50,0,44.4%,7.33,0,0,,0,0,0,,0,0,0
62,1992,1992-09-13,2,26.254,CHI,@,NOR,L 6-28,11,6,66,11.00,0,54.5%,6.00,0,0,,0,0,0,,0,0,0
63,1992,1992-09-21,3,26.262,CHI,,NYG,L 14-27,7,4,35,8.75,0,57.1%,5.00,1,13,13.00,0,0,0,,0,0,0
64,1992,1992-09-27,4,26.268,CHI,,ATL,W 41-31,2,1,11,11.00,1,50.0%,5.50,1,21,21.00,0,0,0,,0,1,6
65,1992,1992-10-04,5,26.275,CHI,@,MIN,L 20-21,6,3,46,15.33,0,50.0%,7.67,0,0,,0,0,0,,0,0,0
66,1992,1992-10-18,6,26.289,CHI,,TAM,W 31-14,4,1,14,14.00,0,25.0%,3.50,1,-3,-3.00,0,0,0,,0,0,0
67,1992,1992-10-25,7,26.296,CHI,@,GNB,W 30-10,5,3,60,20.00,0,60.0%,12.00,1,11,11.00,0,0,0,,0,0,0
68,1992,1992-11-02,8,26.304,CHI,,MIN,L 10-38,13,8,81,10.13,1,61.5%,6.23,0,0,,0,0,0,,0,1,6
69,1992,1992-11-08,9,26.310,CHI,,CIN,L 28-31,8,2,30,15.00,0,25.0%,3.75,0,0,,0,0,0,,0,0,0
70,1992,1992-11-15,10,26.317,CHI,@,TAM,L 17-20,5,4,88,22.00,0,80.0%,17.60,0,0,,0,0,0,,0,0,0
71,1992,1992-11-22,11,26.324,CHI,,GNB,L 3-17,13,8,106,13.25,0,61.5%,8.15,0,0,,0,0,0,,0,0,0
72,1992,1992-11-29,12,26.331,CHI,@,CLE,L 14-27,5,2,26,13.00,0,40.0%,5.20,0,0,,0,0,0,,0,0,0
73,1992,1992-12-07,13,26.339,CHI,@,HOU,L 7-24,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0
74,1992,1992-12-13,14,26.345,CHI,,PIT,W 30-6,6,3,41,13.67,0,50.0%,6.83,0,0,,0,0,0,,0,0,0
75,1992,1992-12-20,15,26.352,CHI,@,DET,L 3-16,9,2,30,15.00,0,22.2%,3.33,0,0,,0,0,0,,0,0,0
76,1992,1992-12-27,16,26.359,CHI,@,DAL,L 14-27,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,0,0
77,1993,1993-09-05,1,27.245,CHI,,NYG,L 20-26,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0
78,1993,1993-09-12,2,27.252,CHI,@,MIN,L 7-10,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0
79,1993,1993-09-26,3,27.266,CHI,,TAM,W 47-17,7,5,49,9.80,0,71.4%,7.00,0,0,,0,0,0,,0,0,0
80,1993,1993-10-03,4,27.273,CHI,,ATL,W 6-0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0
81,1993,1993-10-10,5,27.280,CHI,@,PHI,W 17-6,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,0,0
