ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
47,2016,2016-09-25,3,28.339,LAR,@,TAM,W 37-32,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
48,2016,2016-10-02,4,28.346,LAR,@,ARI,W 17-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
49,2016,2016-10-09,5,28.353,LAR,,BUF,L 19-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
50,2016,2016-10-16,6,28.360,LAR,@,DET,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
51,2016,2016-10-23,7,29.001,LAR,,NYG,L 10-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
52,2016,2016-11-06,8,29.015,LAR,,CAR,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
53,2016,2016-11-13,9,29.022,LAR,@,NYJ,W 9-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
54,2016,2016-11-20,10,29.029,LAR,,MIA,L 10-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
55,2016,2016-11-27,11,29.036,LAR,@,NOR,L 21-49,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0.0,0,0
56,2016,2016-12-04,12,29.043,LAR,@,NWE,L 10-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
57,2016,2016-12-11,13,29.050,LAR,,ATL,L 14-42,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
58,2016,2016-12-15,14,29.054,LAR,@,SEA,L 3-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
59,2016,2016-12-24,15,29.063,LAR,,SFO,L 21-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
60,2016,2017-01-01,16,29.071,LAR,,ARI,L 6-44,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0.0,0,0
