ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
57,1981,1981-11-01,9,25.119,GNB,,SEA,W 34-24,,4,63,15.75,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
58,1981,1981-11-08,10,25.126,GNB,,NYG,W 26-24,,2,12,6.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
59,1981,1981-11-15,11,25.133,GNB,,CHI,W 21-17,,5,80,16.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
60,1981,1981-11-22,12,25.140,GNB,@,TAM,L 3-37,,6,102,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
61,1981,1981-11-29,13,25.147,GNB,@,MIN,W 35-23,,7,159,22.71,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
62,1981,1981-12-06,14,25.154,GNB,,DET,W 31-17,,4,90,22.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
63,1981,1981-12-13,15,25.161,GNB,@,NOR,W 35-7,,3,52,17.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
64,1981,1981-12-20,16,25.168,GNB,@,NYJ,L 3-28,,2,27,13.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
65,1982,1982-09-12,1,26.069,GNB,,RAM,W 35-23,,4,59,14.75,1,,,1,-4,-4.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
66,1982,1982-09-20,2,26.077,GNB,@,NYG,W 27-19,,4,101,25.25,0,,,1,83,83.00,1,0,0,,0,0,0,,0,,,,0,0,,0,1,6
67,1982,1982-11-21,3,26.139,GNB,,MIN,W 26-7,,2,19,9.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
68,1982,1982-11-28,4,26.146,GNB,@,NYJ,L 13-15,,3,65,21.67,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
69,1982,1982-12-05,5,26.153,GNB,,BUF,W 33-21,,3,42,14.00,0,,,1,30,30.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
70,1982,1982-12-12,6,26.160,GNB,,DET,L 10-30,,4,69,17.25,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
71,1982,1982-12-19,7,26.167,GNB,@,BAL,T 20-20,,5,67,13.40,0,,,1,-8,-8.00,0,1,1,100.00,43,0,0,118.7,0,0,43.00,43.00,0,0,,0,0,0
72,1982,1982-12-26,8,26.174,GNB,@,ATL,W 38-7,,3,146,48.67,2,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,12
73,1982,1983-01-02,9,26.181,GNB,@,DET,L 24-27,,7,128,18.29,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
74,1983,1983-09-04,1,27.061,GNB,@,HOU,W 41-38,,8,154,19.25,1,,,2,12,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
75,1983,1983-09-11,2,27.068,GNB,,PIT,L 21-25,,5,169,33.80,3,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,18
76,1983,1983-09-18,3,27.075,GNB,,RAM,W 27-24,,3,58,19.33,0,,,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
77,1983,1983-09-26,4,27.083,GNB,@,NYG,L 3-27,,4,73,18.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
78,1983,1983-10-02,5,27.089,GNB,,TAM,W 55-14,,4,112,28.00,1,,,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
79,1983,1983-10-09,6,27.096,GNB,@,DET,L 14-38,,4,43,10.75,0,,,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
80,1983,1983-10-17,7,27.104,GNB,,WAS,W 48-47,,5,96,19.20,0,,,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
81,1983,1983-10-23,8,27.110,GNB,,MIN,L 17-20,,2,95,47.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
82,1983,1983-10-30,9,27.117,GNB,@,CIN,L 14-34,,0,0,,0,,,1,-10,-10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
83,1983,1983-11-06,10,27.124,GNB,,CLE,W 35-21,,2,64,32.00,0,,,1,-4,-4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
84,1983,1983-11-13,11,27.131,GNB,@,MIN,W 29-21,,2,28,14.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
85,1983,1983-11-20,12,27.138,GNB,,DET,L 20-23,,2,30,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
86,1983,1983-11-27,13,27.145,GNB,@,ATL,L 41-47,,7,161,23.00,1,,,1,13,13.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
87,1983,1983-12-04,14,27.152,GNB,,CHI,W 31-28,,6,120,20.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
88,1983,1983-12-12,15,27.160,GNB,@,TAM,W 12-9,,1,24,24.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
89,1983,1983-12-18,16,27.166,GNB,@,CHI,L 21-23,,3,73,24.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
90,1984,1984-09-02,1,28.059,GNB,,STL,W 24-23,,7,134,19.14,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
91,1984,1984-09-09,2,28.066,GNB,@,RAI,L 7-28,,0,0,,0,,,2,6,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
92,1984,1984-09-16,3,28.073,GNB,,CHI,L 7-9,,4,89,22.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
93,1984,1984-09-23,4,28.080,GNB,@,DAL,L 6-20,,1,8,8.00,0,,,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
94,1984,1984-09-30,5,28.087,GNB,@,TAM,L 27-30,,3,70,23.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
95,1984,1984-10-07,6,28.094,GNB,,SDG,L 28-34,,5,158,31.60,1,,,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
96,1984,1984-10-15,7,28.102,GNB,@,DEN,L 14-17,,11,206,18.73,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
97,1984,1984-10-21,8,28.108,GNB,,SEA,L 24-30,,5,162,32.40,2,,,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
98,1984,1984-10-28,9,28.115,GNB,,DET,W 41-9,,5,80,16.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
99,1984,1984-11-04,10,28.122,GNB,@,NOR,W 23-13,,3,63,21.00,0,,,1,26,26.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
100,1984,1984-11-11,11,28.129,GNB,,MIN,W 45-17,,4,119,29.75,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
101,1984,1984-11-18,12,28.136,GNB,,RAM,W 31-6,,6,129,21.50,0,,,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
102,1984,1984-11-22,13,28.140,GNB,@,DET,L 28-31,,1,24,24.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
103,1984,1984-12-02,14,28.150,GNB,,TAM,W 27-14,,0,0,,0,,,0,0,,0,,,,,,,,,,,,,,,,0,
104,1984,1984-12-09,15,28.157,GNB,@,CHI,W 20-14,,2,28,14.00,0,,,1,19,19.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
105,1984,1984-12-16,16,28.164,GNB,@,MIN,W 38-14,,5,91,18.20,1,,,2,11,5.50,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
106,1985,1985-09-08,1,29.065,GNB,@,NWE,L 20-26,,2,34,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
107,1985,1985-09-15,2,29.072,GNB,,NYG,W 23-20,,4,88,22.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
108,1985,1985-09-22,3,29.079,GNB,,NYJ,L 3-24,,1,27,27.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
109,1985,1985-09-29,4,29.086,GNB,@,STL,L 28-43,,7,87,12.43,1,,,1,21,21.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
110,1985,1985-10-06,5,29.093,GNB,,DET,W 43-10,,10,151,15.10,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
111,1985,1985-10-13,6,29.100,GNB,,MIN,W 20-17,,6,88,14.67,0,,,1,-8,-8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
112,1985,1985-10-21,7,29.108,GNB,@,CHI,L 7-23,,7,103,14.71,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
113,1985,1985-10-27,8,29.114,GNB,@,IND,L 10-37,,3,43,14.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
114,1985,1985-11-03,9,29.121,GNB,,CHI,L 10-16,,1,9,9.00,0,,,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
115,1985,1985-11-10,10,29.128,GNB,@,MIN,W 27-17,,2,56,28.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
116,1985,1985-11-17,11,29.135,GNB,,NOR,W 38-14,,5,92,18.40,0,,,1,-2,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
117,1985,1985-11-24,12,29.142,GNB,@,RAM,L 17-34,,4,70,17.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
118,1985,1985-12-01,13,29.149,GNB,,TAM,W 21-0,,6,106,17.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
119,1985,1985-12-08,14,29.156,GNB,,MIA,L 24-34,,4,91,22.75,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
120,1985,1985-12-15,15,29.163,GNB,@,DET,W 26-23,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
121,1985,1985-12-22,16,29.170,GNB,@,TAM,W 20-17,,6,95,15.83,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
122,1986,1986-09-07,1,30.064,GNB,,HOU,L 3-31,,2,14,7.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
123,1986,1986-09-14,2,30.071,GNB,@,NOR,L 10-24,,8,100,12.50,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
124,1986,1986-09-22,3,30.079,GNB,,CHI,L 12-25,,5,50,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
125,1986,1986-09-28,4,30.085,GNB,@,MIN,L 7-42,,2,38,19.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
126,1986,1986-10-05,5,30.092,GNB,,CIN,L 28-34,,7,109,15.57,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
127,1986,1986-10-12,6,30.099,GNB,,DET,L 14-21,,6,73,12.17,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
128,1986,1986-10-19,7,30.106,GNB,@,CLE,W 17-14,,2,25,12.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
129,1986,1986-10-26,8,30.113,GNB,,SFO,L 17-31,,7,88,12.57,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
130,1986,1986-11-02,9,30.120,GNB,@,PIT,L 3-27,,2,14,7.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
131,1986,1986-11-09,10,30.127,GNB,,WAS,L 7-16,,2,40,20.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
132,1986,1986-11-16,11,30.134,GNB,,TAM,W 31-7,,5,80,16.00,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
133,1986,1986-11-23,12,30.141,GNB,@,CHI,L 10-12,,3,26,8.67,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
134,1986,1986-11-27,13,30.145,GNB,@,DET,W 44-40,,6,84,14.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
135,1986,1986-12-07,14,30.155,GNB,,MIN,L 6-32,,5,66,13.20,0,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
136,1986,1986-12-14,15,30.162,GNB,@,TAM,W 21-7,,2,33,16.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
137,1987,1987-09-13,1,31.070,RAI,@,GNB,W 20-0,,2,32,16.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
138,1987,1987-09-20,2,31.077,RAI,,DET,W 27-7,,3,44,14.67,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
139,1987,1987-10-25,6,31.112,RAI,,SEA,L 13-35,,2,34,17.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
140,1987,1987-11-01,7,31.119,RAI,@,NWE,L 23-26,,4,76,19.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
141,1987,1987-11-08,8,31.126,RAI,@,MIN,L 20-31,,4,128,32.00,1,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,6
142,1987,1987-11-15,9,31.133,RAI,@,SDG,L 14-16,,3,84,28.00,1,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,6
143,1987,1987-11-22,10,31.140,RAI,,DEN,L 17-23,,4,59,14.75,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
144,1987,1987-11-30,11,31.148,RAI,@,SEA,W 37-14,,1,46,46.00,1,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,6
145,1987,1987-12-06,12,31.154,RAI,,BUF,W 34-21,,6,132,22.00,1,,,1,1,1.00,0,0,0,,0,0,0,,,0,,,0,0,,0,1,6
146,1987,1987-12-13,13,31.161,RAI,@,KAN,L 10-16,,5,112,22.40,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
147,1987,1987-12-20,14,31.168,RAI,,CLE,L 17-24,,4,70,17.50,1,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,6
148,1987,1987-12-27,15,31.175,RAI,,CHI,L 3-6,,3,63,21.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
149,1988,1988-09-04,1,32.061,RAI,,SDG,W 24-13,,3,30,10.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
150,1988,1988-09-11,2,32.068,RAI,@,HOU,L 35-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1988,1988-09-18,3,32.075,RAI,,RAM,L 17-22,,4,130,32.50,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
152,1988,1988-09-26,4,32.083,RAI,@,DEN,W 30-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1988,1988-10-02,5,32.089,RAI,,CIN,L 21-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1988,1988-10-09,6,32.096,RAI,,MIA,L 14-24,,5,113,22.60,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
155,1988,1988-10-16,7,32.103,RAI,@,KAN,W 27-17,,1,29,29.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
156,1988,1988-10-23,8,32.110,RAI,@,NOR,L 6-20,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
157,1988,1988-10-30,9,32.117,RAI,,KAN,W 17-10,,5,68,13.60,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
158,1988,1988-11-06,10,32.124,RAI,@,SDG,W 13-3,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
159,1988,1988-11-13,11,32.131,RAI,@,SFO,W 9-3,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
160,1988,1988-11-20,12,32.138,RAI,,ATL,L 6-12,,2,49,24.50,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
161,1988,1988-11-28,13,32.146,RAI,@,SEA,L 27-35,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
162,1988,1988-12-04,14,32.152,RAI,,DEN,W 21-20,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
163,1988,1988-12-11,15,32.159,RAI,@,BUF,L 21-37,,1,57,57.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
164,1988,1988-12-18,16,32.166,RAI,,SEA,L 37-43,,2,27,13.50,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
165,1989,1989-10-08,5,33.095,BUF,@,IND,L 14-37,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
166,1989,1989-10-16,6,33.103,BUF,,RAM,W 23-20,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
