ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
41,1965,1965-09-26,3,25.066,NYJ,@,BUF,L 21-33,6,60,10.00,0,0,0,,0,3,75,25.00,0,0,0,,0,0,0,0,0,,0
42,1965,1965-10-03,4,25.073,NYJ,@,DEN,L 13-16,1,2,2.00,0,0,0,,0,1,30,30.00,0,0,0,,0,0,0,0,0,,0
43,1965,1965-10-16,5,25.086,NYJ,,OAK,T 24-24,1,6,6.00,0,0,0,,0,2,45,22.50,0,1,1,1.00,0,0,0,0,0,,0
44,1965,1965-10-23,6,25.093,NYJ,,SDG,L 9-34,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
45,1965,1965-10-31,7,25.101,NYJ,,DEN,W 45-10,0,0,,0,0,0,,0,2,34,17.00,0,0,0,,0,0,0,0,0,,0
46,1965,1965-11-07,8,25.108,NYJ,@,KAN,W 13-10,0,0,,0,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0,0,,0
47,1965,1965-11-21,10,25.122,NYJ,,HOU,W 41-14,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0,0,,0
48,1965,1965-11-28,11,25.129,NYJ,,BOS,L 23-27,7,118,16.86,1,0,0,,0,2,61,30.50,0,0,0,,0,1,6,0,0,,0
49,1965,1965-12-04,12,25.135,NYJ,@,SDG,L 7-38,2,23,11.50,0,0,0,,0,3,64,21.33,0,0,0,,0,0,0,0,0,,0
50,1965,1965-12-12,13,25.143,NYJ,@,OAK,L 14-24,5,120,24.00,1,0,0,,0,2,40,20.00,0,0,0,,0,1,6,0,0,,0
51,1965,1965-12-19,14,25.150,NYJ,,BUF,W 14-12,2,15,7.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
52,1966,1966-09-09,1,26.049,NYJ,@,MIA,W 19-14,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
53,1966,1966-09-18,2,26.058,NYJ,,HOU,W 52-13,2,30,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
54,1966,1966-09-25,3,26.065,NYJ,@,DEN,W 16-7,0,0,,0,0,0,,0,0,0,,0,3,18,6.00,0,0,0,0,0,,0
55,1966,1966-10-02,4,26.072,NYJ,@,BOS,T 24-24,3,75,25.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
56,1966,1966-10-08,5,26.078,NYJ,,SDG,W 17-16,0,0,,0,0,0,,0,2,50,25.00,0,1,0,0.00,0,0,0,0,0,,0
57,1966,1966-10-23,7,26.093,NYJ,,OAK,L 21-24,0,0,,0,0,0,,0,0,0,,0,2,24,12.00,0,0,0,0,0,,0
58,1966,1966-10-30,8,26.100,NYJ,,BUF,L 23-33,0,0,,0,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,,0
59,1966,1966-11-20,10,26.121,NYJ,,MIA,W 30-13,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
60,1966,1966-11-27,11,26.128,NYJ,,KAN,L 24-32,0,0,,0,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,,0
61,1966,1966-12-03,12,26.134,NYJ,@,OAK,T 28-28,0,0,,0,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0,0,,0
62,1966,1966-12-11,13,26.142,NYJ,@,SDG,L 27-42,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
63,1967,1967-10-01,3,27.071,NYJ,,MIA,W 29-7,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
64,1967,1967-10-07,4,27.077,NYJ,,OAK,W 27-14,0,0,,0,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0,0,,0
65,1967,1967-11-19,10,27.120,NYJ,@,BOS,W 29-24,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,,0
66,1967,1967-12-03,11,27.134,NYJ,,DEN,L 24-33,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
67,1967,1967-12-24,14,27.155,NYJ,@,SDG,W 42-31,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,,0
68,1968,1968-09-22,2,28.062,NYJ,@,BOS,W 47-31,0,0,,0,0,0,,0,2,51,25.50,0,0,0,,0,0,0,0,0,,0
69,1968,1968-09-29,3,28.069,NYJ,@,BUF,L 35-37,0,0,,0,0,0,,0,3,67,22.33,0,0,0,,0,0,0,0,0,,0
70,1968,1968-10-05,4,28.075,NYJ,,SDG,W 23-20,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0,0,,0
71,1968,1968-10-13,5,28.083,NYJ,,DEN,L 13-21,0,0,,0,0,0,,0,1,13,13.00,0,0,0,,0,0,0,0,0,,0
72,1968,1968-10-27,7,28.097,NYJ,,BOS,W 48-14,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
73,1968,1968-11-03,8,28.104,NYJ,,BUF,W 25-21,0,0,,0,0,0,,0,3,79,26.33,0,0,0,,0,0,0,0,0,,0
74,1968,1968-11-10,9,28.111,NYJ,,HOU,W 26-7,,,,,,,,,0,13,,0,,,,,,,,,,
75,1968,1968-12-01,12,28.132,NYJ,,MIA,W 35-17,1,40,40.00,1,0,0,,0,3,55,18.33,0,0,0,,0,1,6,0,0,,0
76,1968,1968-12-08,13,28.139,NYJ,,CIN,W 27-14,1,34,34.00,1,0,0,,0,1,20,20.00,0,0,0,,0,1,6,0,0,,0
77,1968,1968-12-15,14,28.146,NYJ,@,MIA,W 31-7,7,157,22.43,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
78,1969,1969-09-28,3,29.068,NYJ,@,SDG,L 27-34,0,0,,0,0,0,,0,1,28,28.00,0,0,0,,0,0,0,0,0,,0
79,1969,1969-10-20,6,29.090,NYJ,,HOU,W 26-17,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
80,1969,1969-10-26,7,29.096,NYJ,,BOS,W 23-17,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0,0,,0
81,1969,1969-11-02,8,29.103,NYJ,,MIA,W 34-31,0,0,,0,0,0,,0,1,26,26.00,0,0,0,,0,0,0,0,0,,0
82,1969,1969-11-09,9,29.110,NYJ,,BUF,W 16-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,89,44.50,0
83,1969,1969-11-23,11,29.124,NYJ,,CIN,W 40-7,2,8,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
84,1969,1969-11-30,12,29.131,NYJ,,OAK,L 14-27,3,94,31.33,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
85,1969,1969-12-06,13,29.137,NYJ,@,HOU,W 34-26,1,3,3.00,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
86,1969,1969-12-14,14,29.145,NYJ,@,MIA,W 27-9,4,105,26.25,2,0,0,,0,0,0,,0,0,0,,0,2,12,0,0,,0
87,1970,1970-09-20,1,30.060,BOS,,MIA,W 27-14,3,49,16.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
88,1970,1970-09-27,2,30.067,BOS,,NYJ,L 21-31,2,24,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
89,1970,1970-10-04,3,30.074,BOS,,BAL,L 6-14,3,55,18.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
90,1970,1970-10-11,4,30.081,BOS,@,KAN,L 10-23,2,24,12.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
91,1970,1970-10-18,5,30.088,BOS,,NYG,L 0-16,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
92,1970,1970-10-25,6,30.095,BOS,@,BAL,L 3-27,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
93,1970,1970-11-01,7,30.102,BOS,,BUF,L 10-45,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
94,1970,1970-11-08,8,30.109,BOS,@,STL,L 0-31,4,40,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
95,1970,1970-11-15,9,30.116,BOS,,SDG,L 14-16,2,29,14.50,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
96,1970,1970-11-22,10,30.123,BOS,@,NYJ,L 3-17,2,46,23.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
97,1970,1970-11-29,11,30.130,BOS,@,BUF,W 14-10,2,58,29.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
98,1970,1970-12-06,12,30.137,BOS,@,MIA,L 20-37,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
99,1970,1970-12-13,13,30.144,BOS,,MIN,L 14-35,1,29,29.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
100,1970,1970-12-20,14,30.151,BOS,@,CIN,L 7-45,,,,,,,,,,,,,,,,,,,,,,
