ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
29,2013,2013-12-08,13,24.353,DEN,,TEN,W 51-28,,2,44,22.00,0,0,0,,0,0,0,0.0,3,1
30,2013,2013-12-12,14,24.357,DEN,,SDG,L 20-27,*,0,0,,0,0,0,,0,0,0,0.0,1,2
31,2013,2013-12-22,15,25.002,DEN,@,HOU,W 37-13,,,,,,,,,,,,,,
32,2013,2013-12-29,16,25.009,DEN,@,OAK,W 34-14,,0,0,,0,0,0,,0,0,0,0.0,3,0
33,2014,2014-09-07,1,25.261,DEN,,IND,W 31-24,,,,,,,,,,,,,,
34,2014,2014-09-14,2,25.268,DEN,,KAN,W 24-17,,0,0,,0,0,0,,0,0,0,0.0,1,0
35,2014,2014-09-21,3,25.275,DEN,@,SEA,L 20-26,,0,0,,0,0,0,,0,0,0,0.0,1,1
36,2014,2014-10-05,4,25.289,DEN,,ARI,W 41-20,,,,,,,,,,,,,,
37,2014,2014-10-12,5,25.296,DEN,@,NYJ,W 31-17,,0,0,,0,0,0,,0,0,0,0.0,0,2
38,2014,2014-10-19,6,25.303,DEN,,SFO,W 42-17,,0,0,,0,0,0,,0,0,0,0.0,4,0
39,2014,2014-11-02,8,25.317,DEN,@,NWE,L 21-43,,1,12,12.00,0,0,0,,0,0,0,0.0,1,0
40,2014,2014-11-09,9,25.324,DEN,@,OAK,W 41-17,,,,,,,,,,,,,,
41,2014,2014-11-16,10,25.331,DEN,@,STL,L 7-22,,0,0,,0,0,0,,0,0,0,0.0,1,0
42,2014,2014-11-23,11,25.338,DEN,,MIA,W 39-36,,3,100,33.33,0,0,0,,0,0,0,0.0,3,0
43,2014,2014-11-30,12,25.345,DEN,@,KAN,W 29-16,,3,62,20.67,0,0,0,,0,0,0,0.0,2,0
44,2014,2014-12-07,13,25.352,DEN,,BUF,W 24-17,,1,24,24.00,0,0,0,,0,0,0,0.0,0,0
45,2014,2014-12-14,14,25.359,DEN,@,SDG,W 22-10,,2,53,26.50,0,0,0,,0,0,0,0.0,0,0
46,2014,2014-12-22,15,26.002,DEN,@,CIN,L 28-37,,2,102,51.00,0,0,0,,0,0,0,0.0,1,0
47,2014,2014-12-28,16,26.008,DEN,,OAK,W 47-14,,1,76,76.00,0,0,0,,0,0,0,0.0,2,0
48,2015,2015-09-13,1,26.267,DEN,,BAL,W 19-13,,0,0,,0,0,0,,0,0,0,0.0,0,0
49,2015,2015-10-11,5,26.295,DEN,@,OAK,W 16-10,,2,54,27.00,0,0,0,,0,0,0,0.0,0,0
50,2015,2015-10-18,6,26.302,DEN,@,CLE,W 26-23,,5,95,19.00,0,0,0,,0,0,0,0.0,0,0
51,2015,2015-11-01,7,26.316,DEN,,GNB,W 29-10,,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2015,2015-11-08,8,26.323,DEN,@,IND,L 24-27,,2,69,34.50,0,1,83,83.00,1,1,6,0.0,0,0
53,2015,2015-11-15,9,26.330,DEN,,KAN,L 13-29,,0,0,,0,1,11,11.00,0,0,0,0.0,0,0
54,2015,2015-11-22,10,26.337,DEN,@,CHI,W 17-15,,3,45,15.00,0,0,0,,0,0,0,0.0,0,0
55,2015,2015-11-29,11,26.344,DEN,,NWE,W 30-24,,2,46,23.00,0,2,8,4.00,0,0,0,0.0,1,0
56,2015,2015-12-06,12,26.351,DEN,@,SDG,W 17-3,,1,33,33.00,0,1,21,21.00,0,0,0,0.0,0,1
