ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td
35,1976,1976-10-10,5,25.041,CHI,@,MIN,L 19-20,,,,,,,
36,1976,1976-10-17,6,25.048,CHI,@,RAM,L 12-20,,,,,,,
37,1976,1976-10-24,7,25.055,CHI,@,DAL,L 21-31,,,,,,,
38,1976,1976-10-31,8,25.062,CHI,,MIN,W 14-13,,,,,,,
39,1976,1976-11-07,9,25.069,CHI,,OAK,L 27-28,,,,,,,
40,1976,1976-11-14,10,25.076,CHI,,GNB,W 24-13,,,,,,,
41,1976,1976-11-21,11,25.083,CHI,@,DET,L 10-14,,,,,,,
42,1976,1976-11-28,12,25.090,CHI,@,GNB,W 16-10,,,,,,,
43,1976,1976-12-05,13,25.097,CHI,@,SEA,W 34-7,,,,,,,
44,1976,1976-12-12,14,25.104,CHI,,DEN,L 14-28,,,,,,,
45,1977,1977-09-18,1,26.019,CHI,,DET,W 30-20,,,,,,,
46,1977,1977-09-25,2,26.026,CHI,@,STL,L 13-16,,,,,,,
47,1977,1977-10-02,3,26.033,CHI,,NOR,L 24-42,,,,,,,
48,1977,1977-10-10,4,26.041,CHI,,RAM,W 24-23,,,,,,,
49,1977,1977-10-16,5,26.047,CHI,@,MIN,L 16-22,,,,,,,
50,1977,1977-10-23,6,26.054,CHI,,ATL,L 10-16,,,,,,,
51,1977,1977-10-30,7,26.061,CHI,@,GNB,W 26-0,,,,,,,
52,1977,1977-11-06,8,26.068,CHI,@,HOU,L 0-47,,,,,,,
53,1977,1977-11-13,9,26.075,CHI,,KAN,W 28-27,,,,,,,
54,1977,1977-11-20,10,26.082,CHI,,MIN,W 10-7,,,,,,,
55,1977,1977-11-24,11,26.086,CHI,@,DET,W 31-14,,,,,,,
56,1977,1977-12-04,12,26.096,CHI,@,TAM,W 10-0,,,,,,,
57,1977,1977-12-11,13,26.103,CHI,,GNB,W 21-10,,,,,,,
58,1977,1977-12-18,14,26.110,CHI,@,NYG,W 12-9,,,,,,,
59,1978,1978-09-03,1,27.004,CHI,,STL,W 17-10,,,,,,,
60,1978,1978-09-10,2,27.011,CHI,@,SFO,W 16-13,,,,,,,
61,1978,1978-09-17,3,27.018,CHI,@,DET,W 19-0,,,,,,,
62,1978,1978-09-25,4,27.026,CHI,,MIN,L 20-24,,,,,,,
63,1978,1978-10-01,5,27.032,CHI,,OAK,L 19-25,,,,,,,
64,1978,1978-10-08,6,27.039,CHI,@,GNB,L 14-24,,,,,,,
65,1978,1978-10-16,7,27.047,CHI,@,DEN,L 7-16,,,,,,,
66,1978,1978-10-22,8,27.053,CHI,@,TAM,L 19-33,,,,,,,
67,1978,1978-10-29,9,27.060,CHI,,DET,L 17-21,,,,,,,
68,1978,1978-11-05,10,27.067,CHI,,SEA,L 29-31,,,,,,,
69,1978,1978-11-12,11,27.074,CHI,@,MIN,L 14-17,0,0,,0,1,8,0
70,1978,1978-11-19,12,27.081,CHI,,ATL,W 13-7,,,,,,,
71,1978,1978-11-26,13,27.088,CHI,,TAM,W 14-3,,,,,,,
72,1978,1978-12-04,14,27.096,CHI,@,SDG,L 7-40,,,,,,,
73,1978,1978-12-10,15,27.102,CHI,,GNB,W 14-0,,,,,,,
74,1978,1978-12-16,16,27.108,CHI,@,WAS,W 14-10,0,0,,0,1,0,0
