ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
39,2011,2011-09-11,1,26.086,STL,,PHI,L 13-31,*,0,0,,0,0,0,,0,0.0,8,1,0,0,0
40,2011,2011-09-19,2,26.094,STL,@,NYG,L 16-28,*,0,0,,0,0,0,,0,0.0,2,2,0,0,0
41,2011,2011-09-25,3,26.100,STL,,BAL,L 7-37,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
42,2011,2011-10-02,4,26.107,STL,,WAS,L 10-17,,0,0,,0,0,0,,0,0.0,5,0,0,0,0
43,2011,2011-10-16,5,26.121,STL,@,GNB,L 3-24,,0,0,,0,0,0,,0,0.0,3,0,1,-3,0
44,2011,2011-10-23,6,26.128,STL,@,DAL,L 7-34,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
45,2011,2011-10-30,7,26.135,STL,,NOR,W 31-21,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
46,2011,2011-11-06,8,26.142,STL,@,ARI,L 13-19,,0,0,,0,0,0,,0,0.0,3,0,0,0,0
47,2011,2011-11-13,9,26.149,STL,@,CLE,W 13-12,,0,0,,0,0,0,,0,0.0,3,0,0,0,0
48,2011,2011-11-20,10,26.156,STL,,SEA,L 7-24,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
49,2011,2011-11-27,11,26.163,STL,,ARI,L 20-23,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
50,2011,2011-12-04,12,26.170,STL,@,SFO,L 0-26,*,0,0,,0,0,0,,0,0.0,10,2,0,0,0
51,2011,2011-12-12,13,26.178,STL,@,SEA,L 13-30,,,,,,,,,,,,,,,
52,2011,2011-12-18,14,26.184,STL,,CIN,L 13-20,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
53,2011,2011-12-24,15,26.190,STL,@,PIT,L 0-27,,0,0,,0,0,0,,0,0.0,0,2,0,0,0
54,2011,2012-01-01,16,26.198,STL,,SFO,L 27-34,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
55,2012,2012-09-09,1,27.084,STL,@,DET,L 23-27,*,0,0,,0,0,0,,0,0.0,7,0,0,0,0
56,2012,2012-09-16,2,27.091,STL,,WAS,W 31-28,*,0,0,,0,0,0,,0,0.0,5,1,0,0,0
57,2012,2012-09-23,3,27.098,STL,@,CHI,L 6-23,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
58,2012,2012-09-30,4,27.105,STL,,SEA,W 19-13,*,0,0,,0,0,0,,0,0.0,2,2,0,0,0
59,2012,2012-10-04,5,27.109,STL,,ARI,W 17-3,*,0,0,,0,0,0,,0,0.0,4,2,0,0,0
60,2012,2012-10-14,6,27.119,STL,@,MIA,L 14-17,*,0,0,,0,0,0,,0,0.0,6,0,0,0,0
61,2012,2012-10-21,7,27.126,STL,,GNB,L 20-30,*,0,0,,0,0,0,,0,0.0,0,3,0,0,0
62,2012,2012-10-28,8,27.133,STL,,NWE,L 7-45,*,0,0,,0,1,6,6.00,0,0.0,6,2,0,0,0
63,2012,2012-11-11,9,27.147,STL,@,SFO,T 24-24,*,0,0,,0,0,0,,0,0.0,3,0,0,0,0
64,2012,2012-11-18,10,27.154,STL,,NYJ,L 13-27,*,0,0,,0,0,0,,0,0.0,1,0,0,0,0
65,2012,2012-11-25,11,27.161,STL,@,ARI,W 31-17,*,0,0,,0,0,0,,0,0.0,1,0,1,38,0
66,2012,2012-12-02,12,27.168,STL,,SFO,W 16-13,*,0,0,,0,0,0,,0,0.0,3,1,0,0,0
67,2012,2012-12-09,13,27.175,STL,@,BUF,W 15-12,*,0,0,,0,0,0,,0,0.0,3,0,0,0,0
68,2012,2012-12-16,14,27.182,STL,,MIN,L 22-36,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
69,2012,2012-12-23,15,27.189,STL,@,TAM,W 28-13,*,0,0,,0,0,0,,0,0.0,3,1,0,0,0
70,2012,2012-12-30,16,27.196,STL,@,SEA,L 13-20,*,0,0,,0,0,0,,0,0.0,4,3,0,0,0
71,2013,2013-09-08,1,28.083,SFO,,GNB,W 34-28,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
72,2013,2013-09-15,2,28.090,SFO,@,SEA,L 3-29,,0,0,,0,0,0,,0,0.0,0,3,0,0,0
73,2013,2013-09-22,3,28.097,SFO,,IND,L 7-27,,,,,,,,,,,,,,,
74,2013,2013-09-26,4,28.101,SFO,@,STL,W 35-11,,,,,,,,,,,,,,,
75,2013,2013-10-06,5,28.111,SFO,,HOU,W 34-3,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
76,2013,2013-10-13,6,28.118,SFO,,ARI,W 32-20,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
77,2013,2013-10-20,7,28.125,SFO,@,TEN,W 31-17,,,,,,,,,,,,,,,
78,2013,2013-10-27,8,28.132,SFO,@,JAX,W 42-10,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
79,2013,2013-11-10,9,28.146,SFO,,CAR,L 9-10,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
80,2013,2013-11-17,10,28.153,SFO,@,NOR,L 20-23,,,,,,,,,,,,,,,
81,2013,2013-11-25,11,28.161,SFO,@,WAS,W 27-6,,,,,,,,,,,,,,,
82,2013,2013-12-01,12,28.167,SFO,,STL,W 23-13,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
83,2013,2013-12-08,13,28.174,SFO,,SEA,W 19-17,,,,,,,,,,,,,,,
84,2013,2013-12-15,14,28.181,SFO,@,TAM,W 33-14,,,,,,,,,,,,,,,
85,2013,2013-12-23,15,28.189,SFO,,ATL,W 34-24,,,,,,,,,,,,,,,
86,2013,2013-12-29,16,28.195,SFO,@,ARI,W 23-20,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
87,2014,2014-09-07,1,29.082,SFO,@,DAL,W 28-17,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
88,2014,2014-09-14,2,29.089,SFO,,CHI,L 20-28,,,,,,,,,,,,,,,
89,2014,2014-09-21,3,29.096,SFO,@,ARI,L 14-23,,,,,,,,,,,,,,,
90,2014,2014-09-28,4,29.103,SFO,,PHI,W 26-21,,,,,,,,,,,,,,,
91,2014,2014-10-05,5,29.110,SFO,,KAN,W 22-17,,1,3,3.00,0,0,0,,0,0.0,0,0,0,0,0
92,2014,2014-10-13,6,29.118,SFO,@,STL,W 31-17,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
93,2014,2014-10-19,7,29.124,SFO,@,DEN,L 17-42,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
94,2014,2014-11-02,8,29.138,SFO,,STL,L 10-13,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
95,2014,2014-11-09,9,29.145,SFO,@,NOR,W 27-24,,,,,,,,,,,,,,,
96,2014,2014-11-16,10,29.152,SFO,@,NYG,W 16-10,,0,0,,0,0,0,,0,0.0,2,2,0,0,0
97,2014,2014-11-23,11,29.159,SFO,,WAS,W 17-13,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
98,2014,2014-11-27,12,29.163,SFO,,SEA,L 3-19,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
99,2014,2014-12-07,13,29.173,SFO,@,OAK,L 13-24,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
100,2014,2014-12-14,14,29.180,SFO,@,SEA,L 7-17,,,,,,,,,,,,,,,
101,2014,2014-12-20,15,29.186,SFO,,SDG,L 35-38,,0,0,,0,0,0,,0,0.0,3,0,0,0,0
102,2014,2014-12-28,16,29.194,SFO,,ARI,W 20-17,*,0,0,,0,0,0,,0,0.0,10,0,1,0,0
103,2015,2015-09-13,1,30.088,NYG,@,DAL,L 26-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
104,2015,2015-09-20,2,30.095,NYG,,ATL,L 20-24,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
105,2015,2015-09-24,3,30.099,NYG,,WAS,W 32-21,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
106,2015,2015-10-04,4,30.109,NYG,@,BUF,W 24-10,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
107,2015,2015-10-11,5,30.116,NYG,,SFO,W 30-27,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
108,2015,2015-10-19,6,30.124,NYG,@,PHI,L 7-27,,0,0,,0,0,0,,0,0.0,4,2,0,0,0
109,2015,2015-10-25,7,30.130,NYG,,DAL,W 27-20,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
110,2015,2015-11-01,8,30.137,NYG,@,NOR,L 49-52,,0,0,,0,0,0,,0,0.0,2,1,0,0,0
111,2015,2015-11-08,9,30.144,NYG,@,TAM,W 32-18,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
112,2015,2015-11-15,10,30.151,NYG,,NWE,L 26-27,,0,0,,0,0,0,,0,1.0,4,1,0,0,0
113,2015,2015-11-29,11,30.165,NYG,@,WAS,L 14-20,,0,0,,0,0,0,,0,0.0,5,2,0,0,0
114,2015,2015-12-06,12,30.172,NYG,,NYJ,L 20-23,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
115,2015,2015-12-14,13,30.180,NYG,@,MIA,W 31-24,*,0,0,,0,0,0,,0,0.0,1,2,0,0,0
116,2015,2015-12-20,14,30.186,NYG,,CAR,L 35-38,*,0,0,,0,0,0,,0,0.0,5,2,0,0,0
117,2015,2015-12-27,15,30.193,NYG,@,MIN,L 17-49,*,0,0,,0,0,0,,0,0.0,2,0,0,0,0
