ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
45,1972,1972-10-29,7,29.216,BAL,,MIA,L 0-23,,,,,,,,,,,,,,,,,
46,1972,1972-11-06,8,29.224,BAL,@,NWE,W 24-17,,,,,,,,,,,,,,,,,
47,1972,1972-11-12,9,29.230,BAL,@,SFO,L 21-24,,,,,,,,,,,,,,,,,
48,1972,1972-11-19,10,29.237,BAL,@,CIN,W 20-19,,,,,,,,,,,,,,,,,
49,1972,1972-11-26,11,29.244,BAL,,NWE,W 31-0,0,0,,0,0,0,,0,0,0,,0,1,6,1,22,1
50,1972,1972-12-03,12,29.251,BAL,,BUF,W 35-7,,,,,,,,,,,,,,,,,
51,1972,1972-12-10,13,29.258,BAL,@,KAN,L 10-24,,,,,,,,,,,,,,,,,
52,1972,1972-12-16,14,29.264,BAL,@,MIA,L 0-16,,,,,,,,,,,,,,,,,
53,1973,1973-09-16,1,30.173,BAL,@,CLE,L 14-24,,,,,,,,,,,,,,,,,
54,1973,1973-09-23,2,30.180,BAL,,NYJ,L 10-34,,,,,,,,,,,,,,,,,
55,1973,1973-09-30,3,30.187,BAL,,NOR,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
56,1973,1973-10-07,4,30.194,BAL,@,NWE,L 16-24,,,,,,,,,,,,,,,,,
57,1973,1973-10-14,5,30.201,BAL,@,BUF,L 13-31,0,0,,0,0,0,,0,0,0,,0,0,0,1,7,0
58,1973,1973-12-09,13,30.257,BAL,,MIA,W 16-3,,,,,,,,,,,,,,,,,
59,1973,1973-12-16,14,30.264,BAL,,NWE,W 18-13,,,,,,,,,,,,,,,,,
60,1974,1974-09-15,1,31.172,BAL,@,PIT,L 0-30,,,,,,,,,,,,,,,,,
61,1974,1974-09-22,2,31.179,BAL,,GNB,L 13-20,,,,,,,,,,,,,,,,,
62,1974,1974-09-29,3,31.186,BAL,@,PHI,L 10-30,,,,,,,,,,,,,,,,,
63,1974,1974-10-06,4,31.193,BAL,@,NWE,L 3-42,,,,,,,,,,,,,,,,,
64,1974,1974-10-13,5,31.200,BAL,,BUF,L 14-27,,,,,,,,,,,,,,,,,
65,1974,1974-10-20,6,31.207,BAL,@,NYJ,W 35-20,,,,,,,,,,,,,,,,,
66,1974,1974-10-27,7,31.214,BAL,@,MIA,L 7-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,5,0
67,1974,1974-11-03,8,31.221,BAL,,CIN,L 14-24,,,,,,,,,,,,,,,,,
68,1974,1974-11-10,9,31.228,BAL,,DEN,L 6-17,,,,,,,,,,,,,,,,,
69,1974,1974-11-17,10,31.235,BAL,@,ATL,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,11,0
70,1974,1974-11-24,11,31.242,BAL,,NWE,L 17-27,,,,,,,,,,,,,,,,,
71,1974,1974-12-01,12,31.249,BAL,@,BUF,L 0-6,,,,,,,,,,,,,,,,,
72,1974,1974-12-08,13,31.256,BAL,,MIA,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,8,0
73,1974,1974-12-15,14,31.263,BAL,,NYJ,L 38-45,,,,,,,,,,,,,,,,,
74,1975,1975-09-21,1,32.178,BAL,@,CHI,W 35-7,,,,,,,,,,,,,,,,,
75,1975,1975-09-28,2,32.185,BAL,,OAK,L 20-31,0,0,,0,0,0,,0,0,0,,0,0,0,1,3,0
76,1975,1975-10-05,3,32.192,BAL,@,RAM,L 13-24,,,,,,,,,,,,,,,,,
77,1975,1975-10-12,4,32.199,BAL,,BUF,L 31-38,,,,,,,,,,,,,,,,,
78,1975,1975-10-19,5,32.206,BAL,@,NWE,L 10-21,,,,,,,,,,,,,,,,,
79,1975,1975-11-09,8,32.227,BAL,@,BUF,W 42-35,,,,,,,,,,,,,,,,,
80,1976,1976-09-12,1,33.169,SEA,,STL,L 24-30,,,,,,,,,,,,,,,,,
81,1976,1976-09-19,2,33.176,SEA,@,WAS,L 7-31,,,,,,,,,,,,,,,,,
82,1976,1976-09-26,3,33.183,SEA,,SFO,L 21-37,0,0,,0,0,0,,0,0,0,,0,0,0,1,26,0
83,1976,1976-10-03,4,33.190,SEA,,DAL,L 13-28,,,,,,,,,,,,,,,,,
84,1976,1976-10-10,5,33.197,SEA,@,GNB,L 20-27,,,,,,,,,,,,,,,,,
85,1976,1976-10-17,6,33.204,SEA,@,TAM,W 13-10,,,,,,,,,,,,,,,,,
86,1976,1976-10-24,7,33.211,SEA,,DET,L 14-41,,,,,,,,,,,,,,,,,
87,1976,1976-10-31,8,33.218,SEA,@,RAM,L 6-45,,,,,,,,,,,,,,,,,
88,1976,1976-11-07,9,33.225,SEA,,ATL,W 30-13,,,,,,,,,,,,,,,,,
89,1976,1976-11-14,10,33.232,SEA,@,MIN,L 21-27,,,,,,,,,,,,,,,,,
90,1976,1976-11-21,11,33.239,SEA,,NOR,L 27-51,,,,,,,,,,,,,,,,,
91,1976,1976-11-28,12,33.246,SEA,@,NYG,L 16-28,0,0,,0,0,0,,0,0,0,,0,0,0,1,14,0
92,1976,1976-12-05,13,33.253,SEA,,CHI,L 7-34,,,,,,,,,,,,,,,,,
93,1976,1976-12-12,14,33.260,SEA,@,PHI,L 10-27,,,,,,,,,,,,,,,,,
94,1977,1977-09-18,1,34.175,WAS,@,NYG,L 17-20,,,,,,,,,,,,,,,,,
95,1977,1977-09-25,2,34.182,WAS,,ATL,W 10-6,,,,,,,,,,,,,,,,,
96,1977,1977-10-02,3,34.189,WAS,,STL,W 24-14,,,,,,,,,,,,,,,,,
97,1977,1977-10-09,4,34.196,WAS,@,TAM,W 10-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,1,0
98,1977,1977-10-16,5,34.203,WAS,@,DAL,L 16-34,,,,,,,,,,,,,,,,,
99,1977,1977-10-23,6,34.210,WAS,,NYG,L 6-17,,,,,,,,,,,,,,,,,
100,1977,1977-10-30,7,34.217,WAS,,PHI,W 23-17,,,,,,,,,,,,,,,,,
101,1977,1977-11-07,8,34.225,WAS,@,BAL,L 3-10,,,,,,,,,,,,,,,,,
102,1977,1977-11-13,9,34.231,WAS,@,PHI,W 17-14,,,,,,,,,,,,,,,,,
103,1977,1977-11-21,10,34.239,WAS,,GNB,W 10-9,,,,,,,,,,,,,,,,,
104,1977,1977-11-27,11,34.245,WAS,,DAL,L 7-14,,,,,,,,,,,,,,,,,
105,1977,1977-12-04,12,34.252,WAS,@,BUF,W 10-0,,,,,,,,,,,,,,,,,
106,1977,1977-12-10,13,34.258,WAS,@,STL,W 26-20,,,,,,,,,,,,,,,,,
107,1977,1977-12-17,14,34.265,WAS,,RAM,W 17-14,,,,,,,,,,,,,,,,,
108,1978,1978-09-03,1,35.160,WAS,@,NWE,W 16-14,,,,,,,,,,,,,,,,,
109,1978,1978-09-10,2,35.167,WAS,,PHI,W 35-30,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
110,1978,1978-09-17,3,35.174,WAS,@,STL,W 28-10,,,,,,,,,,,,,,,,,
111,1978,1978-09-24,4,35.181,WAS,,NYJ,W 23-3,,,,,,,,,,,,,,,,,
112,1978,1978-10-08,6,35.195,WAS,@,DET,W 21-19,,,,,,,,,,,,,,,,,
113,1978,1978-10-15,7,35.202,WAS,@,PHI,L 10-17,,,,,,,,,,,,,,,,,
114,1978,1978-10-29,9,35.216,WAS,,SFO,W 38-20,,,,,,,,,,,,,,,,,
115,1978,1978-11-12,11,35.230,WAS,,NYG,W 16-13,,,,,,,,,,,,,,,,,
116,1978,1978-11-19,12,35.237,WAS,,STL,L 17-27,,,,,,,,,,,,,,,,,
117,1978,1978-11-23,13,35.241,WAS,@,DAL,L 10-37,,,,,,,,,,,,,,,,,
118,1978,1978-12-03,14,35.251,WAS,,MIA,L 0-16,,,,,,,,,,,,,,,,,
119,1978,1978-12-10,15,35.258,WAS,@,ATL,L 17-20,,,,,,,,,,,,,,,,,
120,1978,1978-12-16,16,35.264,WAS,,CHI,L 10-14,,,,,,,,,,,,,,,,,
