ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
27,2005,2005-12-04,12,24.217,MIA,,BUF,W 24-23,,8,4,40,10.00,0,50.0%,5.00,0,0,,0,4,74,18.50,0,5,14,2.80,0,,,,,,,,0,0,0.0,,
28,2005,2005-12-11,13,24.224,MIA,@,SDG,W 23-21,,1,0,0,,0,0.0%,0.00,0,0,,0,3,90,30.00,0,0,0,,0,,,,,,,,0,0,0.0,,
29,2005,2005-12-18,14,24.231,MIA,,NYJ,W 24-20,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,4,105,26.25,0,3,31,10.33,0,,,,,,,,0,0,0.0,,
30,2005,2005-12-24,15,24.237,MIA,,TEN,W 24-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,5,28,5.60,0,,,,,,,,0,0,0.0,,
31,2005,2006-01-01,16,24.245,MIA,@,NWE,W 28-26,,5,2,20,10.00,0,40.0%,4.00,0,0,,0,3,66,22.00,0,2,18,9.00,0,,,,,,,,0,0,0.0,,
32,2006,2006-09-07,1,25.129,MIA,@,PIT,L 17-28,,8,4,67,16.75,0,50.0%,8.38,0,0,,0,3,74,24.67,0,3,79,26.33,0,,,,,,,,0,0,0.0,,
33,2006,2006-09-17,2,25.139,MIA,,BUF,L 6-16,,5,5,41,8.20,0,100.0%,8.20,0,0,,0,4,101,25.25,0,1,7,7.00,0,,,,,,,,0,0,0.0,,
34,2006,2006-09-24,3,25.146,MIA,,TEN,W 13-10,,6,5,59,11.80,0,83.3%,9.83,0,0,,0,2,42,21.00,0,2,2,1.00,0,,,,,,,,0,0,0.0,,
35,2006,2006-10-01,4,25.153,MIA,@,HOU,L 15-17,,7,4,55,13.75,0,57.1%,7.86,0,0,,0,2,53,26.50,0,1,11,11.00,0,,,,,,,,0,0,0.0,,
36,2006,2006-10-08,5,25.160,MIA,@,NWE,L 10-20,,12,9,77,8.56,0,75.0%,6.42,0,0,,0,4,103,25.75,0,2,18,9.00,0,,,,,,,,0,0,0.0,,
37,2006,2006-10-15,6,25.167,MIA,@,NYJ,L 17-20,,10,6,56,9.33,0,60.0%,5.60,0,0,,0,5,69,13.80,0,4,31,7.75,0,,,,,,,,0,0,0.0,,
38,2006,2006-10-22,7,25.174,MIA,,GNB,L 24-34,,9,6,38,6.33,0,66.7%,4.22,0,0,,0,4,77,19.25,0,3,23,7.67,0,,,,,,,,0,0,0.0,,
39,2006,2006-11-05,8,25.188,MIA,@,CHI,W 31-13,,3,2,14,7.00,1,66.7%,4.67,0,0,,0,4,70,17.50,0,2,13,6.50,0,,,,,,,,1,6,0.0,,
40,2006,2006-11-12,9,25.195,MIA,,KAN,W 13-10,,4,3,46,15.33,0,75.0%,11.50,0,0,,0,3,67,22.33,0,4,56,14.00,0,,,,,,,,0,0,0.0,,
41,2006,2006-11-19,10,25.202,MIA,,MIN,W 24-20,*,8,4,59,14.75,0,50.0%,7.38,0,0,,0,2,46,23.00,0,2,20,10.00,0,,,,,,,,0,0,0.0,,
42,2006,2006-11-23,11,25.206,MIA,@,DET,W 27-10,,5,5,42,8.40,0,100.0%,8.40,0,0,,0,3,85,28.33,0,5,30,6.00,0,,,,,,,,0,0,0.0,,
43,2006,2006-12-03,12,25.216,MIA,,JAX,L 10-24,,6,5,44,8.80,0,83.3%,7.33,0,0,,0,2,26,13.00,0,1,2,2.00,0,,,,,,,,0,0,0.0,,
44,2006,2006-12-10,13,25.223,MIA,,NWE,W 21-0,,3,1,-1,-1.00,0,33.3%,-0.33,0,0,,0,0,0,,0,4,36,9.00,0,,,,,,,,0,0,0.0,,
45,2006,2006-12-17,14,25.230,MIA,@,BUF,L 0-21,,5,4,56,14.00,0,80.0%,11.20,0,0,,0,3,61,20.33,0,2,11,5.50,0,,,,,,,,0,0,0.0,,
46,2006,2006-12-25,15,25.238,MIA,,NYJ,L 10-13,*,4,1,11,11.00,0,25.0%,2.75,0,0,,0,4,83,20.75,0,3,31,10.33,0,,,,,,,,0,0,0.0,,
47,2006,2006-12-31,16,25.244,MIA,@,IND,L 22-27,,5,3,23,7.67,0,60.0%,4.60,0,0,,0,3,107,35.67,0,2,8,4.00,0,,,,,,,,0,0,0.0,,
48,2007,2007-09-09,1,26.131,NWE,@,NYJ,W 38-14,,9,6,61,10.17,1,66.7%,6.78,0,0,,0,0,0,,0,2,6,3.00,0,,,,,,,,1,6,0.0,,
49,2007,2007-09-16,2,26.138,NWE,,SDG,W 38-14,*,9,8,91,11.38,0,88.9%,10.11,1,6,6.00,0,0,0,,0,2,13,6.50,0,,,,,,,,0,0,0.0,,
50,2007,2007-09-23,3,26.145,NWE,,BUF,W 38-7,,6,6,69,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,3,72,24.00,0,,,,,,,,0,0,0.0,,
51,2007,2007-10-01,4,26.153,NWE,@,CIN,W 34-13,*,6,3,22,7.33,0,50.0%,3.67,1,27,27.00,0,0,0,,0,2,16,8.00,0,,,,,,,,0,0,0.0,,
52,2007,2007-10-07,5,26.159,NWE,,CLE,W 34-17,*,6,4,19,4.75,0,66.7%,3.17,0,0,,0,2,51,25.50,0,2,19,9.50,0,,,,,,,,0,0,0.0,,
53,2007,2007-10-14,6,26.166,NWE,@,DAL,W 48-27,*,15,11,124,11.27,2,73.3%,8.27,0,0,,0,2,55,27.50,0,3,37,12.33,0,,,,,,,,2,12,0.0,,
54,2007,2007-10-21,7,26.173,NWE,@,MIA,W 49-28,*,11,9,138,15.33,2,81.8%,12.55,0,0,,0,1,25,25.00,0,3,9,3.00,0,,,,,,,,2,12,0.0,,
55,2007,2007-10-28,8,26.180,NWE,,WAS,W 52-7,*,10,9,89,9.89,1,90.0%,8.90,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,,
56,2007,2007-11-04,9,26.187,NWE,@,IND,W 24-20,*,5,5,38,7.60,1,100.0%,7.60,0,0,,0,1,26,26.00,0,3,60,20.00,0,,,,,,,,1,6,0.0,,
57,2007,2007-11-18,10,26.201,NWE,@,BUF,W 56-10,*,8,7,78,11.14,0,87.5%,9.75,1,3,3.00,0,0,0,,0,1,4,4.00,0,,,,,,,,0,0,0.0,,
58,2007,2007-11-25,11,26.208,NWE,,PHI,W 31-28,*,17,13,149,11.46,0,76.5%,8.76,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,,
59,2007,2007-12-03,12,26.216,NWE,@,BAL,W 27-24,*,9,3,18,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,1,1,1.00,0,,,,,,,,0,0,0.0,,
60,2007,2007-12-09,13,26.222,NWE,,PIT,W 34-13,*,11,9,78,8.67,1,81.8%,7.09,0,0,,0,0,0,,0,1,2,2.00,0,,,,,,,,1,6,0.0,,
61,2007,2007-12-16,14,26.229,NWE,,NYJ,W 20-10,*,4,3,30,10.00,0,75.0%,7.50,1,-2,-2.00,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,,
62,2007,2007-12-23,15,26.236,NWE,,MIA,W 28-7,*,7,5,49,9.80,0,71.4%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,,
63,2007,2007-12-29,16,26.242,NWE,@,NYG,W 38-35,,12,11,122,11.09,0,91.7%,10.17,0,0,,0,1,19,19.00,0,2,10,5.00,0,,,,,,,,0,0,0.0,,
64,2008,2008-09-07,1,27.129,NWE,,KAN,W 17-10,*,10,6,51,8.50,0,60.0%,5.10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
65,2008,2008-09-14,2,27.136,NWE,@,NYJ,W 19-10,*,11,7,72,10.29,0,63.6%,6.55,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
66,2008,2008-09-21,3,27.143,NWE,,MIA,L 13-38,*,7,6,55,9.17,0,85.7%,7.86,1,19,19.00,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
67,2008,2008-10-05,4,27.157,NWE,@,SFO,W 30-21,*,11,8,73,9.13,0,72.7%,6.64,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,1,0
68,2008,2008-10-12,5,27.164,NWE,@,SDG,L 10-30,*,11,9,73,8.11,0,81.8%,6.64,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,1,0
69,2008,2008-10-20,6,27.172,NWE,,DEN,W 41-7,*,6,6,63,10.50,1,100.0%,10.50,0,0,,0,0,0,,0,3,63,21.00,0,,,,,,,,1,6,0.0,0,0
70,2008,2008-10-26,7,27.178,NWE,,STL,W 23-16,*,11,7,79,11.29,0,63.6%,7.18,0,0,,0,1,26,26.00,0,3,30,10.00,0,,,,,,,,0,0,0.0,0,0
71,2008,2008-11-02,8,27.185,NWE,@,IND,L 15-18,*,7,7,37,5.29,0,100.0%,5.29,0,0,,0,0,0,,0,2,24,12.00,0,,,,,,,,0,0,0.0,0,0
72,2008,2008-11-09,9,27.192,NWE,,BUF,W 20-10,*,10,9,107,11.89,0,90.0%,10.70,2,7,3.50,0,0,0,,0,1,10,10.00,0,,,,,,,,0,0,0.0,0,0
73,2008,2008-11-13,10,27.196,NWE,,NYJ,L 31-34,*,8,7,108,15.43,0,87.5%,13.50,0,0,,0,0,0,,0,3,14,4.67,0,,,,,,,,0,0,0.0,1,0
74,2008,2008-11-23,11,27.206,NWE,@,MIA,W 48-28,*,11,8,120,15.00,0,72.7%,10.91,0,0,,0,0,0,,0,2,20,10.00,0,,,,,,,,0,0,0.0,0,0
75,2008,2008-11-30,12,27.213,NWE,,PIT,L 10-33,*,7,4,30,7.50,0,57.1%,4.29,0,0,,0,0,0,,0,2,0,0.00,0,,,,,,,,0,0,0.0,0,0
76,2008,2008-12-07,13,27.220,NWE,@,SEA,W 24-21,*,17,12,134,11.17,0,70.6%,7.88,0,0,,0,0,0,,0,3,20,6.67,0,,,,,,,1,0,2,0.0,0,0
77,2008,2008-12-14,14,27.227,NWE,@,OAK,W 49-26,*,9,6,69,11.50,1,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,1,0
78,2008,2008-12-21,15,27.234,NWE,,ARI,W 47-7,,10,7,68,9.71,1,70.0%,6.80,0,0,,0,0,0,,0,5,56,11.20,0,,,,,,,,1,6,0.0,0,0
79,2008,2008-12-28,16,27.241,NWE,@,BUF,W 13-0,,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
80,2009,2009-09-14,1,28.136,NWE,,BUF,W 25-24,,16,12,93,7.75,0,75.0%,5.81,0,0,,0,0,0,,0,2,21,10.50,0,,,,,,,,0,0,0.0,0,0
81,2009,2009-10-04,4,28.156,NWE,,BAL,W 27-21,*,10,6,48,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
82,2009,2009-10-11,5,28.163,NWE,@,DEN,L 17-20,*,15,8,86,10.75,1,53.3%,5.73,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
83,2009,2009-10-18,6,28.170,NWE,,TEN,W 59-0,*,11,10,150,15.00,2,90.9%,13.64,0,0,,0,0,0,,0,1,0,0.00,0,,,,,,,,2,12,0.0,0,0
84,2009,2009-10-25,7,28.177,NWE,@,TAM,W 35-7,*,10,10,107,10.70,1,100.0%,10.70,1,6,6.00,0,0,0,,0,4,53,13.25,0,,,,,,,,1,6,0.0,0,0
85,2009,2009-11-08,8,28.191,NWE,,MIA,W 27-17,*,10,9,84,9.33,0,90.0%,8.40,0,0,,0,0,0,,0,1,5,5.00,0,,,,,,,,0,0,0.0,1,0
86,2009,2009-11-15,9,28.198,NWE,@,IND,L 34-35,*,11,9,94,10.44,0,81.8%,8.55,0,0,,0,0,0,,0,5,117,23.40,0,,,,,,,,0,0,0.0,0,0
87,2009,2009-11-22,10,28.205,NWE,,NYJ,W 31-14,*,17,15,192,12.80,0,88.2%,11.29,1,11,11.00,0,0,0,,0,2,-1,-0.50,0,,,,,,,,0,0,0.0,0,0
88,2009,2009-11-30,11,28.213,NWE,@,NOR,L 17-38,*,9,6,32,5.33,0,66.7%,3.56,2,14,7.00,0,0,0,,0,1,41,41.00,0,,,,,,,,0,0,0.0,1,0
89,2009,2009-12-06,12,28.219,NWE,@,MIA,L 21-22,*,13,10,167,16.70,0,76.9%,12.85,0,0,,0,1,27,27.00,0,3,29,9.67,0,,,,,,,,0,0,0.0,0,0
90,2009,2009-12-13,13,28.226,NWE,,CAR,W 20-10,*,14,10,105,10.50,0,71.4%,7.50,0,0,,0,0,0,,0,5,47,9.40,0,,,,,,,,0,0,0.0,0,0
91,2009,2009-12-20,14,28.233,NWE,@,BUF,W 17-10,*,11,4,40,10.00,0,36.4%,3.64,1,5,5.00,0,1,18,18.00,0,2,17,8.50,0,,,,,,,,0,0,0.0,1,0
92,2009,2009-12-27,15,28.240,NWE,,JAX,W 35-7,*,13,13,138,10.62,0,100.0%,10.62,0,0,,0,0,0,,0,1,9,9.00,0,,,,,,,,0,0,0.0,0,0
93,2009,2010-01-03,16,28.247,NWE,@,HOU,L 27-34,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
94,2010,2010-09-12,1,29.134,NWE,,CIN,W 38-24,*,11,8,64,8.00,2,72.7%,5.82,0,0,,0,0,0,,0,0,0,,0,,,,,,,,2,12,0.0,0,0
95,2010,2010-09-19,2,29.141,NWE,@,NYJ,L 14-28,*,7,6,38,6.33,1,85.7%,5.43,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
96,2010,2010-09-26,3,29.148,NWE,,BUF,W 38-30,*,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
97,2010,2010-10-04,4,29.156,NWE,@,MIA,W 41-14,,10,8,70,8.75,0,80.0%,7.00,0,0,,0,0,0,,0,1,0,0.00,0,,,,,,,,0,0,0.0,0,0
98,2010,2010-10-17,5,29.169,NWE,,BAL,W 23-20,*,11,7,53,7.57,0,63.6%,4.82,0,0,,0,0,0,,0,3,27,9.00,0,,,,,,,,0,0,0.0,0,0
99,2010,2010-10-24,6,29.176,NWE,@,SDG,W 23-20,*,6,4,25,6.25,0,66.7%,4.17,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
100,2010,2010-10-31,7,29.183,NWE,,MIN,W 28-18,*,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
101,2010,2010-11-07,8,29.190,NWE,@,CLE,L 14-34,*,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,1,1,100.0,,,,,0,1,0.0,0,0
102,2010,2010-11-14,9,29.197,NWE,@,PIT,W 39-26,,12,8,89,11.13,0,66.7%,7.42,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
103,2010,2010-11-21,10,29.204,NWE,,IND,W 31-28,*,7,5,58,11.60,1,71.4%,8.29,0,0,,0,0,0,,0,1,9,9.00,0,,,,,,,,1,6,0.0,0,0
104,2010,2010-11-25,11,29.208,NWE,@,DET,W 45-24,,10,8,90,11.25,2,80.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,2,12,0.0,0,0
105,2010,2010-12-06,12,29.219,NWE,,NYJ,W 45-3,*,7,7,80,11.43,1,100.0%,11.43,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
106,2010,2010-12-12,13,29.225,NWE,@,CHI,W 36-7,*,13,8,115,14.38,0,61.5%,8.85,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
107,2010,2010-12-19,14,29.232,NWE,,GNB,W 31-27,*,6,3,42,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
108,2010,2010-12-26,15,29.239,NWE,@,BUF,W 34-3,,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
109,2010,2011-01-02,16,29.246,NWE,,MIA,W 38-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
110,2011,2011-09-12,1,30.134,NWE,@,MIA,W 38-24,*,12,8,160,20.00,2,66.7%,13.33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,2,12,0.0,0,0
111,2011,2011-09-18,2,30.140,NWE,,SDG,W 35-21,*,11,7,81,11.57,0,63.6%,7.36,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
112,2011,2011-09-25,3,30.147,NWE,@,BUF,L 31-34,*,20,16,217,13.56,2,80.0%,10.85,1,19,19.00,0,0,0,,0,0,0,,0,,,,,,,,2,12,0.0,0,0
113,2011,2011-10-02,4,30.154,NWE,@,OAK,W 31-19,*,14,9,158,17.56,1,64.3%,11.29,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
114,2011,2011-10-09,5,30.161,NWE,,NYJ,W 30-21,*,8,5,124,24.80,0,62.5%,15.50,0,0,,0,0,0,,0,4,54,13.50,0,,,,,,,,0,0,0.0,0,0
115,2011,2011-10-16,6,30.168,NWE,,DAL,W 20-16,,10,6,45,7.50,1,60.0%,4.50,0,0,,0,0,0,,0,3,27,9.00,0,,,,,,,,1,6,0.0,0,1
116,2011,2011-10-30,7,30.182,NWE,@,PIT,L 17-25,*,8,6,39,6.50,0,75.0%,4.88,0,0,,0,0,0,,0,1,1,1.00,0,,,,,,,,0,0,0.0,0,0
117,2011,2011-11-06,8,30.189,NWE,,NYG,L 20-24,*,10,9,136,15.11,0,90.0%,13.60,1,13,13.00,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
118,2011,2011-11-13,9,30.196,NWE,@,NYJ,W 37-16,*,8,6,46,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
119,2011,2011-11-21,10,30.204,NWE,,KAN,W 34-3,*,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
120,2011,2011-11-27,11,30.210,NWE,@,PHI,W 38-20,*,12,8,115,14.38,2,66.7%,9.58,1,-9,-9.00,0,0,0,,0,0,0,,0,,,,,,,,2,12,0.0,0,0
121,2011,2011-12-04,12,30.217,NWE,,IND,W 31-24,*,11,11,110,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
122,2011,2011-12-11,13,30.224,NWE,@,WAS,W 34-27,*,10,7,86,12.29,1,70.0%,8.60,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
123,2011,2011-12-18,14,30.231,NWE,@,DEN,W 41-23,*,6,4,41,10.25,0,66.7%,6.83,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
124,2011,2011-12-24,15,30.237,NWE,,MIA,W 27-24,*,19,12,138,11.50,0,63.2%,7.26,1,7,7.00,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
125,2011,2012-01-01,16,30.245,NWE,,BUF,W 49-21,*,11,6,51,8.50,0,54.5%,4.64,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,1,0
126,2012,2012-09-09,1,31.131,NWE,@,TEN,W 34-13,*,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
127,2012,2012-09-16,2,31.138,NWE,,ARI,L 18-20,,11,5,95,19.00,0,45.5%,8.64,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
128,2012,2012-09-23,3,31.145,NWE,@,BAL,L 30-31,,10,8,142,17.75,0,80.0%,14.20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
129,2012,2012-09-30,4,31.152,NWE,@,BUF,W 52-28,,11,9,129,14.33,0,81.8%,11.73,0,0,,0,0,0,,0,1,14,14.00,0,,,,,,,,0,0,0.0,0,0
130,2012,2012-10-07,5,31.159,NWE,,DEN,W 31-21,*,15,13,104,8.00,1,86.7%,6.93,0,0,,0,0,0,,0,1,5,5.00,0,,,,,,,,1,6,0.0,0,0
131,2012,2012-10-14,6,31.166,NWE,@,SEA,L 23-24,*,14,10,138,13.80,1,71.4%,9.86,0,0,,0,0,0,,0,4,68,17.00,0,,,,,,,,1,6,0.0,0,0
132,2012,2012-10-21,7,31.173,NWE,,NYJ,W 29-26,*,8,6,66,11.00,0,75.0%,8.25,0,0,,0,1,17,17.00,0,2,21,10.50,0,,,,,,,,0,0,0.0,0,0
133,2012,2012-10-28,8,31.180,NWE,@,STL,W 45-7,*,9,6,48,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
134,2012,2012-11-11,9,31.194,NWE,,BUF,W 37-31,*,11,6,74,12.33,0,54.5%,6.73,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
135,2012,2012-11-18,10,31.201,NWE,,IND,W 59-24,*,11,7,80,11.43,0,63.6%,7.27,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
136,2012,2012-11-22,11,31.205,NWE,@,NYJ,W 49-19,*,10,7,71,10.14,1,70.0%,7.10,0,0,,0,1,9,9.00,0,1,0,0.00,0,,,,,,,,1,6,0.0,0,0
137,2012,2012-12-02,12,31.215,NWE,@,MIA,W 23-16,*,18,12,103,8.58,1,66.7%,5.72,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
138,2012,2012-12-10,13,31.223,NWE,,HOU,W 42-14,*,8,3,52,17.33,0,37.5%,6.50,0,0,,0,1,7,7.00,0,4,50,12.50,0,,,,,,,,0,0,0.0,0,0
