ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
18,1993,1994-01-02,16,24.319,CIN,@,NOR,L 13-20,*,13,23,56.52,117,0,0,70.4,3,13,5.09,5.09,3,12,4.00,0,,0,0,,0,0.0%,
19,1994,1994-09-04,1,25.199,CIN,,CLE,L 20-28,*,27,43,62.79,224,1,2,64.5,2,11,5.21,3.58,4,25,6.25,0,0,0,0,,0,0.0%,
20,1994,1994-09-11,2,25.206,CIN,@,SDG,L 10-27,*,21,34,61.76,180,1,1,73.2,2,13,5.29,4.56,2,11,5.50,0,0,0,0,,0,0.0%,
21,1994,1994-09-18,3,25.213,CIN,,NWE,L 28-31,*,21,29,72.41,266,2,0,123.6,7,47,9.17,10.55,2,10,5.00,0,1,1,-6,-6.00,0,100.0%,-6.00
22,1994,1994-09-25,4,25.220,CIN,@,HOU,L 13-20,*,10,30,33.33,115,0,3,6.2,7,41,3.83,-0.67,0,0,,0,0,0,0,,0,0.0%,
23,1994,1994-10-02,5,25.227,CIN,,MIA,L 7-23,*,16,30,53.33,188,1,3,44.2,1,4,6.27,2.43,2,16,8.00,0,0,0,0,,0,0.0%,
24,1994,1994-10-16,6,25.241,CIN,@,PIT,L 10-14,*,16,29,55.17,143,0,0,68.6,2,15,4.93,4.93,6,15,2.50,0,0,0,0,,0,0.0%,
25,1994,1994-10-23,7,25.248,CIN,@,CLE,L 13-37,*,18,34,52.94,200,1,0,80.5,3,34,5.88,6.47,1,8,8.00,0,0,0,0,,0,0.0%,
26,1994,1994-11-27,12,25.283,CIN,@,DEN,L 13-15,,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,0,0,,0,0,0,0,,0,0.0%,
27,1994,1994-12-11,14,25.297,CIN,@,NYG,L 20-27,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,0,0,,0,0,0,0,,0,0.0%,
28,1994,1994-12-18,15,25.304,CIN,@,ARI,L 7-28,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,
29,1995,1995-10-29,8,26.254,CIN,,CLE,L 26-29,,5,11,45.45,73,1,0,97.9,1,10,6.64,8.45,0,0,,0,0,0,0,,0,0.0%,
30,1995,1995-11-19,11,26.275,CIN,,PIT,L 31-49,,2,3,66.67,15,0,1,38.9,0,0,5.00,-10.00,0,0,,0,0,0,0,,0,0.0%,
31,1995,1995-12-24,16,26.310,CIN,,MIN,W 27-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,
32,1996,1996-12-22,16,27.309,OAK,,SEA,L 21-28,,10,24,41.67,87,0,0,51.9,4,16,3.63,3.63,4,36,9.00,0,0,0,0,,0,0.0%,
33,1997,1997-11-02,9,28.258,OAK,@,CAR,L 14-38,,4,7,57.14,27,0,1,26.2,0,0,3.86,-2.57,1,0,0.00,0,0,0,0,,0,0.0%,
