ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
40,1978,1978-09-10,2,25.206,NYG,,DAL,L 24-34,,,,,,,,,,
41,1978,1978-09-17,3,25.213,NYG,,KAN,W 26-10,,,,,,,,,,
42,1978,1978-09-24,4,25.220,NYG,,SFO,W 27-10,,,,,,,,,,
43,1978,1978-10-01,5,25.227,NYG,@,ATL,L 20-23,,,,,,,,,,
44,1978,1978-10-08,6,25.234,NYG,@,DAL,L 3-24,,,,,,,,,,
45,1978,1978-10-15,7,25.241,NYG,,TAM,W 17-14,,,,,,,,,,
46,1978,1978-10-22,8,25.248,NYG,,WAS,W 17-6,,,,,,,,,,
47,1978,1978-10-29,9,25.255,NYG,@,NOR,L 17-28,,,,,,,,,,
48,1978,1978-11-05,10,25.262,NYG,@,STL,L 10-20,,,,,,,,,,
49,1978,1978-11-12,11,25.269,NYG,@,WAS,L 13-16,,,,,,,,,,
50,1978,1978-11-19,12,25.276,NYG,,PHI,L 17-19,,,,,,,,,,
51,1978,1978-11-26,13,25.283,NYG,@,BUF,L 17-41,,,,,,,,,,
52,1978,1978-12-03,14,25.290,NYG,,RAM,L 17-20,,,,,,,,,,
53,1978,1978-12-10,15,25.297,NYG,,STL,W 17-0,,,,,,,,,,
54,1978,1978-12-17,16,25.304,NYG,@,PHI,L 3-20,,,,,,,,,,
55,1979,1979-09-02,1,26.198,NYG,@,PHI,L 17-23,,,,,,,,,,
56,1979,1979-09-09,2,26.205,NYG,,STL,L 14-27,,,,,,,,,,
57,1979,1979-09-17,3,26.213,NYG,@,WAS,L 0-27,,,,,,,,,,
58,1979,1979-09-23,4,26.219,NYG,,PHI,L 13-17,,,,,,,,,,
59,1979,1979-09-30,5,26.226,NYG,@,NOR,L 14-24,,,,,,,,,,
60,1979,1979-10-07,6,26.233,NYG,,TAM,W 17-14,,,,,,,,,,
61,1979,1979-10-14,7,26.240,NYG,,SFO,W 32-16,,,,,,,,,,
62,1979,1979-10-21,8,26.247,NYG,@,KAN,W 21-17,,,,,,,,,,
63,1979,1979-10-28,9,26.254,NYG,@,RAM,W 20-14,,,,,,,,,,
64,1979,1979-11-04,10,26.261,NYG,,DAL,L 14-16,,,,,,,,,,
65,1979,1979-11-11,11,26.268,NYG,,ATL,W 24-3,,,,,,,,,,
66,1979,1979-11-18,12,26.275,NYG,@,TAM,L 3-31,,,,,,,,,,
67,1979,1979-11-25,13,26.282,NYG,,WAS,W 14-6,,,,,,,,,,
68,1979,1979-12-02,14,26.289,NYG,@,DAL,L 7-28,,,,,,,,,,
69,1979,1979-12-09,15,26.296,NYG,@,STL,L 20-29,,,,,,,,,,
70,1979,1979-12-16,16,26.303,NYG,,BAL,L 7-31,,,,,,,,,,
71,1980,1980-09-07,1,27.204,NYG,@,STL,W 41-35,,,,,,,,,,
72,1980,1980-09-14,2,27.211,NYG,,WAS,L 21-23,,,,,,,,,,
73,1980,1980-09-22,3,27.219,NYG,@,PHI,L 3-35,,,,,,,,,,
74,1980,1980-09-28,4,27.225,NYG,,RAM,L 7-28,,,,,,,,,,
75,1980,1980-10-05,5,27.232,NYG,@,DAL,L 3-24,,,,,,,,,,
76,1980,1980-10-12,6,27.239,NYG,,PHI,L 16-31,,,,,,,,,,
77,1980,1980-10-19,7,27.246,NYG,@,SDG,L 7-44,,,,,,,,,,
78,1980,1980-10-26,8,27.253,NYG,,DEN,L 9-14,,,,,,,,,,
79,1980,1980-11-02,9,27.260,NYG,@,TAM,L 13-30,,,,,,,,,,
80,1980,1980-11-09,10,27.267,NYG,,DAL,W 38-35,1,4,4.00,1,1,6,0.0,0,0,0
81,1980,1980-11-16,11,27.274,NYG,,GNB,W 27-21,,,,,,,,,,
82,1980,1980-11-23,12,27.281,NYG,@,SFO,L 0-12,,,,,,,,,,
83,1980,1980-11-30,13,27.288,NYG,,STL,L 7-23,,,,,,,,,,
84,1980,1980-12-07,14,27.295,NYG,@,SEA,W 27-21,,,,,,,,,,
85,1980,1980-12-13,15,27.301,NYG,@,WAS,L 13-16,,,,,,,,,,
86,1980,1980-12-21,16,27.309,NYG,,OAK,L 17-33,,,,,,,,,,
87,1981,1981-09-06,1,28.202,NYG,,PHI,L 10-24,,,,,,,,,,
88,1981,1981-09-13,2,28.209,NYG,@,WAS,W 17-7,,,,,,,,,,
89,1981,1981-09-20,3,28.216,NYG,,NOR,W 20-7,,,,,,,,,,
90,1981,1981-09-27,4,28.223,NYG,@,DAL,L 10-18,,,,,,,,,,
91,1981,1981-10-04,5,28.230,NYG,,GNB,L 14-27,,,,,,,,,,
92,1981,1981-10-11,6,28.237,NYG,,STL,W 34-14,,,,,,,,,,
93,1981,1981-10-18,7,28.244,NYG,@,SEA,W 32-0,,,,,,,,,,
94,1981,1981-10-25,8,28.251,NYG,@,ATL,W 27-24,,,,,,,,,,
95,1981,1981-11-01,9,28.258,NYG,,NYJ,L 7-26,,,,,,,,,,
96,1981,1981-11-08,10,28.265,NYG,@,GNB,L 24-26,,,,,,,,,,
97,1981,1981-11-15,11,28.272,NYG,,WAS,L 27-30,,,,,,,,,,
98,1981,1981-11-22,12,28.279,NYG,@,PHI,W 20-10,,,,,,,,,,
99,1981,1981-11-29,13,28.286,NYG,@,SFO,L 10-17,,,,,,,,,,
100,1981,1981-12-06,14,28.293,NYG,,RAM,W 10-7,,,,,,,,,,
101,1981,1981-12-13,15,28.300,NYG,@,STL,W 20-10,,,,,,,,,,
102,1981,1981-12-19,16,28.306,NYG,,DAL,W 13-10,,,,,,,,,,
103,1982,1982-09-12,1,29.208,NYG,,ATL,L 14-16,,,,,,,,,,
104,1982,1982-09-20,2,29.216,NYG,,GNB,L 19-27,,,,,,,,,,
105,1982,1982-11-21,3,29.278,NYG,,WAS,L 17-27,,,,,,,,,,
106,1982,1982-11-25,4,29.282,NYG,@,DET,W 13-6,0,0,,0,0,0,1.0,0,0,0
107,1982,1982-12-05,5,29.292,NYG,,HOU,W 17-14,0,0,,0,0,0,3.0,0,0,0
108,1982,1982-12-11,6,29.298,NYG,,PHI,W 23-7,0,0,,0,0,0,1.0,0,0,0
109,1982,1982-12-19,7,29.306,NYG,@,WAS,L 14-15,,,,,,,,,,
110,1982,1982-12-26,8,29.313,NYG,@,STL,L 21-24,,,,,,,,,,
111,1982,1983-01-02,9,29.320,NYG,@,PHI,W 26-24,0,0,,0,0,0,1.0,0,0,0
112,1983,1983-09-04,1,30.200,NYG,,RAM,L 6-16,,,,,,,,,,
113,1983,1983-09-11,2,30.207,NYG,@,ATL,W 16-13,0,0,,0,0,0,1.0,0,0,0
114,1983,1983-09-18,3,30.214,NYG,@,DAL,L 13-28,,,,,,,,,,
115,1983,1983-09-26,4,30.222,NYG,,GNB,W 27-3,0,0,,0,0,0,1.5,0,0,0
116,1983,1983-10-02,5,30.228,NYG,,SDG,L 34-41,,,,,,,,,,
117,1983,1983-10-09,6,30.235,NYG,,PHI,L 13-17,0,0,,0,0,0,1.0,0,0,0
118,1983,1983-10-16,7,30.242,NYG,@,KAN,L 17-38,,,,,,,,,,
119,1983,1983-10-24,8,30.250,NYG,@,STL,T 20-20,,,,,,,,,,
120,1983,1983-11-13,11,30.270,NYG,,WAS,L 17-33,0,0,,0,0,0,2.0,0,0,0
121,1983,1983-11-20,12,30.277,NYG,@,PHI,W 23-0,0,0,,0,0,0,1.0,0,0,0
122,1983,1983-11-27,13,30.284,NYG,@,RAI,L 12-27,,,,,,,,,,
123,1983,1983-12-04,14,30.291,NYG,,STL,L 6-10,0,0,,0,0,0,0.5,0,0,0
124,1983,1983-12-11,15,30.298,NYG,,SEA,L 12-17,0,0,,0,0,0,1.0,0,0,0
125,1983,1983-12-17,16,30.304,NYG,@,WAS,L 22-31,0,0,,0,0,0,1.0,0,0,0
126,1984,1984-09-02,1,31.199,NYG,,PHI,W 28-27,,,,,,,,,,
127,1984,1984-09-09,2,31.206,NYG,,DAL,W 28-7,0,0,,0,0,0,0.5,0,0,0
128,1984,1984-09-16,3,31.213,NYG,@,WAS,L 14-30,0,0,,0,0,0,1.0,0,0,0
129,1984,1984-09-23,4,31.220,NYG,,TAM,W 17-14,,,,,,,,,,
130,1984,1984-09-30,5,31.227,NYG,@,RAM,L 12-33,0,0,,0,0,0,1.0,0,0,0
131,1984,1984-10-08,6,31.235,NYG,,SFO,L 10-31,,,,,,,,,,
132,1984,1984-10-14,7,31.241,NYG,@,ATL,W 19-7,0,0,,0,0,0,1.0,0,0,0
133,1984,1984-10-21,8,31.248,NYG,@,PHI,L 10-24,,,,,,,,,,
134,1984,1984-10-28,9,31.255,NYG,,WAS,W 37-13,,,,,,,,,,
135,1984,1984-11-04,10,31.262,NYG,@,DAL,W 19-7,0,0,,0,0,0,1.0,0,0,0
136,1984,1984-11-11,11,31.269,NYG,@,TAM,L 17-20,0,0,,0,0,0,1.0,0,0,0
137,1984,1984-11-18,12,31.276,NYG,,STL,W 16-10,,,,,,,,,,
138,1984,1984-11-25,13,31.283,NYG,,KAN,W 28-27,,,,,,,,,,
139,1984,1984-12-02,14,31.290,NYG,@,NYJ,W 20-10,,,,,,,,,,
140,1984,1984-12-09,15,31.297,NYG,@,STL,L 21-31,,,,,,,,,,
141,1984,1984-12-15,16,31.303,NYG,,NOR,L 3-10,,,,,,,,,,
142,1985,1985-09-08,1,32.204,NYG,,PHI,W 21-0,0,0,,0,0,0,1.0,0,0,0
143,1985,1985-09-15,2,32.211,NYG,@,GNB,L 20-23,,,,,,,,,,
144,1985,1985-09-22,3,32.218,NYG,,STL,W 27-17,0,0,,0,0,0,1.5,0,0,0
145,1985,1985-09-29,4,32.225,NYG,@,PHI,W 16-10,0,0,,0,0,0,0.5,0,0,0
146,1985,1985-10-06,5,32.232,NYG,,DAL,L 29-30,0,0,,0,0,0,1.5,0,0,0
147,1985,1985-10-13,6,32.239,NYG,@,CIN,L 30-35,0,0,,0,0,0,1.0,0,0,0
148,1985,1985-10-20,7,32.246,NYG,,WAS,W 17-3,,,,,,,,,,
149,1985,1985-10-27,8,32.253,NYG,@,NOR,W 21-13,,,,,,,,,,
150,1985,1985-11-03,9,32.260,NYG,,TAM,W 22-20,0,0,,0,0,0,1.5,0,0,0
151,1985,1985-11-10,10,32.267,NYG,,RAM,W 24-19,,,,,,,,,,
152,1985,1985-11-18,11,32.275,NYG,@,WAS,L 21-23,,,,,,,,,,
153,1985,1985-11-24,12,32.281,NYG,@,STL,W 34-3,0,0,,0,1,6,3.0,1,56,1
154,1985,1985-12-01,13,32.288,NYG,,CLE,L 33-35,,,,,,,,,,
155,1985,1985-12-08,14,32.295,NYG,@,HOU,W 35-14,,,,,,,,,,
156,1985,1985-12-15,15,32.302,NYG,@,DAL,L 21-28,,,,,,,,,,
157,1985,1985-12-21,16,32.308,NYG,,PIT,W 28-10,,,,,,,,,,
158,1986,1986-09-08,1,33.204,NYG,@,DAL,L 28-31,,,,,,,,,,
159,1986,1986-09-14,2,33.210,NYG,,SDG,W 20-7,0,0,,0,0,0,1.0,0,0,0
160,1986,1986-09-21,3,33.217,NYG,@,RAI,W 14-9,,,,,,,,,,
161,1986,1986-09-28,4,33.224,NYG,,NOR,W 20-17,,,,,,,,,,
162,1986,1986-10-05,5,33.231,NYG,@,STL,W 13-6,0,0,,0,0,0,0.5,0,0,0
163,1986,1986-10-12,6,33.238,NYG,,PHI,W 35-3,,,,,,,,,,
164,1986,1986-10-19,7,33.245,NYG,@,SEA,L 12-17,,,,,,,,,,
165,1986,1986-10-27,8,33.253,NYG,,WAS,W 27-20,0,0,,0,0,0,0.5,0,0,0
166,1986,1986-11-02,9,33.259,NYG,,DAL,W 17-14,0,0,,0,0,0,1.0,0,0,0
167,1986,1986-11-09,10,33.266,NYG,@,PHI,W 17-14,,,,,,,,,,
168,1986,1986-11-16,11,33.273,NYG,@,MIN,W 22-20,,,,,,,,,,
169,1986,1986-11-23,12,33.280,NYG,,DEN,W 19-16,0,0,,0,1,6,0.0,1,78,1
170,1986,1986-12-01,13,33.288,NYG,@,SFO,W 21-17,,,,,,,,,,
171,1986,1986-12-07,14,33.294,NYG,@,WAS,W 24-14,,,,,,,,,,
172,1986,1986-12-14,15,33.301,NYG,,STL,W 27-7,,,,,,,,,,
173,1986,1986-12-20,16,33.307,NYG,,GNB,W 55-24,,,,,,,,,,
174,1987,1987-09-14,1,34.210,NYG,@,CHI,L 19-34,,,,,,,,,,
175,1987,1987-09-20,2,34.216,NYG,,DAL,L 14-16,0,0,,0,0,0,1.0,0,0,0
176,1987,1987-10-25,6,34.251,NYG,,STL,W 30-7,,,,,,,,,,
177,1987,1987-11-02,7,34.259,NYG,@,DAL,L 24-33,0,0,,0,0,0,1.0,0,0,0
178,1987,1987-11-08,8,34.265,NYG,,NWE,W 17-10,,,,,,,,,,
179,1987,1987-11-15,9,34.272,NYG,@,PHI,W 20-17,0,0,,0,0,0,1.0,0,0,0
180,1987,1987-11-22,10,34.279,NYG,@,NOR,L 14-23,,,,,,,,,,
181,1987,1987-11-29,11,34.286,NYG,@,WAS,L 19-23,0,0,,0,0,0,1.0,0,0,0
182,1987,1987-12-06,12,34.293,NYG,,PHI,W 23-20,0,0,,0,0,0,1.0,0,0,0
183,1987,1987-12-13,13,34.300,NYG,@,STL,L 24-27,,,,,,,,,,
184,1987,1987-12-19,14,34.306,NYG,,GNB,W 20-10,,,,,,,,,,
185,1987,1987-12-27,15,34.314,NYG,,NYJ,W 20-7,,,,,,,,,,
186,1988,1988-09-05,1,35.202,NYG,,WAS,W 27-20,,,,,,,,,,
187,1988,1988-09-11,2,35.208,NYG,,SFO,L 17-20,,,,,,,,,,
188,1988,1988-09-18,3,35.215,NYG,@,DAL,W 12-10,,,,,,,,,,
189,1988,1988-09-25,4,35.222,NYG,,RAM,L 31-45,,,,,,,,,,
190,1988,1988-10-02,5,35.229,NYG,@,WAS,W 24-23,,,,,,,,,,
191,1988,1988-10-10,6,35.237,NYG,@,PHI,L 13-24,,,,,,,,,,
192,1988,1988-10-16,7,35.243,NYG,,DET,W 30-10,0,0,,0,0,0,1.0,0,0,0
193,1988,1988-10-23,8,35.250,NYG,@,ATL,W 23-16,,,,,,,,,,
194,1988,1988-10-30,9,35.257,NYG,@,DET,W 13-10,0,0,,0,0,0,1.0,0,0,0
195,1988,1988-11-06,10,35.264,NYG,,DAL,W 29-21,,,,,,,,,,
196,1988,1988-11-13,11,35.271,NYG,@,PHO,L 17-24,0,0,,0,0,0,1.0,0,0,0
197,1988,1988-11-20,12,35.278,NYG,,PHI,L 17-23,0,0,,0,0,0,1.5,0,0,0
198,1988,1988-11-27,13,35.285,NYG,@,NOR,W 13-12,,,,,,,,,,
199,1988,1988-12-04,14,35.292,NYG,,PHO,W 44-7,0,0,,0,0,0,3.0,0,0,0
200,1988,1988-12-11,15,35.299,NYG,,KAN,W 28-12,,,,,,,,,,
201,1988,1988-12-18,16,35.306,NYG,@,NYJ,L 21-27,,,,,,,,,,
