ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
26,2009,2009-10-11,5,24.158,NYG,,OAK,W 44-7,*,4,3,70,23.33,0,75.0%,17.50,0,0,,0,0,0,0.0,0,0
27,2009,2009-10-18,6,24.165,NYG,@,NOR,L 27-48,*,6,4,44,11.00,0,66.7%,7.33,0,0,,0,0,0,0.0,0,0
28,2009,2009-10-25,7,24.172,NYG,,ARI,L 17-24,*,10,4,69,17.25,0,40.0%,6.90,0,0,,0,0,0,0.0,1,0
29,2009,2009-11-01,8,24.179,NYG,@,PHI,L 17-40,*,12,8,68,8.50,0,66.7%,5.67,0,0,,0,0,0,0.0,0,0
30,2009,2009-11-08,9,24.186,NYG,,SDG,L 20-21,*,11,8,57,7.13,1,72.7%,5.18,0,0,,0,1,6,0.0,0,0
31,2009,2009-11-22,10,24.200,NYG,,ATL,W 34-31,*,8,4,79,19.75,0,50.0%,9.88,0,0,,0,0,0,0.0,0,0
32,2009,2009-11-26,11,24.204,NYG,@,DEN,L 6-26,*,11,7,71,10.14,0,63.6%,6.45,0,0,,0,0,0,0.0,0,0
33,2009,2009-12-06,12,24.214,NYG,,DAL,W 31-24,*,13,6,110,18.33,0,46.2%,8.46,0,0,,0,0,0,0.0,0,0
34,2009,2009-12-13,13,24.221,NYG,,PHI,L 38-45,*,10,7,74,10.57,0,70.0%,7.40,0,0,,0,0,0,0.0,0,0
35,2009,2009-12-21,14,24.229,NYG,@,WAS,W 45-12,*,7,5,40,8.00,1,71.4%,5.71,0,0,,0,1,6,0.0,0,0
36,2009,2009-12-27,15,24.235,NYG,,CAR,L 9-41,*,9,7,70,10.00,1,77.8%,7.78,0,0,,0,1,6,0.0,0,0
37,2009,2010-01-03,16,24.242,NYG,@,MIN,L 7-44,*,12,10,57,5.70,0,83.3%,4.75,0,0,,0,0,0,0.0,0,0
38,2010,2010-09-12,1,25.129,NYG,,CAR,W 31-18,*,8,5,43,8.60,0,62.5%,5.38,0,0,,0,0,0,0.0,0,0
39,2010,2010-09-19,2,25.136,NYG,@,IND,L 14-38,*,9,4,35,8.75,0,44.4%,3.89,0,0,,0,0,0,0.0,1,0
40,2010,2010-09-26,3,25.143,NYG,,TEN,L 10-29,*,12,9,103,11.44,0,75.0%,8.58,0,0,,0,0,0,0.0,0,0
41,2010,2010-10-03,4,25.150,NYG,,CHI,W 17-3,*,8,4,30,7.50,0,50.0%,3.75,0,0,,0,0,0,0.0,0,0
42,2010,2010-10-10,5,25.157,NYG,@,HOU,W 34-10,,8,6,89,14.83,1,75.0%,11.13,0,0,,0,1,6,0.0,0,0
43,2010,2010-10-17,6,25.164,NYG,,DET,W 28-20,*,9,6,70,11.67,0,66.7%,7.78,0,0,,0,0,0,0.0,0,0
44,2010,2010-10-25,7,25.172,NYG,@,DAL,W 41-35,*,11,9,101,11.22,1,81.8%,9.18,0,0,,0,1,6,0.0,0,0
45,2010,2010-11-07,8,25.185,NYG,@,SEA,W 41-7,*,7,4,46,11.50,1,57.1%,6.57,0,0,,0,1,6,0.0,0,0
46,2010,2010-12-13,13,25.221,NYG,@,MIN,W 21-3,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,0.0,0,0
47,2011,2011-09-11,1,26.128,PHI,@,STL,W 31-13,,,,,,,0.0%,,,,,,,,,,
48,2011,2011-09-18,2,26.135,PHI,@,ATL,L 31-35,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,0.0,1,0
49,2011,2011-09-25,3,26.142,PHI,,NYG,L 16-29,,5,2,27,13.50,0,40.0%,5.40,0,0,,0,0,0,0.0,0,0
50,2011,2011-10-02,4,26.149,PHI,,SFO,L 23-24,,,,,,,0.0%,,,,,,,,,,
51,2011,2011-10-09,5,26.156,PHI,@,BUF,L 24-31,,,,,,,0.0%,,,,,,,,,,
52,2011,2011-10-16,6,26.163,PHI,@,WAS,W 20-13,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
53,2011,2011-11-13,9,26.191,PHI,,ARI,L 17-21,*,10,5,47,9.40,0,50.0%,4.70,1,0,0.00,0,0,0,0.0,1,0
54,2011,2011-11-20,10,26.198,PHI,@,NYG,W 17-10,,1,1,14,14.00,1,100.0%,14.00,0,0,,0,1,6,0.0,0,0
55,2011,2011-11-27,11,26.205,PHI,,NWE,L 20-38,,,,,,,0.0%,,,,,,,,,,
56,2012,2012-09-09,1,27.126,STL,@,DET,L 23-27,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,0.0,0,0
57,2012,2012-09-16,2,27.133,STL,,WAS,W 31-28,*,5,3,39,13.00,0,60.0%,7.80,0,0,,0,0,0,0.0,0,0
58,2012,2012-09-23,3,27.140,STL,@,CHI,L 6-23,*,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,0.0,0,0
59,2012,2012-10-14,6,27.161,STL,@,MIA,L 14-17,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0
60,2012,2012-10-21,7,27.168,STL,,GNB,L 20-30,,6,4,26,6.50,0,66.7%,4.33,0,0,,0,0,0,0.0,0,0
61,2012,2012-10-28,8,27.175,STL,,NWE,L 7-45,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
62,2012,2012-11-11,9,27.189,STL,@,SFO,T 24-24,,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,0.0,0,0
63,2012,2012-12-02,12,27.210,STL,,SFO,W 16-13,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,0.0,0,0
64,2012,2012-12-09,13,27.217,STL,@,BUF,W 15-12,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
